radiation scattering	61-19098-B
reduce by fifty percent	27-8842-S
reduce by half	39-92-S
reduce carbon emissions	46-32103-S
reduce disasters	39-814-S
reduce duties	38-66943-S
reduce emissions	39-595-S
reduce fever	38-31219-S,38-31306-S,46-42203-S,61-62521-S
reduce nuclear weapons	39-713-B
reduce or devaluate	59-44279-B
reduce outflow 成语 saw	65-38362-S
reduce payment	20-24136-S
reduce penalty	39-0-B
reduce pressure	39-242-S
reduce speed	39-1252-S
reduce spending	48-57177-S
reduced fraction i e one half for three sixths	49-4276-B
reduced to begging	38-45409-S
reducing agent	63-9774-B
reducing methods in acupuncture	56-57611-S
reductio ad absurdum	11-54305-B,11-54379-B,35-55349-B
reduction	38-31882-S,39-192-S,56-53706-S,66-16940-S,66-16991-S
reduction chem	63-9689-B
reduction equipment	38-31952-S
reduction in production	39-877-B
redundancy	8-12730-B
redundant	8-12730-B,60-1866-B,63-61376-B
reduplicate in chinese grammar	63-62749-S,64-1687-S
reduplication	10-2207-S
redwall of 208 at chibi in huangzhou district 黃州區 黄州区 of huanggang city 黄冈	60-5815-S
reed	48-13721-S,48-39279-S,54-20489-S,54-59656-B,54-60377-B,55-2557-B,55-36409-B,55-37110-B
reed figures to teach the children 成语 saw	43-58963-S
reed in a wind instrument	48-39427-S
reed instrument	57-53806-S,57-53924-S
reed mouth organ	13-5998-S,48-3702-S,48-5336-S
reed music	48-39332-B
reed pipe	48-39381-B,55-36935-B
reed wind instrument	48-24935-S
reed wind instrument such as oboe or bassoon	67-252-S
reeds	48-44051-S,54-42446-B,55-37073-B
reeducation through labor	10-5072-B,10-5575-B
reef	17-12613-S,38-57412-S,42-42732-S,46-42369-B,46-42606-B
reef island	46-42408-B
reef rock	31-62250-S
reeking of blood	56-28854-B
reel	11-27188-B,41-44325-S,41-44603-S,61-29109-B
reel silk from cocoons	50-39247-B,50-42230-S
reel thread	50-42279-S
reelect	29-46467-S
reelection	29-46467-B
reentry vehicle	33-57513-S
reevaluate	64-477-S
reexamination	24-14650-B
reexamine	24-14320-S,24-16079-S
ref to pangu 盤古 盘古 in the chinese creation myth	65-32821-B
refer	11-39783-S
refer a problem to sb	28-36646-S
refer in particular to	41-59352-S
refer to	11-40282-B,27-56927-S,28-37545-S,33-45415-S,33-47029-S,58-40976-S
refer to another document	11-39607-S
refer to independent states of india or africa	15-32913-S
refer to singapore	42-15798-S
refer to the double helix dna as opposed to single chain 單鏈 单链 rna	67-2106-S
referee	26-58283-S,56-53105-S,56-53105-B,56-53183-B
reference	6-1826-S,6-1937-S,6-28890-S,11-39607-S,11-39695-S,11-39783-B,11-39859-B,11-40026-S,15-70239-S,19-48735-S,23-28784-S,58-46941-S
reference book such as dictionary	21-54186-S
reference frame	15-70239-B
reference news prc limited distribution daily newspaper	11-39913-B
reference point	15-70239-B
reference source	33-47029-S
reference to	58-44076-S
reference to populist and romantic writing around 1900	70-54425-S
reference to taboo subject of sex	5-6695-S
reference within the same publication	7-26901-S
references	50-37150-S
referendum	7-38378-B,7-38446-B,7-60009-S,7-60963-B,7-61111-B,7-61202-B
referral s	23-30579-B
referred to as	5-33442-S
referring to 19th century imperialist powers and japan	5-27833-S
referring to herself in former times	32-56080-S
referring to himself	51-28939-S
referring to seats on a plane etc	68-342-S,68-428-S,68-670-S
referring to sth	53-28995-S
referring to things or people from south asia	24-28569-S
refers esp to the onset of regular contractions	52-61362-B
refers to a son in law living with wife s family	60-1866-B
refers to abrupt transformation	28-54616-B
refers to academics employed as imperial secretaries from the tang onwards	51-19939-B
refers to al qaeda 基地組織 基地组织	15-67626-B
refers to ancient bronze artefacts	67-58966-B
refers to ancient tradition worship the river first	7-4355-B
refers to arnold schwarzenegger 阿諾·施瓦辛格 阿诺·施瓦辛格	66-12385-B
refers to chiang kai shek s coup of 12th april 1927 against the communists in shanghai	14-45479-B
refers to chiang kai shek 蔣介石 蒋介石	55-12202-B
refers to confucian canonical texts	51-50421-B
refers to confucius	70-39874-S,70-40421-S
refers to confucius 孔子	51-44389-B
refers to deng xiaoping s policies from around 1980	29-46898-B
refers to dr sun yat sen	2-69526-B
refers to dramatic sale prices	43-36277-B
refers to famous blind historian zuo qiuming 左丘明	45-60730-B
refers to food	31-39326-S
refers to jerusalem	51-45199-S
refers to love making 成语 saw	41-3933-B
refers to mahatma gandhi	51-52241-B
refers to manchurian ruling class	31-2477-S
refers to mencius 孟子	18-38317-S
refers to military expedition	44-39629-B
refers to mt mang 邙山 at luoyang in henan	10-30705-B
refers to northern song literati su xun 蘇洵 苏洵	1-41113-B
refers to one week national holiday in prc starting 1st may and 1st oct	65-11850-B
refers to people s republic of china 中華人民共和國 中华人民共和国	17-38805-B
refers to popular hero in robin hood style	49-65235-S,49-65357-S
refers to reorganization during meiji japan	23-9654-S
refers to repeated compaigns of the guomindang against the communists from 1930 onwards	15-21401-B
refers to rna as opposed to the double helix dna	14-22372-B
refers to south jiangsu	36-57963-S
refers to sth preceding it	8-3171-S
refers to tang dynasty poet li bai 李白 701 762	63-46862-B
refers to tang empress wuzetian 武則天 武则天 624 705	18-21663-B
refers to teenage craze for everything japanese	13-38747-S
refers to television	41-13556-S
refers to the classical philosophic schools of the warring states period 475 221 bc	44-52813-B
refers to the classical schools of thought	58-48050-B,58-48139-B
refers to the communists victory over the nationalists in 1949	57-49147-B
refers to the great wall	64-22862-S
refers to the idea of retaining previous legislature after transition to chinese rule in hong kong or macao	45-25002-S
refers to the northern 960 1127 and southern song 1128 1279	7-44185-B
refers to the persian gulf	38-21954-B
refers to the philosophical schools of pre han china	19-60606-B
refers to the qing dynasty	39-39484-S
refers to the revolutionary movements in late 19th and early 20th century leading up to 1911 xinhai revolution 辛亥革命	11-51102-B
refers to the spring and autumn annals 春秋 edited by confucius	70-40126-B
refers to the travels of confucius	13-14488-B
refers to the western han and eastern han	7-46770-B
refers to the yellow turbans peasant uprising at the end of later han from 184	71-19079-B
refers to those buried at sea	36-38454-B
refers to those who left china for taiwan before the founding of prc in 1949	11-38388-B
refers to three 7 day holiday periods at new year 春節 春节	71-24132-B,71-24371-B
refers to tian anmen incident of 4th jun 1989	7-66873-B
refers to tourist attraction in chengdu 成都	35-43849-B
refers to various monocotyledonous flowering plants including acorus calamus and typha orientalis	55-422-B
refers to vladivostok	1-71127-S
refers to wolong giant panda nature reserve 臥龍大熊貓保護區 卧龙大熊猫保护区 in wenchuan county	52-55430-B
refers to yasukuni shrine 靖國神社 靖国神社	67-60305-B
refers to yu shi nan 虞世南	13-50280-B
refers to yuan shikai 袁世凱 袁世凯	56-49264-S
refers to zhenghe s 15th century expeditions to the western pacific	1-62826-B
refers to zhuangzi 莊子 庄子 grieving for his lost wife	71-48348-B
refers to 八旗 eight banners	31-2669-B
