bǐ gān sài	36-10870-B
ce wei xing	57-43056-S
ce yan	19-37531-S,36-20464-S,39-4665-B,65-49888-S,67-67687-S
ce yan jie guo	39-4710-B
ce yi	21-51525-S,35-13854-S,70-8057-S
ce yuan di	48-21974-B
ce yun	39-3946-B
ce zhe	37-160-S,57-43003-S
ce zhi	39-4208-B
ce zhong	6-19875-B
ce zi	8-7776-B,20-61246-S,28-23408-S
ce4	1-2064-S,2-17498-S,3-32575-S,4-59717-S,6-19524-B,6-20755-S,6-46302-S,7-43528-S,7-59745-S,8-7658-B,8-24614-S,8-45152-S,8-50250-S,10-3396-S,11-44209-S,12-20993-S,12-22917-S,12-53920-S,14-17128-S,15-12513-S,15-64010-S,19-53865-S,20-13970-S,20-48428-S,20-54437-S,21-57781-S,22-59124-S,23-4215-B,24-33444-S,25-27364-B,26-17900-S,26-31881-S,28-23264-S,28-31444-S,28-48106-S,29-40292-S,29-57422-S,33-11937-S,33-56882-S,35-13811-S,35-42869-S,37-0-S,38-48264-S,38-59039-S,39-3516-B,42-12680-S,42-20184-S,42-45557-S,43-54013-B,43-58192-S,45-9253-S,45-17480-S,46-58788-S,47-50351-S,48-21727-B,48-22889-B,48-41263-S,50-24589-S,50-46223-S,52-16781-S,52-52116-S,53-27543-S,53-42762-S,54-8989-B,56-43380-S,57-42930-S,57-59214-S,57-65873-S,58-5275-S,59-61449-S,61-21164-S,62-59091-S,65-29201-S,66-63913-S,68-8949-S,68-29547-S,70-5526-S,70-16969-S,71-38685-S
ce4 bei4 ye4	34-17009-S
ce4 bi4	6-19643-B
ce4 bian1 lan2	6-19806-B
ce4 biao3	37-44167-S
ce4 ci2	28-23468-S
ce4 di4 qu1 lu:4	39-3582-B
ce4 di4 xian4	39-3652-B
ce4 di4 xian4 liang4 xue2	39-3805-B
ce4 di4 xian4 qu1 lu:4	39-3723-B
ce4 ding4	29-49589-S,39-3996-B,43-25321-S
ce4 ding4 fa3	57-34430-S
ce4 du4	39-4052-B
ce4 dui4 chen4	7-43583-S
ce4 er3	6-19684-B
ce4 fa3	34-37599-S
ce4 fei2	3-13152-S
ce4 feng1	6-19933-B,8-7822-B
ce4 feng1 yun2	17-48173-S
ce4 gao1 shen1	54-25804-S
ce4 gou1	16-43627-S
ce4 hua4	1-2676-S,48-21774-B,48-22085-B
ce4 hui4	39-4327-B
ce4 ji1	30-67114-S
ce4 jing4 qi4	39-4099-B
ce4 ju4 yi2	39-4532-B
ce4 kong4	39-4151-B
ce4 li4	8-8016-B,48-21899-B
ce4 lian4	6-20010-B
ce4 liang2	39-4385-B,39-4602-B
ce4 liang2 fa3	1-42419-S
ce4 liang4 xue2	17-11475-S
ce4 lie4	16-43735-S
ce4 lie4 zhou1 qu1	16-43843-S
ce4 lie4 zhou1 wei2	16-43994-S
ce4 lu:e4	8-53783-S,48-22039-B,66-56845-S,68-47993-S
ce4 mian4	6-20088-B,16-53572-S
ce4 mou2	48-22133-B
ce4 qi4	4-63557-S,4-64195-S,7-10516-S,10-56692-S,28-23345-S,35-13913-S
ce4 shi4	39-4441-B
ce4 shu4	37-103-S
ce4 suan4	39-4259-B
ce4 suo3	7-55970-S,23-4262-B
ce4 tang3	6-19745-B
ce4 tian1	39-3880-B
ce4 wei4 xing1	57-43056-S
ce4 yan4	19-37531-S,36-20464-S,39-4665-B,65-49888-S,67-67687-S
ce4 yan4 jie2 guo3	39-4710-B
ce4 yi2	21-51525-S,35-13854-S,70-8057-S
ce4 yuan2 di4	48-21974-B
ce4 yun4	39-3946-B
ce4 zhe3	37-160-S,57-43003-S
ce4 zhi1	39-4208-B
ce4 zhong4	6-19875-B
ce4 zi4	28-23408-S
ce4 zi5	8-7776-B,20-61246-S
cen	21-34532-B,21-47252-B,31-33426-S,38-36658-B
cen ci	11-39296-B
cen ci bu qi	11-39371-B
cen1	21-47252-B
cen1 ci1	11-39296-B
cen1 ci1 bu4 qi2	11-39371-B
cen2	21-34532-B,31-33426-S,38-36658-B
ceng	1-7455-S,1-48812-S,1-59464-S,2-15083-S,2-69475-S,2-74929-S,2-79282-S,2-83770-S,4-24245-S,4-67864-S,4-69861-S,6-40648-S,6-53313-S,7-27923-S,7-31196-S,10-14261-S,12-48896-S,14-33946-B,15-30556-S,15-40398-S,15-68042-S,16-27175-S,16-47194-S,16-50105-S,17-23994-S,17-69985-S,19-1137-S,20-16372-S,20-52205-S,21-24724-B,21-25064-S,21-36660-S,21-47973-B,21-49699-S,21-56819-S,22-42773-S,22-60257-S,23-54755-S,25-60251-S,30-22755-S,30-58873-S,31-5744-S,32-15317-B,32-58517-S,34-50793-S,35-36999-S,37-13738-S,39-27828-S,41-5571-S,41-19343-S,41-54101-S,44-64914-S,45-43612-S,46-12118-S,46-12166-S,46-35094-S,46-40980-S,46-40980-S,46-44185-S,50-7045-S,50-9989-S,51-46346-S,51-46452-S,52-19782-S,53-17007-S,55-5306-S,55-18397-S,55-19026-S,56-39621-S,56-44293-S,56-45940-S,59-10340-S,59-51444-S,60-10308-S,60-10388-S,60-37179-S,60-51628-B,60-51655-B,61-3149-S,61-24650-S,61-47169-S,61-67177-S,62-65794-S,63-12443-S,63-33609-B,64-56556-S,66-16300-S,66-39561-S,66-65308-S,67-18227-S,67-27926-S,67-39111-S,68-20284-S,68-34090-S,70-13500-S,71-62095-S,71-62188-S
ceng cai	16-56285-S
ceng ceng	21-25064-B
ceng ceng jia ma	21-25116-B
ceng chi ceng he	60-51702-B
ceng chu bu qiong	21-24845-B
ceng ci	21-25317-B,48-8534-S
ceng ci fen xi mo xing	16-56338-S
ceng da sha	16-56210-S
ceng ding	2-75003-S,20-52279-S
ceng fu	16-56451-S
ceng he	60-51702-S
ceng he shi yan	17-24048-S
ceng hei se su liu	45-51507-S
ceng ji he shi	32-15821-B
ceng ji yun	21-25561-B
ceng jia gou	1-27517-S
ceng jia ma	21-25116-S
ceng jian die chu	21-25625-B
ceng jian zhu	1-48860-S
ceng jing	32-16427-B
ceng jing cang hai	32-16545-B
ceng kong jian	16-47252-S
ceng li	21-25513-B
ceng liu	21-25410-B
ceng lu: guan	70-13556-S
ceng luan die zhang	21-25215-B
ceng mian	10-48808-S,21-25772-B
ceng qi	41-5628-S
ceng she ying	35-39858-S
ceng shi	44-1257-S
ceng shu	67-28000-S
ceng ta	3-18823-S,14-18067-S
ceng tang	13-15611-S
ceng wen zi	38-49493-S,38-56474-S
ceng xi	35-40010-S
ceng xia shi yu zheng	44-64954-S
ceng xia sun shang	9-25219-S
ceng xian	30-58936-S
ceng xiang shi	4-62488-S
ceng xie yi	50-7105-S
ceng xing	44-65052-S
ceng xing shi sun shang	44-65106-S
ceng xue	15-40449-S
ceng ya	21-24980-B
ceng yue du zhang ai	38-49682-S
ceng yun	11-26604-S,21-25722-B,28-7651-S,67-14228-S,70-13642-S
ceng zhao xiang shu	35-40133-S
ceng zheng zi fa	38-49597-S,38-56577-S
ceng zhuang	21-25457-B
ceng zi	21-25024-B
ceng1	14-33946-B
ceng1 tang1	13-15611-S
ceng2	1-7455-S,1-48812-S,1-59464-S,2-15083-S,2-69475-S,2-74929-S,2-79282-S,2-83770-S,4-24245-S,4-67864-S,4-69861-S,6-40648-S,6-53313-S,7-27923-S,7-31196-S,10-14261-S,12-48896-S,15-30556-S,15-40398-S,15-68042-S,16-27175-S,16-47194-S,16-50105-S,17-23994-S,17-69985-S,19-1137-S,20-16372-S,20-52205-S,21-24724-B,21-25064-S,21-36660-S,21-47973-B,21-49699-S,21-56819-S,22-42773-S,22-60257-S,23-54755-S,25-60251-S,30-22755-S,30-58873-S,31-5744-S,32-15317-B,32-58517-S,34-50793-S,35-36999-S,37-13738-S,39-27828-S,41-5571-S,41-19343-S,41-54101-S,44-64914-S,45-43612-S,46-12118-S,46-12166-S,46-35094-S,46-44185-S,50-7045-S,50-9989-S,51-46346-S,51-46452-S,52-19782-S,53-17007-S,55-5306-S,55-18397-S,55-19026-S,56-39621-S,56-44293-S,56-45940-S,59-10340-S,59-51444-S,60-10308-S,60-10388-S,60-37179-S,60-51628-B,61-3149-S,61-24650-S,61-47169-S,61-67177-S,62-65794-S,63-12443-S,63-33609-B,64-56556-S,66-16300-S,66-39561-S,66-65308-S,67-18227-S,67-27926-S,67-39111-S,68-20284-S,68-34090-S,70-13500-S,71-62095-S,71-62188-S
ceng2 cai2	16-56285-S
ceng2 ceng2	21-25064-B
ceng2 ceng2 jia1 ma3	21-25116-B
ceng2 chu1 bu4 qiong2	21-24845-B
ceng2 ci4	21-25317-B,48-8534-S
ceng2 ci4 fen1 xi1 mo2 xing2	16-56338-S
ceng2 da4 sha4	16-56210-S
ceng2 ding3	2-75003-S,20-52279-S
ceng2 fu4	16-56451-S
ceng2 he2 shi4 yan4	17-24048-S
ceng2 hei1 se4 su4 liu2	45-51507-S
ceng2 ji1 yun2	21-25561-B
ceng2 ji3 he2 shi2	32-15821-B
ceng2 jia1 ma3	21-25116-S
ceng2 jia4 gou4	1-27517-S
ceng2 jian4 die2 chu1	21-25625-B
ceng2 jian4 zhu4	1-48860-S
ceng2 jing1	32-16427-B
ceng2 jing1 cang1 hai3	32-16545-B
ceng2 kong1 jian1	16-47252-S
ceng2 li3	21-25513-B
ceng2 liu2	21-25410-B
ceng2 lu:3 guan3	70-13556-S
ceng2 luan2 die2 zhang4	21-25215-B
ceng2 mian4	10-48808-S,21-25772-B
ceng2 qi4	41-5628-S
ceng2 she4 ying3	35-39858-S
ceng2 shi2	44-1257-S
ceng2 shu4	67-28000-S
ceng2 ta3	3-18823-S,14-18067-S
ceng2 wen2 zi4	38-49493-S,38-56474-S
ceng2 xi1	35-40010-S
ceng2 xia4 shi1 yu3 zheng4	44-64954-S
ceng2 xia4 sun3 shang1	9-25219-S
ceng2 xian4	30-58936-S
ceng2 xiang1 shi2	4-62488-S
ceng2 xie2 yi4	50-7105-S
ceng2 xing4	44-65052-S
ceng2 xing4 shi4 sun3 shang1	44-65106-S
ceng2 xue2	15-40449-S
ceng2 ya1	21-24980-B
ceng2 yue4 du2 zhang4 ai4	38-49682-S
ceng2 yun2	11-26604-S,21-25722-B,28-7651-S,67-14228-S,70-13642-S
ceng2 zhao4 xiang1 shu4	35-40133-S
ceng2 zheng4 zi4 fa3	38-49597-S,38-56577-S
ceng2 zhuang4	21-25457-B
ceng2 zi5	21-25024-B
ceng4	60-51655-B
ceng4 chi1 ceng4 he1	60-51702-B
ceng4 he1	60-51702-S
ceng5	46-40980-S
cha	2-28973-S,2-48419-S,3-67176-S,3-72739-S,4-7086-S,4-7318-S,4-11257-S,4-13373-S,5-21751-B,5-60465-S,6-11782-S,6-20203-S,6-20585-S,6-28890-S,7-59351-S,8-37797-S,8-48232-S,8-50590-S,8-51980-S,9-26325-B,9-27661-S,9-30402-S,9-48415-S,9-56586-S,10-3019-S,10-3309-S,10-64559-S,10-70264-S,11-41772-B,11-41838-B,11-41878-B,13-34893-S,14-10428-S,14-22869-B,14-26698-S,15-47648-S,15-56944-B,17-746-S,18-24449-S,18-30946-S,19-23833-S,19-29508-S,20-10355-B,20-21049-S,20-21798-S,21-34705-B,21-51403-S,21-54953-S,21-63306-B,21-63392-B,22-12729-S,23-2395-S,24-14650-S,24-29658-S,25-8660-S,26-43373-S,26-45718-S,26-53254-B,26-53793-S,27-16018-S,27-17104-S,27-25288-S,28-1858-B,28-43114-B,28-47010-S,28-56333-S,28-60572-S,28-62816-B,30-43179-S,30-62593-S,31-15354-S,31-35428-S,31-40348-S,31-48761-S,31-50121-S,32-20229-S,32-63521-S,33-156-B,33-203-B,33-45415-B,33-51631-B,34-17127-S,34-27010-B,34-45422-B,34-54241-S,35-12797-S,35-13325-S,35-15725-S,35-50574-S,36-3719-S,36-20530-S,36-54890-B,37-19357-S,37-37211-S,37-42139-S,37-57548-S,38-39480-S,38-61968-S,38-64562-S,39-20815-S,40-40398-S,40-43341-S,41-21447-S,41-60878-S,42-15313-B,42-16136-S,42-43336-S,42-49881-S,42-51723-S,42-55505-S,44-61267-S,45-8983-S,45-26469-S,45-28378-S,45-33984-S,45-48823-S,45-56031-S,46-32965-B,47-16774-S,47-22235-S,47-32586-S,47-51490-S,47-61990-S,48-18293-S,48-34556-S,49-1864-S,49-12786-S,49-23872-S,49-25278-S,49-31340-S,49-66159-S,50-18112-S,50-55817-S,51-33220-S,51-33654-S,52-6304-S,53-21265-B,53-39286-B,53-60200-S,54-8150-S,54-9557-B,54-10684-B,56-47605-B,56-47665-B,57-29279-S,57-35169-S,57-35230-S,57-41106-S,57-42113-S,58-14718-B,58-30318-S,58-37968-S,59-599-S,59-49436-S,59-49525-S,60-23538-S,61-18455-S,61-20124-S,61-58062-S,61-60591-S,61-66887-S,62-30981-S,62-50704-S,63-13734-S,63-42246-S,64-40186-S,65-60714-S,68-13996-S,68-23429-S,69-6527-S,69-27976-S,70-6457-S,70-7700-S,70-36649-S,71-57555-S
cha Bu dui	2-53239-S
cha Zu zhi	15-14843-S
cha ba	41-19480-S
cha bai lai	25-19651-S
cha bao	54-10882-B
cha bao gao	58-38265-S
cha bei	54-11249-B
cha biao zi	54-11517-B,71-32877-S
cha bie	21-64185-B,37-10160-S
cha bing	6-20278-S
cha bu	2-50903-S,40-38148-S
cha bu duo	21-63708-B
cha bu li	21-63777-B
cha bu li r	21-63853-B
cha bu shi	40-38251-S
cha cha	14-26698-S
cha chao	33-45889-B
cha che	11-42183-B
cha chi	54-10923-B
cha chi nan fei	28-43836-B
cha chu	33-45654-B,33-46754-B
cha cuo	22-795-B
cha dai	54-11571-B
cha dao	21-35038-B
cha de	42-55552-S
cha de duo	22-199-B
cha di	54-9757-B
cha dian	2-12155-S,3-67600-S,22-1126-B,54-12138-B
cha dian r	22-1262-B
cha dian shi jian	54-12227-B
cha diao	21-34927-B,33-46912-B
cha dui	28-44193-B
cha e	22-547-B,22-922-B
cha e xuan ju	22-1016-B
cha er	2-6422-S
cha fen	21-64045-B
cha fen fang cheng	21-64099-B
cha guan	35-12856-S,54-11813-B
cha guan r	54-11856-B
cha guo	35-28020-S
cha he	33-46819-B
cha hu	54-10965-B
cha hua	21-32583-S,28-43730-B,28-43913-B,28-43971-B
cha hua hui	54-11612-B
cha hui	54-11206-B
cha huo	33-46369-B
cha huo li	3-67338-S
cha ji	1-32276-S,6-20475-S,11-42137-B,54-10772-B
cha ji shu	48-18443-S
cha ji yong	11-24579-S
cha jia	10-3067-S,11-41965-B,16-7829-S,21-63992-B,57-42471-S
cha jia ban dao	10-3154-S,16-7914-S
cha jian	28-43201-B,54-12091-B
