considerable scale	28-22628-S
county in east guangxi	55-3166-S,55-3229-S
county in east zhejiang	52-59887-S,52-60083-S
county in england	55-26270-S
county in fujian	4-29724-S,4-29783-S,37-17462-S,65-48731-S
county in fujian province	17-28386-S
county in fushun 撫順 抚顺	29-14634-S,30-56738-S,30-56881-S,38-59169-S,38-59244-S,38-59391-S
county in fuxin 阜新 阜新	23-58547-S,23-58619-S,65-58940-S
county in fuzhou 撫州 抚州	10-68896-S,10-68971-S,11-3437-S,11-3510-S,19-50842-S,19-50915-S,21-41133-S,21-41208-S,23-13600-S,23-13679-S,33-25098-S,33-25442-S,34-47751-S,34-47819-S,59-52494-S,59-52561-S,64-12379-S,64-12448-S,71-26661-S,71-26734-S
county in gansu	17-51797-S,20-19131-S,21-38362-S,23-3181-S,23-38787-S,24-30490-S,26-11294-S,30-30308-S,33-25324-S,39-55078-S,43-6874-S,47-9003-S,52-2625-S,52-2764-S
county in ganzhou 贛州 赣州	1-53860-S,1-53936-S,5-46528-S,5-46602-S,7-34606-S,7-34680-S,17-41297-S,17-41365-S,19-33547-S,19-33619-S,19-43979-S,19-44053-S,20-19897-S,20-19969-S,20-45587-S,20-45657-S,21-42732-S,21-42806-S,30-65080-S,30-65148-S,32-23993-S,32-24069-S,46-5131-S,46-5207-S,53-23404-S,53-23478-S,60-5557-S,71-58024-S,71-58098-S
county in guangdong	1-37168-S,30-49603-S,30-49741-S,62-24065-S
county in guangdong province	43-57173-S
county in guangxi	1-37336-S,17-8296-S,19-65837-S,20-7039-S,22-10808-S,35-9719-S,43-6071-S,55-33183-S,56-11042-S,59-50130-S,63-27000-S,64-13475-S,64-59810-S,65-59964-S,66-37858-S,71-57891-S
county in guizhou	1-38909-S,1-43434-S,18-45074-S,25-4762-S,37-26979-S,42-29892-S,64-55414-S,70-26372-S
county in hainan	6-55212-S,31-21136-S,33-19495-S,34-49048-S,44-41420-S,66-30881-S
county in hebei	2-43144-S,4-43682-S,8-7175-S,13-52777-S,17-9450-S,17-17304-S,18-48605-S,19-10759-S,19-38158-S,20-24655-S,25-64423-S,30-45799-S,31-28218-S,31-44101-S,31-54579-S,38-35495-S,38-51096-S,40-19364-S,42-26192-S,46-36250-S,55-11476-S,55-27818-S,56-21563-S,59-20299-S,59-20376-S,59-20512-S,60-30078-S,66-53507-S,67-57351-S,67-60138-S,70-35210-S
county in heilongjiang	59-55678-S
county in heilongjiang province	22-5776-S
county in henan	11-5249-S,19-10886-S,19-11067-S,20-5294-S,21-46991-S,33-11146-S,33-34712-S,38-8933-S,38-40400-S,39-22990-S,39-28128-S,39-28266-S,39-29182-S,45-55759-S,48-31468-S,52-62860-S,54-52343-S,63-21949-S,65-33612-S,66-19528-S,68-7473-S
county in hubei	3-49518-S,7-58825-S,19-49733-S,26-27309-S,36-61635-S,47-25937-S,63-31586-S,65-257-S,65-20661-S
county in hubei province	13-30305-S,18-38214-S,39-51313-S
county in huizhou county 徽州	4-55547-S,4-55621-S
county in huludao 葫蘆島 葫芦岛	23-21344-S,23-21428-S,49-56420-S,49-56502-S
county in hunan	11-2441-S,15-62294-S,29-43425-S,30-44600-S,30-44730-S,30-49430-S,36-60372-S,40-2059-S,53-62570-S,62-15161-S,62-51654-S,63-36145-S,70-51873-S,71-16190-S
county in inner mongolia	53-8318-S
county in ji an 吉安	12-39690-S,12-41056-S,12-41119-S,19-31683-S,19-31742-S,21-40628-S,21-40695-S,30-47868-S,30-47931-S,36-51432-S,36-51497-S,36-52688-S,36-52755-S,37-45508-S,37-45569-S,54-44431-S,54-44493-S,62-35104-S,62-35171-S
county in jiangsu	13-1447-S,37-18104-S,37-48156-S,40-63268-S,45-19370-S,59-21634-S,63-19632-S
county in jiangxi	1-57373-S
county in jilin	46-37406-S,47-53505-S
county in jilin prefecture 吉林	36-49153-S,36-49320-S
county in jingdezhen 景德鎮 景德镇	38-13374-S,38-13457-S
county in jinzhou 錦州 锦州	51-14153-S,71-29803-S
county in jiujiang 九江	3-19954-S,5-48284-S,5-48352-S,23-57669-S,23-57735-S,24-24966-S,24-25029-S,31-29073-S,31-29139-S,35-46120-S,35-46186-S,36-48786-S,36-48854-S,39-10948-S,39-11012-S,63-27416-S,63-27484-S
county in kazakh autonomous prefecture	41-56237-S
county in khotan prefecture	44-65283-S
county in liaoning	10-36108-S,20-26836-S,20-26971-S,20-27106-S,21-36845-S,30-57869-S,55-6238-S,64-45693-S,70-52010-S
county in liaoyuan 遼源 辽源	33-24324-S,33-24401-S,33-24632-S,33-24709-S
county in liu an prefecture 六安	64-9271-S,64-9348-S
county in longyan 龍岩 龙岩	1-50550-S,35-46609-S,36-50447-S,39-54925-S,62-20323-S,65-16081-S
county in maoming 茂名	67-32763-S,67-32830-S
county in meizhou 梅州	3-54068-S,3-54131-S,17-12294-S,17-12355-S,22-45428-S,22-45497-S,34-11793-S,55-14200-S,55-14269-S,59-22298-S,59-22367-S
county in mianyang prefecture 綿陽 绵阳	10-31163-S
county in michigan	16-17513-S
county in nanchang 南昌	10-72407-S,19-32325-S,19-32387-S,30-48455-S,30-48523-S,62-31229-S,62-31297-S
county in ngawa tibetan qiang prefecture 阿壩藏族羌族自治州 阿坝藏族羌族自治州	3-18559-S
county in ningxia	12-47100-S,71-7065-S,71-7133-S
county in northeast taiwan	19-50244-S,19-50318-S
county in northwest guizhou	17-19862-S
county in panjin 盤錦 盘锦	17-29899-S,17-29966-S,45-10854-S,45-10927-S
county in pingxiang 萍鄉 萍乡	1-50707-S,1-50783-S,55-9038-S,55-9168-S,55-37189-S,55-37259-S
county in qiannan buyei and miao autonomous prefecture 黔南布依族苗族自治州	51-16589-S
county in qinghai	3-44695-S,10-24980-S,24-16956-S,36-19695-S,37-19215-S,38-20219-S,65-23017-S
county in qingyuan 清远	5-3882-S,5-3948-S,38-61096-S,38-61164-S,62-19851-S,62-19988-S,62-21149-S,62-21323-S,66-35130-S,66-35200-S
county in qizilsu kyrghiz autonomous prefecture in xinjiang 克孜勒蘇柯爾克孜自治州 克孜勒苏柯尔克孜自治州	65-69128-S,65-69588-S
county in shaanxi	1-32204-S,3-25184-S,5-11367-S,9-66819-S,20-7833-S,20-20187-S,23-57047-S,26-25327-S,35-44577-S,37-51743-S,45-36611-S,51-24453-S,54-35683-S,66-51421-S,68-11896-S,68-12038-S,70-52607-S,71-10918-S,71-10977-S
county in shandong	8-13163-S,14-20785-S,29-59627-S,32-13658-S,34-9398-S,37-46136-S,52-58435-S,54-22659-S,54-23005-S,59-47806-S,63-31366-S,66-31011-S
county in shandong province	21-45667-B
county in shanghai	21-46015-S
county in shangrao 上饒 上饶	1-57648-S,18-55345-S,18-55418-S,23-15064-S,23-15143-S,23-24913-S,23-24986-S,35-7821-S,35-7898-S,42-30023-S,42-30096-S,54-44911-S,54-45210-S,63-35456-S,63-35584-S,64-23954-S,64-24031-S,69-15447-S,69-15518-S
county in shantou 汕头	11-1436-S,11-1683-S
county in shanwei 汕尾	38-24276-S,38-24343-S,66-33466-S,66-33527-S
county in shanxi	3-53493-S,3-53684-S,4-32832-S,12-4787-S,12-41793-S,16-41572-S,21-46432-S,21-58846-S,21-58905-S,25-61076-S,37-2480-S,37-61438-S,37-61499-S,45-1504-S,46-50940-S,49-55299-S,52-61295-S,52-62005-S,53-24988-S,55-1219-S,66-46217-S
county in shaoguan 韶关	3-22306-S,3-22441-S
county in shenyang 沈陽 沈阳	23-1819-S,23-1952-S,37-31225-S,37-31294-S,63-4380-S,63-4459-S
county in shijiazhuan	60-3771-S,60-3837-S
county in sichuan	1-32401-S,3-3200-S,3-9482-S,16-31178-S,19-32180-S,21-39623-S,23-57870-S,24-46717-S,32-24644-S,32-54613-S,34-41699-S,39-1856-S,40-15315-S,42-44358-S,42-56351-S,46-6997-S,47-11313-S,54-6290-S,54-6622-S,54-33316-S,63-36513-S,65-40324-S,66-30470-S,69-43386-S,69-43460-S,70-20402-S,71-35130-S
county in sichuan province	54-46921-S
county in siping 四平	4-51531-S,4-51690-S,4-52001-S,34-17887-S,34-17991-S
county in songyuan 松原	3-24414-S,3-24481-S,9-25338-S,9-25524-S,26-55652-S,26-55714-S,65-14056-S,65-14128-S
county in southern hunan	36-59432-S
county in southern shanxi	70-14535-S
county in southwest hubei	25-2784-S
county in southwest hunan	20-19662-S,20-19732-S
county in taiwan	12-18206-S,12-18342-S
county in tianjin	17-12130-S,30-27455-S,36-51969-S,55-21005-S,67-49941-S,69-26418-S
county in tibet	32-45150-S,36-61115-S,49-27369-S
county in tieling 鐵嶺 铁岭	31-20451-S,31-20525-S,57-22854-S,57-22926-S,65-2905-S
county in tonghua 通化	33-50094-S,33-50157-S,61-13917-S,61-13982-S,62-8529-S
county in xianning 咸宁市	60-6060-S
county in xinjiang	30-52676-S,39-20410-S,39-20467-S,40-34570-S,40-35584-S,40-35641-S,40-38909-S,40-39084-S,40-44153-S,40-44210-S,40-44431-S
county in xinjiang from early 20th century now called wuqia 烏恰縣 乌恰县	40-38909-S,40-39084-S
county in xinjiang on the border with kyrghizstan	65-67514-S
county in xinyang 信陽 信阳	7-8492-S,7-8570-S,13-58701-S,13-58781-S,14-64455-S,14-64525-S,25-5003-S,30-53688-S,38-47627-S,38-47701-S,39-61198-S,39-61278-S,50-57144-S,50-57218-S
county in yichun 宜春	1-57798-S,1-57866-S,18-3624-S,18-3690-S,19-50395-S,19-50459-S,54-47833-S,54-47897-S,64-31044-S,64-31108-S,67-60606-S,67-60671-S
county in yingtan 鷹潭 鹰潭	69-16106-S,69-16180-S
county in yunnan	9-66966-S,9-67033-S,11-1308-S,16-28830-S,17-13718-S,20-18553-S,20-18721-S,20-18885-S,20-19532-S,21-21606-S,21-39092-S,21-46857-S,21-46918-S,31-19611-S,31-49756-S,31-54107-S,37-19533-S,39-26130-S,39-56015-S,40-17048-S,47-0-S,49-10849-S,55-44550-S,57-21027-S,60-41767-S,64-54923-S,67-18927-S,70-52308-S,71-10180-S
county in zhejiang	1-43792-S,1-44032-S,4-20466-S,17-44859-S,21-46088-S,31-53525-S,36-49693-S,38-8476-S,38-8647-S,38-10019-S,52-57075-S,52-57133-S,63-32460-S,71-61785-S,71-61846-S
county in zhuzhou 株洲	40-28725-S
county in zun yi prefecture 遵義 遵义	4-21145-S
county level	50-26375-B
county level city	23-16454-S,23-16510-S,34-30624-S,34-30765-S,50-26421-B
county level city in baicheng 白城	17-14513-S,17-14654-S,37-62577-S,37-62654-S
county level city in baishan 白山	52-58941-S,52-59021-S
county level city in changchun 長春 长春	3-17872-S,3-17957-S,24-26024-S,24-26198-S,34-38595-S,34-38678-S
county level city in changde prefecture 常德	46-10403-S
county level city in chaoyang 朝陽 朝阳	8-26500-S,8-26588-S,10-34601-S,10-34687-S
county level city in deying 德阳 prefecture	50-12691-S,50-12779-S
county level city in ganzhou 贛州 赣州	10-71140-S,10-71225-S,42-62765-S,42-62848-S
county level city in harbin 哈爾濱 哈尔滨	3-50142-S,3-50232-S
county level city in huludao 葫蘆島 葫芦岛	53-23564-S,53-23658-S
county level city in ji an 吉安	3-56323-S,3-56417-S
county level city in jilin prefecture 吉林	34-62264-S,34-62351-S,46-37225-S,46-37310-S,53-31330-S,53-31415-S,56-694-S,56-779-S
county level city in jingdezhen 景德鎮 景德镇	34-48193-S,34-48285-S
county level city in jinhua 金华	51-13525-S,51-13596-S
county level city in jinzhou 錦州 锦州	8-26319-S,8-26404-S,10-35927-S,10-36012-S
county level city in jiujiang 九江	42-61884-S,42-61965-S
county level city in longyan 龍岩 龙岩	1-50461-S,35-46526-S,36-50273-S,39-54836-S,62-20234-S,65-15992-S
county level city in maoming 茂名	5-43515-S,5-43589-S,10-23463-S,10-23541-S,70-14305-S,70-14383-S
county level city in meizhou 梅州	53-24246-S,53-24326-S
county level city in mianyang prefecture 綿陽 绵阳	10-30963-S
county level city in ningbo prefecture	18-3134-S,25-45324-S,69-15238-S
county level city in qingdao 青島 青岛	11-24260-S,11-24339-S,22-40267-S,22-40350-S,52-47857-S,52-47942-S,52-48525-S,52-48612-S,54-40597-S,54-40678-S
county level city in qingyuan 清远	54-3403-S,54-3480-S,62-21431-S,62-21512-S
county level city in shangrao 上饒 上饶	24-28036-S,24-28120-S
county level city in shanwei	66-33999-S
county level city in shanwei 汕尾	66-34068-S
county level city in shaoguan 韶关	4-20300-S,4-20377-S,11-5319-S,11-5400-S,18-39018-S,18-39097-S,30-56488-S,30-56567-S,34-48827-S,34-48906-S,51-16864-S,51-16945-S
county level city in shenyang 沈陽 沈阳	30-50345-S,30-50713-S
county level city in siping 四平	7-53963-S,7-54052-S,67-1575-S,67-1658-S
county level city in tieling 鐵嶺 铁岭	65-31143-S,65-31228-S
county level city in tonghua 通化	34-11339-S,34-11427-S,66-57381-S,66-57454-S
county level city in weihai 威海	3-22011-S,3-22086-S,30-29769-S,30-29846-S,34-41084-S,34-41165-S
county level city in xianning 咸宁市	60-5737-S,60-5971-S
county level city in yanbian korean autonomous prefecture 延邊朝鮮族自治州 延边朝鲜族自治州	13-25852-S,13-26000-S,15-25328-S,15-25473-S,19-25478-S,19-25622-S,30-10241-S,30-10389-S,36-64001-S,36-64153-S,42-60345-S,42-60495-S,71-57240-S,71-57392-S
county level city in yantai 煙台 烟台	27-44144-S,27-44230-S,34-24288-S,34-24368-S,38-26175-S,38-26259-S,54-39550-S,54-39634-S,54-40770-S,54-40854-S,55-8196-S,55-8280-S,65-13813-S,65-13899-S,71-58184-S,71-58268-S
county level city in yichun 宜春	34-57381-S,34-57460-S,59-19968-S,59-20049-S,70-13069-S,70-13143-S
county level city in yingkou 營口 营口	17-29144-S,17-29263-S,55-5349-S,55-5434-S
county level city in yingtan 鷹潭 鹰潭	59-43459-S,59-43540-S
county level city in zhoukou 周口	68-21418-S,68-21502-S
county level district in northeast beijing municipality	38-21760-S
county level district of beijing municipality	17-32770-S,21-42155-S,22-45150-S,26-1017-S,26-26861-S,31-20754-S,33-16796-S,46-6502-S,57-14525-S,65-24223-S,68-26368-S
county level division	9-32145-S
county magistrate	6-5839-S
county near hami in xinjiang	22-9541-S,22-9636-S
county near kashgar	44-1717-S
county near kashgar in xinjiang	44-3405-S
county of beijing municipality	20-6389-S,23-17547-S
county of chifeng 赤峰	20-16902-S,20-16973-S,33-34981-S,33-35045-S
county of southwest england	24-8318-S
county of zhaotong prefecture in yunnan	21-60456-S
county s head commisioner	50-26483-B
county seat	50-26315-B
county shache in kashgar prefecture	54-22310-S,54-22389-S
county sichuan	13-51217-S
county tibetan	69-39786-S
county town	50-26315-B
county 伊通滿族自治縣 伊通满族自治县	4-51830-S,4-52099-S
county 寧洱哈尼族彝族自治縣 宁洱哈尼族彝族自治县	20-18553-S,20-18885-S,31-49569-S,31-49923-S
county 徽州	4-55547-S,4-55621-S
county 杞縣 杞县	33-11063-S
county 汶川县	1-37471-S
county 淇縣 淇县	32-48226-S
county 理縣 理县	67-6025-S
county 秭歸縣 秭归县	21-19890-S
county 臨猗縣 临猗县	4-35337-S
county 興安 兴安	53-24114-S,67-52568-S
couny in shandong	39-30577-S,39-30986-S
coup	11-56171-S
coup d etat against emperor wu of han 漢武帝 汉武帝	21-63021-S
coup d état	29-57948-B
coup happening on one s doorstep	59-10542-S
coup of 12th april 1927	14-45708-S
coup of 12th april 1927 against the communists in shanghai	14-45479-S
coup of 12th mar 1927	14-45618-S
coup of 12th mar 1927 by chiang kai shek against the communists	14-45852-S
coup of june 626 in early tang	42-27932-S
couple	1-7096-B,1-7140-S,2-47441-S,8-51836-S,17-63047-S,20-46157-B,26-26175-S,28-20045-B,30-46760-S,43-46166-S,45-31851-S,51-25688-S,70-54356-S
couple allowed dispensation to have second child	66-67491-S
couple of	5-53648-S
couple of times	7-43228-S
coupled device electronics	67-35840-S
coupled phrases as rhetorical device	20-47024-B
coupled with duty to avenge	25-1673-S
couplet	20-54845-S,28-970-S
couplets	31-35351-S
coupling phys 	51-38817-B
coupon	6-57824-B,25-4938-S,25-4938-S,52-10587-S,60-0-B
coupon loan word	63-44489-B
coupons for food or grain used in a prc economic program c 1955 1993	49-211-B
courage	9-66402-B,27-70166-S,46-26333-S,52-50455-B,52-50664-B,70-33655-B
courage and determination	18-18181-S
courage and resource	52-50903-B
courage and strength	9-66067-B
courage of one s convictions	27-70445-S,27-70599-S,42-56035-S
courage to	30-6634-S
courage to accept the consequences of his actions	30-6343-S
courageous	6-51807-B,31-18486-B,32-38967-B,33-36681-B,36-30129-B,51-12439-B,51-12439-S
courageous enough to take responsibility for it	30-6343-S
courageous person	18-28913-S
courageous spirit	70-563-B
courageously 成语 saw	57-30610-S
courier	62-17356-B
course	1-8894-S,8-47943-S,9-55105-S,14-64047-S,16-746-S,17-14431-S,17-52669-S,18-4547-S,19-18931-B,20-21415-S,24-40984-S,24-41034-S,24-41034-S,30-3830-S,31-40466-S,31-42729-S,32-61123-S,32-65670-S,32-65670-S,33-7900-S,35-53017-B,38-5163-B,39-65152-S,40-56204-S,42-51476-S,42-52851-S,42-55266-S,43-50533-S,43-50533-S,43-51088-S,43-51088-S,43-67747-S,48-58432-S,49-62340-B,51-69447-S,53-33694-B,58-34733-B,58-54606-S,60-1395-S,60-43543-B,60-43543-S,60-61788-B,61-9321-S,61-26340-S,61-54788-S,62-14284-S,62-14284-S,62-14284-S,62-16822-S,62-16822-S,62-30246-B,62-69996-S,63-16706-S,65-42311-S,67-21480-S,68-22053-S,68-23325-S,70-18283-S,70-18432-S
course and follow it 成语 saw	29-18794-S
course credit	19-16933-B
course entrance exams	51-33807-S
course for training troops	60-28132-S
course in college	68-29876-S
course in school	62-69996-S,62-70085-S
course of a journey	56-34373-S
course of a river	1-61322-S,37-21467-B
course of action	5-7796-B,46-26482-S
course of an event from beginning to end	32-64546-S
course of an expedition	23-64602-B
course of development	37-27875-B,60-43346-S,63-55178-B
course of disease	44-12038-B
course of events	27-62952-S,27-63320-S,41-8490-S,62-47815-B
course of history	56-34373-S
course of lectures	58-54550-S
course of production	43-27581-B
course of stars	60-54065-B
course of sth	9-11027-S
course of study	30-3830-B
course of the road to heaven	17-54092-S
course of time	17-47899-B
course the liver and rectify qi4 traditional chinese medicine	44-2929-S
course to follow 成语 saw	40-53763-S
course to leeward	1-64728-S
course to take	1-66512-S
course 成语 saw	4-42308-S
courses	63-1358-S
courses in the major subject	3-6895-S
court	8-39492-S,10-55796-S,11-6236-B,12-42854-S,15-41630-S,15-41630-S,20-20557-S,20-22102-S,20-54513-S,20-54638-S,21-2340-S,21-51062-S,23-327-B,28-38720-S,30-2553-S,32-21788-S,32-21892-S,32-47135-S,32-47765-B,32-48623-S,36-20175-S,37-35290-B,42-51476-B,44-62034-S,48-21489-S,48-42088-S,50-6347-S,50-24649-S,50-63356-S,51-47597-S,52-0-S,52-54011-S,56-51080-S,58-41519-S,59-6839-S,59-44809-S,63-1288-S,65-32354-S,66-20444-S,69-22103-S,70-23266-S
court a rebuff	53-13907-S
court academician in feudal china	11-6449-B
court and the ordinary people	32-49052-S
court appearance	8-39492-B
court as government of china	38-60524-S
court as the hub of centralized government	2-73944-S
court audience	52-58504-S
court case	35-12856-S
court death	26-59773-S
court disaster 成语 saw	69-12555-S,69-12695-S
court dress	57-8798-S
court eunuch	17-59883-B
court examination	23-20016-B,36-2434-B
court formula of humility	58-29127-S
court hearing	23-475-B
court in former times	20-54513-S
court justice	17-24810-S,17-24810-S
court martial	60-63185-B
court of assizes	21-51062-B
court of final appeal	49-35336-B
court of imperial stud	17-56019-B
court of justice	15-17743-S,35-29629-S
court of king or emperor	19-57571-B
court of law	4-12847-S,7-59199-S,9-2711-S,19-54036-S,37-31375-B,37-35290-B
court of the united states	51-4213-S
court official	18-25354-S
court officials	18-61634-S
court painter for 50 years	63-21240-S
court recorder	12-21328-B
court session	65-34299-S
court settlement	23-415-S
courteous	23-56964-S,32-37818-B
courtesan	12-55316-S,57-44242-B,57-44554-B
courtesan li wa	33-1707-S
courtesy	47-9208-B,48-21109-S,60-2946-S
