embarrassing to do sth	2-3813-S
ergu na zuoqi place in inner mongolia	68-43876-S
erhai lake	37-62779-B
erhlin town in taiwan	3-36465-S
erhlun village in taiwan	3-35485-S
erhshui village in taiwan	3-39015-S
erhu	3-41081-B,4-2815-S
erhu qi place in inner mongolia	66-27350-S
erhu youqi place in inner mongolia	30-47495-S
erhu zuoqi place in inner mongolia	30-47615-S
erhua	37-26491-S
erhua variant of 一下	1-556-B
erhua variant of 一個勁 一个劲	1-2287-B
erhua variant of 一塊 一块	1-5275-B
erhua variant of 一大早	1-5913-B
erhua variant of 一點 一点	1-23595-B
erhua variant of 上邊 上边	1-56710-B
erhua variant of 下邊 下边	1-63711-B
erhua variant of 不大離 不大离	2-3147-B
erhua variant of 事	3-29331-B
erhua variant of 倒背手	5-60165-B
erhua variant of 兜	7-23041-B
erhua variant of 兩頭 两头	7-48323-B
erhua variant of 出尖	8-38513-B
erhua variant of 刨根	9-5237-B
erhua variant of 前半天	9-18837-B
erhua variant of 前半晌	9-19001-B
erhua variant of 前邊 前边	9-25069-B
erhua variant of 北邊 北边	10-35516-B
erhua variant of 半開門 半开门	10-61424-B
erhua variant of 南邊 南边	11-4341-B
erhua variant of 反面	11-55774-B
erhua variant of 右邊 右边	12-23615-B
erhua variant of 合轍 合辙	12-37960-B
erhua variant of 名角	12-58455-B
erhua variant of 哥們 哥们	13-42231-B
erhua variant of 坎肩 坎肩	15-50439-B
erhua variant of 夜宵	17-842-B
erhua variant of 夾當 夹当	17-71234-B
erhua variant of 奔頭 奔头	18-7669-B
erhua variant of 奶嘴	18-23765-B
erhua variant of 寬心丸 宽心丸	20-25917-B
erhua variant of 寶貝 宝贝	20-30790-B
erhua variant of 對心 对心	20-49800-B
erhua variant of 小孩	20-63049-B
erhua variant of 小攤 小摊	20-64873-B
erhua variant of 小時候 小时候	20-65314-B
erhua variant of 小白臉 小白脸	20-68184-B
erhua variant of 左邊 左边	21-59504-B
erhua variant of 差不離 差不离	21-63853-B
erhua variant of 差點 差点	22-1262-B
erhua variant of 帶 带	22-28042-B
erhua variant of 年頭 年头	22-50665-B
erhua variant of 快點 快点 to do sth more quickly	24-49645-B
erhua variant of 恐怖片	24-69050-B
erhua variant of 惡名 恶名	25-19860-B
erhua variant of 打嗝	26-41878-B
erhua variant of 打盹	26-47209-B
erhua variant of 打頓 打顿	26-50414-B
erhua variant of 抄近	26-64595-B
erhua variant of 拐彎 拐弯	27-30793-B
erhua variant of 拔火罐	27-33910-B
erhua variant of 拘攣 拘挛	27-38779-B
erhua variant of 挎兜	27-63905-B
erhua variant of 挑毛剔刺	27-65529-B
erhua variant of 挑頭 挑头	27-66636-B
erhua variant of 挨個 挨个	27-67847-B
erhua variant of 挨邊 挨边	27-69095-B
erhua variant of 掉價 掉价	28-13010-B
erhua variant of 探頭探腦 探头探脑	28-24538-B
erhua variant of 搭茬	28-60615-B
erhua variant of 料頭 料头	30-35697-B
erhua variant of 旁邊 旁边	30-67885-B
erhua variant of 旮旯	31-16891-B
erhua variant of 替班	32-17806-B
erhua variant of 替角 替角	32-18312-B
erhua variant of 東邊 东边	33-24875-B
erhua variant of 水餃 水饺	36-47961-B
erhua variant of 消閑 消闲	38-33116-B
erhua variant of 消食	38-34286-B
erhua variant of 混名	38-53865-B
erhua variant of 癮頭 瘾头	44-22284-B
erhua variant of 白眼珠	44-43087-B
erhua variant of 碑座 碑座	46-28381-B
erhua variant of 空心	47-46698-B
erhua variant of 笑臉 笑脸	48-4907-B
erhua variant of 等一下	48-17402-B
erhua variant of 等一會 等一会	48-17555-B
erhua variant of 紀錄片 纪录片	49-3550-B
erhua variant of 紋絲 纹丝	49-14938-B
erhua variant of 紋縷 纹缕	49-15124-B
erhua variant of 紙馬 纸马	49-23503-B
erhua variant of 羅圈 罗圈	50-56390-B
erhua variant of 羅鍋 罗锅	50-62483-B
erhua variant of 老伴	51-25363-B
erhua variant of 老客	51-27440-B
erhua variant of 聊天 聊天	51-43607-B
erhua variant of 聽牆根 听墙根	52-898-B
erhua variant of 花	53-54455-B
erhua variant of 著邊 着边	54-56062-B
erhua variant of 藥水 药水	55-34432-B
erhua variant of 裡邊 里边	57-2381-B
erhua variant of 西邊 西边	57-23313-B
erhua variant of 討底 讨底 to enquire	57-62985-B
erhua variant of 認人 认人	58-19883-B
erhua variant of 認死理 认死理	58-20839-B
erhua variant of 變樣 变样	59-9946-B
erhua variant of 貝殼 贝壳	59-30005-B
erhua variant of 走味	60-10611-B
erhua variant of 起名	60-16350-B
erhua variant of 蹦	60-50918-B
erhua variant of 蹦高	60-51448-B
erhua variant of 轉軸 转轴	61-28939-B
erhua variant of 轉鈴 转铃	61-29946-B
erhua variant of 迎頭 迎头	61-46296-B
erhua variant of 追根究底	61-58694-B
erhua variant of 逗笑	62-4348-B
erhua variant of 這邊 这边	62-6247-B
erhua variant of 重活 重活	63-61573-B
erhua variant of 錢串 钱串	64-44237-B
erhua variant of 鑽勁 钻劲	65-8872-B
erhua variant of 閃亮 闪亮	65-24671-B
erhua variant of 開花 开花	65-41124-B
erhua variant of 隱身草 隐身草	66-50086-B
erhua variant of 零雜 零杂	67-21952-B
erhua variant of 露餡 露馅	67-48372-B
erhua variant of 頭半天 头半天	68-36629-B
erhua variant of 頭臉 头脸	68-39446-B
erhua variant of 餡 馅	69-17939-B
erhua variant of 餡餅 馅饼	69-17996-B
erhua variant of 鹹津津 咸津津	71-4012-B
erhua variant of 鹹絲絲 咸丝丝	71-4262-B
erhua variant of 麵條 面条	71-13797-B
erhua variant of 點 点	71-38290-B
erhuang	3-40586-B,3-44111-B
ericsson	25-37237-B
eridanus constellation	37-39767-B
erinaceidae	56-7490-S
eriobotrya japonica	33-31676-S
eriocheir sinensis	49-49765-S
eristalis tenax	56-12051-B
eritrea	11-28970-B
eriugena	25-36894-B
erkang place in sichuan	69-39710-S
erlangen program 1872 on geometry and group theory	15-59655-S
erlangen town in bavaria	15-59574-B
erle city in xinjiang	22-66544-S
erlian basin in inner mongolia	3-42006-B,3-42414-B
erlian in inner mongolia	3-42070-S
erlianensis a giant bird like dinosaur found in erlian in inner mongolia	3-42070-S
erlianhaote city in inner mongolia	3-42225-B,3-42314-B
erlitou archeological site at yanshi	3-41520-B
ermitazh museum in st peterburg	53-48248-S
ermu city in qinghai	33-67778-S
ernest hemingway american novelist	38-20031-B
ernst engel	25-2930-B
ernst mach 1838 1916	69-42329-B
erode	5-27939-S
eroded by ice	8-19769-B
eroded rock making up sediment	36-4637-S
eros	2-43022-B,11-28641-B,25-37091-B
erosion	5-27992-B,38-12115-S,38-23624-S,38-32102-B,46-40759-B,56-6994-B,66-54258-S
erosion by wind etc	68-53724-B
erosus	59-17984-S
erotic	25-15523-B,48-47747-B,53-44679-B,53-46186-B
erotic verse	53-46340-B
eroticism	24-61971-B
erqin youyi zhongqi place in inner mongolia	47-19824-S
erqin zuoyi houqi place in inner mongolia	47-20102-S
erqin zuoyi zhongqi place in inner mongolia	47-19963-S
err	21-63306-S,23-24450-S,42-3203-S,60-49707-B
errand	5-28478-S,21-63941-B,22-740-S
errand boy	69-34473-B
errands	18-6898-S,60-36095-S
errant	5-42194-S,5-42263-S,5-42310-S,62-36363-S,62-36410-S
errant 俠客 侠客 in fiction	60-54554-S
errantry	5-42723-S
errants and five righteous one	1-30531-S
errata to a publication	57-57303-B
erroneous	53-31821-B,58-58311-B,61-54969-B
erroneous form of 已經 已经 already	22-1923-S
erroneous form of 朱鎔基 朱镕基	32-68605-S,32-69001-S
erroneous form of 百度	44-54775-S
erroneous form of 臭氧	53-15920-B
erroneous judgment	64-47761-B
erroneous reading of character	58-30682-B
erroneous tendencies leftist or revisionist deviation	6-11593-B
erroneous variant of 候選人 候选人	5-26596-B
erroneous variant of 天秤座	17-48344-B
erroneous variant of 滌綸 涤纶	49-48182-B
erroneous variant of 祆 xian1 ormazda	46-51389-S
erroneous variant of 義和團 义和团	59-3214-B
erroneous variant of 覈銷 核销	33-63150-B
erroneous variant of 陝西 陕西 shaanxi	66-19223-B
erroneous variant of 陰蒂 阴蒂 clitoris	66-23971-B
erroneous version of 如火如荼 tu2 成语 saw	18-30946-S
erroneous views	58-58671-B
erroneously	4-38004-S
erroneously for konghou 箜篌 harp or 笙簧 sheng	48-24935-S
erroneously for xun2 尋 寻	29-5458-S
erroneously for 作為 作为	6-15435-S
erroneously for 反應 反应	11-50158-S
erroneously for 狻	59-27837-S
erroneously for 白羊座	41-50966-S
erroneously for 絮 xu2	55-15136-S
erroneously for 肏	29-20480-S
erroneously for 貌	59-27837-S
erroneously for 陝 陕 shaanxi	66-19113-S
erroneously for 魔羯座	29-2280-S
error	6-15715-S,7-59351-S,8-46377-B,20-26125-S,21-63306-B,22-547-B,29-61657-B,43-52896-S,45-40207-B,49-1753-S,49-20988-B,51-65930-S,58-215-B,58-22541-S,58-26518-S,58-29973-B,58-30213-B,58-30318-B,58-58454-B,58-58746-B,60-49707-B,61-54969-B,62-56603-B,64-47626-B,64-48700-B,68-48066-S,69-17274-S
error against mao s line during the 1930s	8-12007-S
error in computing	62-41296-S
error in data transmission	22-795-B,22-795-B
error message computing	8-46434-B
error of grammar in english	15-54699-S
error of judgement	45-39717-S,58-30556-S
error of judgment	60-12749-S
error or crime	19-45219-S
error passed on for a long time may be taken for the truth	47-40710-S
errors	9-50603-S,10-3453-S,24-56513-S,30-31813-S,58-43470-S,59-5244-S,64-610-S
errors are pointed out	51-57365-S
errors e g of translation	58-338-S
