jing hai	69-64005-B
jiu3 jia1	63-39372-B
jiu3 jiao1 chou2	6-1608-S
jiu3 jing1	63-40405-B
jiu3 jing1 xing4	63-40475-B
jiu3 jing1 yin3 liao4	63-40542-B
jiu3 jiu3 cheng2 fa3 biao3	3-17679-B
jiu3 kou4	1-42832-S
jiu3 lang2	63-39652-B
jiu3 lei4	37-4124-S
jiu3 li4	32-38676-S
jiu3 liang4	63-40955-B
jiu3 ling4	47-1662-S
jiu3 liu2	1-34868-S,3-20129-B
jiu3 lou2	63-39895-B
jiu3 lu:4	41-25531-S
jiu3 mian4 ti3	3-20745-B
jiu3 nian2	1-1265-S
jiu3 niu2 er4 hu3 zhi1 li4	3-20205-B
jiu3 pi2 jiu3	41-28647-S
jiu3 qian2	1-66101-S
jiu3 quan2	3-20036-B
jiu3 ri4 yi4 Shan1 dong1 xiong1 di4	3-19248-S
jiu3 rou4 peng2 you5	63-40681-B
jiu3 san1 xue2 she4	3-17609-B
jiu3 se4	37-6297-S
jiu3 sheng1 liu4 diao4	3-20412-B
jiu3 shi2	1-35002-S,3-17832-B,44-50986-S,48-10608-S
jiu3 shi2 suan1	63-40252-B
jiu3 shi4 bing1 quan2	33-13968-S
jiu3 si3 yi1 sheng1	3-19538-B
jiu3 si4	63-40606-B
jiu3 si4 jiu3 nian2	1-1265-S
jiu3 suan1 bu4 shou4	63-40807-B
jiu3 sui4	10-42392-S
jiu3 tian1	1-29671-S
jiu3 tian1 chang2	15-38443-S
jiu3 tu2	63-39749-B
jiu3 wei2	3-10011-B
jiu3 wei3 gui1	3-18724-B
jiu3 wo1	63-40366-B
jiu3 xing4	27-56195-S,36-48496-S
jiu3 xing4 du2 ji4	27-56250-S
jiu3 xu1 dian4 lu4	36-48626-S
jiu3 yan4	63-39326-B
jiu3 ye4	63-51850-S
jiu3 yi1 ba1 shi4 bian4	3-17360-B
jiu3 yi3	13-19952-S
jiu3 yuan3	3-10079-B,35-51947-S
jiu3 yue4	3-19193-B
jiu3 yue4 fen4	3-19472-B
jiu3 yue4 jiu3 ri4 yi4 Shan1 dong1 xiong1 di4	3-19248-B
jiu3 zhai4 gou1	3-18408-B
jiu3 zhe2	3-19144-B
jiu3 zhi1	3-9791-S
jiu3 zhi1 ji1	30-34152-S
jiu3 zhong1	63-40201-B
jiu3 zi1 shi4	63-41442-S
jiu3 zi3	71-61068-S
jiu3 zui4	63-40906-B
jiu4	2-27077-S,4-24555-S,4-42763-S,5-25622-S,5-53831-S,6-51389-B,7-30193-S,9-49014-S,10-58009-S,12-5037-S,13-26215-B,14-8456-S,14-60267-S,19-22230-S,21-8874-B,23-4461-B,23-5901-B,23-5942-B,23-9582-S,23-28402-S,24-8269-S,24-15954-S,24-58936-S,25-43892-S,26-1509-S,26-9585-S,27-10469-S,27-48098-S,28-713-S,28-1982-B,28-51207-S,28-56282-S,28-59652-S,28-62343-S,29-16485-S,29-61117-S,29-63233-B,30-721-S,31-4488-S,31-13500-S,33-47171-B,34-8025-B,35-53731-S,36-54241-S,40-36588-S,41-9208-S,41-31388-S,41-63235-S,42-23813-S,44-5470-B,46-19963-S,50-52184-S,52-35277-S,53-21137-B,53-21530-B,53-27838-B,56-57336-S,57-50096-S,62-17987-S,62-69359-S,66-29213-S,67-51878-S,69-37236-S,71-769-B
jiu4 ban1	27-62527-S
jiu4 ban3	53-28590-B
jiu4 ban4	21-9355-B
jiu4 bi4	33-11667-S,56-56545-S
jiu4 bian4	21-9408-B
jiu4 bu4 qi4	29-61161-S
jiu4 bu5 liao3 jin4 huo3	62-61757-S
jiu4 can1	21-11012-B
jiu4 che1 shi4 chang3	53-29217-B
jiu4 cheng1	53-28995-B
jiu4 chi3	9-23313-S,53-21166-B
jiu4 chu1	29-63641-B
jiu4 ci3	21-10204-B
jiu4 cuo4	20-37489-S
jiu4 dao4	21-10948-B,58-32565-S
jiu4 di4	21-9488-B,53-28076-B
jiu4 di4 chong2 you2	53-28143-B
jiu4 du2	21-10836-B
jiu4 en1	29-63847-B
jiu4 en1 ji4 hua4	29-63889-B
jiu4 er2 tong2	28-774-S
jiu4 er2 yan2	21-11053-B
jiu4 fan4	21-10310-B
jiu4 fo2	2-23068-S
jiu4 fu4	53-21706-B
jiu4 gan3	26-1584-S
jiu4 hao3	63-55960-S
jiu4 hu4	29-64977-B
jiu4 hu4 che1	29-65037-B
jiu4 huang2 li5	53-28827-B
jiu4 huo2	29-64502-B
jiu4 huo3	27-13649-S
jiu4 ji4	29-64557-B,56-33038-S
jiu4 ji4 si1	29-64721-S
jiu4 ji4 wang3	2-1605-S
jiu4 jian3	14-62332-S
jiu4 jin4	21-10884-B
jiu4 jiu5	53-21771-B
jiu4 ke1	71-845-B
jiu4 lao1 ju2	29-64088-B
jiu4 li3	21-10699-B
jiu4 meng4	63-61797-S
jiu4 min2 zhu3 zhu3 yi4 ge2 ming4	53-28431-B
jiu4 ming4	29-63745-B
jiu4 mu3	53-21622-B
jiu4 mu4	21-9998-B
jiu4 nan2	29-65194-B
jiu4 niao3	71-910-B
jiu4 pai4	19-22289-S
jiu4 ping2 zhuang1 xin1 jiu3	53-28635-B
jiu4 qin2	21-9661-B,33-11573-S
jiu4 qin3	21-9540-B
jiu4 qin3 shi2 jian1	21-9597-B
jiu4 qing1	63-7636-S
jiu4 ren2	37-24894-S
jiu4 ren4	21-9296-B
jiu4 sao3	53-21567-B
jiu4 sheng1 fa2	29-64854-B
jiu4 sheng1 yi1	29-64910-B
jiu4 shi2	53-28295-B
jiu4 shi2 dai4	53-28359-B
jiu4 shi2 qi4 shi2 dai4	53-28904-B
jiu4 shi4	3-21532-S,5-53869-S,21-9715-B,29-63283-B,53-28252-B,63-59111-S
jiu4 shi4 jun1	29-63399-B
jiu4 shi4 li4 liang5	15-28946-S,45-64342-S
jiu4 shi4 lun4 shi4	21-9175-B
jiu4 shi4 shuo1	3-21588-S,21-9859-B
jiu4 shi4 zhu3	29-63326-B
jiu4 shu2	29-65090-B,69-49464-S
jiu4 shu2 zhu3	29-65141-B
jiu4 suan4	21-10255-B
jiu4 tu2 xin1	34-18590-S
jiu4 wan3 le5	21-9927-B
jiu4 wang2	29-63564-B
jiu4 wang2 tuan2 ti3	27-5213-S
jiu4 wang2 yun4 dong4	27-5334-S
jiu4 xi2	66-29335-S
jiu4 xing1	29-64167-B
jiu4 xu1	63-6878-S
jiu4 xu4	21-10364-B
jiu4 yao4	1-76871-S,40-47895-S
jiu4 ye4	21-10059-B
jiu4 ye4 lu:4	21-10146-B
jiu4 yi1	5-35037-S
jiu4 yi4	21-10411-B
jiu4 yuan2	4-17558-S,29-63960-B,65-59887-S
jiu4 yuan2 dui4	29-64031-B
jiu4 yue1	53-29067-B
jiu4 zai1	29-64643-B
jiu4 zai1 jiu4 ji4 si1	29-64721-B
jiu4 zai1 zhi3 hui1 bu4	27-7852-S
jiu4 zhan4	24-58998-S
jiu4 zhang1	42-29133-S
jiu4 zhen3	21-10763-B
jiu4 zhi2	21-10494-B
jiu4 zhi2 dian3 li3	21-10553-B
jiu4 zhi2 yan3 jiang3	21-10621-B
jiu4 zhi4	29-64432-B
jiu4 zhu3	29-63524-B
jiu4 zhu4	29-63686-B
jiu4 zi5	17-32634-S,20-69817-S
jiu4 zuan1	57-30307-S
jiu5	20-36775-S,47-51829-S,53-21771-S,58-54974-S
jià	1-30860-S,1-39952-S,1-60459-S,3-29097-S,4-30474-S,4-55377-S,4-59450-S,4-67508-S,5-20207-S,5-26000-B,5-41808-S,6-5499-B,6-52852-B,8-8727-S,8-35244-S,8-38153-S,8-39641-S,9-17675-S,9-28216-S,9-39249-S,9-51384-S,10-6449-S,10-11236-S,10-11858-S,10-20772-S,10-37693-S,10-46044-S,10-55085-S,11-22609-S,11-41965-S,12-16965-S,13-2587-S,13-53983-S,14-8620-S,14-11628-S,14-17181-S,16-8825-S,16-28712-S,16-31363-S,16-32623-S,17-39128-S,18-53701-S,18-57650-B,19-40582-S,19-43802-S,20-9053-S,20-44458-S,20-47267-S,21-20401-S,21-63992-S,22-11785-S,22-37561-S,22-63628-S,23-4850-S,23-64756-S,26-7624-S,26-26253-S,26-45769-S,26-51985-S,26-56868-S,27-42533-S,28-12924-S,28-37107-S,28-60450-S,29-38657-S,29-38753-S,29-41699-S,29-48954-S,29-61917-S,30-8822-S,31-32758-S,31-44560-S,31-59319-S,32-11168-S,33-39414-B,34-1224-S,34-3986-S,34-22494-S,34-23229-S,34-43813-S,34-50493-S,34-52319-S,34-53446-S,36-5876-S,36-9438-S,37-22053-S,38-66856-S,39-2079-S,39-53912-S,40-46746-S,41-35564-S,41-45706-S,41-53131-S,41-55945-S,42-50924-S,43-31224-S,44-8645-S,45-29578-S,47-36111-B,47-42538-S,48-316-S,48-15238-S,49-33533-S,49-55819-S,50-5853-S,50-31869-S,50-43941-S,51-65228-S,52-9968-S,52-43313-S,53-6592-S,56-42419-S,57-25137-S,57-62243-S,58-3514-S,58-7204-S,58-35506-S,58-40780-S,58-42282-S,59-3100-S,59-7132-S,59-37579-S,59-44942-S,60-15954-S,60-18038-S,60-34201-S,61-22363-S,62-17648-S,62-28909-S,62-38753-S,63-9606-S,63-37454-S,63-56137-S,63-60270-S,64-39502-S,64-39594-S,65-11850-S,65-30212-S,66-16940-S,66-18349-S,66-23189-S,66-33289-S,67-25703-S,68-20490-S,69-49135-B,70-462-S,70-11758-S,70-16186-S
jià 5r	28-13010-S
jià bēng	69-49194-B
jià chuáng	29-23082-S
jià chē	69-49415-B
jià céng	6-53313-B
jià diàn zǐ	6-53762-B
jià fēn lèi	58-7260-S
jià gé	2-31214-S,6-53431-B,36-6313-S,57-32973-S
jià gé biāo qiān	6-53469-B
jià gé biǎo	6-53535-B
jià gé zhǐ shù	21-18847-S,38-32271-S
jià gé zi	34-22548-S
jià gòu	1-27517-S,33-39616-B,50-9562-S
jià gōng yuē	51-58855-S
jià huán jià	57-62243-S
jià huò yú rén	18-57952-B
jià hè chéng xiān	69-50084-B
jià hè xī yóu	69-50179-B
jià jiàn	6-53715-B,7-70589-S
jià jiāo huàn	2-23588-S
jià jiē	18-57884-B
jià jī suí jī	18-58090-B
jià kuǎn	6-53590-B
jià lín	69-49311-B
jià lín qū	46-61662-S
jià mù	6-53629-B
jià néng	29-62035-S
jià qian	6-53676-B
jià qí qū	2-48124-S
jià qī	6-8479-B,56-4731-S
jià qīn zhēng	24-12606-S
jià qīng jiù shú	69-49464-B
jià qǔ	18-57843-B
jià rén	18-57693-B
jià rì	6-8423-B
jià shi	33-39490-B
jià shǐ	40-46185-S,69-49740-B
jià shǐ cāng	69-49955-B
jià shǐ rén	69-49782-B
jià shǐ yuán	69-49831-B
jià shǐ zhèng	69-50022-B
jià shǐ zhí zhào	69-49882-B
jià tiáo	6-8583-B
jià xué huì	9-35543-S
jià yuán	6-53205-B
jià yù	67-13883-S,69-49688-B
jià zhuāng	18-57752-B
jià zhào	69-49260-B
jià zhí	3-69230-S,5-14528-S,6-52957-B,9-29995-S,12-57939-S,13-58491-S,32-29975-S,41-32647-S,55-34799-S
jià zhí guān	6-53147-B
jià zhí gōng chéng	6-53071-B
jià zhí zēng zhí	6-53002-B
jià zhēn zhū	40-46872-S
jià zhī bǎo	40-46799-S
jià zhǐ shù	41-53182-S
jià zi	19-42024-S,28-59691-S,33-39558-B,53-16747-S,70-2357-S
jià zuò	50-41867-S
jià zǐ	29-30092-S
jiàn	1-49910-S,2-28031-S,2-83633-S,3-4048-S,3-28870-S,3-57117-S,3-63507-S,4-41175-B,4-65442-S,4-65871-S,5-10157-S,5-34581-S,5-42961-S,5-47570-S,5-50854-B,6-1937-S,6-9696-S,6-13254-S,6-17990-B,6-21750-S,6-22039-S,6-28235-S,6-32733-S,6-39333-S,6-51245-B,6-51887-B,6-53715-S,6-60994-S,6-61560-S,7-387-S,7-4271-S,7-5703-S,7-13552-S,7-21352-S,7-62748-S,7-66951-S,7-70589-S,8-2441-S,8-9890-S,8-47801-S,9-5844-S,9-14997-S,9-18183-S,9-20638-S,9-20875-S,9-27434-S,9-29591-B,9-36337-S,9-37374-S,9-43649-B,10-12952-S,10-23284-S,10-56373-S,10-62279-S,10-66418-S,11-40282-S,11-48563-S,11-55489-S,11-69536-S,12-10157-S,12-16433-S,12-29047-S,12-29502-S,12-29586-S,13-35343-S,13-49179-S,14-9089-S,14-34870-S,14-51842-S,14-57691-S,14-57893-S,14-64141-S,15-4105-S,15-53526-S,15-56199-S,15-68687-S,16-44883-S,17-16180-S,17-59293-S,17-59883-S,18-26429-S,18-46410-S,19-52427-S,20-177-S,20-3399-S,20-15436-S,20-29002-S,20-33156-S,20-35808-S,20-68012-S,21-4982-S,21-5226-S,21-7081-S,21-26598-S,21-31386-S,21-51446-S,22-15274-S,22-32014-S,22-50114-S,22-50157-S,23-1417-S,23-18404-S,23-20176-B,23-25908-S,23-30579-S,23-42651-S,24-1970-S,24-13345-S,24-21908-S,24-27504-S,24-41849-S,25-30108-S,25-32074-S,25-60825-S,26-11825-S,26-16974-S,26-20132-S,26-20819-S,26-29712-S,26-56782-S,26-60896-S,26-64014-S,27-40519-S,27-46438-S,27-55932-S,27-63450-S,27-65192-S,28-27803-S,28-31835-S,28-43201-S,28-59401-S,29-10089-S,29-19236-S,29-29001-S,29-44266-S,29-57741-S,30-6930-S,30-9778-S,30-22339-S,30-25626-S,30-48404-S,30-48455-S,31-3414-S,31-10180-S,31-22927-S,31-62495-S,32-24712-S,32-37053-S,32-52556-S,32-62040-S,33-6025-S,33-54868-B,33-55207-S,33-55772-S,33-59830-S,33-63218-S,34-4092-S,34-13909-S,34-30077-B,34-43319-S,34-43425-S,35-3188-S,35-16024-B,35-66567-S,36-540-S,36-17261-B,36-35159-S,37-1659-S,37-49421-B,37-58199-S,38-32433-S,38-46578-S,38-57618-S,38-63425-S,39-55344-B,39-55606-S,40-634-B,40-11949-B,40-13743-S,40-16812-B,40-23723-S,40-26748-S,40-63334-S,41-41899-S,41-52935-S,41-55243-B,42-44223-B,42-59878-S,43-38925-S,43-63027-S,44-26295-S,44-55966-S,45-8888-B,45-15041-S,45-24681-S,45-37665-S,45-38506-S,45-39443-S,45-43960-S,45-51918-S,45-56201-S,45-60296-B,45-65843-S,46-2077-S,46-16321-S,46-16796-S,46-25049-S,46-31566-S,47-4262-S,47-36470-S,47-41583-S,47-45553-S,47-53670-S,48-27609-B,48-42592-S,49-7861-S,49-38272-S,49-51830-S,50-14399-S,50-50887-S,51-10544-S,52-373-S,52-1479-S,52-5090-S,52-7797-S,52-15681-S,52-42968-B,53-7522-S,53-24548-S,53-27437-S,53-35462-S,53-35983-S,53-39761-B,53-54556-S,54-16950-B,55-22806-B,56-5034-S,56-38674-S,57-25070-S,57-29437-B,57-36621-S,57-40119-S,57-40849-S,58-43428-B,58-46529-B,58-58671-S,58-59896-S,58-63419-S,59-5486-S,59-16024-S,59-33019-S,59-36775-S,59-43758-S,59-52142-S,59-59262-B,60-20901-S,60-27370-S,60-38156-S,60-47088-B,60-48727-B,61-468-S,61-1287-S,61-1865-S,61-3310-S,61-43889-S,62-2505-S,62-35898-S,62-41703-S,62-62720-S,63-22714-S,63-25277-S,63-37175-S,63-50195-S,63-56555-S,63-58262-S,64-9767-S,64-41028-S,64-50920-B,65-3952-S,65-6261-B,65-6307-B,65-36480-S,65-42222-S,65-46008-B,65-46410-B,65-47006-S,65-57376-S,65-61487-S,66-15201-S,66-52857-S,67-1996-S,67-3854-S,67-9471-S,67-19680-S,67-21652-S,67-27637-S,67-27715-S,67-28349-S,67-29134-S,67-35188-S,67-35840-S,67-38655-S,68-30163-S,68-52159-S,68-52358-S,68-64076-S,69-17789-B,69-56548-S,70-21577-S,70-29196-S,71-41986-S
jiàn 5r	67-3907-S
jiàn biàn	39-55728-B
jiàn bié	65-6418-B
jiàn biǎo	31-42599-S
jiàn bu dé	57-29540-B
jiàn bàn zhí mín dì	10-56431-S
jiàn bào	57-29656-B
jiàn bá nǔ zhāng	9-43838-B
jiàn bái	23-21923-B
jiàn bù	23-26011-S
jiàn bù hé	25-30185-S
jiàn bù néng yí	59-36824-S
jiàn bù rú fēi	6-18628-B
jiàn bāo	61-1992-S
jiàn bēi	57-30800-B
jiàn chuán	53-39834-B
jiàn chuán shū xié dìng	60-20957-S
jiàn chuán sòng fú wù	67-29212-S
jiàn chuān	9-43770-B
jiàn cháng	57-31457-B
jiàn chéng	23-21214-B,33-2382-S
jiàn chāng	23-21344-B
jiàn chāng xiàn	23-21428-B
jiàn chē	35-16250-B
jiàn cái qǐ yì	57-31255-B
jiàn cáo	64-51079-B
jiàn cì	39-55552-B
jiàn cí	64-51247-B,65-57484-S
jiàn de	2-28243-S
jiàn dié	11-55582-S,65-46894-B
jiàn dié chū	21-25625-S
jiàn dié huó dòng	65-46932-B
jiàn dié ruǎn jiàn	65-47006-B
jiàn duàn	65-46629-B
jiàn duì	10-33974-S,11-907-S,33-20937-S,51-60756-S,53-40041-B
jiàn duō guài	21-5086-S
jiàn dào	57-29615-B
jiàn dé	23-21151-B
jiàn dìng	57-38609-S,65-6484-B
jiàn dìng wěi yuán huì	15-5708-S,65-6555-B
jiàn dù	52-27941-S
jiàn dú wā	48-27678-B
jiàn dū	23-22958-B
jiàn dǎng	23-23077-B
jiàn fèng chā zhēn	57-30450-B
jiàn fèng jiù zuān	57-30307-B
jiàn fú wù qì	30-25739-S
jiàn fā dòng jī	33-59631-S
jiàn fāng	57-30229-B
jiàn fēn xiǎo	22-2543-S
jiàn fēng shì yǔ	57-31944-B
jiàn fēng shǐ duò	57-31761-B
jiàn fēng shǐ fān	57-31576-B
jiàn fǎng	57-30914-B
jiàn guà gōu	63-37260-S
jiàn guài	57-29882-B
jiàn guài bù guài	57-29958-B
jiàn guàn	12-24688-S
jiàn guò	57-31413-B
jiàn guó	23-20544-B
jiàn guó huì	2-60391-S
jiàn guān cái bù luò lèi	2-28312-S
jiàn guāng	12-16546-S
jiàn guǐ	57-32197-B
jiàn gé	9-44332-B,65-47072-B
jiàn gé hào	65-47130-B
jiàn gé shì	30-25815-S
jiàn gòu	23-21581-B
jiàn gòu zhèng yì lǐ lùn	23-21648-B
jiàn gōng huò shāng	67-19734-S
jiàn gōng lì yè	23-20469-B
jiàn gǎn	48-27638-B
jiàn gǎng xié jìn lián méng	36-18296-S
jiàn huá	54-59447-S
jiàn huì	2-63928-S
jiàn huā lóng hè	35-16175-B
jiàn hèn wǎn	45-30751-S
jiàn hé	9-44127-B
jiàn hú	23-21814-B
jiàn jiàn	39-55606-B
jiàn jiè	65-6658-B
jiàn jié	45-15577-S
jiàn jiā	30-25674-S
jiàn jiāo	23-20341-B
jiàn jiē	65-46453-B
jiàn jiě	57-30853-B
jiàn jì shù	61-2206-S
jiàn jìn	24-17095-S,39-55778-B,39-55826-B,59-43860-S
jiàn jí suǒ dé	26-29765-S
jiàn jī	23-20657-B,52-7330-S
jiàn jīn	59-42167-S
jiàn jīng zhuàn	2-28529-S
jiàn jǐ	58-62318-S
jiàn kè	9-43693-B
jiàn kāi	40-12024-B
jiàn kāi fā	61-2355-S
jiàn kāi fā rén yuán	61-2432-S
jiàn kāng	6-18187-B,23-21088-B,24-61092-S,48-55180-S
jiàn kāng bǎo xiǎn	6-18237-B
jiàn kāng shòu sǔn	6-18312-B
jiàn kāng zhuàng kuàng	6-18384-B
jiàn le	2-28180-S
jiàn lián	31-27849-S,36-20221-S
jiàn lì	23-21995-B,34-27813-S,35-11893-S
jiàn lì bǎo	38-49039-S
jiàn lì zhèng shì wài jiāo guān xì	23-22080-B
jiàn lì zhě	23-22222-B
jiàn líng	46-19229-S
jiàn lüè tóng	54-4910-S
jiàn miàn	57-31523-B
jiàn miáo	65-46836-B
jiàn mài	17-35649-S,59-59303-B
jiàn mào	64-51038-B
