chū zhí	20-58249-S
cu1 sha1	48-49535-B
cu1 shu1	48-49490-B
cu1 si4 liao4	48-50187-B
cu1 su2	48-48718-B
cu1 su2 de5 jie1 ji2	48-48756-B
cu1 ti3	48-50250-B
cu1 ti3 zi4	48-50297-B
cu1 tui3	27-13572-S
cu1 xi4	48-49746-B
cu1 xin1	48-49196-B
cu1 xin1 da4 yi4	48-49237-B
cu1 ya3	48-49045-B
cu1 yan2	48-50400-B
cu1 ye3	48-50120-B
cu1 yu3	48-50067-B
cu1 zhi1	17-6780-S
cu1 zhi4 lan4 zao4	48-49824-B
cu1 zhuang4	48-49097-B
cu2	23-64862-B,35-60148-B
cu4	4-32070-S,5-30944-B,5-51916-S,6-30421-S,9-45228-S,9-57093-S,10-19674-S,10-59239-S,10-63085-B,12-27831-S,21-16617-S,24-57383-S,27-4217-S,30-10182-S,31-59263-S,36-65704-S,41-40268-S,42-12864-B,44-19548-B,44-46818-S,45-55921-S,45-65485-S,48-35322-B,48-61576-S,53-59036-S,55-11630-B,60-48010-B,60-48070-B,60-50238-B,60-51966-B,61-52046-S,63-47145-B,66-30153-S,69-4375-S,69-30904-S,70-20202-S
cu4 cheng2	5-31122-B
cu4 dong4	5-31077-B
cu4 jiang1 cao3	63-47456-B
cu4 jin4	5-31216-B
cu4 li3 ji3	48-61688-S
cu4 li4	49-13774-S,63-47174-B,71-33427-S
cu4 qing3	5-31175-B
cu4 ran2	42-12900-B
cu4 rou4	48-61624-S
cu4 sheng1	24-57447-S
cu4 shi3	5-31008-B
cu4 suan1	8-19869-S,63-47216-B
cu4 suan1 xian1 wei2	63-47356-B
cu4 suan1 yi3 zhi3	63-47279-B
cu4 xiao1	5-31295-B
cu4 xiao4 ji4	3-16474-S
cu4 yu2	48-61761-S
cuan	3-27148-S,27-13948-S,27-14086-S,27-51727-S,29-33573-B,29-35530-B,36-54759-B,38-5317-S,41-36782-B,47-58805-B,48-33028-B,60-54523-B,61-65269-S,64-35402-B,71-41661-S,71-50037-S
cuan beng	60-54872-B
cuan duo	29-33632-B,48-33123-B
cuan fan	47-58982-B
cuan fang yue ji	60-54554-B
cuan gai	47-58909-B,48-33175-B
cuan hong	47-59051-B
cuan huo	60-54758-B
cuan ju	47-59135-B
cuan rao	47-58854-B
cuan tao	47-59209-B
cuan teng	60-54926-B
cuan tiao	60-54829-B
cuan wei	48-33069-B
cuan1	27-14086-S,29-33573-B,36-54759-B,60-54523-B,64-35402-B
cuan1 beng4	60-54872-B
cuan1 duo5	29-33632-B
cuan1 fang2 yue4 ji3	60-54554-B
cuan1 huo4	60-54758-B
cuan1 teng2	60-54926-B
cuan1 tiao4	60-54829-B
cuan2	27-51727-S,29-35530-B
cuan4	3-27148-S,27-13948-S,38-5317-S,41-36782-B,47-58805-B,48-33028-B,61-65269-S,71-41661-S,71-50037-S
cuan4 duo2	48-33123-B
cuan4 fan4	47-58982-B
cuan4 gai3	47-58909-B,48-33175-B
cuan4 hong2	47-59051-B
cuan4 ju4	47-59135-B
cuan4 rao3	47-58854-B
cuan4 tao2	47-59209-B
cuan4 wei4	48-33069-B
cui	3-25242-S,4-57188-B,5-51686-B,6-30180-B,8-47262-S,11-15047-S,13-63850-B,15-12607-S,21-43529-B,21-43667-B,25-10903-B,25-56192-S,28-65149-B,34-42241-B,36-17151-B,38-46750-B,38-64354-S,39-55924-B,40-45781-B,41-43068-S,43-2996-B,43-6986-S,44-16860-B,46-41208-B,47-58735-B,48-47843-B,48-51991-B,48-57315-S,49-17422-S,49-20690-S,50-25649-B,51-19181-B,51-19409-S,52-28918-B,52-29149-S,52-50292-B,54-38902-B,55-3767-S,55-12858-S,55-19728-S,55-20807-S,56-47833-B,60-30433-B,61-11836-S,63-42309-S,66-59319-S,67-57407-S,68-42688-B
cui bai	55-3049-S
cui bi	6-32243-B
cui bian	56-48482-B
cui can	28-65210-B,43-3033-B
cui can duo mu	43-3073-B
cui chan	6-31622-B
cui cu	6-30421-B
cui cui	52-29149-B
cui fei	6-31933-B
cui fei ji	6-32002-B
cui fen zi	49-17459-S
cui gu	6-32192-B
cui hua	6-30458-B,51-14780-S
cui hua ji	6-30592-B
cui hua zuo yong	6-30526-B
cui hui	28-65261-B
cui huo	38-46797-B
cui lei	6-31057-B
cui lei da pian	6-31207-B
cui lei dan	6-31282-B
cui lei ji	6-31152-B
cui lei wa si	6-31353-B
cui lu:	51-19227-B
cui mian	6-31695-B
cui mian qu	6-31738-B
cui mian shu	6-31858-B
cui mian zhuang tai	6-31790-B
cui ming	6-30776-B
cui nai	6-30865-B
cui pian	21-60010-S,52-29040-B
cui qing	6-30959-B
cui qing she	51-19287-B
cui qu	43-7062-S,54-38978-B
cui ru	6-30266-B
cui ru ji su	6-30359-B
cui ruo	52-28996-B
cui sheng	6-31477-B
cui sheng po	6-31551-B
cui shu	6-31415-B
cui shu xue	49-20731-S
cui tao	6-32131-B
cui tu	6-30644-B
cui tu ji	6-30705-B
cui wei	21-43868-B
cui ya	6-32076-B
cui yu zhe	55-45303-S
cui1	6-30180-B,21-43667-B,28-65149-B,34-42241-B,46-41208-B,50-25649-B,56-47833-B
cui1 bi1	6-32243-B
cui1 bian4	56-48482-B
cui1 can2	28-65210-B
cui1 chan3	6-31622-B
cui1 cu4	6-30421-B
cui1 fei2	6-31933-B
cui1 fei2 ji4	6-32002-B
cui1 gu3	6-32192-B
cui1 hua1	51-14780-S
cui1 hua4	6-30458-B
cui1 hua4 ji4	6-30592-B
cui1 hua4 zuo4 yong4	6-30526-B
cui1 hui3	28-65261-B
cui1 lei4	6-31057-B
cui1 lei4 da4 pian4	6-31207-B
cui1 lei4 dan4	6-31282-B
cui1 lei4 ji4	6-31152-B
cui1 lei4 wa3 si1	6-31353-B
cui1 mian2	6-31695-B
cui1 mian2 qu3	6-31738-B
cui1 mian2 shu4	6-31858-B
cui1 mian2 zhuang4 tai4	6-31790-B
cui1 ming4	6-30776-B
cui1 nai3	6-30865-B
cui1 qing2	6-30959-B
cui1 ru3	6-30266-B
cui1 ru3 ji1 su4	6-30359-B
cui1 sheng1	6-31477-B
cui1 sheng1 po2	6-31551-B
cui1 shu2	6-31415-B
cui1 tao3	6-32131-B
cui1 tu3	6-30644-B
cui1 tu3 ji4	6-30705-B
cui1 wei2	21-43868-B
cui1 ya2	6-32076-B
cui1 yu4 zhe2	55-45303-S
cui3	39-55924-B,43-2996-B,60-30433-B
cui3 can4	43-3033-B
cui3 can4 duo2 mu4	43-3073-B
cui4	3-25242-S,4-57188-B,5-51686-B,8-47262-S,11-15047-S,13-63850-B,15-12607-S,21-43529-B,25-10903-B,25-56192-S,36-17151-B,38-46750-B,38-64354-S,40-45781-B,41-43068-S,43-6986-S,44-16860-B,47-58735-B,48-47843-B,48-51991-B,48-57315-S,49-17422-S,49-20690-S,51-19181-B,51-19409-S,52-28918-B,52-29149-S,52-50292-B,54-38902-B,55-3767-S,55-12858-S,55-19728-S,55-20807-S,61-11836-S,63-42309-S,66-59319-S,67-57407-S,68-42688-B
cui4 bai3	55-3049-S
cui4 cui4	52-29149-B
cui4 fen4 zi3	49-17459-S
cui4 huo3	38-46797-B
cui4 lu:4	51-19227-B
cui4 pian4	21-60010-S,52-29040-B
cui4 qing1 she2	51-19287-B
cui4 qu1	43-7062-S
cui4 qu3	54-38978-B
cui4 ruo4	52-28996-B
cui4 shu4 xue2	49-20731-S
cun	1-33639-S,2-73483-S,2-79477-S,2-83994-S,3-11681-S,3-45615-S,3-64507-S,4-23022-S,5-11900-S,5-24336-S,5-35286-S,6-59265-S,7-27662-S,7-59267-S,7-71577-S,8-51516-S,10-55722-S,12-45119-B,13-4233-S,17-59944-S,18-16822-S,19-7194-B,20-1492-S,20-31427-B,20-32862-S,21-11816-S,21-11816-S,21-30028-S,22-51225-S,22-66124-S,24-44412-B,24-54511-S,32-53113-S,33-6930-S,33-7292-B,33-26235-S,33-31376-S,33-66689-S,34-54178-S,35-62388-S,36-50070-S,37-9077-S,39-19979-S,39-20099-S,42-49958-S,43-20066-S,43-48920-S,45-999-B,45-66207-S,47-39083-S,49-40806-S,50-61764-S,51-943-S,54-2912-S,54-17793-S,55-16020-S,59-41275-S,61-40900-S,62-65609-S,63-18358-B,63-30294-S,64-5810-S,65-13098-S,65-25313-S,68-37146-S,69-34690-S,69-41348-S,70-22638-S
cun Hui zu zi zhi xian	19-10759-S
cun Zheng yan	70-15983-S
cun bu	19-8349-B
cun cao bu sheng	20-31799-B
cun che chang	19-8508-B
cun che chu	19-8564-B
cun chu	19-7424-B,20-1626-S
cun chu qi	10-0-S,12-14004-S,19-7472-B,28-50293-S,66-44139-S,67-62135-S,70-22699-S
cun dang	19-7951-B
cun duan	52-9457-S
cun fang	19-7846-B
cun gen	19-7913-B
cun guan	59-41394-S
cun guang	71-49967-S
cun guang yin	20-31887-S
cun guang yin yi cun jin	1-6909-S
cun he zuo hua	61-40953-S
cun hu	19-7731-B
cun huo	19-8190-B,19-8469-B
cun huo lu:	19-8264-B
cun ji bing	39-24288-S
cun jin	1-6909-S
cun jin chi	24-7495-S
cun jin nan mai cun guang yin	20-31887-B
cun kou	20-31477-B
cun kou mai	20-31604-B
cun kou pao	10-45272-S
cun kuan	19-8019-B,37-64984-S,64-28894-S
cun kuan zhun bei jin lu:	19-8090-B
cun le	68-12562-S
cun liang	19-8635-B
cun lie	45-1037-B
cun luo	33-7651-B
cun mai	20-31707-B
cun min	33-7558-B
cun mo xing	34-37144-S
cun neng li	33-60724-S
cun qi	20-1565-S,59-41328-S,64-52519-S
cun qian	19-8679-B
cun qu	13-12716-S,19-7529-B,66-44063-S
cun qu cun chu qi	66-44139-S
cun qu ji guan li	35-12100-S
cun qu ji yi ti	66-44251-S
cun shi wang	12-55480-S
cun shou yi	43-49006-S
cun tie	26-34707-S
cun wang	19-7249-B,43-21551-S
cun wang you guan	19-7317-B
cun wei	12-6883-S
cun xian jin	22-66195-S
cun xiang	17-21995-S
cun xin	19-7685-B
cun xing	7-71622-S
cun xu	19-8416-B
cun yi	36-53676-S
cun zai	19-7568-B
cun zai zhu yi	19-7616-B
cun zhang	33-7741-B
cun zhe	19-7793-B,22-51284-S
cun zhen	33-7692-B
cun zhuang	33-7600-B
cun zi	33-7413-B
cun1	1-33639-S,2-73483-S,2-79477-S,2-83994-S,3-64507-S,4-23022-S,10-55722-S,17-59944-S,18-16822-S,21-30028-S,32-53113-S,33-6930-S,33-7292-B,33-26235-S,33-31376-S,33-66689-S,45-999-B,51-943-S,54-17793-S,61-40900-S,63-18358-B,63-30294-S,69-34690-S,69-41348-S
cun1 Hui2 zu2 zi4 zhi4 xian4	19-10759-S
cun1 Zheng1 yan4	70-15983-S
cun1 he2 zuo4 hua4	61-40953-S
cun1 le4	68-12562-S
cun1 lie4	45-1037-B
cun1 luo4	33-7651-B
cun1 min2	33-7558-B
cun1 qu1	13-12716-S
cun1 xiang1	17-21995-S
cun1 zhang3	33-7741-B
cun1 zhen4	33-7692-B
cun1 zhuang1	33-7600-B
cun1 zi5	33-7413-B
cun2	3-11681-S,3-45615-S,5-11900-S,5-24336-S,5-35286-S,6-59265-S,7-27662-S,7-71577-S,13-4233-S,19-7194-B,20-1492-S,20-32862-S,22-51225-S,22-66124-S,35-62388-S,36-50070-S,39-19979-S,39-20099-S,42-49958-S,43-20066-S,43-48920-S,45-66207-S,47-39083-S,49-40806-S,50-61764-S,55-16020-S,59-41275-S,62-65609-S,65-13098-S,65-25313-S,70-22638-S
cun2 bu4	19-8349-B
cun2 che1 chang3	19-8508-B
cun2 che1 chu4	19-8564-B
cun2 chu3	19-7424-B,20-1626-S
cun2 chu3 qi4	10-0-S,12-14004-S,19-7472-B,28-50293-S,66-44139-S,67-62135-S,70-22699-S
cun2 dang4	19-7951-B
cun2 fang4	19-7846-B
cun2 gen1	19-7913-B
cun2 guan3	59-41394-S
cun2 hu4	19-7731-B
cun2 huo2	19-8190-B
cun2 huo2 lu:4	19-8264-B
cun2 huo4	19-8469-B
cun2 ji2 bing4	39-24288-S
cun2 kuan3	19-8019-B,37-64984-S,64-28894-S
cun2 kuan3 zhun3 bei4 jin1 lu:4	19-8090-B
cun2 liang4	19-8635-B
cun2 mo2 xing2	34-37144-S
cun2 neng2 li4	33-60724-S
cun2 qi4	20-1565-S,59-41328-S,64-52519-S
cun2 qian2	19-8679-B
cun2 qu3	19-7529-B,66-44063-S
cun2 qu3 cun2 chu3 qi4	66-44139-S
cun2 qu3 ji2 guan3 li3	35-12100-S
cun2 qu3 ji4 yi4 ti3	66-44251-S
cun2 shi2 wang2	12-55480-S
cun2 shou1 yi4	43-49006-S
cun2 wang2	19-7249-B,43-21551-S
cun2 wang2 you1 guan1	19-7317-B
cun2 wei4	12-6883-S
cun2 xian4 jin1	22-66195-S
cun2 xin1	19-7685-B
cun2 xing4	7-71622-S
cun2 xu4	19-8416-B
cun2 yi4	36-53676-S
cun2 zai4	19-7568-B
cun2 zai4 zhu3 yi4	19-7616-B
cun2 zhe2	19-7793-B
cun2 zhe3	22-51284-S
cun3	24-44412-B,24-54511-S
cun4	7-59267-S,8-51516-S,12-45119-B,20-31427-B,34-54178-S,37-9077-S,54-2912-S,64-5810-S,68-37146-S
cun4 cao3 bu4 sheng1	20-31799-B
cun4 duan4	52-9457-S
cun4 guang1	71-49967-S
cun4 guang1 yin1	20-31887-S
cun4 guang1 yin1 yi1 cun4 jin1	1-6909-S
cun4 jin1	1-6909-S
cun4 jin1 nan2 mai3 cun4 guang1 yin1	20-31887-B
cun4 jin4 chi3	24-7495-S
cun4 kou3	20-31477-B
cun4 kou3 mai4	20-31604-B
cun4 kou3 pao4	10-45272-S
cun4 mai4	20-31707-B
cun4 tie3	26-34707-S
cun5	21-11816-S
cuo	2-21606-S,2-35836-S,4-636-S,6-15715-S,7-60079-S,8-46377-S,8-62247-S,9-16720-B,11-30133-B,11-61682-S,12-62912-S,17-37571-S,17-65460-S,20-37489-S,21-26320-S,21-31655-S,21-47124-B,22-795-S,23-24450-S,26-36384-S,26-66888-S,27-69869-B,28-33967-B,28-35614-S,28-35614-S,28-53446-B,28-57541-S,29-15891-B,37-11989-S,42-3203-S,43-2818-B,44-15320-B,44-18749-B,45-39717-S,45-65414-B,46-36885-B,48-42801-S,49-2311-S,49-16795-S,50-29380-S,50-63997-S,52-31882-B,53-27307-S,54-23186-B,55-6639-B,58-22541-S,60-14466-S,60-49707-B,62-48595-S,63-48867-B,64-34620-B,64-47626-B,68-32657-S,69-61806-S,69-62058-S,69-63515-S,71-4700-B,71-55770-B,71-56606-B
cuo an	8-13679-S,64-48121-B
cuo bai	27-70063-B
cuo bie zi	64-47912-B
cuo chu	64-48453-B
cuo chuang	36-36654-S,44-15347-B
cuo ci	28-34226-B
cuo ci qiang ying	28-34290-B
cuo guai	64-48067-B
cuo guo	64-48838-B
cuo jie	45-11370-S
cuo jiu cuo	20-37489-S
cuo jue	64-48491-B
cuo jue jie he	64-48538-B
cuo jue jie he de ci	64-48613-B
cuo le	26-49957-S
cuo luan	48-56937-S,64-47695-B
cuo rou	28-53521-B
cuo shang	46-36928-B
cuo shi	25-59593-S,28-21005-S,28-34105-B,44-2424-S,68-31103-S
cuo shi shu	51-64039-S
cuo tuo	22-48329-S,31-7939-S,60-49749-B
cuo wei	64-47761-B
cuo wu	35-65542-S,51-65930-S,62-41296-S,64-48700-B,68-48066-S
cuo wu de jie he	64-48755-B
cuo xin xi	8-46434-S
cuo yi tu bian	64-48381-B
cuo zhe	27-69958-B
cuo zhe gan	27-70007-B
cuo zhuo mo	8-62321-S
cuo zi	64-47992-B
cuo zong	64-48203-B
cuo zong fu za	64-48290-B
cuo1	7-60079-S,8-62247-S,28-53446-B,29-15891-B,46-36885-B,60-49707-B
cuo1 rou2	28-53521-B
cuo1 shang1	46-36928-B
cuo1 tuo2	22-48329-S,31-7939-S,60-49749-B
cuo1 zhuo2 mo2	8-62321-S
cuo2	21-47124-B,44-15320-B,44-18749-B,45-65414-B,63-48867-B,71-4700-B
cuo2 chuang1	36-36654-S,44-15347-B
cuo3	43-2818-B,52-31882-B
cuo4	2-21606-S,2-35836-S,4-636-S,6-15715-S,8-46377-S,9-16720-B,11-30133-B,11-61682-S,12-62912-S,17-37571-S,17-65460-S,20-37489-S,21-26320-S,21-31655-S,22-795-S,23-24450-S,26-36384-S,26-66888-S,27-69869-B,28-33967-B,28-57541-S,37-11989-S,42-3203-S,45-39717-S,48-42801-S,49-2311-S,49-16795-S,50-29380-S,50-63997-S,53-27307-S,54-23186-B,55-6639-B,58-22541-S,60-14466-S,62-48595-S,64-34620-B,64-47626-B,68-32657-S,69-61806-S,69-62058-S,69-63515-S,71-55770-B,71-56606-B
cuo4 an4	8-13679-S,64-48121-B
cuo4 bai4	27-70063-B
cuo4 bie2 zi4	64-47912-B
cuo4 chu5	64-48453-B
cuo4 ci2	28-34226-B
cuo4 ci2 qiang2 ying4	28-34290-B
cuo4 guai4	64-48067-B
cuo4 guo4	64-48838-B
cuo4 jie2	45-11370-S
cuo4 jiu4 cuo4	20-37489-S
cuo4 jue2	64-48491-B
cuo4 jue2 jie2 he2	64-48538-B
cuo4 jue2 jie2 he2 de5 ci2	64-48613-B
cuo4 le5	26-49957-S
cuo4 luan4	48-56937-S,64-47695-B
cuo4 shi1	25-59593-S,28-21005-S,28-34105-B,44-2424-S,68-31103-S
cuo4 shi1 shu3	51-64039-S
cuo4 wei4	64-47761-B
cuo4 wu4	35-65542-S,51-65930-S,62-41296-S,64-48700-B,68-48066-S
cuo4 wu4 de5 jie2 he2	64-48755-B
cuo4 xin4 xi1	8-46434-S
cuo4 yi4 tu1 bian4	64-48381-B
cuo4 zhe2	27-69958-B
cuo4 zhe2 gan3	27-70007-B
cuo4 zi4	64-47992-B
cuo4 zong1	64-48203-B
cuo4 zong1 fu4 za2	64-48290-B
cuo5	28-35614-S
cuàn	3-27148-S,27-13948-S,38-5317-S,41-36782-B,47-58805-B,48-33028-B,61-65269-S,71-41661-S,71-50037-S
cuàn duó	48-33123-B
cuàn fàn	47-58982-B
cuàn gǎi	47-58909-B,48-33175-B
cuàn hóng	47-59051-B
cuàn jù	47-59135-B
cuàn rǎo	47-58854-B
cuàn táo	47-59209-B
cuàn wèi	48-33069-B
cuán	27-51727-S,29-35530-B
cuì	3-25242-S,4-57188-B,5-51686-B,8-47262-S,11-15047-S,13-63850-B,15-12607-S,21-43529-B,25-10903-B,25-56192-S,36-17151-B,38-46750-B,38-64354-S,40-45781-B,41-43068-S,43-6986-S,44-16860-B,47-58735-B,48-47843-B,48-51991-B,48-57315-S,49-17422-S,49-20690-S,51-19181-B,51-19409-S,52-28918-B,52-29149-S,52-50292-B,54-38902-B,55-3767-S,55-12858-S,55-19728-S,55-20807-S,61-11836-S,63-42309-S,66-59319-S,67-57407-S,68-42688-B
cuì bǎi	55-3049-S
cuì cuì	52-29149-B
cuì fèn zǐ	49-17459-S
cuì gǔ lè	52-29079-B
cuì huǒ	38-46797-B
cuì lǜ	51-19227-B
cuì piàn	21-60010-S,52-29040-B
cuì qīng shé	51-19287-B
cuì qū	43-7062-S
cuì qǔ	54-38978-B
cuì ruò	52-28996-B
cuì shù xué	49-20731-S
cuò	2-21606-S,2-35836-S,4-636-S,6-15715-S,8-46377-S,9-16720-B,11-30133-B,11-61682-S,12-62912-S,17-37571-S,17-65460-S,20-37489-S,21-26320-S,21-31655-S,22-795-S,23-24450-S,26-36384-S,26-66888-S,27-69869-B,28-33967-B,28-57541-S,37-11989-S,42-3203-S,45-39717-S,48-42801-S,49-2311-S,49-16795-S,50-29380-S,50-63997-S,53-27307-S,54-23186-B,55-6639-B,58-22541-S,60-14466-S,62-48595-S,64-34620-B,64-47626-B,68-32657-S,69-61806-S,69-62058-S,69-63515-S,71-55770-B,71-56606-B
cuò bié zì	64-47912-B
cuò bài	27-70063-B
cuò chu	64-48453-B
cuò cí	28-34226-B
cuò cí qiáng yìng	28-34290-B
cuò guài	64-48067-B
cuò guò	64-48838-B
cuò jié	45-11370-S
cuò jiù cuò	20-37489-S
cuò jué	64-48491-B
cuò jué jié hé	64-48538-B
cuò jué jié hé de cí	64-48613-B
cuò le	26-49957-S
cuò luàn	48-56937-S,64-47695-B
cuò měi	28-34165-B
cuò nà	64-48886-B
cuò qín	28-34044-B
