警 警 [01\[ jǐng\]]	to alert;to warn;police
資 资 [01\[ zī\]]	resources;capital;to provide;to supply;to support;money;expense
資中 资中 [01\[ zī zhōng\]]	(n) zizhong (place in sichuan)
資助 资助 [01\[ zī zhù\]]	subsidize;provide financial aid
資料 资料 [01\[ zī liào\]]	material;resources;data;information
資料介面 资料介面 [01\[ zī liào jiè miàn\]]	data interface
資料倉儲 资料仓储 [01\[ zī liào cāng chǔ\]]	data warehouse (comp.)
資料傳輸 资料传输 [01\[ zī liào chuán shū\]]	data transmission
資料傳送服務 资料传送服务 [01\[ zī liào chuán sòng fú wù\]]	data delivery service
資料庫 资料库 [01\[ zī liào kù\]]	database
資料量 资料量 [01\[ zī liào liàng\]]	quantity of data
資料鏈結層 资料链结层 [01\[ zī liào liàn jié céng\]]	data link layer
資望 资望 [01\[ zī wàng\]]	seniority and prestige
資本 资本 [01\[ zī běn\]]	capital (as in capitalism)
資本主義 资本主义 [01\[ zī běn zhǔ yì\]]	capitalism
資本儲備 资本储备 [01\[ zī běn chǔ bèi\]]	capital reserve
資本家 资本家 [01\[ zī běn jiā\]]	capitalist
資本市場 资本市场 [01\[ zī běn shì chǎng\]]	capital market
資本計提 资本计提 [01\[ zī běn jì tí\]]	capital requirement
資本論 资本论 [01\[ zī běn lùn\]]	das kapital
資格 资格 [01\[ zī gé\]]	qualifications
資歷 资历 [01\[ zī lì\]]	qualifications;experience;seniority
資治通鑒 资治通鉴 [01\[ zī zhì tōng jiàn\]]	a mirror for the wise ruler (or comprehensive mirror for aid in government)
資深 资深 [01\[ zī shēn\]]	senior (in terms of depth of accumulated experience);deeply qualified
資源 资源 [01\[ zī yuán\]]	natural resource (such as water or minerals);resource (such as manpower or tourism)
資溪 资溪 [01\[ zī xī\]]	zixi county in fuzhou 撫州|抚州
資溪縣 资溪县 [01\[ zī xī xiàn\]]	zixi county in fuzhou 撫州|抚州
資產 资产 [01\[ zī chǎn\]]	property;assets
資產擔保証券 资产担保证券 [01\[ zī chǎn dān bǎo zhèng quàn\]]	asset-backed security;abs
資產負債表 资产负债表 [01\[ zī chǎn fù zhài biǎo\]]	balance sheet
資產階級 资产阶级 [01\[ zī chǎn jiē jí\]]	the capitalist class;the bourgeoisie
資產階級革命 资产阶级革命 [01\[ zī chǎn jiē jí gé mìng\]]	bourgeois revolution (in marx-leninist theory
資用 资用 [01\[ zī yòng\]]	available
資興 资兴 [01\[ zī xīng\]]	(n) zixing (city in hunan)
資訊 资讯 [01\[ zī xùn\]]	information
資訊科技 资讯科技 [01\[ zī xùn kē jì\]]	information technology;science of communications
資質 资质 [01\[ zī zhì\]]	aptitude;natural endowments
資金 资金 [01\[ zī jīn\]]	funds;funding
資陽 资阳 [01\[ zī yáng\]]	ziyang shi prefecture level city in sichuan
資陽市 资阳市 [01\[ zī yáng shì\]]	ziyang shi prefecture level city in sichuan
賈 贾 [01\[ gǔ\]]	merchant;to buy
賈 贾 [01\[ jiǎ\]]	surname jia
賈南德拉 贾南德拉 [01\[ jiǎ nán dé lā\]]	gyanendra of nepal
賈夾威德 贾夹威德 [01\[ jiǎ jiā wēi dé\]]	janjaweed (armed baggara herders used by the sudanese government against darfur rebels)
賈寶玉 贾宝玉 [01\[ jiǎ bǎo yù\]]	jia baoyu
賈慶林 贾庆林 [01\[ jiǎ qìng lín\]]	jia qinglin (member of prc poliburo)
賈第蟲 贾第虫 [01\[ jiǎ dì chóng\]]	giardia lamblia protozoan parasite that inhabits the gut
賈第蟲屬 贾第虫属 [01\[ jiǎ dì chóng shǔ\]]	giardia lamblia protozoan parasite that inhabits the gut
賈第蟲病 贾第虫病 [01\[ jiǎ dì chóng bìng\]]	giardiasis
賊 贼 [01\[ zéi\]]	thief
賊眼 贼眼 [01\[ zéi yǎn\]]	shifty gaze;furtive glance
賏 賏 [01\[ yìng\]]	pearls or shells strung together
賑 赈 [01\[ zhèn\]]	to relieve (the distressed)
賑卹 赈恤 [01\[ zhèn xù\]]	relief aid
賑捐 赈捐 [01\[ zhèn juān\]]	money donation to relieve distress or famine
賑濟 赈济 [01\[ zhèn jì\]]	to give relief aid
賑災 赈灾 [01\[ zhèn zāi\]]	disaster relief
賒 赊 [01\[ shē\]]	buy on credit
賒欠 赊欠 [01\[ shē qiàn\]]	to offer credit;credit transaction;to buy or sell on account
賒賬 赊账 [01\[ shē zhàng\]]	transaction on account;to buy or sell on credit
賒購 赊购 [01\[ shē gòu\]]	to buy on credit;to delay payment
賒銷 赊销 [01\[ shē xiāo\]]	credit transaction;to sell on account
賓 宾 [01\[ bīn\]]	visitor;guest
賓主 宾主 [01\[ bīn zhǔ\]]	hosts
賓利 宾利 [01\[ bīn lì\]]	bentley
賓夕法尼亞 宾夕法尼亚 [01\[ bīn xī fǎ ní yà\]]	pennsylvania
賓夕法尼亞大學 宾夕法尼亚大学 [01\[ bīn xī fǎ ní yà dà xué\]]	university of pennsylvania
賓夕法尼亞州 宾夕法尼亚州 [01\[ bīn xī fǎ ní yà zhōu\]]	pennsylvania
賓客 宾客 [01\[ bīn kè\]]	guests;visitors
賓川 宾川 [01\[ bīn chuān\]]	(n) binchuan (place in yunnan)
賓州 宾州 [01\[ bīn zhōu\]]	pennsylvania;abbr. for 賓西法尼亞|宾西法尼亚州
賓縣 宾县 [01\[ bīn xiàn\]]	bin county in heilongjiang
賓至如歸 宾至如归 [01\[ bīn zhì rú guī\]]	guests feel at home (in a hotel
賓西法尼亞 宾西法尼亚 [01\[ bīn xī fǎ ní yà\]]	pennsylvania
賓詞 宾词 [01\[ bīn cí\]]	predicate
賓語 宾语 [01\[ bīn yǔ\]]	object
賓語關係從句 宾语关系从句 [01\[ bīn yǔ guān xì cóng jù\]]	object relative clause
賓陽 宾阳 [01\[ bīn yáng\]]	(n) binyang (place in guangxi)
賓館 宾馆 [01\[ bīn guǎn\]]	guesthouse
賕 赇 [01\[ qiú\]]	to bribe
賙 周 [01\[ zhōu\]]	bestow alms
賙 赒 [01\[ zhōu\]]	to give to the needy;to bestow alms;charity
賙人 赒人 [01\[ zhōu rén\]]	to help the needy;to bestow alms;charity
賙卹 赒恤 [01\[ zhōu xù\]]	to give to the needy
賙急 赒急 [01\[ zhōu jí\]]	disaster relief
賙急扶困 赒急扶困 [01\[ zhōu jí fú kùn\]]	disaster relief
賙濟 赒济 [01\[ zhōu jì\]]	help to the needy;emergency relief;charity;to give to poorer relative;(also 周濟|周济)
賚 赉 [01\[ lài\]]	bestow;confer
賛 賛 [01\[ zàn\]]	japanese variant of 贊|赞
賜 赐 [01\[ cì\]]	confer;bestow;grant
賜予 赐予 [01\[ cì yǔ\]]	to grant;to bestow
賜福 赐福 [01\[ cì fú\]]	to bless
賜給 赐给 [01\[ cì gěi\]]	to bestow;to give
賜與 赐与 [01\[ cì yǔ\]]	to grant;to bestow;variant of 賜予|赐予
賝 賝 [01\[ chēn\]]	(gem)
賞 赏 [01\[ shǎng\]]	to bestow (a reward);to give (to an inferior);to hand down;a reward (bestowed by a superior);to appreciate (beauty)
賞心悅目 赏心悦目 [01\[ shǎng xīn yuè mù\]]	warms the heart and delights the eye (成语 saw);pleasing;delightful
賞罰 赏罚 [01\[ shǎng fá\]]	reward and punishment
賞識 赏识 [01\[ shǎng shí\]]	appreciation
賞賜 赏赐 [01\[ shǎng cì\]]	to bestow;to confer (a reward for service);a reward
賠 赔 [01\[ péi\]]	lose in trade;pay damage
賠償 赔偿 [01\[ péi cháng\]]	compensate
賠償金 赔偿金 [01\[ péi cháng jīn\]]	compensation
賠本 赔本 [01\[ péi běn\]]	a loss
賠款 赔款 [01\[ péi kuǎn\]]	reparations;to pay reparations
賠禮 赔礼 [01\[ péi lǐ\]]	to offer an apology;to make amends
賡 赓 [01\[ gēng\]]	continue (as a song)
賢 贤 [01\[ xián\]]	worthy (person)
賢人 贤人 [01\[ xián rén\]]	great person of the past;venerable forebear;the great and the good
賢勞 贤劳 [01\[ xián láo\]]	diligent
賢妻良母 贤妻良母 [01\[ xián qī liáng mǔ\]]	a good wife;a virtuous wife (confucianism)
賢惠 贤惠 [01\[ xián huì\]]	chaste;virtuous
賢才 贤才 [01\[ xián cái\]]	a genius;a talented person
賢王 贤王 [01\[ xián wáng\]]	sage kings
賢能 贤能 [01\[ xián néng\]]	sage
賢良 贤良 [01\[ xián liáng\]]	worthy
賣 卖 [01\[ mài\]]	to sell
賣主 卖主 [01\[ mài zhǔ\]]	seller
賣傻 卖傻 [01\[ mài shǎ\]]	to play stupid;to act like an idiot
賣力 卖力 [01\[ mài lì\]]	really put out energy for
賣國 卖国 [01\[ mài guó\]]	to sell one's country;treason
賣國主義 卖国主义 [01\[ mài guó zhǔ yì\]]	treason
賣國賊 卖国贼 [01\[ mài guó zéi\]]	traitor
賣完 卖完 [01\[ mài wán\]]	to be sold out
賣掉 卖掉 [01\[ mài diào\]]	to sell off;to get rid of in a sale
賣方 卖方 [01\[ mài fāng\]]	seller
賣春 卖春 [01\[ mài chūn\]]	prostitution
賣淫 卖淫 [01\[ mài yín\]]	prostitution
賣炭翁 卖炭翁 [01\[ mài tàn wēng\]]	the old charcoal seller
賣肉 卖肉 [01\[ mài ròu\]]	butcher;meat merchant
賣肉者 卖肉者 [01\[ mài ròu zhě\]]	butcher
賣點 卖点 [01\[ mài diǎn\]]	selling point
賤 贱 [01\[ jiàn\]]	inexpensive;lowly
賤賣 贱卖 [01\[ jiàn mài\]]	to sell cheaply;sacrifice;low price;discount sale
賦 赋 [01\[ fù\]]	poetic essay;taxation;bestow on;endow with
賦予 赋予 [01\[ fù yǔ\]]	to assign;to entrust (a task);to give;to bestow
賦格曲 赋格曲 [01\[ fù gé qǔ\]]	fugue
賦稅 赋税 [01\[ fù shuì\]]	taxation
賧 赕 [01\[ dǎn\]]	fine
賨 賨 [01\[ cóng\]]	tribute paid by han dynasty tribes
質 质 [01\[ zhì\]]	hostage;substance;nature;quality;taiwan pr. zhi2
質問 质问 [01\[ zhì wèn\]]	(ask a) question;inquire;interrogate
質因數 质因数 [01\[ zhì yīn shù\]]	prime factor (in arithmetic)
質地 质地 [01\[ zhì dì\]]	texture;background (texture);grain;quality;character;disposition
質子 质子 [01\[ zhì zǐ\]]	proton (positively charged nuclear particle)
質心 质心 [01\[ zhì xīn\]]	center of gravity;barycenter
質感 质感 [01\[ zhì gǎn\]]	realism (in art);sense of reality
質數 质数 [01\[ zhì shù\]]	prime number
質料 质料 [01\[ zhì liào\]]	material;matter
質明 质明 [01\[ zhì míng\]]	at dawn
質樸 质朴 [01\[ zhì pǔ\]]	simple;plain;unadorned;unaffected;unsophisticated;rustic;earthy
質樸 质樸 [01\[ zhì pǔ\]]	simple and unadorned;downright;unpretentious;plain;unaffected
質檢 质检 [01\[ zhì jiǎn\]]	quarantine (inspection)
質疑 质疑 [01\[ zhì yí\]]	call into question;question (truth or validity)
質直 质直 [01\[ zhì zhí\]]	upright;straightforward
質粒 质粒 [01\[ zhì lì\]]	plasmid
質素 质素 [01\[ zhì sù\]]	(high) quality
質舖 质铺 [01\[ zhì pù\]]	pawn shop;also written 質鋪|质铺
質詢 质询 [01\[ zhì xún\]]	to question;to enquire;interrogatory
質譜 质谱 [01\[ zhì pǔ\]]	mass spectrometry
質變 质变 [01\[ zhì biàn\]]	qualitative change;fundamental change
質量 质量 [01\[ zhì liàng\]]	quality;mass (in physics)
質量管理 质量管理 [01\[ zhì liàng guǎn lǐ\]]	quality management
質鋪 质铺 [01\[ zhì pù\]]	pawn shop
質難 质难 [01\[ zhì nàn\]]	to blame
質點 质点 [01\[ zhì diǎn\]]	point mass;particle
賫 赍 [01\[ jī\]]	a gift;a present;an offering
賬 账 [01\[ zhàng\]]	account
賬冊 账册 [01\[ zhàng cè\]]	an account book;a ledger;a bill
賬單 账单 [01\[ zhàng dān\]]	bill
賬戶 账户 [01\[ zhàng hù\]]	a bank account
賬房 账房 [01\[ zhàng fáng\]]	an accounts office (in former times);an accountant;a cashier
賬本 账本 [01\[ zhàng běn\]]	account book
賬款 账款 [01\[ zhàng kuǎn\]]	money in an account
賬目 账目 [01\[ zhàng mù\]]	an item in accounts;an entry
賬簿 账簿 [01\[ zhàng bù\]]	an account book;a ledger
賬號 账号 [01\[ zhàng hào\]]	account;username
賬載 账载 [01\[ zhàng zǎi\]]	per book;as recorded in the accounts
賬面 账面 [01\[ zhàng miàn\]]	an item in accounts;an entry
賭 赌 [01\[ dǔ\]]	bet;gamble
賭博 赌博 [01\[ dǔ bó\]]	to gamble
賭場 赌场 [01\[ dǔ chǎng\]]	casino
賭徒 赌徒 [01\[ dǔ tú\]]	a gambler
賭注 赌注 [01\[ dǔ zhù\]]	stakes;(what is at) stake
賭窩 赌窝 [01\[ dǔ wō\]]	gamblers' den;illegal casino
賮 賮 [01\[ jìn\]]	farewell presents
賴 赖 [01\[ lài\]]	surname lai
賴 赖 [01\[ lài\]]	to depend on;reliance;to renege (on promise);to disclaim;to rat (on debts);to blame sb else
賴婚 赖婚 [01\[ lài hūn\]]	to go back on a marriage contract;to repudiate an engagement
賴斯 赖斯 [01\[ lài sī\]]	rice (name);condoleezza rice (1954-) us secretary of state from 2005
賴氨酸 赖氨酸 [01\[ lài ān suān\]]	lysine (lys)
賴特 赖特 [01\[ lài tè\]]	wright (name)
賴皮 赖皮 [01\[ lài pí\]]	shameless;(slang) rascal
賴賬 赖账 [01\[ lài zhàng\]]	to renege on a debt
賵 賵 [01\[ fèng\]]	gift to the dead
賸 賸 [01\[ shèng\]]	have as remainder;trad. variant of 剩
賺 赚 [01\[ zhuàn\]]	earn;make a profit
賺 赚 [01\[ zuàn\]]	cheat;swindle
賺取 赚取 [01\[ zhuàn qǔ\]]	to make a profit;to earn a packet
賺大錢 赚大钱 [01\[ zhuàn dà qián\]]	to earn a fortune
賺得 赚得 [01\[ zhuàn dé\]]	earn
賺錢 赚钱 [01\[ zhuàn qián\]]	to earn money;money making
賻 赙 [01\[ fù\]]	contribute to funeral expenses
購 购 [01\[ gòu\]]	to buy;to purchase
購物 购物 [01\[ gòu wù\]]	shopping
購物中心 购物中心 [01\[ gòu wù zhōng xīn\]]	shopping center
