alto fiddle	3-41081-B
and breathe in fresh 成语 saw	12-60195-S
and bred	15-31908-S
and bribe	18-48850-S
and brief	24-57383-S
and bright	20-23988-S,38-61576-S,68-52417-S,71-63422-S
and bright eyes 成语 saw	44-63558-S
and bright moon 成语 saw	38-66088-S
and bright of weather and personality	41-42397-S
and brilliant	31-63617-S,37-35815-S
and bring in fresh water 成语 saw	28-45128-S,40-5307-S
and bring in new ideas	28-33047-S
and britain	10-66710-S
and british columbia	37-38456-S
and broad	17-68709-S
and broad build	20-24205-S
and broad expanse of water	18-17820-S
