hallow	46-60889-B
healthy	6-17990-B,6-18128-B,6-18187-B,23-990-B,23-1417-B,23-2102-S,23-2660-S,45-4732-S,46-2077-S,46-25669-B
healthy and beautiful	6-18708-B
healthy and carefree	41-41899-B
healthy and strong	54-5588-B
healthy atmosphere	35-37754-B
healthy environment	35-37754-B
heap	15-55904-S,16-6064-B,46-15360-S
heap cloud	47-40659-B
heap earth to close a tomb	20-32671-S
heap of stones	46-38174-S
hear	2-25579-S,11-64224-S,18-29335-S,39-47599-S,47-49843-S,50-53210-S,51-43003-B,51-56383-S,51-69127-S,51-69706-S,52-1213-S,52-1479-B,61-67863-S,61-67948-S
hear a case	20-21926-S
hear about sth	51-57154-S
hear between sobs	13-46955-S
hear but not react	52-1213-S
hear clearly	52-745-S
hear i e agreeable news	2-79118-S
hear news	51-69885-B
hear one and know ten 成语 saw	51-56550-S
hear palpitating with fear	69-61724-S
hear said	52-1780-S
hear told	52-1732-S
hear what sb says	52-1335-S
hear 成语 saw	6-47818-S
heard	26-29570-B,52-1335-S,70-53951-S
heard from time to time	31-40793-B
heard hearted	24-36748-B
hearing	1-16717-S,7-64135-S,23-475-S,24-15554-S,32-23242-S,46-3351-S,51-43105-S,51-64429-S,51-64647-S,51-69748-B,52-75-S,52-278-S,52-1419-S,52-1519-S,52-1908-S,60-23747-S,63-63950-S
hearing a hundred times	44-56185-S
hearing a hundred times 成语 saw	44-55966-S
hearing from many others	44-55966-S
hearing in fiction	68-27131-S
hearing or vision	46-3120-S
hearing that 	31-40793-S
hearing the news	51-57662-S
hearken	52-426-S
hears	26-29570-S,51-69346-S,57-30720-S
hears and sees	26-29869-S
hearsay	6-39475-B,62-51775-B
hearsay evidence	28-5521-S
hearse	35-64753-B,61-6054-B,61-15000-S,61-17021-S,61-17194-B,61-20192-B,61-20221-B
heart	2-71234-B,6-44391-S,6-44648-S,6-46675-S,7-28375-B,13-32621-S,13-32621-S,16-14332-S,24-30745-B,24-30819-S,24-31702-S,24-32034-S,24-33192-S,24-33641-S,24-35993-B,24-37509-S,24-38094-B,24-38297-B,24-39821-B,24-39960-S,24-40396-B,25-13270-S,25-37522-S,25-64220-B,37-59762-S,39-34673-S,39-38329-S,39-38329-S,40-25600-S,41-16573-S,44-53965-S,45-8086-S,46-18909-S,51-25535-S,51-46948-S,52-16428-S,52-17907-S,52-24174-B,52-25928-S,52-26005-B,52-29663-S,53-44218-S,57-11291-S,58-21168-S,71-30083-S,71-36734-S
heart a monkey	24-34800-S
heart and by word 成语 saw	24-34053-S
heart and carved in one s bones 成语 saw	64-31519-S,64-31701-S
heart and delights the eye 成语 saw	59-57206-S
heart and diaphragm	52-8079-S
heart and mind	24-39284-S,24-39647-S
heart and mouth as one 成语 saw	24-31251-S
heart and nurture the character 成语 saw	5-47670-S
heart and soul	1-8617-B,7-36688-B
heart and spill blood 成语 saw	14-29882-S
heart attack	24-37575-B,24-37665-B
heart beat	24-33297-S
heart broken	24-36804-B
heart chat	58-41298-S
heart disease	8-13018-S,24-38428-B,24-38498-B
heart distracted	24-34723-S
heart filled with	39-38483-S,39-40366-S
heart into sb else s keeping 成语 saw	28-30682-S
heart of the matter	9-5144-S,61-56577-S,61-58605-S
heart or mind	21-18593-S
heart out	6-46755-S,14-29882-S,45-8143-S
heart pain	24-35646-B
heart rate	52-1570-S
heart rending drama	55-15751-B
heart s blood	24-38802-B
heart s content	31-63841-S,31-64026-S,42-4937-S,45-8447-S,50-28932-S,57-53404-S,62-47434-S,65-35012-S
heart so well that you can recite it backwards	5-59971-S
heart sutra	24-37288-S,53-36776-S,53-36914-S
heart that never rejoices	13-32621-S,25-37522-S
heart to do sth	24-43001-S
heart to heart chat	58-41298-S
heart transplant	24-38558-B
heart untroubled	24-33759-S
heart warming	41-42078-S
heart wishes	24-7608-S
heart 心	7-68706-S
heart 成语 saw	37-28572-S,46-19827-S,51-42788-S
heartbeat	24-34874-S,24-39407-B,24-39960-B
heartbroken	8-24614-B
hearted	6-44237-S,6-44491-S,8-23656-S,14-3867-S,15-52524-S,24-31477-S,24-36561-S,24-36748-S,25-16261-S,25-38878-S,30-10136-S,41-21400-S,46-36805-S,47-56398-S,52-9457-S,57-11061-S,57-39753-S
hearted at having to leave	5-23996-S
hearted loyalty	27-11833-S,60-6677-S
hearted person	8-23190-S
heartedly	6-47737-S,30-18920-S,30-19021-S
heartedly or just for show	30-18740-S
heartening	4-34796-B
heartening news	71-48729-B
heartfelt	38-48735-B,43-38989-B,45-41851-B,56-48956-B
heartfelt words 成语 saw	58-27901-S
hearth	19-63020-B,41-35522-B
heartily	13-37665-S,44-14183-B
heartless	1-67015-B,14-13190-S,40-52113-B,42-7980-B,49-46885-B,59-31500-B
heartrending	8-24667-B
heartstrings	24-32088-B
heat	9-69376-S,11-61935-S,17-20652-S,17-27056-S,20-65404-S,29-66186-S,30-9170-S,31-58534-S,31-59212-B,31-59212-S,31-59541-S,33-59729-S,36-11130-S,39-60079-S,40-29597-B,40-44641-S,40-65727-B,41-10698-S,41-17580-B,41-17619-B,41-17993-B,41-19891-B,41-22256-B,41-22256-S,41-22336-S,41-23512-S,41-35329-B,41-35363-B,44-8232-S,44-15684-S,44-15719-S,44-31015-S,44-41933-S,44-42048-S,46-23846-S,51-36168-S,55-50032-S,56-48605-S,59-41598-S,63-44446-S,63-59865-S,64-20344-S,64-32770-S
heat by artifial means	6-30959-S
heat by fire	40-40636-B
heat content	70-17864-S
heat content thermodynamics	41-17882-B,41-20895-B
heat convection	41-18375-B
heat cramps	41-21176-B
heat device	30-9217-S
heat energy	41-21296-B
heat engine	41-19848-B
heat evenly e g in smelting metal	15-47970-S
heat insulation	49-47592-B
heat island effect i e large city centers are hotter	41-18566-B
heat island i e large city centers are hotter	15-61983-S,41-18485-B
heat math phys 	6-37572-S
heat of a competition	24-16590-S
heat of animals	9-69259-S
heat of evaporation	55-2030-S
heat preservation	5-37650-B
heat residue	69-16266-B
heat resistant	51-36926-B,51-37424-B
heat sink	30-9326-B
heat source	41-20582-B
heat spreader	30-9217-B
heat supply	5-22660-B
heat transfer	6-37506-B,41-17804-B
heat transmission	6-37506-B,6-37572-B
heat until red	41-27266-B
heat up	41-17619-S
heat wave	70-17450-S
heatable brick bed	40-29512-S
heated	11-62768-B,40-40602-B
