kě jué lǜ	12-15050-B
lai	1-1984-S,1-15338-S,1-19718-S,1-32122-S,1-46226-S,1-58436-S,1-58436-S,2-32052-S,3-32514-S,4-28917-S,4-35908-S,4-40539-S,5-16905-B,5-25786-S,5-46743-S,5-63421-S,6-4269-S,6-16001-S,6-33769-S,7-18067-S,7-33601-S,7-33601-S,8-8311-S,8-35130-S,8-64983-S,8-65084-S,9-9438-S,9-10442-S,11-26205-S,11-30466-S,11-55236-S,12-556-S,12-2127-S,12-21871-S,12-26411-S,12-31307-S,12-33311-S,12-62217-S,12-66745-S,13-11846-S,14-6268-S,14-54515-S,14-54515-S,15-35282-S,16-43239-S,16-57076-S,16-57160-S,17-19986-S,17-38441-S,17-52618-S,18-30194-S,19-19877-B,20-36665-S,21-43096-B,22-3487-S,22-19620-S,22-19905-S,22-27974-S,22-47279-S,22-47415-S,22-57566-S,22-57691-S,23-61936-S,23-66946-S,24-10484-S,24-12444-B,24-45796-S,25-17433-S,25-19651-S,25-26301-S,25-26301-S,25-64360-S,26-48997-S,27-41031-S,27-41944-S,27-53035-S,27-53035-S,27-54905-S,28-24935-S,28-28047-S,29-8491-S,29-16955-S,30-30670-S,31-38833-S,32-6815-S,32-30872-S,32-36521-S,32-56189-S,32-61123-S,35-51671-S,37-45323-S,38-52618-B,40-16378-B,40-16433-B,40-59108-S,40-62222-S,42-8241-S,43-18301-S,43-34157-S,43-38691-S,44-21860-B,44-55141-S,45-37928-S,45-37928-S,45-39502-S,45-54621-B,47-53053-S,47-63183-S,47-63183-S,48-164-S,48-23182-B,48-44051-B,49-24791-S,52-1977-S,52-1977-S,52-20593-S,53-3486-S,53-47522-S,54-39131-B,55-8196-S,55-19197-S,55-33942-S,55-35946-B,58-15897-S,58-15897-S,58-16195-S,58-16195-S,58-31345-S,58-41200-S,59-29019-S,59-56695-B,59-62463-B,60-15864-S,60-15864-S,60-28806-S,61-46115-S,61-47786-S,61-48099-S,62-5666-S,62-28796-S,62-43541-S,62-55396-S,63-15217-S,63-48129-S,64-49507-B,64-55109-S,65-15381-S,66-2165-S,67-56895-S,68-42524-B,68-45696-S,69-32057-S,69-51899-B,70-44386-B,71-62982-S
lai Da lu sa lan guo	30-30710-S
lai Da xue	22-19954-S
lai an suan	59-62772-B
lai ang	11-15193-S
lai ban dao	69-32220-S
lai bin	5-19422-B
lai bu	24-10575-S
lai bu ji	5-16975-B
lai chao	24-38896-S
lai cheng yu	16-43297-S
lai ci	16-43514-S
lai dao	5-17227-B
lai dao qu	68-46118-S
lai de	59-30287-S,66-2236-S,66-2296-S
lai de ji	5-17849-B
lai deng	14-7174-S
lai du wang	42-18139-S
lai dun	7-18442-S,63-8582-S
lai duo	26-52488-S
lai er	22-17354-S
lai fan chou	20-44801-S
lai fang	5-19261-B
lai fu lan	23-32202-S
lai fu qiang	5-17932-B,5-18723-B
lai fu qu	51-20885-S
lai fu xian	5-18028-B
lai ha ma	44-21964-B
lai han	5-17146-B
lai he qu	13-16856-S
lai heng huo	68-62435-S
lai hong	5-19818-B
lai hong qu yan	5-19900-B
lai hou dao	7-3279-S
lai hua	5-19026-B
lai hui	5-17354-B,26-40825-S,60-9578-S
lai hui lai qu	5-17460-B
lai hui lai qu de	5-17556-B
lai hun	59-62577-B
lai huo	5-18478-B,16-43566-S
lai huo r	5-18524-B
lai jiang	1-19210-S,14-42264-S
lai ju shang	23-66996-S
lai kan	5-18624-B,5-24801-S,24-11253-S
lai ke	5-17702-B,17-45714-S
lai ke ben	22-17225-S
lai ke shi mi si	22-17134-S
lai la ma	62-55482-S
lai le	11-41630-S
lai li	5-18278-B
lai li bu ming	5-18337-B
lai lian	35-58736-S
lai lin	5-18893-B,11-24514-S
lai long qu mai	5-19976-B
lai lu bu ming	5-19626-B
lai man	55-41238-S,66-11811-S
lai mei	1-67996-S,2-27009-S,24-10625-S
lai mei jiang	54-57371-S
lai mei you	24-10676-S
lai meng te	7-18200-S
lai mian mu	32-61218-S
lai mu	13-39772-S
lai mu bing	54-39311-B
lai na	10-29188-S,10-68169-S
lai na zhou	10-29281-S,10-68262-S
lai ni	22-17288-S
lai nian	5-17740-B
lai pi	59-62875-B
lai pi bing	44-21903-B
lai qiao	51-25429-S
lai qu	5-17460-S
lai qu de	5-17556-S
lai qu wu zong	5-17278-B
lai ren	22-19669-S,69-32154-S
lai ri fang chang	5-18148-B
lai shan	63-15295-S
lai shan mai	63-15370-S
lai shao	45-45231-S,51-25535-S
lai sheng	5-18579-B
lai shi	55-8280-S
lai shu	22-19750-S
lai shui	53-953-S
lai shui guan	53-1021-S
lai shun shou	61-65870-S
lai shuo	1-19136-S,5-19307-B,11-55332-S,14-42191-S,50-34144-S,53-26734-S
lai si	10-5716-S,31-50835-S,54-25535-S
lai si le	7-18277-S
lai si le Qi che Gong si	7-18338-S
lai si te che qi	7-18990-S
lai song wang	61-44792-S
lai su tang	5-19194-B
lai ta	43-11487-S
lai te	18-15521-S,20-7170-S
lai te lin	30-42460-S
lai te qi	26-39746-S
lai ti A bu du re xi ti	65-65731-S
lai tou zi	16-43364-S
lai tui qu	28-29735-S
lai wan gui	31-13142-S
lai wang	5-17800-B
lai wei e si	23-32265-S
lai wen	22-20039-S,69-32334-S
lai wen si ji	54-40264-B
lai wu	18-29555-S,20-30383-S
lai wu zhong	16-43436-S
lai xi ya	69-32486-S
lai xi ya ren	69-32396-S
lai xi ya yu	69-32547-S
lai xian	25-64423-S,64-55177-S
lai xiang	17-590-S,40-34639-S
lai xin	5-17078-B,59-6560-S
lai xing	36-2581-S,58-25035-S
lai xing fu	64-16439-S
lai xue	32-56265-S
lai ya	69-32105-S
lai yan qu	45-35301-S
lai ye ji	32-56324-S
lai yin	7-18111-S
lai yin hang	22-3556-S
lai yu	22-19837-S,22-20108-S,32-39687-S,69-32630-S
lai yuan	3-7400-S,5-18409-B
lai yue	60-25543-S
lai yue duo	60-25702-S
lai yue yan zhong	60-25601-S
lai zhang	59-62932-B
lai zhe	5-19119-B,9-21785-S
lai zhi qu	45-20424-S
lai zhuan qu	61-21094-S
lai zi	5-18947-B
lai zui di dian	35-51754-S
lai2	1-1984-S,1-15338-S,1-19718-S,1-32122-S,1-46226-S,3-32514-S,4-28917-S,4-35908-S,5-16905-B,6-16001-S,6-33769-S,7-18067-S,8-8311-S,8-35130-S,8-64983-S,8-65084-S,9-9438-S,9-10442-S,11-26205-S,11-30466-S,11-55236-S,12-556-S,12-2127-S,12-21871-S,12-26411-S,12-31307-S,12-33311-S,12-62217-S,12-66745-S,13-11846-S,14-6268-S,15-35282-S,16-43239-S,16-57076-S,16-57160-S,17-19986-S,17-38441-S,18-30194-S,19-19877-B,20-36665-S,21-43096-B,22-3487-S,22-19620-S,22-19905-S,22-27974-S,22-47279-S,22-47415-S,22-57566-S,22-57691-S,23-61936-S,23-66946-S,24-10484-S,24-12444-B,24-45796-S,25-17433-S,25-64360-S,27-41031-S,27-41944-S,27-54905-S,28-24935-S,28-28047-S,29-16955-S,30-30670-S,31-38833-S,32-6815-S,32-30872-S,32-36521-S,32-56189-S,32-61123-S,35-51671-S,37-45323-S,38-52618-B,43-18301-S,43-34157-S,43-38691-S,45-39502-S,47-53053-S,48-23182-B,49-24791-S,52-20593-S,53-3486-S,53-47522-S,54-39131-B,55-8196-S,55-19197-S,55-33942-S,58-31345-S,58-41200-S,59-29019-S,60-28806-S,61-46115-S,61-47786-S,61-48099-S,62-5666-S,62-28796-S,62-43541-S,63-15217-S,63-48129-S,64-49507-B,65-15381-S,66-2165-S,68-45696-S,69-32057-S,69-51899-B,70-44386-B,71-62982-S
lai2 Da2 lu3 sa4 lan2 guo2	30-30710-S
lai2 Da4 xue2	22-19954-S
lai2 ang2	11-15193-S
lai2 ban4 dao3	69-32220-S
lai2 bin1	5-19422-B
lai2 bu4	24-10575-S
lai2 bu5 ji2	5-16975-B
lai2 chao2	24-38896-S
lai2 cheng2 yu3	16-43297-S
lai2 ci2	16-43514-S
lai2 dao3 qu4	68-46118-S
lai2 dao4	5-17227-B
lai2 de2	59-30287-S,66-2236-S,66-2296-S
lai2 de5 ji2	5-17849-B
lai2 deng1	14-7174-S
lai2 du2 wang3	42-18139-S
lai2 dun4	7-18442-S,63-8582-S
lai2 duo1	26-52488-S
lai2 er3	22-17354-S
lai2 fan4 chou2	20-44801-S
lai2 fang3	5-19261-B
lai2 fu2 lan2	23-32202-S
lai2 fu2 qiang1	5-18723-B
lai2 fu4 qiang1	5-17932-B
lai2 fu4 qu4	51-20885-S
lai2 fu4 xian4	5-18028-B
lai2 han2	5-17146-B
lai2 he4 qu4	13-16856-S
lai2 heng4 huo4	68-62435-S
lai2 hong2	5-19818-B
lai2 hong2 qu4 yan4	5-19900-B
lai2 hou4 dao4	7-3279-S
lai2 hua2	5-19026-B
lai2 hui2	5-17354-B,26-40825-S,60-9578-S
lai2 hui2 lai2 qu4	5-17460-B
lai2 hui2 lai2 qu4 de5	5-17556-B
lai2 huo3	5-18478-B
lai2 huo3 r5	5-18524-B
lai2 huo4	16-43566-S
lai2 jiang3	1-19210-S,14-42264-S
lai2 ju1 shang4	23-66996-S
lai2 kan4	5-18624-B,5-24801-S,24-11253-S
lai2 ke4	5-17702-B,17-45714-S
lai2 ke4 ben3	22-17225-S
lai2 ke4 shi3 mi4 si1	22-17134-S
lai2 le5	11-41630-S
lai2 li4	5-18278-B
lai2 li4 bu4 ming2	5-18337-B
lai2 lin2	5-18893-B,11-24514-S
lai2 long2 qu4 mai4	5-19976-B
lai2 lu4 bu4 ming2	5-19626-B
lai2 man4	55-41238-S,66-11811-S
lai2 mei2	1-67996-S,2-27009-S,24-10625-S
lai2 mei2 you3	24-10676-S
lai2 mei3 jiang3	54-57371-S
lai2 meng2 te4	7-18200-S
lai2 mian4 mu4	32-61218-S
lai2 mu3	13-39772-S
lai2 mu3 bing4	54-39311-B
lai2 na4	10-29188-S,10-68169-S
lai2 na4 zhou1	10-29281-S,10-68262-S
lai2 ni2	22-17288-S
lai2 nian2	5-17740-B
lai2 qiao4	51-25429-S
lai2 qu4	5-17460-S
lai2 qu4 de5	5-17556-S
