free and unconstrained	60-34302-B,60-34750-B,60-35009-B
future prospects	8-39785-B,9-21189-B,53-51540-S
future reference	6-28890-S
future studies	32-56265-B
future time	9-9632-S
future use	6-29318-S
future using the trigrams of the book of changes 易經 易经	23-52532-S
future yield of investment	32-56324-B
future 成语 saw	17-21298-S
futures on goods	32-51789-B
fuwa official 2008 olympic mascots	47-3428-B
fuxi	4-54469-B
fuxi or fu hsi	4-54512-B
fuxi 伏羲	51-14943-S,51-14984-S
fuxin	49-31703-S
fuxin city 阜新市 阜新市	17-58069-S,30-57137-S,30-57220-S,38-18737-S,38-18822-S,38-62685-S,38-62782-S,49-31703-S,49-31802-S
fuxin mongol autonomous county in fuxin 阜新 阜新	65-58940-B
fuxin prefecture level city in liaoning province 遼寧省 辽宁省 in northeast china	65-58689-B,65-58809-B
fuxin 阜新 阜新	23-58547-S,23-58619-S,65-58940-S
fuxingmen neighborhood of beijing	24-15819-B
fuxu county in songyuan 松原	26-55652-B,26-55714-B
fuyang city in zhejiang	20-8572-S
fuyang prefecture in anhui	65-59162-B
fuyang prefecture level city in anhui	65-59091-B,65-59242-B
fuying 1906 1977	58-63950-S
fuyu city in jilin	26-56635-S
fuyuan place in heilongjiang	29-14165-S
fuyuan place in yunnan	20-7691-S
fuyun place in xinjiang	20-8007-S
fuzhi	42-34089-S
fuzhou city	69-36405-S
fuzhou city in qing times	69-36799-S
fuzhou city 撫州市 抚州市	52-57281-S,52-57369-S
fuzhou naval college	53-38253-B
fuzhou prefecture level city and capital of fujian province in east china	47-3917-B,47-4060-B
fuzhou prefecture level city in jiangxi	29-13824-B,29-13897-B
fuzhou 撫州 抚州	10-68896-S,10-68971-S,11-3437-S,11-3510-S,19-50842-S,19-50915-S,21-41133-S,21-41208-S,23-13600-S,23-13679-S,33-25098-S,33-25442-S,34-47751-S,34-47819-S,59-52494-S,59-52561-S,64-12379-S,64-12448-S,71-26661-S,71-26734-S
fuzi 260 bc	69-38926-S
fuzing system	23-27840-B
fuzzy	34-59145-B
fuzzy logic	34-59198-B
fuzzy sight	8-25045-S
fyodor mikhailovich dostoyevsky 1821 1881	66-14675-B
fyodor name	59-46640-S
fédération aéronautique internationale fai	15-18981-B
fédération internationale de gymnastique	15-21096-B
félix faure former president of france	47-5345-B
fú	8-34980-S
fürth city in germany	54-37530-B
g	9-58566-S,10-41665-S,40-32260-S,62-65455-S,70-49478-S
g 100 yuan	64-21472-S
g 2 ply yarn	12-36945-S
g 2000	71-59600-S
g 2001	55-59961-S
g 2002	69-37110-S
g 2003	50-64123-S
g 2004	42-13803-S
g 2005	67-7300-S
g 2006	42-7286-S
g 2007	59-25661-S
g 2008	71-49534-S
g 2009	41-47637-S
g 2010	55-47325-S
g 2011	7-22681-S
g 21 gun salute	47-8712-S
g a 100 watt light bulb	67-25955-S
g a banner headline	18-9712-S
