cdc	44-7124-S
chen kaige	40-55215-S,66-26855-B,67-49563-S
chen kexiong 1950 	66-27011-B
chen ning yang	34-27870-B
chen of the southern dynasties	66-28179-S
chen of the southern dynasties 557 589	10-72753-B,66-26326-B
chen renxi 1581 1636	66-26403-B
chen shui bian 1950 	66-28463-B
chen tianhua 1875 1905	66-27150-B
chen xiangmei	66-30380-B
chen xitong 1930 	66-27458-B
chen yi 1901 1972	66-28410-B
chen yun 1905 1995	66-30284-B
chen zaidao	66-26798-B
chen zhonglin 陳仲琳 陈仲琳 c 1567 c 1620	58-2918-S
chenba erhu qi place in inner mongolia	66-27350-S
chencang 成语 saw	31-61815-S
chencang 陳倉 陈仓 in ancient times	20-31108-S,20-31236-S
chenduo place in qinghai	47-34559-S
cheney 1941 	8-61320-S
cheney name	8-61320-B
cheng	26-7394-S,31-46261-S,39-65307-S,47-29151-S
cheng an place in hebei	26-9465-S
cheng c 140 bc	33-35508-S
cheng county in gansu	26-11294-B
cheng county in hebei	55-27818-B
cheng en 1500 1582	13-584-S
cheng han of the sixteen kingdoms 304 347	26-10564-B
cheng hao 1032 1085	47-29940-B
cheng san electoral constituency in singapore	67-61766-B
cheng taiwan minister of the interior	33-35121-S
cheng yi 1033 1107	47-29885-B
cheng2 zi5 and voroshilov 伏羅希洛夫 伏罗希洛夫	40-37804-S
chengbu miaozu autonomous county county in hunan	15-62294-S
chengcheng place in shaanxi	39-65418-S
chengde	63-7253-S
chengde district district in hebei	26-61033-S
chengde prefecture level city in hebei	26-60960-B,26-61128-B
chengdu	33-9761-S
chengdu prefecture level city and capital of sichuan province 四川 in southwest china	26-12157-B,26-12279-B
chengdu railway	20-29660-S
chengdu s main airport	66-67090-B
chengdu 成都	35-43849-S
chengdu 成都 and chongqing 重慶 重庆	26-10487-B
chengdu 成都 prefecture	17-36602-S,21-41587-S,23-57511-S,63-15217-S
chenggong place in yunnan	13-8485-S
chenggu place in shaanxi	15-61615-S
chenghai district of shantou city 汕头市	39-65628-B
chenghai lake in lijiang 麗江市 丽江市	47-29795-B
chengji 1887 1910	41-12102-S
chengjiang	33-2746-S
chengjiang place in yunnan	39-65489-S
chengjiao 1931 1952	50-60936-S
chengkou place in sichuan	15-61548-S
chengkung town in taiwan	26-8643-S
chengmai place in hainan	39-65963-S
chengwu place in shandong	26-10421-S
chengyang district of qingdao city 青島市 青岛市	15-63063-B,15-63154-B
chengzheng 655 735	12-25163-S
chengzhong 1913 1987	34-28733-S
chengzu 成祖 zhudi 朱棣	36-51707-S
chennai madras	69-37369-B
chennault	66-28968-S
chenopodiaceae	55-13786-B
chenopodium album	54-39131-B,55-32206-B
chenxi place in hunan	61-39184-S
chenyu 1521 1594	34-10120-S
chenzhou prefecture level city in hunan	63-25150-B
cheong	54-60566-S
cheong sam long skirt	65-19537-B
cheong wa dae	67-56538-S
cheongsam	31-3694-B,65-19377-B
cheopis	11-21828-S
cheque or payment	27-31614-S
cherish	13-16164-S,24-33353-S,25-34941-S,25-37907-B,25-64220-S,26-779-S,27-12429-B,42-43179-B,42-43235-B,47-28260-S,52-24706-S
cherish a viper in one s bosom	69-11675-S,69-11878-S
cherish ambition	57-10692-S
cherish memory of past event	26-84-S
cherish one s unrecognized talents 成语 saw	26-590-S
cherish the memory of	26-430-S
cherish the memory of sb	24-55301-S
cherish the outmoded and preserve the outworn	27-13396-S
cherish the young	20-43733-S
cherished	16-52234-S
cherished ambition is realized	16-52920-S
cherished desire	24-40502-B
cherished item	26-1115-S
cherished view	20-177-S
cherished wish	16-52867-S,20-556-S
chern 1911 2004	66-28824-S
chernobyl	8-61967-B
chernyshevsky	60-59386-S
cherry	35-17619-B,35-17649-B,54-10016-S,54-48742-S
cherry apple	34-22909-B
cherry orchard	35-17690-S
cherry prunus serrulata or prunus yedoensis	35-17755-S
chervil anthriscus cerefolium	54-10414-B
chesapeake bay	18-6447-B
chess	1-60552-S,2-69412-S,2-76608-S,11-7421-S,15-19348-B,19-41235-S,34-19672-B,35-62432-S,53-16867-S,54-54777-S,54-54824-S,57-19510-B,59-23857-S,60-11110-S,60-65641-S,69-31266-S,69-31266-S
chess board	50-52548-S
chess champion	34-19969-B
chess draw	13-23488-S
chess etc	20-49179-S
chess federation	15-17012-S
chess like game	33-39220-B
chess or weiqi go 圍棋 围棋	18-35529-S
chess piece	15-61752-S,34-19807-B
chess pieces on a board 成语 saw	31-31406-S
chess player	34-19849-B
chess shōgi	20-36980-S
chess tournament	59-23905-S
chess 象棋 etc	34-19699-S
chessboard	34-19895-B,34-20017-B
chest	7-62624-S,9-25846-S,10-19820-B,16-48343-S,28-8650-S,48-27863-B,48-27903-B,52-18658-S,52-24174-B,52-24454-S,52-24552-S,52-25534-B,52-25750-B,52-26080-B,52-35093-B
chest and abdomen	7-23093-S,7-23258-S,52-8683-S
chest and hypochondrium	52-25452-B
chest and stamp one s feet 成语 saw	28-8706-S
chest distress	52-24645-B
chest measurement	52-24396-B
chest of body	52-47385-B
chest pain	52-24645-B
chest voice	52-26163-B
chest 成语 saw	60-34829-S
chester william nimitz 1885 1966	21-14256-B
chestnut	33-30167-S,33-52375-B,33-52416-B,53-52908-S,54-8001-S,54-20410-S,55-27651-S
chestnut eleocharis dulcis	69-42686-S
chestnut horse	69-57043-B
chestnut horse with white belly	69-54645-B
cheung	23-38035-S,23-40480-S
cheung or hok yau jacky 1961 	23-38297-S
cheung sha wan poultry market in hong kong	65-16652-B
chevallier	69-52065-B
chevrolet	67-15766-B
chevron corporation	67-15885-B,67-15971-B
chevron oil company	67-15819-B
chew	13-20624-B,13-20650-B,13-28881-S,14-34029-S,14-43628-S,14-43659-S,59-38910-S
chew characters 成语 saw	13-28961-S
chew daily	31-30460-S
chew sth over	28-34613-S
chew the fat	5-16564-S,46-12820-S
chewing	12-67301-S
chewing gum	11-70648-B
chewy	53-40401-B
chi	36-61865-S,55-58559-S,63-21573-S
chi greek letter χχ	8-29610-B
chi minh city	52-21261-S
chi minh vietnamese leader	52-21186-S
chi tse 1839 1890	32-16345-S
chi you	55-58607-B
chia 1864 1912	2-43314-S
chia chiao 1916 	33-33992-S
chiahsien village in taiwan	43-39317-S
chiali town in taiwan	5-11659-S
chian village in taiwan	12-39762-S
chiang ching kuo 1910 1988	55-12570-B
chiang kai shek 1887 1975	55-12286-B
chiang kai shek against the communists	14-45852-S
chiang kai shek s coup of 12th april 1927 against the communists in shanghai	14-45479-S
chiang kai shek 蔣介石 蒋介石	15-10560-S,55-12202-S,57-15734-S
chiang kai shek 蔣介石 蒋介石 former kuomintang leader	2-74366-S
chiang kaishek and the guangxi warlord faction	55-12433-S
chiang mai	38-65377-B
chiang wei kuo	55-12646-B
chiangchun village in taiwan	20-37348-S
chiao 1916 	33-33992-S
chiaohsi village in taiwan	46-42527-S
chiaotou village in taiwan	35-1224-S
chiapas	25-5635-B
chiating village in taiwan	54-7150-S
chiatung village in taiwan	5-10993-S
chiayi city in taiwan	14-28563-S
chiba	10-50262-B
chiba prefecture	10-50301-B
chibi county in xianning 咸宁市	60-6060-B
chibi county level city in xianning 咸宁市	60-5737-B,60-5971-B
chibi in huangzhou district 黃州區 黄州区 of huanggang city 黄冈	60-5815-S
chicago	53-50542-B,53-50593-S
chicanery 成语 saw	10-16004-S
chicheng place in hebei	60-5672-S
chichi town in taiwan	66-60185-S
chichin area in taiwan	31-3245-S
chick	21-1896-B,61-34163-S,67-2899-B,67-3197-S,67-3282-B,70-58994-B
chick in unhatched egg	60-4588-S
chick slighting term for young woman	67-2938-S
chicken	6-23700-S,6-23812-S,9-34347-S,18-58090-S,19-57214-S,19-57214-S,19-57856-S,19-57856-S,26-34786-S,35-15965-S,40-30996-S,40-31544-S,40-38767-S,40-42417-S,52-13744-S,63-47013-S,67-3282-S,67-6952-B,70-59478-B
chicken and a bottle of wine 成语 saw	12-8735-S,30-34152-S
chicken cholera caused by pasteurella multocida or p avicida	67-8419-B
chicken egg	67-8027-B
chicken etc	52-35127-S
chicken farm	69-12948-B
chicken feathers to sleep on	67-7430-S
chicken feet	67-7981-B,70-52499-B
chicken in front of a monkey	36-1705-S
chicken in rice wine	63-47013-B
chicken item on a menu	19-64334-S
chicken kfc	52-13813-S
chicken lobster	21-3167-B
chicken meat	67-6986-S,67-7936-B
chicken new year greetings 谚语 proverb	71-25964-S
chicken to scare the monkey 成语 saw	36-1517-S
chicken to warn the monkey 成语 saw	36-1329-S,36-1880-S
chicken wings fast food	67-7878-B
chicken with cashew nuts	52-42243-B
chickenpox	36-44773-B
chickens roost	34-39939-S
chicks	19-16533-S
chide	14-10273-B
chidori ga fuchi	10-52554-B
chief	1-48674-S,12-24873-S,22-25877-S,33-7741-S,35-22008-S,47-21685-S,49-51767-S,50-31603-B,50-32484-S,63-23356-S,63-36674-S,63-36709-S,63-36827-S,65-11737-B,67-48785-S,68-35986-B,68-40407-B,69-21025-B,69-24587-B,70-32706-B,70-32787-B,70-33141-B,71-43909-S
chief coffin bearer arch 	34-46253-B
chief criminal	50-52452-B
chief culprit	47-2585-B
chief demons of folklore personifying pestilence	3-51832-S,3-51918-S,3-55948-S
chief editor of newspaper	50-35254-B,50-35347-B
chief executive	15-65855-B
chief executive from 1997 to 2005	54-59447-S
chief figure in a gerontocracy	6-62921-B
chief justice	69-22204-B
chief justice of us supreme court	69-22103-B
chief labor contractor	10-14468-B
chief marshal	1-48603-S
chief ministries in imperial china	1-37691-S
chief of a bureau	21-17350-S
chief of newsweek	68-10526-S
chief of staff	11-40488-S,11-40566-B,50-32400-S
chief of the princes of the spring and autumn period 770 476 bc	67-48896-S
chief offender	47-2585-B
chief pilot	35-5580-B
chief representative	69-21899-B,69-21954-B
chiefly	16-54750-B
chiefs	65-50585-S
chiefs of staff	37-14658-S
chiefs of xiongnu huns 匈奴	14-16536-S,14-18581-S
chieftain	39-1951-S,68-38825-B
chien ming wang a taiwanese starting pitcher for the new york yankees in major league baseball	42-34914-B
chienchen area in taiwan	9-25941-S
chienchin area in taiwan	9-25693-S
chienshih village in taiwan	21-6173-S
chifeng city 赤峰市	6-61735-S,33-27775-S,49-9480-S
