糢 糢 [01\[ mó\]]	blurred
絮球 絮球 [01\[ xù qiú\]]	ball of fluff (containing seeds)
絮絮 絮絮 [01\[ xù xu\]]	endless prattle;to chatter incessantly
絮絮叨叨 絮絮叨叨 [01\[ xù xu dāo dāo\]]	long-winded;garrulous;to talk endlessly without getting to the point
絮聒 絮聒 [01\[ xù guō\]]	noisy prattle;to chatter loudly
絮語 絮语 [01\[ xù yǔ\]]	to chatter incessantly
絮說 絮说 [01\[ xù shuō\]]	to chatter endlessly
絰 絰 [01\[ dié\]]	hempen cloth worn by mourner
統 统 [01\[ tǒng\]]	to gather;to unite;to unify;whole
統一 统一 [01\[ tǒng yī\]]	to unify;to unite;to integrate
統一口徑 统一口径 [01\[ tǒng yī kǒu jìng\]]	lit. one-track path; fig. to adopt a unified approach to discussing an issue;to sing from the same hymn-sheet
統一戰線 统一战线 [01\[ tǒng yī zhàn xiàn\]]	united front
統一戰線工作部 统一战线工作部 [01\[ tǒng yī zhàn xiàn gōng zuò bù\]]	united front work department
統一招生 统一招生 [01\[ tǒng yī zhāo shēng\]]	national unified entrance exam
統一發票 统一发票 [01\[ tǒng yī fā piào\]]	invoice
統一碼 统一码 [01\[ tǒng yī mǎ\]]	unicode
統假設 统假设 [01\[ tǒng jiǎ shè\]]	hypothesis;conjecture
統共 统共 [01\[ tǒng gòng\]]	altogether;in total
統制 统制 [01\[ tǒng zhì\]]	to control
統屬 统属 [01\[ tǒng shǔ\]]	subordination;line of command
統帥 统帅 [01\[ tǒng shuài\]]	command;commander-in-chief
統建 统建 [01\[ tǒng jiàn\]]	unified construction
統御 统御 [01\[ tǒng yù\]]	control
統感 统感 [01\[ tǒng gǎn\]]	feeling of togetherness
統戰 统战 [01\[ tǒng zhàn\]]	united front (abbr. for 統一戰線|统一战线);consolidation
統戰部 统战部 [01\[ tǒng zhàn bù\]]	united front department
統攬 统揽 [01\[ tǒng lǎn\]]	to centralize
統治 统治 [01\[ tǒng zhì\]]	to rule (a country);to govern;rule;regime
統治權 统治权 [01\[ tǒng zhì quán\]]	sovereignty;dominion;dominance
統治者 统治者 [01\[ tǒng zhì zhě\]]	ruler
統漢字 统汉字 [01\[ tǒng hàn zì\]]	unihan;cjk unified ideographs
統獨 统独 [01\[ tǒng dú\]]	unification and independence
統率 统率 [01\[ tǒng shuài\]]	to command;to direct
統稱 统称 [01\[ tǒng chēng\]]	collectively called;common name
統稱為 统称为 [01\[ tǒng chēng wéi\]]	collectively known as;to call sth as a group
統管 统管 [01\[ tǒng guǎn\]]	unified administration
統籌 统筹 [01\[ tǒng chóu\]]	an overall plan;to plan an entire project as a whole
統籌兼顧 统筹兼顾 [01\[ tǒng chóu jiān gù\]]	an overall plan taking into account all factors
統統 统统 [01\[ tǒng tǒng\]]	totally
統考 统考 [01\[ tǒng kǎo\]]	unified examination (e.g. across the country)
統艙 统舱 [01\[ tǒng cāng\]]	common passenger accommodation in the hold of a ship;steerage
統計 统计 [01\[ tǒng jì\]]	statistics
統計員 统计员 [01\[ tǒng jì yuán\]]	a person employed to collect statistics;a statistician
統計學 统计学 [01\[ tǒng jì xué\]]	statistics
統計數據 统计数据 [01\[ tǒng jì shù jù\]]	statistical data
統計結果 统计结果 [01\[ tǒng jì jié guǒ\]]	statistical results
統計表 统计表 [01\[ tǒng jì biǎo\]]	statistical table
統貨 统货 [01\[ tǒng huò\]]	unified goods;goods in the command economy that are not graded by quality and uniformly priced
統購 统购 [01\[ tǒng gòu\]]	state purchasing monopoly
統購統銷 统购统销 [01\[ tǒng gòu tǒng xiāo\]]	state monopoly of purchasing and marketing
統轄 统辖 [01\[ tǒng xiá\]]	to govern;to have complete control over;to be in command of
統通 统通 [01\[ tǒng tōng\]]	everything
統配 统配 [01\[ tǒng pèi\]]	a unified distribution;a unified allocation
統銷 统销 [01\[ tǒng xiāo\]]	state marketing monopoly
統鋪 统铺 [01\[ tǒng pù\]]	a common bed (to sleep many)
統領 统领 [01\[ tǒng lǐng\]]	to lead;to command;commander;officer
統馭 统驭 [01\[ tǒng yù\]]	to control
絲 丝 [01\[ sī\]]	silk;thread;trace
絲巾 丝巾 [01\[ sī jīn\]]	headscarf;kerchief;silk neckband
絲帶 丝带 [01\[ sī dài\]]	ribbon
絲柏 丝柏 [01\[ sī bó\]]	cypress
絲毫 丝毫 [01\[ sī háo\]]	the slightest amount or degree;a bit
絲氨酸 丝氨酸 [01\[ sī ān suān\]]	serine (ser)
絲狀 丝状 [01\[ sī zhuàng\]]	thread-like
絲狀物 丝状物 [01\[ sī zhuàng wù\]]	filament
絲瓜 丝瓜 [01\[ sī guā\]]	luffa (loofah)
絲絨 丝绒 [01\[ sī róng\]]	velvet
絲綢 丝绸 [01\[ sī chóu\]]	silk cloth;silk
絲綢之路 丝绸之路 [01\[ sī chóu zhī lù\]]	the silk road
絲綢織物 丝绸织物 [01\[ sī chóu zhī wù\]]	silk fabric
絲綿 丝绵 [01\[ sī mián\]]	silk floss;down
絲縷 丝缕 [01\[ sī lǚ\]]	silk thread
絲襪 丝袜 [01\[ sī wà\]]	stocking
絲路 丝路 [01\[ sī lù\]]	the silk road (abbr. for 丝绸之路)
絳 绛 [01\[ jiàng\]]	purple-red
絳縣 绛县 [01\[ jiàng xiàn\]]	jiang county in shanxi
絵 絵 [01\[ huì\]]	japanese variant of 繪|绘
絶 絶 [01\[ jué\]]	japanese variant of 絕|绝
絹 绢 [01\[ juàn\]]	thick but loosely woven silk
絺 絺 [01\[ chī\]]	fine fibers of hemp;linen
絻 絻 [01\[ miǎn\]]	cap
絿 絿 [01\[ qiú\]]	urgent;pressing
綀 綀 [01\[ shū\]]	a kind of sackcloth
綁 绑 [01\[ bǎng\]]	to tie;bind or fasten together;to kidnap
綁住 绑住 [01\[ bǎng zhù\]]	fasten;bind
綁匪 绑匪 [01\[ bǎng fěi\]]	kidnapper
綁架 绑架 [01\[ bǎng jià\]]	kidnap;staking
綁票 绑票 [01\[ bǎng piào\]]	kidnap (for ransom)
綁紮 绑扎 [01\[ bǎng zhá\]]	binding (computer science)
綁腿 绑腿 [01\[ bǎng tuǐ\]]	leg wrappings;puttee
綁走 绑走 [01\[ bǎng zǒu\]]	to abduct;to kidnap
綃 绡 [01\[ xiāo\]]	raw silk
綅 綅 [01\[ qīn\]]	red silk crest of helmet
綆 绠 [01\[ gěng\]]	rope;well-rope
綈 绨 [01\[ tí\]]	coarse greenish black pongee
綌 綌 [01\[ xì\]]	coarse hempen fabric
綍 綍 [01\[ fú\]]	heavy rope;ropes of a bier
綎 綎 [01\[ tīng\]]	silk braided cord
綏 绥 [01\[ suí\]]	pacify
綏中 绥中 [01\[ suí zhōng\]]	suizhong county in huludao 葫蘆島|葫芦岛
綏中縣 绥中县 [01\[ suí zhōng xiàn\]]	suizhong county in huludao 葫蘆島|葫芦岛
綏化 绥化 [01\[ suí huà\]]	(n) suihua (city in heilongjiang)
綏化地區 绥化地区 [01\[ suí huà dì qū\]]	(n) suihua district (district in heilongjiang)
綏化市 绥化市 [01\[ shuí huà shì\]]	suihua city in heilongjiang
綏寧 绥宁 [01\[ suí níng\]]	(n) suining (place in hunan)
綏德 绥德 [01\[ suí dé\]]	(n) suide (place in shaanxi)
綏江 绥江 [01\[ suí jiāng\]]	(n) suijiang (place in yunnan)
綏濱 绥滨 [01\[ suí bīn\]]	(n) suibin (place in heilongjiang)
綏稜 绥棱 [01\[ suí léng\]]	(n) suileng (place in heilongjiang)
綏芬河 绥芬河 [01\[ suí fēn hé\]]	suifenhe river and city in heilongjiang
綏芬河市 绥芬河市 [01\[ suí fēn hé shì\]]	suifenhe city in heilongjiang
綏陽 绥阳 [01\[ suí yáng\]]	(n) suiyang (place in guizhou)
綏靖 绥靖 [01\[ suí jìng\]]	to pacify;to appease;appeasement
綏靖主義 绥靖主义 [01\[ suí jìng zhǔ yì\]]	appeasement
綑 困 [01\[ kǔn\]]	a bunch;tie together
經 经 [01\[ jīng\]]	classics;sacred book;scripture;to pass through;to undergo;warp;longitude;abbr. for economics 經濟|经济;surname jing
經不起 经不起 [01\[ jīng bù qǐ\]]	unable to bear;cannot resist;can ill afford
經久 经久 [01\[ jīng jiǔ\]]	long-lasting;durable
經久不衰 经久不衰 [01\[ jīng jiǔ bù shuāi\]]	unfailing;never-ending
經典 经典 [01\[ jīng diǎn\]]	the classics;scriptures;classical
經典動力系統 经典动力系统 [01\[ jīng diǎn dòng lì xì tǒng\]]	classical dynamical system (math. phys.)
經受 经受 [01\[ jīng shòu\]]	to undergo (hardship);to endure;to withstand
經合 经合 [01\[ jīng hé\]]	oecd (organization for economic cooperation and development) oecd;abbr. for 經濟合作與發展組織|经济合作与发展组织
經合組織 经合组织 [01\[ jīng hé zǔ zhī\]]	oecd (organization for economic cooperation and development) oecd;abbr. for 經濟合作與發展組織|经济合作与发展组织
經商 经商 [01\[ jīng shāng\]]	to trade;to carry out commercial activities;in business
經圈 经圈 [01\[ jīng quān\]]	line of longitude;meridian (geography)
經常 经常 [01\[ jīng cháng\]]	day to day;everyday;daily;frequently;constantly;regularly;often
經度 经度 [01\[ jīng dù\]]	longitude
經得起 经得起 [01\[ jīng de qǐ\]]	able to withstand
經文 经文 [01\[ jīng wén\]]	scripture;scriptures
經書 经书 [01\[ jīng shū\]]	classic books in confucianism;scriptures;sutras
經歷 经历 [01\[ jīng lì\]]	experience;go through
經氣聚集 经气聚集 [01\[ jīng qì jù jí\]]	meeting points of qi (in chinese medicine)
經濟 经济 [01\[ jīng jì\]]	economy;economic
經濟人 经济人 [01\[ jīng jì rén\]]	homo economicus
經濟制度 经济制度 [01\[ jīng jì zhì dù\]]	economy
經濟前途 经济前途 [01\[ jīng jì qián tú\]]	economic future;economic outlook
經濟力量 经济力量 [01\[ jīng jì lì liang\]]	economic strength
經濟危機 经济危机 [01\[ jīng jì wēi jī\]]	economic crisis
經濟合作與發展組織 经济合作与发展组织 [01\[ jīng jì hé zuò yǔ fā zhǎn zǔ zhī\]]	organization for economic cooperation and development (oecd);abbr. to 經合組織|经合组织
經濟基礎 经济基础 [01\[ jīng jì jī chǔ\]]	socio-economic base;economic foundation
經濟增加值 经济增加值 [01\[ jīng jì zēng jiā zhí\]]	economic value added
經濟增長 经济增长 [01\[ jīng jì zēng zhǎng\]]	economic growth
經濟學 经济学 [01\[ jīng jì xué\]]	economics (as a field of study)
經濟學家 经济学家 [01\[ jīng jì xué jiā\]]	economist
經濟學者 经济学者 [01\[ jīng jì xué zhě\]]	economist
經濟安全 经济安全 [01\[ jīng jì ān quán\]]	economic security
經濟改革 经济改革 [01\[ jīng jì gǎi gé\]]	economic reform
經濟效益 经济效益 [01\[ jīng jì xiào yì\]]	economic benefit
經濟有效 经济有效 [01\[ jīng jì yǒu xiào\]]	cost-effective
經濟特區 经济特区 [01\[ jīng jì tè qū\]]	special economic zone
經濟界 经济界 [01\[ jīng jì jiè\]]	economic circles
經濟發展 经济发展 [01\[ jīng jì fā zhǎn\]]	economic development
經濟艙 经济舱 [01\[ jīng jì cāng\]]	economy class
經濟衰退 经济衰退 [01\[ jīng jì shuāi tuì\]]	(economic) recession
經濟體制 经济体制 [01\[ jīng jì tǐ zhì\]]	economic system
經濟體系 经济体系 [01\[ jīng jì tǐ xì\]]	economic system
經營 经营 [01\[ jīng yíng\]]	to engage in (business etc);to run;to operate
經營管理和維護 经营管理和维护 [01\[ jīng yíng guǎn lǐ hé wéi hù\]]	operations administration and maintenance;oam
經營者 经营者 [01\[ jīng yíng zhě\]]	manager;transactor
經營費用 经营费用 [01\[ jīng yíng fèi yòng\]]	business cost;business expense
經理 经理 [01\[ jīng lǐ\]]	manager;director
經由 经由 [01\[ jīng yóu\]]	via
經痛 经痛 [01\[ jīng tòng\]]	menstrual pain;dysmenorrhea
經管 经管 [01\[ jīng guǎn\]]	be in charge of
經籍 经籍 [01\[ jīng jí\]]	religious text
經紀 经纪 [01\[ jīng jì\]]	to manage (a business);manager;broker
經紀人 经纪人 [01\[ jīng jì rén\]]	broker;middleman;agent;manager
經絡 经络 [01\[ jīng luò\]]	energy channels (in chinese medicine)
經絲彩色顯花 经丝彩色显花 [01\[ jīng sī cǎi sè xiǎn huā\]]	warp brocade;woven fabric with single woof but colored warp
經線 经线 [01\[ jīng xiàn\]]	warp;line of longitude;meridian (geography)
經緯 经纬 [01\[ jīng wěi\]]	warp and woof;longitude and latitude;main points
經緯儀 经纬仪 [01\[ jīng wěi yí\]]	theodolite
經費 经费 [01\[ jīng fèi\]]	funds;expenditure
經貿 经贸 [01\[ jīng mào\]]	trade
經過 经过 [01\[ jīng guò\]]	to pass;to go through;process;course
經銷 经销 [01\[ jīng xiāo\]]	to sell;to distribute
經錦 经锦 [01\[ jīng jǐn\]]	warp brocade;woven fabric with single colored woof but many-colored warp
經陸路 经陆路 [01\[ jīng lù lù\]]	overland
經驗 经验 [01\[ jīng yàn\]]	to experience;experience
經驗主義 经验主义 [01\[ jīng yàn zhǔ yì\]]	empiricism
經驗豐富 经验丰富 [01\[ jīng yàn fēng fù\]]	experienced;with ample experience
綖 綖 [01\[ yán\]]	cap tassels
綘 綘 [01\[ féng\]]	variant of 縫|缝;to sew
継 継 [01\[ jì\]]	japanese variant of 繼|继
続 続 [01\[ xù\]]	japanese variant of 續|续
綜 综 [01\[ zōng\]]	to sum up
綜上所述 综上所述 [01\[ zōng shàng suǒ shù\]]	to summarize;a round-up;in summary ...
綜合 综合 [01\[ zōng hé\]]	composite;synthesized;to sum up;to integrate;to synthesize
綜合報導 综合报导 [01\[ zōng hé bào dǎo\]]	summary report;press release;brief
綜合報導 综合报道 [01\[ zōng hé bào dào\]]	consolidated report
綜合布線 综合布线 [01\[ zōng hé bù xiàn\]]	integrated wiring
綜合徵 综合征 [01\[ zōng hé zhēng\]]	a syndrome
綜合性 综合性 [01\[ zōng hé xìng\]]	synthesis
綜合敘述 综合叙述 [01\[ zōng hé xù shù\]]	to summarize;a round-up
綜合服務數位網絡 综合服务数位网络 [01\[ zōng hé fú wù shù wèi wǎng luò\]]	integrated services digital network;isdn
綜合法 综合法 [01\[ zōng hé fǎ\]]	synthesis;synthetic reasoning
綜括 综括 [01\[ zōng kuò\]]	to summarize;to round up
綜效 综效 [01\[ zōng xiào\]]	synergy
綜析 综析 [01\[ zōng xī\]]	synthesis
綜藝 综艺 [01\[ zōng yì\]]	comprehensive or assorted art and literature
綜藝節目 综艺节目 [01\[ zōng yì jié mù\]]	variety show
綜觀 综观 [01\[ zōng guān\]]	comprehensive survey
綜計 综计 [01\[ zōng jì\]]	grand total;to add everything together
綜述 综述 [01\[ zōng shù\]]	to sum up;a roundup;a general narrative
綠 绿 [01\[ lǜ\]]	green
綠化 绿化 [01\[ lǜ huà\]]	to make green with plants;to reforest
綠區 绿区 [01\[ lǜ qū\]]	(baghdad) green zone
綠卡 绿卡 [01\[ lǜ kǎ\]]	united states permanent resident card;green card
綠園 绿园 [01\[ lǜ yuán\]]	lüyuan district of changchun city 長春市|长春市
綠園區 绿园区 [01\[ lǜ yuán qū\]]	lüyuan district of changchun city 長春市|长春市
綠女紅男 绿女红男 [01\[ lǜ nǚ hóng nán\]]	young people decked out in gorgeous clothes (成语 saw)
綠寶石 绿宝石 [01\[ lǜ bǎo shí\]]	beryl
綠島鄉 绿岛乡 [01\[ lǜ dǎo xiāng\]]	(n) lutao
綠帽子 绿帽子 [01\[ lǜ mào zi\]]	cuckold
綠春 绿春 [01\[ lǜ chūn\]]	(n) luchun (place in yunnan)
綠松石 绿松石 [01\[ lǜ sōng shí\]]	turquoise
綠林 绿林 [01\[ lǜ lín\]]	green wood;place name in hubei
綠林好漢 绿林好汉 [01\[ lǜ lín hǎo hàn\]]	true hero of greenwood (refers to popular hero in robin hood style)
綠林豪客 绿林豪客 [01\[ lǜ lín háo kè\]]	bold hero of greenwood (refers to popular hero in robin hood style)
綠樹 绿树 [01\[ lǜ shù\]]	green tree
綠油油 绿油油 [01\[ lǜ yóu yóu\]]	lush green;verdant
綠泥石 绿泥石 [01\[ lǜ ní shí\]]	chlorite (geol.)
綠洲 绿洲 [01\[ lǜ zhōu\]]	oasis
綠燈 绿灯 [01\[ lǜ dēng\]]	green light
綠營 绿营 [01\[ lǜ yíng\]]	green standard army
綠皮書 绿皮书 [01\[ lǜ pí shū\]]	green paper
綠礬 绿矾 [01\[ lǜ fán\]]	green vitriol (ferrous sulfate feso4:7h2o)
綠色 绿色 [01\[ lǜ sè\]]	green
綠色和平組織 绿色和平组织 [01\[ lǜ sè hé píng zǔ zhī\]]	greenpeace
綠色食品 绿色食品 [01\[ lǜ sè shí pǐn\]]	green food product;organic food
綠苔 绿苔 [01\[ lǜ tái\]]	green algae
綠茶 绿茶 [01\[ lǜ chá\]]	green tea
綠草 绿草 [01\[ lǜ cǎo\]]	green grass
綠草如茵 绿草如茵 [01\[ lǜ cǎo rú yīn\]]	green grass like cushion (成语 saw); green meadow so inviting to sleep on
綠豆 绿豆 [01\[ lǜ dòu\]]	mung bean
