soap bubble 成语 saw	49-35613-S
spears and chariots	61-17224-S
special	20-40380-B,22-43096-S,41-55693-B,41-56575-B,41-57283-B,41-57796-B,41-59810-B,42-9102-B,43-60089-S
special abilities	18-1579-S
special ability	18-1530-B
special ability or strong points	41-62435-S
special administrative region	41-56941-B,41-57465-B
special agent	41-57330-B
special ambassador	41-55819-B
special appointment	41-55767-B,41-60176-B
special assignment military	41-57330-B
special blend coffee	41-61814-B
special care	41-59955-B
special case	41-55884-B
special case for investigation	20-39445-B
special characteristics	42-19909-S
special choice	41-60731-B
special collection	41-62314-B
special collection of printed material	20-41513-B
special column	20-40047-B
special commissioner	41-60288-B
special correspondent	41-60176-B,41-60288-B,41-61402-B
special detachment	9-3302-B
special district	20-38326-B
special duties unit	41-56645-B
special duty	20-41046-B
special economic area in liupanshui 六盤水 六盘水	7-68169-S
special economic zone	49-60569-B
special edition of magazine	41-56513-B
special education	41-59883-B
special effect	41-58860-B,41-59490-B
special envoy	41-55819-B
special exemption	41-56336-B
special favor from a ruler	25-1885-B
special feature	41-59637-B
special forces	41-60996-S,48-53090-B
special fund	20-40156-B
special glory	35-61223-B
special grade	41-61249-B,41-61486-B
special guest appearance in film credits	41-57149-B
special guest performer in a show	41-57149-B
special interest	41-22917-S
special investigating team legal or judicial	20-39530-B
special invitation	41-62384-B
special issue	41-62314-B
special knowledge or ability	20-41608-B
special local product	41-60467-B
special need	41-62526-B
special nursing	41-61960-B
special olympics	41-57737-B
special or precision equipment	14-35239-B
special or reserved train or other vehicle	20-41431-B
special permission	41-61623-B
special police	41-60878-B
special price	41-55945-B
special privilege	41-58614-B
special product	20-39851-S
special property	41-62138-B
special purpose	41-57674-S
special purpose phone line or communications link	20-40886-B
special purpose trip	20-40754-B
special rail line eg between airport and city	20-40886-B
special relativity	42-9170-B
special reserve	3-9894-B,41-60731-B
special service	41-57987-B
special skill	1-14389-S
special subject	61-26340-S
special task	41-61308-S
special thanks	41-56800-B
special topic	20-42034-B
special trade	20-40321-B
special treatment	41-56729-B
special type	41-60815-B
specialist	20-37740-B,20-38631-B,20-41684-B,20-41753-B,20-41897-B,40-26211-B,63-49847-S
specialist organization	20-41954-B
specialist responsible some task	20-38388-B
specialists in some activity such as musician or revolutionary	19-60606-S
speciality	15-31695-S,38-26019-S
specialization	20-39791-B,41-57418-B,42-9102-B
specialization of brain function	52-39532-B
specialize	20-41840-B
specialized	20-41684-B,51-37534-B
specialized education	20-39952-B
specialized field	20-39621-B
specialized hospital	44-12636-S
specialized middle school	2-77561-B
specialized staff	20-41753-B
specialized text	20-41123-B
specially	41-57674-B,41-58805-B,41-60402-B
specially engaged	41-61308-B
specially for an occasion	30-69854-B
specially for our newspaper	32-62606-S
specially good effect	41-59490-B
specialty	15-12827-S,20-41608-B,41-60467-S
specialty dish	27-55137-B
specialty dishes	12-58153-B
specialty mos	60-63424-S
specialty store	20-41368-B
specialty to obtain a higher degree	29-48033-S
species	13-33990-S,13-34677-S,14-19404-S,15-4429-S,16-43436-S,34-50216-S,34-58234-S,40-14061-S,40-14149-S,41-54409-B,41-54451-S,42-43586-S,43-62406-S,47-10598-S,47-31899-B,47-32047-S,47-32586-S,47-33468-S,47-33723-S,47-33975-B,49-47385-S,68-41667-S,69-3668-S,69-3999-S,70-46132-S
species of apple which is slightly sour and astringent	35-15119-S
species of bamboo	48-17128-B
species of water plant	54-23064-B
species of wild fauna and flora	40-14224-S
species such as homo erectus	12-175-S
specific	5-53314-B,8-5128-B,20-40812-S,41-57796-B,46-57407-S
specific gravity	36-12679-B
specific heat	36-11130-B
specific humidity	36-11009-B
specific integrated circuit	20-40510-S
specific meaning	41-57868-B
specific purpose	41-60402-S
specific responsibility	20-41241-B
specific task	20-37740-S,20-37821-S
specific value	36-9385-B
specific volume	36-10415-B
specifically prescribed for a definite condition	26-10105-S
specification	33-65473-B,34-55415-S,57-33202-B,57-33621-B
specifications	10-14326-S
specified time	65-748-B
specify	8-5469-S,43-44556-S,57-33621-S
specimen	34-53242-B,34-59319-B,34-59470-B
specimen used to define a species	34-58234-S
specious arguments	58-15246-B,58-15309-S,58-15399-B
speck	24-20833-B,71-37621-B,71-38769-B,71-43349-B
speckle	20-65055-B,30-33493-B
speckled alder	40-26125-B
spectabilis	38-20440-S
spectacle	14-9089-S,18-1841-B,25-46988-S
spectacle too horrible to endure 成语 saw	25-46843-B
spectacles	45-52174-B,64-58033-S
spectacular	16-37565-B
spectacular significance	28-16053-S
spectator	30-67363-B,30-67424-B,57-43240-B
spectator s grandstand	45-38162-B
specter	22-55583-B
spectral line	59-15199-B
spectrogram	68-42328-B
spectrograph	7-13180-B
spectrometer	7-13180-B
spectrometry	59-60970-S
spectroscopy	58-64285-B,60-53749-S
spectrum	7-13137-B,12-16546-S,31-62636-S,37-41783-B,60-45771-S,68-42328-S,68-42328-B
spectrum math phys 	58-64215-B
speculate	5-61061-S,5-61307-S,28-31444-B
speculate buying and selling	5-54933-S
speculate on financial markets	5-57158-S,27-2297-S
speculation	14-62792-S,27-2399-S,27-2529-S,28-31444-B
speculation and profiteering 成语 saw	27-2399-B
speculation by officials	19-40296-B
speculative	28-31594-B
speculum	41-33289-B,65-1311-B
speech	6-7461-S,11-69845-S,11-70234-S,11-70502-S,12-53008-S,16-1230-S,16-9391-B,23-46684-S,23-46757-S,25-11509-S,31-52037-S,34-13567-S,36-10025-S,36-63401-S,38-3947-S,39-46832-S,39-46945-S,41-11022-S,42-39546-S,44-25877-S,44-33825-S,44-34162-S,46-55121-S,48-7439-S,48-7513-S,48-19757-S,48-21328-S,48-49973-S,53-19840-S,57-56089-B,57-56285-S,57-56442-S,57-64016-S,58-762-S,58-15688-B,58-16085-B,58-24766-B,58-27385-S,58-45522-S,58-47670-S,58-54106-S,58-55340-S,62-30733-S,65-18568-S,66-49033-S,69-47142-S
speech against one s own convictions	62-57055-B
speech all of a kind e g all lies	39-35615-S
speech and honeyed words 成语 saw	43-17594-S
speech at a conference	65-34111-S
speech bearing no relation to reality	17-2996-S
speech by deng xiaoping 鄧小平 邓小平 introducing the four modernizations 四個現代化 四个现代化 	47-17500-S
speech contrasting two incompatible parts	35-24872-S
speech defect	57-56133-B,57-56216-B,58-27463-B,58-27728-B
speech e g as a result of brain damage	17-67371-S
speech e g to a a party conference	19-55742-S
speech esp short introduction	53-20047-S
speech grammar	6-38622-S,58-11727-S
speech in grammar	23-28916-S
speech in writing	29-24320-S
speech noun	58-10124-S
speech of thanks	58-57297-B
speech of the chinese language	31-52037-S
speech or action	8-51516-S
speech or article	39-44617-S,65-32486-S
speech or essay	51-13985-S
speech or piece of writing	55-45775-S
speech or theory	46-19354-S
speech or writing	24-1683-S,58-25359-S
speech or writing with literary allusions	61-24943-S
speech or written article	46-19461-S
speech pure perfect accent	39-35615-S
speech recognition	58-28590-B
speech synthesis	58-28237-B
speech that grates on the ear 成语	61-67948-B
speech to the detriment of what you want to say	1-67379-S,1-67577-S
speech tone	58-37039-B
speeches	32-60530-S
speechless	14-39516-S,23-37900-S,58-31345-B
speed	4-70045-S,6-41466-S,7-42227-S,7-42227-S,13-14280-S,18-7264-S,18-7816-B,18-18601-S,24-48079-B,24-49057-S,24-60260-S,28-16261-S,28-16584-S,29-20891-S,32-20021-S,39-1252-S,40-24757-S,44-7556-S,58-39803-S,60-25106-S,60-60309-S,62-16771-B,62-17064-B,68-57649-S,68-63424-S,69-1002-S,69-45329-B,70-22254-S,70-22511-S
speed along	24-60396-S
