the gospel	19-55856-S
the rich and powerful	18-31576-S,18-31734-S,27-13572-S,29-32105-S
the rich and powerful by literary hack work etc	22-36210-S
the rich and powerful 成语 saw	17-3593-S
the rich man cannot be benevolent 成语	40-32129-B
the rich to help the poor	9-62548-S,36-40-S
the rich to help the poor 成语 saw	26-43079-S
the riddle	57-52394-S
the ride	68-27254-S
the riemann roch theorem	71-27320-S
the right	12-23532-S,12-62633-S
the right and selfconfident 成语 saw	42-56035-S
the right choice	54-26244-S
the right course and follow it 成语 saw	29-18794-S
the right cure for an illness	20-52978-S
the right decision	53-40808-S
the right flank	12-23413-B
the right flavor	2-14428-S
the right foot	3-44153-S
the right hand side of split chinese character	30-67012-B
the right medicine for an illness 成语 saw	20-53110-S,20-53317-S
the right moment	12-31509-S,12-34724-S,31-40069-S
the right of speech	44-34162-B
the right of the main guest	1-59913-S
the right path	27-60346-S
the right path by repeated word and example	25-39302-S
the right person	28-34984-S
the right place	15-38617-S
the right season	2-34820-S
the right season for planting cabbage	35-38196-B
the right side	12-23532-B
the right side in a civil war	45-2593-B
the right social connection	65-23923-B
the right time	17-47899-B,35-35989-S
the right time for sth	35-38196-B
the right title or reputation	12-56605-S
the right track	20-57602-S
the right way to solve it	20-53110-S,20-53317-S
the right word	41-591-S
the right word of poet	57-34101-S
the right word 成语 saw	65-28766-S
the righteous harmonious fists	51-12875-B,51-13050-B
the rightful emperor	17-46030-B
the rights of	5-27495-S
the ring	8-47584-S
the rings by j r r tolkien 托爾金 托尔金	70-35634-S
the ripper	65-40684-S
the rising moon	32-52078-S
the rising or setting sun	67-18274-S
the risk of one s life	8-11717-S,27-40665-S,27-40782-S,27-51593-S,27-52347-S
the risks	4-27069-S
the rites of zhou in confucianism	13-13609-B
the rites 成语 saw	7-15935-S
the ritual	19-21467-S
the river	36-61767-S,37-26900-S,37-26900-S
the river first	7-4355-S
the river gan in jiangxi	40-19461-B
the river 成语 saw	21-33595-S,52-18052-S
the road	21-10948-S,21-34989-S,21-35102-S,37-27659-S,60-41125-S,61-7819-S,69-42609-S
the road also fig clamor	61-7970-S
the road i e get rid of people for passage of royalty or vip	38-64995-S
the road in car racing	26-67755-S
the road means more than the destination	60-41196-B
the road one must follow or take	24-41621-B
the road to heaven	17-54092-S
the road to ruin	5-7699-B
the roads 成 语 saw	11-68916-S,68-27885-S
the roads 成语 saw	24-63809-S,24-64159-S,25-10673-S,69-14036-S,69-14261-S
the rocks	9-51732-S
the rocks a drink	9-51675-S
the rocky mountains	37-56740-B
the rod and spoil the child	18-40181-S
the role of	6-65842-S
the roman catholic church	50-62935-B
the romans	50-63533-S
the roof	34-24459-S
the roof finishing a building project	20-34465-S
the roof of the world	2-39272-B
the roof to mark the completion of a building project	20-34612-S
the roofridge 成语 saw	60-54554-S
the rooftops	26-24834-S
the room	21-20311-S
the root	9-5144-S
the root bark of the peony tree	3-3094-B
the root cause	37-24607-S
the root cause and symptoms of a disease	34-53242-B
the root cause of evil	34-32591-B
the root cause of trouble	44-10540-B
