hé jiān	37-21571-B
hū chī	13-18447-B
hū diàn huà	6-34678-S
hū dà yì	44-1967-S
hū fēng huàn yǔ	13-19755-B
hū hu	69-44460-S
hū huàn	13-18559-B
hū hào	13-19704-B
hū hé hào tè	13-18227-B
hū hé hào tè shì	13-18308-B
hū hū	6-45425-S,13-18125-B,24-50992-B,41-17749-S,52-19514-S,61-55356-S,71-28239-S
hū hū shēng	13-18178-B
hū hǎn	13-18504-B
hū jiào	13-17431-B
hū jiào qì	13-17550-B
hū jiào shēng	13-17606-B
hū jiào zhōng xīn	13-17481-B
hū lái hè qù	13-16856-B
hū lán	13-19638-B
hū lún bèi ěr	13-16990-B
hū lún bèi ěr cǎo yuán	13-17316-B
hū lún bèi ěr méng	13-17207-B
hū lún bèi ěr shì	13-17093-B
hū lún hú	13-16919-B
hū lüè	24-51164-B
hū lā quān	13-18920-B
hū lū	13-18679-B
hū lū lū	13-18736-B
hū lǔ mó sī	24-51372-B
hū méi yǒu	22-56270-S
hū mǎ	13-19275-S,13-19427-B
hū niú hū mǎ	13-19275-B
hū niú zuò mǎ	13-19119-B
hū péng yǐn lèi	13-18973-B
hū qì	13-19073-B
hū qí jì	46-55582-S
hū rán	24-51107-B
hū shì	24-51243-B
hū shēng	13-18178-S,13-19573-B,32-3585-S
hū tú bì	13-18803-B
hū wán quán	22-56182-S
hū xiàn	24-51290-S
hū xiào	13-18626-B
hū xiū	13-18400-B
hū xī	13-17717-B
hū xī dào	13-18065-B
hū xī guǎn	13-17859-B
hū xī qì	6-29085-S,13-17756-B
hū xī shuǐ fèi xì tǒng	20-5906-S
hū xī tiáo jié qì	13-17982-B
hū xī xì tǒng	13-17910-B
hū yì liào	8-33973-S
hū yìng	13-18875-B
hū yù	13-19491-B
hū yù liào	8-34065-S
hū yǐn hū xiàn	24-51290-B
hū zhào	13-17658-B
hū zhí shǒu	42-39437-S,44-2074-S
hū zhě yě	3-10530-S,39-35763-S
hūn	3-30414-S,8-8683-S,18-53166-B,19-44585-S,22-2130-S,24-14159-S,25-16866-B,28-38572-S,30-46717-S,31-13402-S,31-26620-B,32-57530-S,35-64050-B,36-53817-S,44-30309-S,45-18211-S,45-57212-B,49-21981-S,49-40607-S,54-12968-S,54-60794-B,57-56931-S,58-3439-S,59-62577-S,62-9277-S,62-64866-S,64-25881-S,65-25220-S,65-26835-S,65-41265-S,65-50638-B,67-4294-S,67-9281-S,68-37500-S,71-20118-S
hūn chén	31-26839-B
hūn chén chén	31-26738-S
hūn cài	54-60826-B
hūn fū	32-57573-S
hūn fū fù	30-46760-S
hūn hūn chén chén	31-26738-B
hūn jià	18-53701-B
hūn jué	31-26696-B
hūn jì niàn rì	49-40664-S
hūn liàn	18-53848-B
hūn líng	18-54203-B
hūn lǐ	18-53996-B
hūn mí	31-26990-B
hūn mí bù xǐng	31-27060-B
hūn mù xuàn	68-37668-S
hūn mù yūn	68-37562-S
hūn nǎo	31-27130-S
hūn nǎo mèn	68-38080-S
hūn nǎo xuàn	68-38171-S
hūn nǎo zhàng	68-38261-S
hūn pèi	18-54161-B
hūn qián	18-53279-B
hūn qián cái chǎn gōng zhèng	18-53337-B
hūn qìng	18-53794-B
hūn qī	18-53900-B,32-57624-S,62-64926-S
hūn shuì	31-26901-B
hūn shén xīng	18-53944-B
hūn shì	18-53229-B
hūn shā	18-54114-B
hūn shēng	67-64018-S
hūn shēng zǐ nǚ	67-64097-S
hūn tóu	3-35372-S
hūn tóu hūn nǎo	31-27130-B
hūn tóu nǎo	37-13185-S,56-39708-S
hūn wài	18-53455-B
hūn wài xìng jiē chù	18-53501-B
hūn wǎn yù	31-44868-S
hūn yuē	18-54053-B
hūn yàn	18-53743-B
hūn yīn	10-18840-S,18-53585-B
hūn yīn fǎ	18-53645-B
hūn yǎn huā	68-37983-S
hūn yǎn yūn	68-37759-S
hūn yǎn àn	68-37864-S
hūn yǐn jiǔ	54-13012-S
hūn àn	31-26801-B
hǎ	13-36456-B,40-37249-S
hǎ dí	13-40568-B
hǎ jí	13-37531-B
hǎ luó fū	55-23527-S
hǎ luó fū jiǎng	55-23734-S
hǎ luó fū rén quán jiǎng	55-23607-S
hǎ mài dé	53-46717-S
hǎ mài dé ā bā dé	53-46782-S
hǎ nuò fū	55-23864-S
hǎ nuò fū rén quán jiǎng	55-23934-S
