dǎ bu guò	26-40554-B
er dao	7-31070-S,16-50022-S,22-15190-S,43-9482-S,71-8195-S
er dao fan zi	3-43167-B
er dao ling	28-33509-S
er de	11-8653-S,18-14696-S,22-17021-S,22-66616-S,27-22159-S,30-41205-S,36-9779-S,43-10980-S,47-21454-S,60-35615-S,60-35615-S,67-17127-S
er de gong ren dang	22-66747-S
er de hai mu	22-66986-S
er de lan	38-22211-S
er de long	11-13595-S
er de luo fu	30-42280-S
er de ren	22-66670-S
er de si tan	22-66850-S
er deng	3-40309-B,13-39407-S,39-19416-S,39-20874-S
er deng cang	3-40367-B
er deng che	3-40431-B
er deng wang qiu gong kai sai	39-20953-S
er di	48-46040-S
er di mo	22-8538-S
er di zhi	10-42658-S
er di zhu	3-35240-B
er die ji	3-41884-B
er ding li	50-60554-S
er ding lu:	42-41904-S
er ding mi	3-32218-B
er dong	51-57662-S
er dong quan shen	41-62858-S
er dou sai	60-42513-S,66-8941-S
er dun	11-8779-S,22-21249-S,39-21099-S,39-49442-S,48-45820-S,62-51403-S,66-5876-S
er duo	37-40349-S,50-61303-S,51-39440-B,57-2213-S,59-19237-S
er duo an	15-59409-S
er duo fu	33-8640-S
er duo lu mao	22-8263-S
er duo si	63-28964-S
er duo si shi	63-29061-S
er duo wa	29-1722-S,47-19763-S
er duo wa ren	29-1802-S
er duo ye	37-40400-S
er e ying	3-35158-B,3-35666-B
er er	2-34470-S
er er ting	6-48779-S
er fa	66-8167-S
er fa he ao mi jia	3-61703-S
er fa men	1-66512-S
er fa si te	59-30379-S
er fan	3-51330-S
er fan er	8-41537-S
er fan ge ming zheng bian	14-45708-S
er fang	3-35770-B
er fang dong	3-35813-B
er fang lao	69-10433-S
er fei	2-25383-S,4-62421-S,10-60913-S
er fen	3-32797-B,10-42491-S
er fen dian	3-32915-B
er fen sen	37-3653-S
er fen zhi yi	3-32853-B,10-42582-S
er feng	26-51901-S
er fu	3-32468-B,3-32977-B,26-50550-S,37-3252-S,70-18158-S
er fu bo te	33-67682-S
er fu de	34-6427-S
er fu er	62-54427-S,62-54615-S
er fu jiang	37-3370-S
er fu lei zi	68-10526-S
er fu qiu	26-50615-S,70-18215-S
er fu qiu Xie hui	51-68621-S
er fu qiu chang	70-18283-S
er fu se mu	22-21178-S
er fu shi	49-36835-S,62-27819-S
er fu si bao	37-3298-S
er fu te	15-59801-S
er gai	53-66573-S,58-56854-S
er gan	18-22766-S,22-8338-S,29-9076-S,37-40528-S,38-28059-S
er gan Ban dao	22-8387-S
er gan chun	3-39163-B
er gan di qu	37-40582-S
er gan du shi	18-22880-S
er gan na	59-47029-S
er gan na pan di	59-47118-S
er gan na pen di	59-47228-S
er gan zi	3-36386-B
er ge	7-22263-B,40-37100-S
er ge da	9-57875-S
er ge lai de	59-30287-S
er gen	10-62229-S,29-1883-S
er gong	10-42739-S,70-39967-S,71-23658-S
er gong he guo	19-33140-S
er gong ting	37-54104-S
er gong zhi	51-11461-S
er gou	22-3635-S,51-39149-B
er gu	5-24262-S,69-40139-S
er gu na you qi	68-43759-S
er gu na zuo qi	68-43876-S
er gu zhi	23-35110-S
er guang	26-48225-S,51-39098-B
er gui	39-41436-S,47-47435-S
er gui zi	3-44034-B
er gun	16-60067-S
er gun qin	66-8855-S
er guo	29-26557-S,44-8168-S
er guo ji	48-10948-S
er guo wang	21-14038-S
er ha chi	9-62171-S
er han	29-9138-S
er hang tian fa she ji di	27-46301-S
er hao	3-33683-S,3-41297-B
er hao dian chi	3-41441-B
er hao ren wu	3-41350-B
er he	2-29887-S,21-13754-S,45-14122-S,64-46506-S,66-10077-S
er he Mi ke long	51-48927-S
er he ping jiang	58-49874-S
er he si	11-8710-S
er hou	51-35262-B,66-42845-S
er hou xing	1-34661-S
er hu	3-41081-B,4-2815-S,59-28954-S,59-30449-S
er hu qi	66-27350-S
er hu you qi	30-47495-S
er hu zhi li	3-20205-S
er hu zhi zhan	55-25563-S
er hu zuo qi	30-47615-S
er hua	3-41599-B,7-21793-B
er hua bu shuo	3-41678-B
er hua yun	7-21924-B
er huai	42-38537-S
er huan	51-39661-B
er huan lu	3-39093-B
er huang	3-40586-B,3-44111-B
er huang di	3-39765-B
er huang zhi	16-3065-S
er hun tou	3-35372-B
er huo	1-74005-S
er huài	42-38537-S
er ji	3-40628-B,48-11577-S,51-39475-B,70-18009-S
er ji du	48-11179-S
er ji er	66-7729-S
er ji guan	3-36537-B,7-6786-S,40-4336-S,44-26595-S
er ji li ya	66-7661-S
er ji shang	29-7414-S,29-7583-S
er ji si	12-41283-S
er ji si ren	12-41354-S
er ji si si tan	12-41507-S
er ji si tan	12-41433-S
er ji si zu	12-41591-S
er ji ti	70-18090-S
er ji tou	3-40691-B
er ji tou hu xi qi	6-29085-S
er ji xia	29-7499-S,29-7668-S
er jia	41-58976-S
er jia ben	3-39557-B
er jia ge le	4-53865-S
er jia guang chang	41-59048-S
er jia he	4-53937-S
er jia ji shen suan	3-39329-B,3-39443-B
er jia li	11-15805-S
er jiang	58-50079-S
er jiao	11-16207-S,11-16296-S
er jiao xing	10-43431-S
er jie	3-43679-B,54-34875-S,61-44878-S
er jie Ri bao	54-34930-S
er jie gun	3-40488-B
er jie wang	52-60230-S
er jie zhun	29-48739-S
er jin	3-42499-B,15-60001-S,22-16863-S,26-52136-S,51-35149-B,68-43993-S
er jin da li shi	15-60055-S
er jin zhi	3-42571-B
er jin zhi bian ma	3-42640-B
er jing	1-7750-S,15-49058-S
er jing Qun dao	51-6499-S,54-3153-S
er jiu zhi	3-9791-S
er ka	13-39696-S
er ka shi	37-32517-S
er ka te	66-7603-S
er kai xi	13-7029-S
er kan ta la	66-7787-S
er kang	69-39710-S
er kang xian	69-39786-S
er kang zhen	69-39864-S
er ke	7-22308-B,20-60802-S,65-68675-S
er ke Ao lei li	69-39469-S
er ke nen de	22-8171-S
er ke qi	55-25715-S,55-25807-S
er ke zi	33-48031-S
er ke zi zi zhi zhou	7-15594-S
er ke zi zu	33-48104-S
er ku	15-27295-S
er ku ci ke	4-50326-S
er ku si	69-39645-S
er la	51-39886-B
er lai	3-32514-B,28-28047-S,29-16955-S,61-46115-S
er lan	10-31483-S,25-36244-S
er lan Gong he Jun	25-36455-S
er lan Gong he guo	25-36360-S
er lan ren	25-36294-S
er lang gen	15-59574-S
er lang gen gang ling	15-59655-S
er lao	3-40803-B
er le	22-66544-S
er lei	69-13156-B
er li	2-6094-S,6-26618-S,9-12635-S,64-984-S
er li bu zu	24-33952-S
er li tou	3-41520-B
er lian ju dao long	3-42070-B
er lian san	28-25012-S
er liang	18-15628-S,30-46542-S,30-46609-S
er lie shi	71-22753-S
er lin suan xian gan	3-40214-B
er liu hua tan	3-39837-B
er liu ji bing chun	3-40025-B
er liu ji bing huang suan na	3-39908-B
er liu ji hu po suan na	3-40103-B
er long	5-15341-S
er lu: an	3-38775-B
er lu: ben an ben yi suan na	3-38829-B
er lu: jia wan	3-38582-B
er lu: yi san ju qing suan na	3-38651-B
er lu: yi wan zhong du	3-38482-B
er lun	1-12313-S,3-41814-B,48-11709-S
er lǐ	9-12635-S
er ma	37-3531-S,37-3604-S,59-47343-S
er ma bi	20-60996-S
er ma bi bing du	20-61071-S
er ma bi zheng	20-60896-S
er ma da ding li	59-47414-S
er ma si	27-23603-S
er man	31-11529-S,60-8709-S
er man yu	31-11580-S
er mei li ya	66-8097-S
er meng	13-17207-S,29-7943-S,54-19883-S
er meng hu zu zhi	37-47889-S
er mi ta shi	53-48248-S
er mian	27-15313-S
er mian ti	10-43563-S
er ming	42-38446-S,51-39971-B
er mo	30-40386-S,51-39745-B
er mo pan	59-30519-S
er mo si	35-25127-S,47-5418-S,60-8639-S
er mu	28-33271-S,33-67778-S,40-37037-S
er mu si	67-43214-S
er mu zi	67-43280-S
er mu zi Hai xia	67-43416-S
er mu zi dao	67-43339-S
er mìng	42-38446-S
er na	6-55468-S,43-11094-S
er nai	3-35313-B
er nan	16-20091-S,21-8574-S
er ni	4-59087-S,69-35197-S,69-37721-S
er ni nuo xian xiang	11-28747-S
er ni shi tuan	69-35282-S,69-37807-S
er ni xue fu si ji	60-59386-S
er nian sheng	3-35561-B
er nie ke si	22-21089-S
er niu si	50-4115-S
er nu:	7-22041-B
er nu: ying xiong zhuan	7-22100-B
er nuo bei li	8-61967-S
er pa suo	15-59506-S
er pan	24-27945-S
er pen di	39-17075-S,39-17466-S
er pian	51-39605-B
er piao	42-38755-S
er ping jun lu:	10-42878-S
er piào	42-38755-S
er pu si bao	55-25404-S
er qi	1-21388-S,15-32150-S,18-62209-S,39-16979-S,53-42517-S
er qi si he	68-44046-S
er qi si tan	15-31468-S,15-32198-S
er qi yu	15-32270-S
er qiang he	54-51972-S
er qiao	50-62556-S
er qiao ya	4-65562-S,22-16788-S
er qie	51-35051-B
er qin	66-14076-S
er qin ke	21-8383-S
er qin qi	66-14178-S
er qin you yi zhong qi	47-19824-S
er qin zuo yi hou qi	47-20102-S
er qin zuo yi zhong qi	47-19963-S
er qiáo	50-62556-S
er qu	27-18423-S,28-45562-S
er qun dao	3-64374-S,16-21110-S,69-40793-S
er qī	18-62209-S
er ran	2-15585-S,53-9536-S
er re wa er si ji	31-50276-S
er ren	29-1659-S,50-1565-S
er ren si ke	28-9364-S
er rong	50-3904-S
er ru	3-14163-S,46-20746-S
er sai	8-29409-S,51-39227-B
er san	1-4752-S,2-15901-S,6-56311-S
er sen	5-37846-S
er sha mo	66-6890-S
er shan	40-35881-S,59-28027-S
er shan mai	22-23429-S,40-35963-S
er shang	1-9857-S
er shang de jia gong	52-63144-S
er shang xue	23-55239-S
er she fu si ji	22-8599-S
er sheng	3-40984-B,25-61640-S,34-31574-S,48-11631-S
er sheng wei	32-46433-S
er shi	3-32275-B,3-33045-B,11-42837-S,13-17093-S,18-47962-S,22-5662-S,22-22592-S,24-53521-S,28-38850-S,30-44868-S,31-49923-S,48-10896-S,51-35310-B,51-39393-B,55-24315-S,59-41915-B,66-4623-S,68-44119-S,71-54386-S
er shi ba	3-33984-B
er shi ba hao	3-34127-B
er shi ba xiu	3-34042-B
er shi bian	14-45618-S
er shi chen	10-43224-S
er shi duo	3-34762-B
er shi er	3-33627-B
er shi er hao	3-33683-B
er shi feng	68-44225-S
er shi jie	48-10715-S
er shi jiu	1-3468-S,3-33569-B
er shi liu	1-14878-S,3-34202-B
er shi liu hao	3-34326-B
er shi liu sui	3-34259-B
er shi mian ti	3-35037-B
er shi nian mu du zhi guai xian zhuang	3-34813-B
er shi qi	3-33313-B
er shi qi hao	3-33371-B
er shi san	3-33444-B
er shi shi ji	3-33503-B
er shi si	3-34400-B
er shi si hao	3-34689-B
er shi si jie qi	3-34608-B
er shi si shi	3-34457-B
er shi wan	3-34981-B
er shi wei ke	22-16646-S
er shi wu	3-33756-B
er shi wu shi	3-33813-B
er shi yi	2-24028-S,3-33087-B,3-33930-B
er shi yi hao	1-35778-S
er shi yi shi ji	3-33143-B
er shi yi tiao	3-33219-B
er shi yu	18-48011-S
er shi zhou	30-44949-S
er shou	3-35889-B
er shou che	3-36132-B
er shou fang	3-35967-B
er shou huo	3-36077-B
er shu	49-6007-S,49-6883-S,49-7550-S
er shui huo	3-38942-B
er si	16-17852-S,33-46255-S,48-30862-S,69-39940-S
er si dun	33-46305-S
er si ji	31-50276-S,47-37770-S
er si ke	7-16231-S,22-66922-S
er si li	48-30981-S
er si lu e	11-15939-S
er si ta	13-39106-S
er si tai	8-66232-S,26-52026-S
er si te la si	50-4014-S
er si tong gong si	66-8016-S
er song	15-58997-S
er suo	26-51650-S
er suǒ	26-51650-S
er ta	24-8449-S,66-55814-S,69-39357-S,69-41030-S
er ta la Meng gu zi zhi zhou	11-8497-S
er tai	3-41030-B,4-54001-S,66-8233-S
er tai shan	66-8313-S
er tai shan mai	66-8411-S
er tai yu	66-8533-S
er tai zhi	17-44266-S
er tan	5-16481-S
er te	16-20156-S,43-11046-S,54-37530-S,54-41532-S
er te jun	18-48081-S
er te mi si	66-10879-S
er te ren	8-30097-S
er te yu	16-20205-S
er te · Wa er de hai mu	22-66986-S
er teng	67-43507-S
er tian	48-11116-S
er tie ta	53-48534-S
er ting	6-48779-S
er tong	2-24294-S,7-22350-B,28-774-S,51-39703-B
er tong ji jin hui	7-22389-B
er tou	9-12755-S
er tou ji	52-14135-S
er tóu	9-12755-S
er wa	68-10642-S
er wa di	22-23275-S
er wa duo	51-50788-S,55-25651-S
er wa er	30-42134-S
er wa lei	66-8669-S
er wa se te	66-8600-S
er wan	42-38601-S
er wang si	7-63952-S
er wei	3-40755-B,8-5306-S,41-21007-S,45-7863-S,48-10841-S
er wei jue	26-3050-S
er wei ke	27-24307-S
er wei na si qun dao	69-40005-S
er wei si · Pu lei si li	15-59873-S
er wei ya	16-20273-S
er wei ya Min zhu dang	16-20463-S
er wei ya ke luo di ya yu	16-20333-S
er wei ya yu	16-20577-S
er wei yi	12-36818-S
er wen	9-57944-S,62-54485-S,65-38724-S
er wen gang	62-54554-S
er wen jiang	55-25494-S
er wen ming	62-49230-S
er wen xue jiang	58-49970-S
er wo	37-3462-S,51-39847-B
er wo ji	20-4883-S
er wu gong	10-5907-S
er wán	42-38601-S
er xi	7-22182-B,8-61917-S,43-61539-S
er xia de jia gong	52-63037-S
er xian	20-18885-S
er xian sheng	50-45617-S
er xiang shi	3-43742-B
er xiang shi ding li	3-43938-B
er xiang shi xi shu	3-43814-B
er xiao	67-48702-S
er xin	3-35623-B
er xin ji	60-8776-S
er xing	48-11265-S,64-5225-S
er xing tan	32-46573-S
