malaysian peninsula and singapore	33-44038-S
may i ask	5-64954-S
may i ask 	58-42573-B
may lead to sluggishness of vital energy traditional chinese medicine	14-7343-S
may not	1-75472-B,2-8284-B
may not be seen by or exposed to	57-29540-B
may overreach itself	51-64742-S
may run underground	61-12575-B
may the lord buddha preserve us	66-2013-B
may well	5-34166-B
maya civilization of central america	69-43967-B
maya peoples	43-1882-B
mayang miaozu autonomous county in hunan	71-16190-B
maybe	1-65202-B,3-21681-B,24-68553-B,26-14482-B,26-14733-B,26-14792-B,58-31422-B
maybe not	32-57907-B
maynard name	34-11736-B
mayon volcano in philippines	69-41463-B
mayonnaise	51-1761-B,55-61107-B
mayor	22-13457-B
mayor of small town or village	64-55324-B
maze	61-54031-B,61-54483-S,61-55537-B
mb	36-16151-S
mba	4-46725-S,21-54562-S
mbabane capital of swaziland	18-37825-B
mbar or mb	36-16151-S
mca of the prc	36-20781-S
mca 民政部	36-20646-S
mccain 1936 	71-11596-S
mccain name	71-11596-B
mccurry white house spokesperson	63-8824-S,71-12369-S
mcdonald name	71-12262-S
mcdonalds	21-61465-S
mcdonald’s fast food company	71-12262-B
mcdonnell douglas plane company	71-12834-B
mckay or mackay name	63-8690-B
mckinsey	71-12594-B
mcveigh	71-11379-S
md101	64-49600-S
mdma	28-54867-B
me	1-16525-S,2-12885-S,3-10530-S,3-61610-S,5-61157-S,5-64058-S,6-1565-S,10-6449-S,11-17323-B,13-45846-S,17-68145-S,20-46379-S,20-46555-S,20-46555-S,25-25118-S,25-33806-S,25-33955-S,26-12833-B,26-31683-S,26-61662-S,29-22752-S,29-63745-S,31-28660-S,57-29958-S,58-42620-S,69-14715-B
me 	67-13709-S
me a break	21-3580-S
me a little more	70-15112-S
me and i cheat you 成语 saw	41-43222-S
me and prosper	68-24374-S
me if you want	13-19119-S,13-19275-S
me kindly conventional greeting	58-42620-S
me not	70-51618-S
me out	2-33387-S,43-50384-S
me say a few words	7-44012-S
me too harshly	26-31683-S
me too much	58-58381-S
me up	28-39213-S
me with your visit	57-30914-S
mead	56-3412-B
meadow	54-14021-B
meadow so inviting to sleep on	46-29840-S,49-66245-S
meager	24-21412-B,24-21458-B,38-57987-B,38-63743-B,55-17886-B
meager abilities 成语 saw	24-28215-S
meager contribution humility	50-13201-S
meager estate	55-19390-B
meager gift	55-19505-S
meager hospitality	55-18574-B
meager knowledge or skill	38-57787-B
meager living	27-54179-S,48-59745-S,48-59829-S
meager remuneration	55-20150-B
meager resources to help another in time of need	45-29737-S
meager sensibilities	55-20268-S
meager skill	55-18712-B
meal	5-30669-S,6-15765-S,12-26030-S,12-26162-S,12-28020-S,14-14021-S,17-41032-S,17-41246-S,18-10816-S,24-49379-S,25-49785-S,31-45727-S,31-45787-S,43-36115-S,43-52724-S,45-3745-S,51-56167-S,52-50203-B,53-1647-S,55-13403-S,60-51702-S,61-64217-S,62-32980-S,62-32980-S,64-6462-S,65-44232-S,69-5203-B,69-13214-B,69-14489-S,69-14523-S,70-37543-S
meal etc	58-42117-S
meal fit for dragon s son 成语 saw	69-20564-S
meal gm	68-63808-S
meal nibbles	67-22079-S
meal of the day	69-20305-S
meal times	43-36163-B
meals	8-60129-S,10-13491-S,23-8532-S,23-8657-S,52-50174-B,67-20074-S,68-32433-S
meals a day and do no work	69-8637-S
meals at a fixed rate	10-19562-S
meals in workplace or school cafeteria etc	4-57074-S
meals regularly in cafeteria	28-58887-S
meals 成语 saw	1-35002-S
mean	2-70760-S,9-15653-B,10-61884-B,10-62742-B,12-64567-B,25-28597-B,25-29418-S,48-24451-S,55-17886-B,56-45851-S,57-63981-B,59-35831-B,59-36321-B,63-31799-B,63-31993-B,66-16360-B,71-56422-B
mean and cowardly	10-62112-B
mean and ferocious	42-11827-B
mean and low	10-62279-B
mean and lowly	1-61322-B
mean another	11-67094-S
mean brilliant prospects	63-22219-S
mean broadly	36-55037-S
mean by extension	23-29944-S
mean song	61-47835-S
mean square	15-47794-B
mean statistics	22-38621-B
mean that	2-10441-S
mean that 	59-18448-S
mean time	33-66764-S
mean time gmt	33-67124-S
mean to search for 	5-9558-S,25-8660-S
mean totally irrelevant	27-68938-S,27-69095-S
mean treatment	55-18574-B
mean value theorem in calculus	2-50208-B,22-38302-S
mean what one says	58-31194-S,58-33313-S
meandering	23-52161-B
meandering into the distance	61-49961-B
meaning	5-65302-S,6-6380-S,7-29413-B,7-29553-S,7-29553-S,11-35277-S,11-52277-S,11-52371-S,12-4895-S,12-6080-S,12-67771-B,12-68472-S,12-68472-S,14-18188-S,19-6885-S,20-26474-S,23-34398-S,23-54964-S,25-28184-B,25-29267-B,25-29799-S,25-29984-B,25-30036-S,32-33627-S,32-46090-S,32-65908-S,38-38252-B,38-38488-B,38-38560-S,41-57868-S,45-24755-S,45-42284-S,45-44868-S,46-46497-S,51-12342-B,56-44636-S,58-25359-B,61-27099-S,66-47961-S,68-15331-S
meaning as opposed to literal translation 直譯 直译	25-30505-S
meaning behind sb s words	24-40022-S
meaning behind sb s words 成语 saw	24-40189-S
meaning behind the words	11-70502-B
meaning beyond the words	23-34398-B
meaning beyond the words 成语 saw	57-55739-B
meaning billion or 10 9	12-38586-S
meaning etymology	11-33252-S
meaning from cut segment 成语 saw	30-59714-S
meaning from the mid 19th to early 20th century	61-47442-S
meaning implicit in a phrase	12-68472-B
meaning in this	17-21518-S
meaning kind	47-31899-S
meaning lord of 10	54-45297-S,54-45426-S
meaning of a character	19-6369-B
meaning of a word	12-4895-S,23-29944-S,58-11093-B
meaning of an expression	23-30028-S
meaning of foreign expression	25-30505-B
meaning of sth	63-53635-S
meaning of the classics	30-18562-S
meaning of the whole piece	30-59714-S
meaning of words	58-26823-B
meaning of words in classic texts	63-53299-S
meaning of words or phrases	63-53635-S
meaning the middle man makes a profit	3-495-S
meaning the whole is more than the sum of its parts	33-65584-S,33-66177-S
meaning to cut a way through	65-11334-S
meaning to endure	54-12427-S
meaning unclear	5-50964-B,56-16208-S
meaning variable mackerel	70-47243-S
meaning 成语 saw	47-9333-S
meaningful	32-33549-B,32-33627-B
meaningful and heartfelt words 成语 saw	58-27901-B
meaningless	47-49392-B
meanings	16-62435-S,16-62579-S,16-64932-S,35-49708-S
meanings by phonetic association	6-5978-S,6-6174-S
meanings influenced by other words	61-27622-S,61-27843-S
meanings of existing elements	32-23505-S,32-23744-S
meanly	55-20465-S
meanness and generosity	55-18175-B
means	6-30959-S,8-60665-S,8-61472-S,10-50179-S,12-28611-S,18-43086-S,21-54123-B,24-5031-B,30-24895-S,30-63404-B,41-49805-S,41-49897-S,44-56270-S,48-42202-B,49-45227-S,50-39432-B,55-19390-S,61-35415-B,64-4838-S,64-6912-S
means an isolated case	1-65339-S
means fair or foul	65-10751-S
means in order to look impressive	26-48362-S
means more than the destination	60-41196-S
means of	5-63638-S,25-56057-S,55-27990-S,55-28072-S,55-28127-S,62-14903-S
means of achieve the same end	35-61662-S
means of doing sth	26-34465-B
means of production	43-27503-B
means of production in marxism	26-28812-S
means of retreat	46-20447-S
means or foul	2-12455-S
means to say	11-70502-S
meantime	8-4393-S
meanwhile	15-35779-B,53-22529-B
measle	71-15045-B
measles	24-24889-S,44-6537-B,44-15840-B
measure	1-75521-S,4-29921-B,11-26547-S,14-16752-S,21-11555-S,22-25796-S,22-63957-B,25-59593-S,28-21005-S,28-34105-B,30-37354-S,33-13633-S,35-43518-B,39-3516-S,39-4385-S,56-40469-B,56-41217-B,57-60770-S,60-57453-S,64-4742-S,68-31103-S
measure 5 pecks 五斗	43-36539-S
measure and test	39-4441-B
measure angles	37-64308-S,54-47314-S,57-45005-S
measure body weight	70-10314-S
measure equivalent to 16 斗 dou3 or 160 liter	30-37107-S
measure for dry grain equal to one tenth dou 斗	10-52837-B
measure for dry grain equal to one tenth of sheng 升 or liter	12-31102-B
measure for grain equal to five dou 五斗 before tang	30-35771-S
measure for grain equal to ten dou 斗	46-3657-S
measure for grain equal to ten sheng 升 or one tenth dan 石	30-33642-S
measure geol 	46-8785-S
measure in traditional chinese music	33-30805-B
measure math 	39-4052-B
measure of	26-49760-S
measure of apparent power in alternating current circuits	4-53449-S
measure of effective concentration in virology or chemical pathology	29-61917-S,29-62035-S
measure of music four beats in the bar 成语 saw	1-11876-S
measure of music two beats in the bar 成语 saw	1-11646-S
measure of oneself	2-26384-S
measure of width of cloth	48-22205-S
measure oneself against	1-21651-S
measure or apparatus	19-46234-S
measure over some difficulty	37-58714-S
measure right angles	32-4542-S,45-65178-S,57-44670-S,64-40280-S
measure sb s height	64-5810-S
measure the body then tailor the suit 成语 saw	64-6912-S
measure thunder and lightning	67-24403-S
measure up against	61-6390-S
measure with one s hand or arm	36-11859-B
measure with the naked eye	45-17480-S
measure word	3-57436-S,64-6707-B
measure word applying mainly to nouns	12-58923-B
measure word applying mainly to verbs	10-2434-B
measured	16-32831-S
measured in hours and minutes	64-59606-S
measured quantity of precipitation meteorology	66-17263-B
measured quantity such as area of volume	47-38278-B
measured step	35-42061-B
measurement	16-14675-S,17-15723-B,20-13970-S,21-11816-B,22-11880-S,22-64029-B,52-24396-S,52-42065-S,57-60714-B,64-5879-B
measurement and control	39-4151-B
measurement with the hand	36-12741-S
measurements and calculate	39-4259-S
