the root is firm	32-61746-S
there for all to see	32-36896-S,32-37053-S
there is	32-29282-B
there is a will	32-32994-S
there is injustice	2-7425-S
there is no difference	37-10160-B
there is no harm in	2-4317-B
there is no lack of	1-66158-B
there is no need	5-2419-B
there is no need to boast about one s treasures 谚语 proverb 	32-31814-B
there is no need to do sth	37-10330-B
there is no one who doesn t know that	54-24271-B
there is no one who is not extravagant	54-24351-B
there is no point in crying over spilt milk	31-4488-B
there is none	50-50762-B
there is none who	54-23924-B
there is none who isn t	54-24002-B
there is nothing better	40-47106-B
there is nothing to be done	37-10903-B,37-11887-B
there is nothing to pardon	13-45846-B
there is someone there	32-29640-B
there must be a reason	40-64393-B
there s no hurry	2-9198-B
there s no lack of	32-36725-B
there s not enough time to do sth	5-16975-B
there s nothing about it	37-10413-B
there s nothing impossible about it	37-10510-B
there s sth behind all this	17-21518-B
there s still time	5-17849-B
there will be ample time for that later	5-18148-B
there will be an outcry	2-7425-B
thereafter	14-25381-B
thereby	24-12093-B
therefore	3-8758-B,14-62011-B,26-27629-B,29-60547-B,29-61076-B
therefrom	24-10138-B
therein	5-52444-B,15-34246-B
thereupon	3-8758-B,12-23688-B,21-10204-B,30-64938-B,41-40463-B,47-60659-B,61-56108-B
thermal capacity	41-18325-B
thermal conduction	41-17804-B,41-18434-B
thermal neutron	41-17689-B
thermal pulse	41-21341-B
thermal radiation	41-22067-B
thermal reactor	41-19575-B
thermal unit	41-22336-B
thermodynamic temperature scale in degrees kelvin	41-18209-B
thermodynamic temperature temperature above absolute zero	41-18086-B
thermodynamics	41-17882-S,41-18029-B,41-20895-S,53-11296-S,68-51240-S,71-33746-S
thermoelectric power plant	41-22679-B
thermograph	39-21486-B
thermometer	39-21430-B,39-21486-B,70-8147-S,70-8212-S
thermonuclear fusion reaction	41-19742-B
thermonuclear weapon	41-19656-B
thermophile e g	62-65455-B
thermophilus	41-22127-S
thermos	31-60315-B
thermos bottle	41-20153-B
thermos flask	31-59909-B
thermos flask or bottle	31-60197-B
thermosphere	16-27175-B,41-19343-B
thermostat	24-67698-B
theropod beast footed dinosaur group	42-25501-B
thesaurus	68-47614-B
these	8-3378-S,35-40874-B,62-4646-B,62-4726-B,62-4765-B
these circumstances	25-14983-S
thesis	19-16850-S,58-44258-S,58-44338-B,58-44995-B
thessalonians	22-24176-S,22-24309-S
thessalonica	22-24099-B
theta greek letter θθ	57-14843-B
thetys hypothetical ocean between africa and eurasia in geological history	22-61153-B
thetys pre cambrian ocean	41-59410-B
they	4-25028-B,18-25814-B
they are all just as bad as each other	1-865-S
they come	51-69447-S
they do in operas	29-8087-S
they for inanimate objects	19-20163-B
they say	6-39978-B,29-24718-S
they say 	5-33566-S
they used to be	4-23224-S
thibetanus	71-31498-S
thick	15-56741-B,20-3340-B,20-4004-B,40-6847-B,40-18867-B,47-31812-B,48-48649-B,48-49148-B,54-38902-B,55-4922-B
thick and broad build	20-24205-B
thick and deep voice	20-24205-B
thick and solid	48-49097-B
thick as rain 成语 saw	58-51404-S
thick bar	34-45971-B
thick but loosely woven silk	49-55458-B
thick congee	48-60254-B,69-20797-B
thick eyebrows and big eyes	40-7232-B
thick fog	17-40151-B,40-6796-B,40-7770-B,43-16059-B
thick fog or smoke	23-51685-S
thick foliage	55-12952-S
thick for flat things	11-29389-B
thick headed	68-31735-B
thick ice	8-25747-B
thick pole	34-45691-B
thick rough serge from tibet	36-17604-B,36-17713-B
thick sauce	63-50966-B
thick skinned	11-29874-B
thick skinned i e impervious to criticism	51-30099-B
thick smoke	40-7186-B
thick waterproof silk	50-25508-B
thick weeds	54-27513-B,54-37986-B
thicken	16-27407-S,59-7600-B
thickener	16-27453-B,71-17272-S,71-22203-S
thickening of bone	70-1827-S
thicker than water	56-27146-S
thicket	11-66768-B,11-66838-B,11-66913-S,54-29117-B
thickly clustered as blossoms	47-41246-B
thickly dotted	20-4004-B
thickly falling snowflakes	49-24409-S
thickness	11-29493-B,20-4326-B,20-27905-B,40-6892-B
thickness caliber	48-49746-B
thickness in optics	55-19938-S
thickness of the wall	16-47592-S
thief	5-9037-S,20-60701-B,27-331-S,45-6418-S,47-40413-S,47-60098-B,59-54311-B
thiers	34-15879-S
thieves	52-54571-S
thigh	17-32333-B,52-9678-B,52-23455-B,70-3887-B
thighs	28-53309-S
thimble	68-20836-B
thimphu capital of bhutan	23-19955-B
thin	5-49731-S,38-31454-S,38-43841-B,38-63785-B,41-43965-B,44-1400-B,44-2685-B,44-18779-B,44-22357-B,44-22404-B,48-23253-S,49-31153-B,55-17811-B,70-1468-B
thin air	41-2530-S
thin and palid	25-56192-B
thin and weak	44-18901-B
thin as a lath 成语 saw	70-1128-S
thin axis of nerve cell	61-5483-S
thin bamboo	48-22761-B
thin blood	56-26195-B
thin coat	56-42033-B
thin cooking style	55-19728-S
thin film	41-44127-B
thin flat cake	55-20402-B
thin layer	55-18397-B
thin leaves	54-52111-S
thin lens i e of negligible thickness in optics	55-19938-B
thin outside skin of bamboo	48-20058-B
thin person	44-18857-B
thin plate	5-50854-B
thin plates of metal	64-50831-B
thin porridge	47-28201-B
thin section	55-19256-B
thin silk	50-11965-B,50-31394-S
thin skin on the inside of some fruits e g oranges	7-30272-B
thin slice	55-18397-B,55-19256-B
thin soy sauce	43-21044-B
thin stretches	62-49380-S
thin things ribbon	34-13801-S
thin wooden soundboard	33-31059-S
thing	1-22650-S,3-28774-B,3-30697-B,3-31207-B,10-15926-S,12-8282-S,12-8282-S,12-8886-S,12-57482-S,12-58085-S,13-33306-B,17-17852-S,19-121-S,20-11902-S,20-14038-S,23-60704-S,24-12277-S,24-41999-S,30-5825-S,30-16999-S,33-23830-B,41-52685-B,42-42825-S,43-60089-S,43-60089-S,43-60089-S,43-61431-S,45-38806-S,45-40517-S,47-14996-S,62-6471-S,66-9116-B,66-9116-S,68-21323-B
thing and he understands everything	51-56550-S
thing applies for everyone	54-24159-S
thing but mean another	11-67094-S
thing for another	33-640-S
thing has buddha nature	17-21660-S,38-28231-S
thing in itself	32-67517-S
thing in the morning	1-5821-S,38-61244-S
thing mentioned above	8-3812-S
thing nor the other	1-65506-S
thing starts where the other leaves off	13-2280-S
