to bet	26-48937-B
to cover	5-23792-B,10-13136-B,22-34852-B,23-24589-B,23-33990-B,28-7185-B,28-22246-B,28-62923-B,28-62971-B,38-38618-B,54-51096-B,54-64266-B,55-13671-B,55-20689-B,56-50991-B,57-28358-B,57-28654-B,62-66787-B,68-13265-B
to cover a fire to make it burn slowly	20-33725-B
to cover a need	13-14058-S,62-27973-S
to cover a sore 成语 saw	27-67201-S
to cover distance	60-27739-B
to cover light and nurture in the dark 成语 saw	68-13305-S
to cover one s head and sneak away like a rat 成语 saw	27-13948-B,27-14086-B
to cover one s traces	30-24969-B
to cover one s tracks	62-67005-B
to cover report news	16-9920-B
to cover sb s mouth with cloth	4-65267-S
to cover sth	4-542-S
to cover the face	28-63031-B
to cover the hearse	61-15000-S
to cover the whole area	62-42531-B
to cover tightly	25-11015-B
to cover traces	27-15798-B
to cover up	28-33225-B,28-33669-B,39-58279-B,55-30767-B,56-50328-B
to cover up errors	59-5244-B
to cover up mistakes or crimes	23-51750-B
to cover up the truth	29-37873-S,66-48735-B
to cover with a cloth	8-15802-B
to covet	15-55030-B,45-49837-B,45-51244-B,45-52440-B
to cower	27-3936-B,42-63262-B,43-48142-B,56-5786-B,61-62665-B
to cower by military force	18-47137-B
to crack	15-54379-B,41-34181-B,61-56046-B
to crack a joke	62-3694-B
to crack a nut	17-18573-S,17-21856-S,17-26443-S
to crack a riddle	46-20122-B
to crack fractionally distill oil	56-54024-B
to crack jokes	26-21747-B
to crack seeds with front teeth	14-23919-B
to crackdown on sth	26-45023-B
to crackle onomat	9-40969-B,26-57016-B
to cram	6-64518-B
to cram for exams	56-58790-B
to cram into	16-21636-B
to cram too hard	25-23230-B
to crash one s way through	65-53055-B
to crash through a barrier	65-53118-B
to crash together	45-29223-B
to crave	15-55030-B
to crawl	10-20277-B,10-20336-B,41-37399-B,41-37773-B
to crawl between sb s legs as humiliation 成语 saw	52-23487-S
to crease	45-1111-B
to create	9-35019-B,9-37279-B,9-37912-B,20-59538-B,39-27453-B,50-18730-B,62-18409-B,69-21322-B
to create a building	52-5090-B
to create a disturbance	50-56123-B,50-60853-B,60-19037-B,69-54794-B
to create a good environment	9-37553-B
to create a precedent	65-30021-B
to create a sensation	51-65363-B,51-67447-B
to create a stir	8-47425-B
to create an issue	62-18478-B
to create obstacles	43-52581-B
to creep	10-20277-B,10-20336-B,29-32105-B,41-37773-B,60-54284-B
to cremate	40-20370-B,40-24036-B,40-45154-B,41-26519-B
to crib	18-9390-B,66-15374-B
to criminal case	36-19205-S
to criss cross	50-29530-B
to crisscross	4-636-B
to criticism	51-30099-S
to criticize	26-56691-B,26-57758-B,26-58406-B,27-59429-B,27-60989-B,58-6946-B,58-55279-B
to criticize and denounce sb publicly for their errors often imaginary	26-58460-S
to criticize behind sb s back	26-22403-B,26-22970-B,26-23057-B
to criticize former mistakes firmly to prevent large scale repetition	20-64272-B
to criticize former mistakes firmly to prevent them happening again	25-62921-B
to criticize harshly	13-16248-B
to criticize or give orders summarily	27-58611-B,27-58821-B
to criticize sb	59-40785-B
to croon	13-48698-B
to crop	44-12299-S,67-44374-S,67-44505-S,67-44762-S
to cross	11-41838-B,35-9396-B,39-2024-B,47-51931-B,51-23149-B,60-19642-B,62-42853-B
to cross a border	8-42958-B
to cross a ravine like flat ground	21-26653-B
to cross a street	47-52593-B
to cross lengthwise	50-30803-B
to cross little fingers between children as a promise	27-21394-B
to cross off	9-39518-B
to cross one s legs	45-11933-B
to cross out	9-39518-B
to cross over	39-2386-B,60-27739-B,60-40311-B,62-34674-B
to cross over by ferry	62-46720-B
to cross over e g traffic	45-26004-B
to cross river or lake	48-571-S
to cross swords	4-457-B
to cross the street	62-48854-B
to cross the wide ocean	62-62040-B
to cross transversally	35-10230-B
to crouch	10-20277-B,52-54162-B,60-33095-B
to crouch of animal	60-40600-B
to crow	14-631-B
to crow over sth	24-7914-B
to crowd	6-64518-B,29-17757-B
to crowd around	15-21982-B
to crowd together	27-68380-B
to crown	8-7822-B,9-51534-B
to cruise	21-51580-B,21-51958-B,62-36593-B
to crumble	43-11775-B,57-53470-B
to crumple	28-9782-B
to crush	16-32408-B,16-33017-B
