biān dì qū	23-18869-S
bu jian guan cai bu luo lei	2-28312-B
bu jian jie	45-15577-S
bu jian jing zhuan	2-28529-B
bu jian le	2-28180-B
bu jian sen lin	12-8499-S
bu jian wei jing	45-47760-S
bu jian yi dian zong ying	2-28081-B
bu jiang	5-49131-S,44-57909-S,66-56357-S
bu jiang da	21-55167-S
bu jiao	56-59373-B
bu jiao ao shi ren luo hou	55-51582-S
bu jiao jie	45-14851-S
bu jie	2-29024-B,14-63356-S,17-17852-S,44-53818-S,61-54345-S
bu jie gou	7-32706-S
bu jie guo	2-24439-B
bu jie jin ke	62-61567-S
bu jie meng	2-24492-B
bu jie meng yun dong	2-24549-B
bu jie shou	27-31447-S
bu jie xia qi	1-51146-S
bu jie yi	1-67077-B
bu jin	1-69667-B,2-20010-B,2-22541-B,24-42667-S,25-42681-S,30-19886-S
bu jin feng	23-36301-S
bu jin gen	2-20057-B
bu jin ren qing	2-33223-B
bu jin ru ci	1-69743-B
bu jin zhi	35-43379-B
bu jing	1-66209-S,2-13314-B,4-65517-B,11-9212-S,24-65993-S,28-5822-B,54-17662-S,54-18396-S
bu jing chuan	28-5863-B
bu jing er zou	2-26091-B
bu jing qi	2-14895-B
bu jing yi	2-25029-B
bu jing yi shi bu zhang yi zhi	2-24768-B
bu jing zhi tan	2-24937-B
bu jiu	1-66020-B,9-17947-S,31-4488-S,56-57336-B
bu jiu ban	27-62527-S
bu jiu ji wang	2-1605-B
bu jiu qian	1-66101-B
bu jiu yi	13-19952-S
bu jiàn	18-26429-S,45-37665-S
bu ju	2-12003-B,4-65380-B,9-48900-S,11-11298-B
bu ju xian	2-6622-B
bu ju yi ge	2-12079-B
bu juan	1-68815-B,19-8967-S
bu jue	2-20696-S,2-28927-B,4-5507-S,39-30442-S,42-15020-S,46-55485-S,69-28718-S
bu jue cha	2-28973-B
bu jue kou	50-53953-S,59-14494-S,60-3148-S
bu jue ru lu:	2-24636-B
bu jun shu	38-25539-S
bu jun yun	2-2494-B
bu jìn	30-19886-S
bu jí	5-16975-S
bu kai	12-26651-S,46-38372-S,67-8645-S
bu kai ti na hu	13-45271-S
bu kan	2-2551-B,42-10647-S,46-17757-S
bu kan ren shou	2-2711-B
bu kan ru mu	2-2626-B
bu kang	1-74252-S
bu kang bu bei	1-66746-B
bu kao	56-58955-B
bu ke	1-70049-B,1-75296-B,11-11584-B,56-59468-B
bu ke bi mian	1-77745-B
bu ke cao yuan	22-10510-S
bu ke ce	38-48264-S
bu ke dang	10-7096-S,64-32882-S
bu ke dao	1-76455-B
bu ke duo de	1-76382-B
bu ke e	24-52224-S
bu ke fen ge	1-75772-B
bu ke fen li	1-75872-B
bu ke gao ren	1-76291-B
bu ke gu liang	1-75521-B
bu ke huo que	1-76630-B
bu ke ji	25-30986-S
bu ke jian de	70-38138-S
bu ke jiu yao	1-76871-B
bu ke kang li	1-76703-B
bu ke kao	1-77810-B
bu ke li yu	1-76968-B
bu ke mao xiang	4-5395-S
bu ke ming zhuang	1-76201-B
bu ke mo mie	1-77131-B
bu ke nai	24-57201-S
bu ke neng	1-77387-B,22-56101-S,37-10510-S
bu ke neng de shi	1-77457-B
bu ke ni	1-77534-B
bu ke ni zhuan	1-77588-B
bu ke qi	2-5650-B,36-15882-S
bu ke qin fan	1-75615-B
bu ke qin fan quan	1-75693-B
bu ke que	25-11804-S
bu ke que shao	1-77319-B
bu ke shao	24-40778-S
bu ke shao zu cheng	24-40876-S
bu ke sheng shu	1-75936-B
bu ke shi	35-2239-S
bu ke shou shi	1-76770-B
bu ke si yi	1-76539-B
bu ke tong ri er yu	1-76013-B
bu ke wai chuan	19-64414-S
bu ke wen	53-16095-S
bu ke yi	1-75472-B
bu ke yi shi	1-75354-B
bu ke yu yue	1-77655-B
bu ke zhi	34-47242-S
bu ke zhi lun	1-77066-B
bu ke zhong ri	1-77193-B
bu ken	2-25739-B
bu kong zhi	8-49973-S
bu kou	2-11817-S
bu kou zhao	49-21120-S
bu kuai	2-9264-B,4-34113-S
bu kui	2-10536-B
bu kuo san	33-55129-S
bu kuo san he wu qi tiao yue	2-12567-B
bu kāi	12-26651-S,67-8645-S
bu la	8-15978-S,22-16936-S,55-47207-S
bu la ban te	10-35792-S
bu la chai wei er	22-15427-B
bu la de	33-34115-S
bu la duo	27-22682-S,49-19731-S
bu la si jia	7-27972-S
bu la si jia zhou	7-28044-S
bu la xin	31-27342-S
bu la zu	22-5239-S
bu lai	2-32052-B,8-64983-S,12-26411-S,12-31307-S
bu lai mei	2-27009-B
bu lai te	18-15521-S,20-7170-S
bu lai ti A bu du re xi ti	65-65731-S
bu lan	59-38910-S
bu lan ka	11-16375-S
bu lan ya	45-23708-S
bu lang bu you	2-22668-B
bu lang yun dong	22-16175-B
bu lao	3-66287-S,28-5049-B,65-17518-S
bu lao er huo	1-74005-B
bu le	25-11129-S
bu le sen	24-25963-S
bu le si	63-16011-S
bu le si wang guo	63-16069-S
bu lei	1-68880-S,4-65826-B,63-23934-B
bu lei jian	4-65871-B
bu lei ni cha	30-43179-S
bu leng deng	53-54333-S
bu leng si	27-21567-S
bu li	1-72479-B,1-73004-B,1-74383-S,2-18632-B,2-22002-S,19-13605-S,21-63777-S,23-54390-S,25-36552-S,35-42907-B,38-3178-S,45-62741-S
bu li er	2-36174-B
bu li ke	22-66354-S
bu li qi dun	22-17657-B
bu li r	21-63853-S
bu li shi	7-48767-S,17-4379-S
bu li xiang	2-18730-B
bu lian	15-49396-S
bu lian guan xing	21-17119-S
bu lian hai	15-49653-S
bu lian jie wang luo	8-52372-S,21-17014-S
bu lian shan mai	15-49498-S
bu lian xu mian	2-34156-B,54-26814-S
bu liang	2-26880-B,38-29193-S,41-32530-S,68-24149-S
bu liang li	10-6945-S,58-23057-S
bu liang xing pin xue	8-9364-S
bu liao	1-66291-B,2-13472-B,7-20222-S,11-59370-S,17-4218-S,22-15741-B,35-55802-S,43-33858-S
bu liao jie	2-20572-B
bu liao jin huo	62-61757-S
bu liao liao zhi	1-66346-B
bu lie	28-5252-B
bu lin	2-1166-B,11-11964-B
bu lin ka	50-57520-S
bu lin zhu yu	2-1208-B
bu ling	2-36338-B,70-27197-S
bu ling ren gu wu	1-67151-B
bu liu qiu	71-28941-S
bu liu xing	24-48532-S
bu liǎo	43-33858-S
bu liǎo jìn huǒ	62-61757-S
bu long	9-16603-S
bu lou	39-32924-S,44-2870-S,71-40283-S
bu lu	56-57693-B
bu lu chi	13-28660-S
bu lu ke	14-60548-S
bu lu ke hai wen guo jia shi yan shi	22-18780-B
bu lu ke hai wen shi yan shi	22-18929-B
bu lu ke lin	22-19056-B
bu lu sheng se	2-36247-B
bu lu shi	11-28839-S
bu lu shi jun bing	22-19317-B
bu lu si	22-19199-B,48-28696-S
bu lu yan	28-5355-B
bu lu: ken	55-25329-S
bu lu: wei jian	35-42280-B
bu lu: xing	24-5735-S
bu lun	2-29762-B,14-38167-S,29-27702-S
bu lun bu lei	1-68880-B
bu lun rui ke	30-43336-S
bu luo	15-58146-S,17-61367-S,63-23260-B
bu luo fen	22-16487-B
bu luo fu ni ke	33-8916-S
bu luo ge	63-23298-B
bu luo he	15-58220-S
bu luo ke jiu	2-27077-B
bu luo lei	2-28312-S
bu luo tuo	45-20986-S
bu luo tuo Hai xia	45-21050-S
bu lái	8-64983-S,12-26411-S
bu lā	55-47207-S
bu ma	56-58131-B
bu ma zui	21-17202-S
bu ma zui ji	21-17271-S
bu mai	40-53365-S
bu mai zhang	2-31739-B
bu man	2-17708-B
bu man yi	2-17654-B
bu mang	2-9198-B,2-10622-S
bu mao	2-16542-B
bu mao zhi di	2-16581-B
bu mei	27-54456-S
bu men	4-5868-S,25-13195-S,29-55428-S,56-33269-S,60-63614-S,63-23799-B
bu mian	1-70123-B,24-29453-S
bu mian yi si	1-70168-B
bu miao	2-4089-B,56-59225-B
bu miao zu zi zhi xian	15-62294-S
bu min	30-12502-S
bu ming	1-62694-S,2-13810-B,5-18337-S,5-19626-S,11-37838-S
bu ming bai	2-13880-B
bu ming fei xing wu	2-14035-B
bu ming mu	35-55881-S,35-56041-S
bu ming que	2-13972-B
bu ming shu	2-912-B
bu ming yi wen	2-806-B
bu ming yu	2-972-B
bu ming yu shi wu	2-1040-B
bu mo tou	2-12362-B
bu mou er he	2-29887-B
bu mu	22-15086-B
bu na	28-4935-B
bu na lu:	43-9041-S
bu nai fan	2-25515-B
bu nai zheng	3-23162-S
bu nang	22-14453-B
bu nang qi kou	4-65267-B
bu nao	2-6730-S,44-54337-S
bu neng	2-25901-B,25-1203-S,40-53300-S,52-26751-S,58-21926-S
bu neng bu	2-25961-B
bu neng di kang	2-26023-B
bu neng mai lai xing fu	64-16439-S
bu neng yi	59-36824-S
bu neng yin	20-8288-S
bu neng zheng	32-10527-S
bu ni ya bing du	22-14741-B
bu ni zi	54-39729-S
bu ning	24-37389-S
bu nu:e	58-53282-S
bu néng	25-1203-S
bu pa	2-9601-B
bu pa hu	9-785-S
bu pa huo lai shao	45-45231-S
bu pa huo lian	45-45406-S
bu pao	24-48621-S
bu pei dui	71-5050-S
bu pi	22-14126-B,34-49355-S
bu pi ceng xia sun shang	9-25219-S
bu pian	24-68980-S
bu pian bu yi	1-69262-B
bu pian ji	1-69436-B
bu pian jiu bi	56-56545-B
bu pian r	24-69050-S
bu pian xie	1-69346-B
bu piao	56-58219-B
bu piao chu	56-58291-B
bu pin	56-57191-B
bu ping	2-7269-B,8-32707-S,15-49273-S,25-56628-S,27-12519-S,36-25072-S
bu ping chang	2-7564-B
bu ping deng	2-7640-B
bu ping deng tiao yue	2-7707-B
bu ping fan	2-7359-B
bu ping heng	2-7790-B
bu ping ze ming	2-7425-B
bu po	24-11421-S,68-46005-S
bu po bu li	2-22002-B
bu qi	3-28067-S,5-34343-S,11-39371-S,20-46555-S,29-37401-S,29-61161-S,45-37731-S,45-59314-S,49-57716-S,53-42995-S,59-31643-S,65-8348-S
bu qi er yu	2-15708-B
bu qi lang	40-64393-S
bu qi nuo	11-13804-S
bu qi ran	33-35601-S
bu qi ran er ran	2-15585-B
bu qi yan	2-32250-B
bu qian	19-58633-S,60-46913-S
bu qiang	35-42598-B
bu qiao	2-6920-B
bu qie	52-58825-S
bu qie shi ji	1-71907-B
bu qin fan	3-44483-S
bu qin ren	28-5292-B
bu qing	2-17389-B,11-70852-S,23-23430-S,30-19832-S,45-37533-S,50-45476-S,60-45420-S
bu qing chu	45-16626-S
bu qing yuan	2-10107-B
bu qing zhi qing	2-9976-B
bu qiong	2-23155-B,8-4134-S,21-24845-S
bu qiong bu la	22-16936-B
bu qiu shen jie	2-16755-B
bu qiu shou huo	2-16653-B
bu qu	1-43384-S,2-6678-B,8-53913-S,14-53646-S,16-4405-S,16-5684-S,18-47444-S,20-17906-S,62-43085-S
bu qu bu nao	2-6730-B
bu qu fen da xiao xie	1-74108-B
