to crush and bury	16-32967-B
to exonerate	65-40509-B,65-40579-B
to exorcise	46-20049-B,46-54055-B,69-56780-B,69-56843-B
to expand	16-26138-B,16-37167-B,27-66710-B,29-28784-B,29-28877-B,44-28236-B,52-49647-B
to expand business	27-41131-S
to expand e g one s power or influence	29-29056-B
to expect	4-47189-B,19-21705-B,25-28184-B,25-29467-B,30-34368-B,30-35114-B,32-45379-B,32-51725-B,45-32675-B
to expect often in negative combination	26-61432-B
to expectations	2-18359-S,11-52440-S
to expectorate	12-60635-B
to expedite	6-30180-B
to expedite childbirth	6-31477-B,6-31622-B
to expel	28-16331-B,65-43778-B,69-55834-B,69-56428-B
to expel from office	68-4453-B
to expel from party membership	65-43895-B
to expel from school	65-43820-B
to experience	35-51262-B,35-53066-B,38-34409-B,38-35062-B,49-62627-B,65-49561-B,70-6457-B,70-7183-B
to experience adventures	35-53127-B
to experience for oneself	70-10711-B
to experience to the full over a long period	69-7677-B
to experiment	20-16033-B
to expire	32-51384-B,39-39141-B
to explain	8-58873-B,43-42609-B,44-35806-B,57-47102-B,57-52175-B,57-52654-B,58-32213-B,58-54106-B,58-54681-B,58-55180-B,61-37920-B,65-58046-B,66-26233-B
to explain all the details	64-37622-B
to explain and arouse interest	13-65224-B
to explain by waving one s hands	27-58611-B,27-58821-B
to explain clearly	61-37651-B
to explain in simple terms	57-27442-B,63-52540-B
to explain publicly	19-55676-B
to explain sth precisely	56-46635-B
to explain the difference	8-58432-B
to explain the meaning of words in classic texts	63-53299-B
to explode	41-34489-B,41-34704-B,60-17366-B
to explode or burst	41-34181-B
to exploit	9-28804-B,34-40146-B,41-49805-B,41-49897-B
to exploit a loophole	3-14567-B
to exploit advantage to force sb to do one s bidding	28-1754-B
to exploit an advantage	65-10505-B
to explore	28-22912-B,28-22996-B,28-23264-B,28-23627-B,28-24180-B,36-54423-B,60-46524-B,61-59151-B
to export	8-36254-B,16-51544-B,61-17553-B
to export computer data	20-58146-B
to export data e g from a database	10-37881-B
to expose	21-23136-B,26-22722-B,26-22827-S,28-49316-B,67-46268-B,67-46328-B,67-46527-B,67-48053-B
to expose a photographic plate	68-50491-B
to expose and criticize	28-48504-B,38-64171-B
to expose hidden motives	58-18177-B
to expose in the media	41-34232-B
to expose sb s secret	67-48257-B
to expose with a word	71-41423-B,71-41576-B
to expound	65-58046-B
to expound a position	65-57941-B
to expound buddhist teaching	58-32774-B
to expound on	58-44659-B
to expound the classics	30-18740-B
to expound the meaning of the classics	30-18562-B
to expound the wisdom of ancient sages	6-41853-B
to express	12-57141-B,20-1144-B,38-7601-B,56-45851-B,56-46719-B,65-57824-B,68-50157-B
to express a thought or moral	44-29645-B
to express admiration	14-27307-B
to express an emotion	26-67505-B
to express an opposing view	13-55213-B
to express boundless pleasure	69-59963-B
to express doubt or to question	13-62058-B
to express emotion	26-67316-B,26-67452-B
to express emotions in prose	26-67216-B
to express good wishes	46-54683-B
to express gratitude	43-44352-B
to express gratitude esp in public	64-31977-B,70-53065-B
to express in words or writing	53-20047-B
to express love with terms of endearment	58-41353-B
to express meaning	56-44636-B
to express one s feelings	56-44544-B
to express one s thanks	48-21433-B
to express oneself	13-9314-B
to express oneself as one pleases	5-45830-B
to express realization or agreement yes	13-49611-B
to express thanks	25-42603-B,62-51951-B
to expropriate	29-24445-B
to expropriate other s property	27-54268-B
to expunge	27-15798-B
to extend	4-61097-B,4-61141-B,4-61526-B,4-61648-B,23-16336-B,23-16400-B,23-17014-B,23-17884-B,23-19422-B,23-27332-B,28-24729-B,28-30547-B,43-42609-B,53-30874-B,55-10500-B
to extend a building	29-29001-B
to extend a deadline etc	20-27970-B
to extend continuously	23-18055-B
to extend everywhere	62-42290-B
to extend life	23-16577-B
to extend one s head out or into	28-24333-B
to extend the period	21-22301-B
to extension	35-36999-S
to exterminate	7-38224-B,9-31478-B,36-662-B,36-812-B,39-26327-B,58-18784-B,58-18844-B,58-19103-B
to exterminate those who disagree	58-18993-B
to external or foreign affairs	20-48334-S
to extinguish	29-16612-B,39-26260-B,39-26704-B,41-11433-B
to extinguish a fire	39-26576-B
to extinguish a fire and save life and property	29-16485-B
to extinguish worries and the sea of grief	39-26437-B
to extort	9-8684-B,9-67666-B,61-59151-B
to extort a concession	61-60825-B
to extort money	28-55894-B
to extort taxation	51-54543-B
to extort taxes	23-63877-B
to extort taxes excessively	23-63929-B
to extort with threats	30-13972-B
to extract	11-57923-B,28-20836-B,28-38015-B,28-42031-B,28-62854-B,28-64323-B,28-64638-B,34-40096-B
to extract a cube root	65-29737-B
to extract a medical sample	27-16790-B
to extract a square root	65-36811-B
to extract and use	27-16709-B
to extract bodily fluid	47-51203-S
to extract chemicals from solution	8-45363-B
to extract data from compressed file	57-48519-B
to extract lines from a text	29-5458-S
to extract oil	37-22348-S
to extract oil from vegetables	34-40189-B
to extract ore	14-55541-B,28-40574-B
to extract ore or other resource from a mine	65-36055-B
to extract water	52-33435-B
to extradite	23-29177-B
to extrapolate	16-47812-B,16-47860-B,28-31106-B
to extrapolate in calculation	28-31658-B
to extremes in meting out punishment	2-17994-S
to extricate oneself	29-30386-B
to extricate oneself from	56-18458-B
to extricate sb from trouble	8-44147-B
to exude	39-31968-B
to exude pleasure	38-7683-B
to exult	35-22187-B
to fabricate	28-3415-B,33-9095-B
to fabricate a story	6-10094-B,45-58790-B,58-61648-B
to fabricate excuses 成语 saw	21-60616-B
to face	12-61824-B,20-46157-B,20-48233-S,20-56010-S,32-47135-B,45-27280-S,52-55987-B,57-41522-S,61-44692-B,61-46224-S,67-21582-S,68-1049-S,68-1348-B,68-2137-S,68-2413-S,68-3564-S
to face about	61-28639-B
to face an attack	61-45427-B
to face childbirth	52-61362-B
to face dangers	8-11660-B
to face dangers calmly	57-29958-B
to face dangers with assurance	52-58825-B
to face into the winde	68-20879-B
to face meeting	68-3297-S
to face one other	20-48233-B
to face squarely	35-39105-B
to face the enemy	20-50763-B
to face the sun	61-30462-S
to face up to	35-39105-B
to face upwards	4-39837-B
to facilitate	5-29277-B
to fade	28-13518-B,60-13580-B
to fade away	38-32759-B,66-48248-B
to fade out	66-48171-B
to fail	5-54933-B,17-64154-B,17-65509-B,17-65653-B,46-21289-B,46-21462-B,69-36642-S
to fail admission to next year s course	43-50533-B,43-51088-B
to fail completely	1-10181-B
to fail for lack of a final effort	9-50432-B
to fail in imperial exam	12-58218-S
to fail the imperial exams	54-50044-B
to fail to be loyal to one s love	59-31500-B
to fail to live up to a boast	26-41942-S
to fail to show up	71-21604-B
to fail to win anything	47-47435-B
to fail within sight of success 成语 saw	9-49161-B
to failure etc	58-5319-S
to faint	31-26620-B,31-26696-B,31-58288-B,31-58373-B,44-30309-B
to faint and see stars	68-37562-B,68-37668-S
to faint during acupuncture or injection	31-58733-B
to faint from fear	69-59694-B
to faint from stress during exam	31-58415-B
to faint in the bathroom from heat	31-58534-B
to faint with blurred vision	68-37983-B
to fake	6-24678-B,6-24830-B
to fall	1-64037-B,5-54933-B,16-25846-B,16-26054-B,28-12790-B,28-63541-B,29-4977-B,38-45519-B,54-48957-B,60-33968-B,60-34099-B,60-34251-B,60-47482-B,66-16685-B,67-45350-B
to fall and break	28-63922-B
to fall and break at any moment	11-22330-S
to fall apart	15-30616-B,30-8746-B,30-8822-B
to fall asleep	7-25261-B,7-25309-B,26-47274-B,26-49121-B,45-58301-B,54-53041-B
to fall at the last hurdle	9-49161-B
to fall back	5-61660-B
to fall behind	54-49799-B
to fall dead	5-58124-B
to fall down	6-5177-B,28-13573-B,28-63656-B,29-16319-B,60-38539-B,68-46876-B
