lā jiā	69-38107-S
ma	1-57737-S,1-64920-S,2-14563-S,2-14563-S,3-10181-B,3-10181-B,3-23991-S,3-24372-S,3-25831-S,3-26987-S,3-27710-S,3-42640-S,3-52694-S,3-59288-S,3-65313-S,4-18786-S,4-25180-S,4-32524-S,4-64073-S,5-9142-S,5-9490-S,5-9490-S,5-26193-S,5-26682-S,5-31658-S,6-23985-S,6-26085-B,6-38038-S,7-30445-S,7-43052-S,8-3027-S,8-47584-S,9-8188-S,9-58566-S,9-68170-S,10-50654-S,10-54341-S,10-54678-S,12-4840-S,12-20520-S,12-24920-S,13-19119-S,13-19275-S,13-19427-S,13-26371-S,13-57040-S,14-4540-S,14-4540-S,14-16453-S,14-19073-S,14-23769-B,14-23799-B,14-23799-B,14-30355-B,14-30355-B,14-30394-B,14-52949-S,15-4601-S,15-5884-S,15-10233-S,15-31635-S,15-67403-S,16-20852-S,17-5162-S,17-13989-S,17-42500-S,18-7769-S,18-10858-S,18-13646-S,18-25869-S,18-39954-S,18-43631-S,18-46025-S,18-57360-B,18-57436-S,18-57436-S,18-61934-B,19-5914-S,19-59609-S,19-59922-S,20-4004-S,20-5005-S,21-2481-S,21-11923-S,21-14120-S,21-25116-S,22-4306-S,22-6216-S,22-52277-S,22-53187-S,22-54908-S,23-3298-S,23-64678-S,23-67976-S,24-30982-S,24-34800-S,24-45695-S,24-47601-S,24-47790-S,25-826-S,25-21245-S,25-22824-S,25-36769-S,26-2206-S,26-7232-S,26-20441-S,26-28034-S,27-30279-S,27-41131-S,27-61283-S,27-61419-S,27-68754-S,30-22837-S,30-23554-S,30-33161-S,30-37859-S,31-999-S,31-49349-S,32-14686-S,32-55490-S,33-54049-S,34-14371-S,34-14772-S,34-40357-B,35-3958-S,36-4865-S,37-3531-S,37-3604-S,37-21631-S,37-33219-S,38-26568-S,39-15756-S,39-18655-B,39-53113-S,41-49617-S,41-60101-S,42-15680-B,42-36136-S,42-47375-S,42-47494-S,42-47494-S,43-636-B,43-9767-S,43-56426-S,44-14860-S,44-15806-B,44-21964-S,44-21964-S,44-44802-S,44-44802-S,46-15218-S,46-34237-B,47-6667-B,47-34062-S,47-34116-S,48-43004-S,49-21579-S,49-23410-S,49-26355-S,49-51485-S,50-20399-S,50-53917-B,50-62879-S,51-5391-S,51-14504-S,51-26261-S,52-7224-S,52-34788-S,53-17239-S,53-51680-S,53-51680-S,53-64962-S,54-522-S,54-5151-S,54-19197-S,54-20334-S,54-44141-S,54-50875-S,55-7023-S,55-13822-S,55-55412-S,56-1065-S,56-1065-S,56-12089-B,56-12120-B,56-12145-B,56-16157-B,56-16183-B,56-16183-B,56-58131-S,57-18644-S,57-18825-S,57-51655-S,58-59398-S,58-61948-S,58-63638-S,59-41107-S,59-47343-S,60-1339-S,60-17578-S,60-36665-S,60-45839-S,60-53835-S,60-60715-S,61-39324-S,62-53762-S,62-55151-S,62-55482-S,62-55482-S,63-25578-S,63-25991-S,63-34431-S,63-42652-S,64-4631-S,66-1010-S,66-3959-S,66-29753-S,66-29753-S,67-37659-S,68-0-S,68-7174-S,68-19461-S,69-16778-S,69-31266-B,69-40724-S,69-45972-S,69-50670-B,69-51171-S,69-51600-S,69-52788-S,69-59016-S,69-63957-S,69-64358-S,70-35171-S,71-14122-B,71-16509-B,71-16509-B,71-25761-S,71-32821-S,71-32821-S,71-33578-S
ma Cheng	22-6264-S
ma Cheng zheng	12-25163-S
ma Di guo	33-23179-S,50-63275-S
ma Guang	12-25037-S
ma Liao tai lang	12-25802-S
ma Qian	12-25734-S
ma Rang ju	12-25604-S
ma Wo te sen	25-36812-S
ma Yan	12-25543-S
ma Yi	12-25104-S
ma Yun he	22-6330-S
ma Zhao zhi xin lu ren suo zhi	12-25246-S
ma an zhi fei fu	16-20933-S
ma ban	71-15151-B
ma bei	69-41077-B
ma bi	4-18952-S,5-16123-S,20-60996-S,52-39810-S,71-15085-B
ma bi bing du	20-61071-S
ma bi zheng	20-60896-S
ma bian	69-44216-B
ma bing	53-51916-S
ma bing du	32-55576-S
ma bing lang	69-39205-B
ma bu	3-65349-S,69-39306-B,71-14574-B
ma bu jue kou	50-53953-B
ma bǐng	53-51916-S
ma chang	60-1395-S,69-46104-S
ma che	14-53190-S,62-41537-S,69-43163-B
ma cheng	5-31727-S
ma chi xian	69-44598-B
ma ci	60-47920-S
ma da	4-19289-S,69-43275-B
ma da che	69-55546-S
ma da ding li	59-47414-S
ma da ha	69-35592-B
ma da jiao	67-59831-S
ma dai	71-15642-B
ma dang huo ma yi	35-59864-S
ma dao	20-57790-S,69-34024-B
ma dao cheng gong	69-34384-B
ma deng	60-14718-S,69-43122-B,69-43741-B
ma di guo	46-60951-S
ma dian	69-48636-S
ma dian di qu	69-48721-S
ma dian shi	69-48819-S
ma dou ling ke	69-33576-B
ma du su	55-7071-S
ma duan	4-32615-S
ma er	13-41006-S,16-17916-S,18-17169-S
ma er bao bing du	69-39567-B
ma er gan	29-9076-S
ma er han	29-9138-S
ma fa	12-25419-S,50-63609-S
ma fan	26-60234-S,71-14829-B
ma fang	69-38014-B
ma fei	14-23834-B
ma fen	14-51285-S
ma feng	42-45659-S,71-16312-B
ma feng bing	71-16370-B
ma fu	69-31870-B
ma fu she	4-64300-S
ma gan	16-16031-S,16-16240-S,18-10926-S
ma gan sha mo	16-16121-S
ma gang	30-23794-S
ma gong jiao	50-62935-S
ma gu dao	54-11997-S
ma gua	71-14880-B
ma guan	53-51725-S
ma guan hua	60-15016-S
ma guān	53-51725-S
ma ha	18-17096-S
ma hai xia	20-57849-S
ma he	53-31554-S
ma hou pao	29-53474-S,69-37273-B
ma hu	61-55642-S,69-40661-B,69-41784-B
ma hu hu	69-44460-S
ma hu shi	54-11909-S
ma hua	30-23640-S,50-63017-S,71-15415-B
ma huang	56-12222-B,71-16440-B
ma hui	38-26610-S,60-1475-S
ma hū hu	69-44460-S
ma ji	32-55667-S,56-355-S
ma jia	69-40447-B
ma jiang	53-51859-S,64-17714-S,71-14417-B,71-16088-B,71-16135-B
ma jiang pai	71-14459-B
ma jiao	14-4653-S,67-46603-S,67-48446-S
ma jiao ting	50-63356-S
ma jie duan	62-24792-S
ma jing	69-40875-B
ma jing shen	71-62782-S
ma jiu	69-37236-B
ma jiàng	53-51859-S
ma jiào	14-4653-S
ma ju	69-33985-B
ma kan hua	60-14800-S
ma ke	22-10933-S,24-24825-S,69-40609-B
ma ke bi	69-33509-B
ma ke si wei er	69-33262-B
ma la	11-22122-S,66-5622-S
ma la ding	32-67922-S,49-30511-S
ma la ren	11-22184-S
ma la song	69-38317-B
ma la ya	14-9735-S
ma la ya shan	14-9800-S
ma la ya shan mai	14-9873-S
ma lai	32-6815-S
ma lan	14-38525-S
ma lan qi	55-26581-S
ma lan zu	14-38575-S
ma li	49-27981-S,54-62275-S,69-34564-B
ma li ao	50-63661-S
ma li bo	22-22722-S
ma li nuo	51-52508-S,51-52574-S
ma li xiang	17-62691-S
ma li ya na	10-36525-S
ma lie	69-34078-B
ma lin	47-6089-S
ma ling shu	69-43690-B
ma long	60-59203-S
ma lu	3-27081-S,33-41667-S,47-52593-S,62-48854-S,69-42500-B,69-44558-B
ma lu ding	32-68028-S,49-30616-S
ma lu kou	69-42543-B
ma lu yan r	69-42609-B
ma luan	8-2484-S
ma ma	18-57436-B,20-4004-S
ma ma hu hu	69-44460-B
ma mi	18-57390-B
ma mi ba ni mou	13-56314-S
ma miao	14-4575-S
ma miào	14-4575-S
ma mu	4-50938-S,4-52557-S,71-14615-B
ma mī ba ní mōu	13-56314-S
ma na	23-57103-S
ma nao	43-1405-B,49-11564-S,50-26080-S,50-46040-S
ma nao bei	43-1463-B
ma nao yan bing du	18-40977-S,33-19366-S,57-18187-S
ma nei li	4-39499-S
ma ni ba mi mou	13-56214-S
ma ni hua yuan	19-52844-S
ma ni ya	50-63215-S
ma ni ya zhou	16-17593-S
ma ni yuan	19-52760-S
ma nian	69-37110-B
ma niu ai er	53-48359-S
ma ní bā mī mōu	13-56214-S
ma pai	55-55451-S
ma pi	27-30398-S,69-34652-B,69-36902-B
ma pi jing	69-36986-B
ma pin fa	18-46100-S,18-48277-S
ma pin yin	18-46208-S,18-48374-S
ma po dou fu	71-14280-B
ma qi	57-51709-S
ma qi duo	43-796-B
ma qi shi	60-1534-S
ma qian zu	69-34473-B
ma qiao	26-43949-S
ma qiu	69-40344-B
ma que	57-47813-S,65-27791-S,71-16264-B
ma qun	69-40983-B
ma r	49-23503-S
ma ren	50-54057-B,69-46047-S
ma ruan jian	65-36480-S
ma sai ke	69-42174-B
ma sao miao	30-23724-S
ma sha	71-15316-B
ma shan	43-9870-S
ma shang	69-31620-B
ma shang bi wu	69-31711-B
ma shao	69-34606-B
ma she xian	4-64130-S
ma she xian tan ce qi	4-64195-S
ma sheng ya	26-7293-S
ma shi ge	17-41512-S
ma shi ge li	17-41573-S
ma shi tu	51-31657-S
ma shu	50-63533-S,69-41847-B
ma shu zi	50-63465-S
ma si	13-36661-S,13-40931-S,26-52954-S,27-23603-S,44-49140-S
ma si nei	69-38575-B
ma si · A kui na	26-53015-S
ma sun	3-65075-S
ma sun he	3-65124-S
ma suo	20-5174-S
ma tan	12-25673-S
ma ti	69-42686-B
ma ti lian	69-42928-B
ma ti tie	69-43070-B
ma ti xie	69-42988-B
ma ti xing	69-42785-B
ma tong	27-17333-S,30-23930-S,69-39061-B
ma tong ba	69-39132-B
ma tou	17-47823-S,46-34378-B,69-44259-B
ma tou qin	69-44405-B
ma wan	54-25184-S
ma wang zi	44-49225-S
ma wei	69-36225-B
ma wei chuan dou fu	69-36642-B
ma wei song	69-36331-B
ma xi	69-37926-B
ma xi tuan	69-37964-B
ma xian	30-33199-S,51-11690-S
ma xu	71-15371-B
ma xue	20-5119-S
ma xun	3-65189-S
ma ya	60-7418-S
ma yao	5-28207-S,71-15555-B
ma yao zu zi zhi xian	22-10808-S
ma ye	4-32672-S
ma yi	7-16434-S,35-59864-S,56-12262-B,71-15598-B
ma yi shi	7-16566-S
ma yong	8-3094-S
ma you	53-51806-S,71-14786-B
ma yu	30-33266-S
ma yu E mo la	26-28096-S
ma yu Ha mo la	49-26404-S
ma yóu	53-51806-S
ma zha	56-12178-B
ma zha luo shan	3-21118-S
ma zhao xiang ji	30-23848-S
ma zhe	27-30500-S,69-52837-S
ma zhen	24-24889-S,44-15840-B,54-19236-S,71-15045-B
ma zhou	3-59347-S,5-31814-S,18-12557-S,54-50976-S
ma zhuang	8-1381-S
ma zi	11-46526-S,15-13119-S,20-5073-S,44-50230-S,46-34325-B,50-63073-S,51-27185-S,52-23165-S,55-7128-S,69-35819-B,71-14378-B
ma zi fu ji	50-20439-S
ma zi mu	50-63134-S
ma zui	7-41976-S,21-17202-S,71-15775-B
ma zui ji	21-17271-S,71-15845-B
ma zui xue	71-15896-B
ma zui yao	71-15951-B
ma zui yao pin	71-16025-B
ma zuo	4-18858-S,10-54741-S,21-2524-S,69-935-S
ma zuo fu xiong di	11-14667-S
ma1	3-24372-S,4-25180-S,17-13989-S,18-39954-S,18-43631-S,18-57360-B,18-61934-B,23-67976-S,51-26261-S,56-12089-B,66-1010-S
ma1 er3	16-17916-S
ma1 feng1 bing4	71-16370-B
ma1 ma5	18-57436-B
ma1 mi1	18-57390-B
ma1 zi5	51-27185-S
ma2	3-23991-S,3-25831-S,3-27710-S,3-65313-S,7-43052-S,17-42500-S,20-4004-S,22-52277-S,22-53187-S,24-30982-S,24-47601-S,24-47790-S,44-15806-B,47-34116-S,52-7224-S,53-64962-S,54-522-S,54-5151-S,54-19197-S,55-7023-S,55-13822-S,56-16157-B,63-42652-S,71-14122-B,71-25761-S
ma2 ban1	71-15151-B
ma2 bi4	5-16123-S,20-60996-S,52-39810-S,71-15085-B
ma2 bi4 bing4 du2	20-61071-S
ma2 bi4 zheng4	20-60896-S
ma2 bu4	3-65349-S,71-14574-B
ma2 dai4	71-15642-B
ma2 du2 su4	55-7071-S
ma2 fan5	26-60234-S,71-14829-B
ma2 fen1	14-51285-S
ma2 feng1	71-16312-B
ma2 gua1	71-14880-B
ma2 hua1	71-15415-B
ma2 huang2	71-16440-B
ma2 jiang4	71-14417-B,71-16088-B,71-16135-B
ma2 jiang4 pai2	71-14459-B
ma2 lai2	32-6815-S
ma2 li3 xiang1	17-62691-S
ma2 ma2	20-4004-S
ma2 mu4	71-14615-B
ma2 po2 dou4 fu3	71-14280-B
ma2 que4	57-47813-S,65-27791-S,71-16264-B
ma2 sha1	71-15316-B
ma2 xu4	71-15371-B
ma2 ya1	60-7418-S
ma2 yao4	5-28207-S,71-15555-B
ma2 yi1	71-15598-B
ma2 you2	71-14786-B
ma2 zhen3	24-24889-S,44-15840-B,54-19236-S,71-15045-B
ma2 zi3	44-50230-S,52-23165-S,55-7128-S
ma2 zi4 mu3	50-63134-S
ma2 zi5	71-14378-B
ma2 zui4	7-41976-S,21-17202-S,71-15775-B
ma2 zui4 ji4	21-17271-S,71-15845-B
ma2 zui4 xue2	71-15896-B
ma2 zui4 yao4	71-15951-B
ma2 zui4 yao4 pin3	71-16025-B
ma3	1-57737-S,1-64920-S,3-26987-S,3-42640-S,3-52694-S,3-59288-S,4-18786-S,4-32524-S,4-64073-S,5-9142-S,5-26682-S,5-31658-S,6-23985-S,6-38038-S,7-30445-S,8-3027-S,8-47584-S,9-8188-S,9-58566-S,9-68170-S,10-50654-S,10-54341-S,10-54678-S,12-4840-S,12-24920-S,13-19119-S,13-19275-S,13-19427-S,14-16453-S,14-19073-S,14-23769-B,14-52949-S,15-4601-S,15-5884-S,15-10233-S,15-31635-S,15-67403-S,16-20852-S,17-5162-S,18-7769-S,18-10858-S,18-13646-S,18-25869-S,18-46025-S,19-5914-S,19-59609-S,19-59922-S,20-5005-S,21-2481-S,21-11923-S,21-14120-S,21-25116-S,22-4306-S,22-6216-S,22-54908-S,23-3298-S,23-64678-S,24-34800-S,24-45695-S,25-21245-S,25-36769-S,26-2206-S,26-7232-S,26-20441-S,26-28034-S,27-30279-S,27-41131-S,27-61283-S,27-61419-S,30-22837-S,30-23554-S,30-33161-S,31-999-S,31-49349-S,32-14686-S,32-55490-S,33-54049-S,34-14371-S,34-14772-S,35-3958-S,36-4865-S,37-3531-S,37-3604-S,37-21631-S,37-33219-S,38-26568-S,39-15756-S,39-18655-B,41-49617-S,41-60101-S,42-15680-B,42-36136-S,42-47375-S,43-636-B,43-9767-S,43-56426-S,46-15218-S,46-34237-B,47-34062-S,48-43004-S,49-21579-S,49-23410-S,49-26355-S,49-51485-S,50-20399-S,50-62879-S,51-5391-S,51-14504-S,52-34788-S,54-20334-S,54-44141-S,54-50875-S,55-55412-S,56-12120-B,56-58131-S,57-18644-S,57-18825-S,57-51655-S,58-61948-S,58-63638-S,59-47343-S,60-1339-S,60-17578-S,60-36665-S,60-45839-S,60-53835-S,60-60715-S,62-53762-S,62-55151-S,63-25578-S,63-25991-S,63-34431-S,64-4631-S,66-3959-S,67-37659-S,68-0-S,68-7174-S,68-19461-S,69-16778-S,69-31266-B,69-40724-S,69-45972-S,69-51171-S,69-51600-S,69-52788-S,69-59016-S,69-63957-S,69-64358-S,70-35171-S,71-33578-S
ma3 Cheng2	22-6264-S
ma3 Cheng2 zheng4	12-25163-S
ma3 Di4 guo2	33-23179-S,50-63275-S
ma3 Guang1	12-25037-S
ma3 Liao2 tai4 lang2	12-25802-S
ma3 Qian1	12-25734-S
ma3 Rang2 ju1	12-25604-S
ma3 Wo4 te4 sen1	25-36812-S
ma3 Yan2	12-25543-S
ma3 Yi4	12-25104-S
ma3 Yun4 he2	22-6330-S
ma3 Zhao1 zhi1 xin1 lu4 ren2 suo3 zhi1	12-25246-S
ma3 an1 zhi1 fei1 fu2	16-20933-S
ma3 bei4	69-41077-B
ma3 bi4	4-18952-S
ma3 bian1	69-44216-B
ma3 bing1 lang5	69-39205-B
ma3 bing4 du2	32-55576-S
ma3 bu4	69-39306-B
ma3 chang3	60-1395-S,69-46104-S
ma3 che1	14-53190-S,62-41537-S,69-43163-B
ma3 cheng2	5-31727-S
ma3 chi3 xian4	69-44598-B
ma3 ci4	60-47920-S
