mō mō	6-22404-S
nan zhong sha qun dao	57-13694-S
nan zhong yin	43-44870-B
nan zhou	38-16497-S,43-13520-S,71-17035-S,71-34649-S,71-34878-S,71-35283-S
nan zhuang	43-46849-B
nan zi	14-2867-B,38-47146-S,43-45376-B
nan zi dan	43-45421-B
nan zi han	43-45545-B
nan zi lan qiu	43-45604-B
nan zi qi	43-45487-B
nan zu	10-61938-S
nan · Dao er	33-47589-S
nan1	14-62578-B,14-62615-S
nan1 nan1	14-62615-B
nan2	7-34606-S,10-65741-B,12-18206-S,12-62588-S,12-63681-S,13-9790-S,13-10260-S,13-58362-S,14-2753-B,14-2796-S,16-20091-S,19-20385-S,19-24761-S,19-43979-S,20-16625-S,21-8574-S,21-21084-S,22-14496-S,22-37779-S,22-67214-S,23-10644-S,23-32877-S,24-54450-S,27-57597-S,29-6486-S,29-65194-S,31-59709-B,33-15903-S,33-45255-B,34-31490-B,34-34450-S,34-61943-S,35-59710-S,36-57433-S,36-57963-S,37-2634-S,37-19058-S,37-41405-S,37-55676-S,37-62577-S,38-16390-S,38-47073-S,39-4865-S,39-10725-S,39-62675-S,39-64782-S,40-9051-S,40-17548-S,40-19192-S,40-33251-S,43-13452-S,43-44843-B,44-5002-S,46-43225-S,47-64728-S,49-64792-S,51-209-S,52-47857-S,53-44093-S,54-5764-S,54-22597-S,54-32364-S,54-48318-S,55-2870-S,55-41329-S,55-41787-S,55-50432-S,55-54783-S,56-40516-S,57-13652-S,58-47156-B,59-19714-S,59-42104-S,60-26380-S,61-13917-S,61-50231-S,62-31841-S,62-32227-S,63-3351-S,64-11596-S,64-11746-S,65-48800-S,65-58299-S,66-13717-S,66-51064-S,67-11146-B,67-17898-S,68-3030-S,70-30438-S,71-19919-S,71-58024-S
nan2 Bu4 yi1 zu2 Miao2 zu2 zi4 zhi4 zhou1	71-34703-S,71-35417-S
nan2 Da4 xue2	31-64642-S,33-16213-S,39-10795-S
nan2 Fei1 zhou1	29-6560-S
nan2 Gong4 chan3 dang3	60-26432-S
nan2 Jiao1 tong1 Da4 xue2	57-13868-S
nan2 Li3 gong1 Da4 xue2	54-32412-S
nan2 Meng2 gu3 zu2 zi4 zhi4 xian4	37-19215-S
nan2 Miao2 zu2 Dong4 zu2 zi4 zhi4 zhou1	71-34948-S
nan2 Ya4	10-65967-B
nan2 Yao2 zu2 zi4 zhi4 xian4	62-19851-S
nan2 Yi2 zu2 zi4 zhi4 xian4	60-41767-S
nan2 Yu4 gu4 zu2 zi4 zhi4 xian4	52-2764-S
nan2 Zang4 zu2 zi4 zhi4 zhou1	38-16652-S,43-13634-S,71-17132-S
nan2 ai2	67-12619-B
nan2 an1 pu3 dun1	10-69240-B
nan2 an4	10-70402-B
nan2 an4 mo2 shi1	43-46395-B
nan2 ao2	67-13045-B
nan2 ban4 dao3	2-51586-S
nan2 ban4 nu:3 zhuang1	43-46282-B
nan2 bao3	53-15053-S,67-11553-B
nan2 bei3	10-67507-B
nan2 bei3 Han2	10-67776-B
nan2 bei3 ji2	10-67643-B
nan2 bian4	45-40885-S
nan2 bian5	11-4261-B
nan2 bian5 r5	11-4341-B
nan2 bu4	2-51749-S,11-4414-B,33-16289-S,57-13975-S
nan2 cai2 nu:3 mao4	43-46166-B
nan2 chan2	67-13206-B
nan2 chan3	67-13108-B
nan2 chao2	10-72489-B
nan2 che1	27-57698-S
nan2 chu5	67-13376-B
nan2 chuan2	62-36128-S
nan2 chuang3 bei3	60-10097-S
nan2 ci4 pang2 pi2	60-26528-S
nan2 cong1 ming4	46-43320-S
nan2 dao3	10-70449-B,38-16439-S
nan2 dao3 min2 zu2	10-70495-B
nan2 dao4	67-13709-B,71-4411-S
nan2 de2	67-12110-B
nan2 de2 la1	59-53679-S
nan2 de5	43-46651-B
nan2 di1 yin1	43-44975-B
nan2 di4 qu1	21-28840-S,39-4955-S,66-51143-S
nan2 dong3	67-12308-B
nan2 du4	67-11981-B
nan2 fan3	47-40461-S
nan2 fang1	10-71953-B
nan2 fei1	28-43836-S
nan2 fen1	67-12366-S
nan2 fen1 nan2 she3	67-11707-B
nan2 feng2	10-50849-S
nan2 fu4	13-32212-S
nan2 gao1 yin1	43-46899-B
nan2 gong1	27-57639-S,31-27778-S
nan2 gua1	11-1970-B
nan2 guai4	67-12218-B
nan2 guan1	67-13781-B
nan2 guan3 jia1	43-46736-B
nan2 guo4	67-13654-B
nan2 hai2	43-45675-B
nan2 hai2 er5	43-45712-B
nan2 hai2 yue4 dui4	43-45804-B
nan2 hai2 zi5	43-45758-B
nan2 hai3	2-51691-S
nan2 he2	55-41380-S
nan2 hu3	54-32525-S
nan2 hua2 zao3 bao4	11-3183-B
nan2 hun4	67-12934-B
nan2 ji2	10-73141-B
nan2 ji2 zuo4	10-73184-B
nan2 ji4	67-13482-B
nan2 ji4 nian4	11-65265-S
nan2 jia1	43-45888-B
nan2 jia4 yu4	67-13883-B
nan2 jie2 jing4	49-35175-S
nan2 jue2	43-46522-B
nan2 jun4	31-5960-S
nan2 kan1	67-11922-B
nan2 kan4	67-13158-B
nan2 kong4 zhi4	67-12658-B
nan2 li2	67-12493-S
nan2 lu4	11-5774-B
nan2 lu:4 nu:3	49-11618-S
nan2 mai3	10-52099-S
nan2 mai3 cun4 guang1 yin1	20-31887-S
nan2 mei3 li2	11-2542-B
nan2 mian3	67-11634-B
nan2 mian3 zuo4	10-67287-B
nan2 mian4	11-5602-B
nan2 ming2	19-13127-S
nan2 mu4	34-31527-B
nan2 nan2	14-2796-B
nan2 nian4 de5 jing1	19-61691-S
nan2 nu:3	18-43850-S,43-45132-B
nan2 nu:3 guan1 xi4	43-45235-B
nan2 nu:3 lao3 shao4	43-45176-B
nan2 pai4 tang2 lang2	11-683-B
nan2 peng2 you5	43-46456-B
nan2 pu3 shi4	11-789-B
nan2 qiang1 bei3 diao4	11-2652-B
nan2 qing1 nu:3	63-62586-S
nan2 qu1	19-24812-S,22-12105-S,39-62752-S,54-5839-S
nan2 quan2	10-71810-B
nan2 ren2	43-44925-B
nan2 ren2 hou4 mian5 bi4 you3 yi1 ge4 feng4 xian4 de5 nu:3 ren2	26-8394-S
nan2 san1 jiao3 zuo4	10-65769-B
nan2 se4	43-46810-B
nan2 shan1 mai4	19-24881-S
nan2 she3	67-11707-S
nan2 she3 nan2 fen1	67-12366-B
nan2 she3 nan2 li2	67-12493-B
nan2 sheng1	43-46561-B
nan2 sheng3	36-58222-S,37-19130-S,38-16590-S,39-10865-S,67-17966-S
nan2 shi2 zi4 zuo4	10-67963-B
nan2 shi4	12-18274-S,37-62654-S,38-47245-S,39-5050-S,40-9090-S,52-47942-S,66-51263-S
nan2 shi4 bian4	44-63849-S
nan2 shou4	67-11834-B
nan2 shu1	50-49972-S
nan2 shu3	32-7099-S,46-4264-S
nan2 shu4	46-4316-S
nan2 si4 da4 cai2 zi3	36-58106-S
nan2 tan2	67-12029-B
nan2 tao2	37-32825-S
nan2 tao2 fa3 wang3	67-13531-B
nan2 ti2	8-46781-S,67-13833-B
nan2 tian2	25-1415-S,25-53101-S
nan2 tong2	43-46687-B
nan2 tuo2	66-13762-S
nan2 wang4	37-12381-S,67-12170-B
nan2 wei2 qing2	67-12988-B
nan2 wei2 wu2 mi3 zhi1 chui1	21-60253-S
nan2 wei3	11-2393-B
nan2 wen2	60-26729-S,67-13320-B
nan2 wu1	43-45948-B
nan2 xi1 lin2	13-9838-S
nan2 xi4 yu3	13-10341-S
nan2 xia4	10-65861-B,69-52618-S
nan2 xian4	7-34680-S,12-18342-S,19-44053-S,61-13982-S,62-19988-S,71-58098-S
nan2 xiang1	10-61988-S
nan2 xing2	67-13435-B
nan2 xing4	43-45995-B
nan2 xing4 qin1 shu3	43-46102-B
nan2 xing4 zun1 cheng1	43-46036-B
nan2 xiu1 dao4 yuan4 zhang3	43-45057-B
nan2 ya4	33-15947-S,57-13811-S
nan2 ya4 guo2	33-16006-S
nan2 ya4 guo2 jia1 lian2 meng2	33-16076-S
nan2 yan1	11-1834-B
nan2 yi2	36-58907-S,36-59048-S
nan2 yi3	67-11273-B
nan2 yi3 mo3 qu4	67-11409-B
nan2 yi3 ying4 fu4	67-11322-B
nan2 yi3 zhi4 xin4	67-11488-B
nan2 ying1	43-45332-B
nan2 yu2 deng1 tian1	67-12719-B
nan2 yu2 zuo4	11-5698-B
nan2 yu3	60-26823-S,65-48840-S
nan2 yuan2 bei3 zhe2	11-3659-B
nan2 yue4	10-70613-B
nan2 zai4 yu2	14-63676-S
nan2 zhan4 zheng1	60-26642-S
nan2 zhe3	35-59780-S
nan2 zhen1	27-57797-S
nan2 zhen4	30-33806-S,48-2020-S
nan2 zheng1	10-71321-B
nan2 zheng1 bei3 fa2	10-71389-B
nan2 zheng1 bei3 tao3	10-71629-B
nan2 zheng1 bei3 zhan4	10-71508-B
nan2 zhi1 yi4	67-61011-S
nan2 zhong1 sha1 qun2 dao3	57-13694-S
nan2 zhong1 yin1	43-44870-B
nan2 zhou1	38-16497-S,43-13520-S,71-17035-S,71-34649-S,71-34878-S,71-35283-S
nan2 zhuang1	43-46849-B
nan2 zi3	43-45376-B
nan2 zi3 dan1	43-45421-B
nan2 zi3 han4	43-45545-B
nan2 zi3 lan2 qiu2	43-45604-B
nan2 zi3 qi4	43-45487-B
nan2 zi4	14-2867-B
nan2 zi5	38-47146-S
nan2 zu2	10-61938-S
nan2 · Dao4 er3	33-47589-S
nan3	25-44004-S,26-4214-B,56-9814-B,60-7645-B
nan4	5-30539-S,8-48844-S,9-63322-S,11-23738-S,11-65170-S,16-59940-S,17-39836-S,25-8471-S,35-60827-S,38-26399-S,40-27836-S,43-52581-S,44-35196-S,46-41073-S,46-45327-S,47-50793-S,50-55018-S,52-62749-S,54-386-S,54-64374-S,59-41144-S,59-61271-S,61-39020-S,61-64951-S,62-36014-S,62-66485-S,63-7929-S,65-65235-S,67-11224-B,67-68550-S
nan4 bu4 si3	17-39886-S
nan4 dian3	67-13942-B
nan4 jie2	51-40968-S
nan4 jie3 fen1	28-18376-S
nan4 min2	67-12835-B
nan4 min2 ying2	67-12876-B
nan4 suo3	63-8014-S
nan4 xing4	40-27890-S
nan4 zhe3	11-65330-S,62-36069-S
nan5	14-63603-S
nang	3-646-S,6-47169-S,10-13686-S,11-25908-S,14-23693-S,14-30717-S,14-30717-S,14-44321-B,14-45205-B,22-14453-S,24-18474-S,26-39164-S,29-37165-B,32-3819-B,36-13879-S,36-27575-S,40-18867-B,44-64814-S,45-19556-S,47-12255-S,47-56251-S,47-56251-S,48-52660-S,51-65443-S,52-48382-S,52-50522-S,53-17176-S,56-4644-S,57-48318-S,66-23805-S,69-8034-S,69-20997-B,69-25127-S,71-53060-B
nang chuai	14-44439-B,14-44570-B
nang ji gou	31-56846-S
nang ji shu	24-21231-S
nang jun	19-534-S
nang kuo	14-44374-B
nang pao	14-44480-B
nang pao zheng	50-47385-S
nang qi kou	4-65267-S
nang zhong	14-44522-B
nang1	14-45205-B
nang1 chuai4	14-44439-B,14-44570-B
nang2	3-646-S,6-47169-S,10-13686-S,11-25908-S,14-23693-S,14-44321-B,22-14453-S,24-18474-S,26-39164-S,36-13879-S,36-27575-S,44-64814-S,45-19556-S,47-12255-S,48-52660-S,51-65443-S,52-48382-S,52-50522-S,53-17176-S,56-4644-S,57-48318-S,66-23805-S,69-8034-S,69-25127-S
nang2 ji1 gou4	31-56846-S
nang2 ji4 shu4	24-21231-S
nang2 jun1	19-534-S
nang2 kuo4	14-44374-B
nang2 pao4	14-44480-B
nang2 pao4 zheng4	50-47385-S
nang2 qi2 kou3	4-65267-S
nang2 zhong3	14-44522-B
nang3	29-37165-B,32-3819-B,40-18867-B,69-20997-B
nang4	71-53060-B
nang5	14-30717-S,47-56251-S
nao	2-6730-S,2-43198-S,3-16784-S,5-14348-S,5-53016-S,6-45972-S,13-2646-S,13-16485-B,14-11301-S,16-60192-S,17-31936-S,19-15884-B,19-63327-S,20-69648-S,21-40282-B,24-22427-S,25-8767-B,25-24559-B,25-26786-S,25-62053-S,26-33869-S,28-14190-S,28-24430-S,29-9200-B,31-27130-S,34-4917-S,34-57550-S,37-13185-S,37-43207-S,37-54245-S,38-5458-S,38-41833-B,39-9651-S,40-57001-S,41-10122-S,41-22844-S,41-22844-S,42-13528-B,42-61069-B,43-1405-S,44-54337-S,45-39002-S,45-39002-S,48-16081-S,48-16319-S,49-11564-S,50-26080-S,50-46040-S,52-23099-S,52-35506-B,52-39137-B,52-47662-S,52-53246-B,53-67551-S,55-43467-S,56-39708-S,58-61262-B,64-59083-B,65-46789-S,65-64492-S,67-5958-S,67-34244-S,68-39211-S,69-23150-S,69-55317-S,70-5143-S,70-29362-B
nao bei	43-1463-S
nao bi yu	17-32048-S
nao bing du	67-34593-S
nao cao zuo	67-34445-S
nao cheng xiang ji shu	52-39879-B
nao chu xue	52-39264-B
nao dai	52-40928-B
