蒞 莅 [01\[ lì\]]	attend (official functions)
蘭言 兰言 [01\[ lán yán\]]	intimate conversation
蘭譜 兰谱 [01\[ lán pǔ\]]	lit. directory of orchids; fig. genealogical record (esp. exchanged between sworn brothers)
蘭迪斯 兰迪斯 [01\[ lán dí sī\]]	landis (name)
蘭閨 兰闺 [01\[ lán guī\]]	a lady's room (honorific)
蘵 蘵 [01\[ zhí\]]	physalis angulata
蘸 蘸 [01\[ zhàn\]]	to dip in (ink
蘺 蓠 [01\[ lí\]]	red algae;gracilaria
蘼 蘼 [01\[ mí\]]	millet
蘿 萝 [01\[ luó\]]	radish
蘿北 萝北 [01\[ luó běi\]]	(n) luobei (place in heilongjiang)
蘿蔔 萝卜 [01\[ luó bo\]]	turnip
虀 虀 [01\[ jī\]]	fragment;salted vegetables;spices
虆 虆 [01\[ léi\]]	creeper;bramble;dirt-basket
虍 虍 [01\[ hū\]]	stripes of tiger
虎 虎 [01\[ hǔ\]]	tiger
虎不拉 虎不拉 [01\[ hǔ bu lā\]]	shrike
虎尾鎮 虎尾镇 [01\[ hǔ wěi zhèn\]]	(n) huwei (town in taiwan)
虎年 虎年 [01\[ hǔ nián\]]	year of the tiger (e.g. 2010)
虎斑鸚鵡 虎斑鹦鹉 [01\[ hǔ bān yīng wǔ\]]	budgerigar (genus psittacella
虎林 虎林 [01\[ hǔ lín\]]	(n) hulin (place in heilongjiang)
虎爪派 虎爪派 [01\[ hǔ zhuǎ pài\]]	hu zhua pai - tiger claw sytem - martial art
虎父無犬子 虎父无犬子 [01\[ hǔ fù wú quǎn zǐ\]]	lit. father a lion
虎背熊腰 虎背熊腰 [01\[ hǔ bèi xióng yāo\]]	back of a tiger and waist of a bear;tough and stocky build
虎踞龍盤 虎踞龙盘 [01\[ hǔ jù lóng pán\]]	lit. where tigers crouch and dragons coil (成语 saw); fig. forbidding terrain
虎踞龍蟠 虎踞龙蟠 [01\[ hǔ jù lóng pán\]]	lit. where tigers crouch and dragons coil (成语 saw); fig. forbidding terrain
虎蹲砲 虎蹲炮 [01\[ hǔ dūn pào\]]	a short-barreled mortar;an ancient catapult
虎鉗 虎钳 [01\[ hǔ qián\]]	pliers
虎骨 虎骨 [01\[ hǔ gǔ\]]	tiger bone (used in traditional chinese medicine)
虐 虐 [01\[ nüè\]]	oppressive;tyrannical
虐待 虐待 [01\[ nüè dài\]]	mistreatment
虒 虒 [01\[ sī\]]	amphibious animal with one horn
虓 虓 [01\[ xiāo\]]	roar of a tiger
虔 虔 [01\[ qián\]]	devout
虔敬 虔敬 [01\[ qián jìng\]]	reverent
虔誠 虔诚 [01\[ qián chéng\]]	pious;devout;sincere
處 处 [01\[ chǔ\]]	to reside;to live;to dwell;to be in;to be situated at;to stay;to get along with;to be in a position of;to deal with;to discipline;to punish
處 处 [01\[ chù\]]	place;location;spot;point;office;department;bureau;respect;classifier for locations or items of damage: spot
處世 处世 [01\[ chǔ shì\]]	to conduct oneself in society
處世原则 处世原则 [01\[ chǔ shì yuán zé\]]	a maxim;one's principles
處事 处事 [01\[ chǔ shì\]]	to handle affairs;to deal with
處事原则 处事原则 [01\[ chǔ shì yuán zé\]]	a maxim;one's principles
處分 处分 [01\[ chǔ fèn\]]	to discipline sb;to punish;disciplinary action;to deal with (a matter)
處堂燕雀 处堂燕雀 [01\[ chù táng yàn què\]]	lit. a caged bird in a pavilion (成语 saw); fig. to lose vigilance by comfortable living;unaware of the disasters ahead;a fool's paradise
處境 处境 [01\[ chǔ jìng\]]	plight
處女 处女 [01\[ chǔ nǚ\]]	virgin;maiden;inaugural
處女作 处女作 [01\[ chǔ nǚ zuò\]]	first publication;maiden work
處女座 处女座 [01\[ chǔ nǚ zuò\]]	virgo (constellation and sign of the zodiac);popular variant of 室女座
處女膜 处女膜 [01\[ chǔ nǚ mó\]]	hymen
處女航 处女航 [01\[ chǔ nǚ háng\]]	maiden voyage
處所 处所 [01\[ chǔ suǒ\]]	place
處方 处方 [01\[ chǔ fāng\]]	medical prescription
處於 处于 [01\[ chǔ yú\]]	be (in some state
處暑 处暑 [01\[ chǔ shǔ\]]	chushu or end of heat
處死 处死 [01\[ chǔ sǐ\]]	an execution;to put sb to death
處決 处决 [01\[ chǔ jué\]]	to execute (a condemned criminal)
處理 处理 [01\[ chǔ lǐ\]]	to handle;to treat;to deal with;to process
處理器 处理器 [01\[ chǔ lǐ qì\]]	processor
處理能力 处理能力 [01\[ chǔ lǐ néng lì\]]	processing capability;throughput
處男 处男 [01\[ chǔ nán\]]	virgin (male)
處置 处置 [01\[ chǔ zhì\]]	to handle;to take care of;to punish
處罰 处罚 [01\[ chǔ fá\]]	to penalize;to punish
處處 处处 [01\[ chù chù\]]	everywhere;in all respects
虖 虖 [01\[ hū\]]	exhale;scream of tiger;to call
虛 虚 [01\[ xū\]]	devoid of content;void;false;empty;vain
虛位以待 虚位以待 [01\[ xū wèi yǐ dài\]]	(成语 saw) to reserve a seat for sb
虛假 虚假 [01\[ xū jiǎ\]]	false;a fake;an impostor
虛偽 虚伪 [01\[ xū wěi\]]	false;hypocritical;artificial;sham
虛偽類真 虚伪类真 [01\[ xū wěi lèi zhēn\]]	false but apparently real
虛像 虚像 [01\[ xū xiàng\]]	virtual image
虛名 虚名 [01\[ xū míng\]]	false reputation
虛報 虚报 [01\[ xū bào\]]	to misreport;fraudulent report
虛妄 虚妄 [01\[ xū wàng\]]	fabricated
虛實 虚实 [01\[ xū shí\]]	what is true and what is false;(to get to know) the real situation
虛幻 虚幻 [01\[ xū huàn\]]	imaginary;illusory
虛弱 虚弱 [01\[ xū ruò\]]	weak;in poor health
虛張聲勢 虚张声势 [01\[ xū zhāng shēng shì\]]	bluff
虛心 虚心 [01\[ xū xīn\]]	modest
虛心使人進步驕傲使人落後 虚心使人进步骄傲使人落后 [01\[ xū xīn shǐ rén jìn bù jiāo ào shǐ rén luò hòu\]]	modesty leads to progress
虛情假意 虚情假意 [01\[ xū qíng jiǎ yì\]]	false friendship;hypocritical show of affection
虛懷若谷 虚怀若谷 [01\[ xū huái ruò gǔ\]]	very modest
虛擬 虚拟 [01\[ xū nǐ\]]	fictitious;theoretical;virtual
虛擬世界 虚拟世界 [01\[ xū nǐ shì jiè\]]	virtual reality;web based fantasy world
虛擬機 虚拟机 [01\[ xū nǐ jī\]]	virtual machine
虛擬環境 虚拟环境 [01\[ xū nǐ huán jìng\]]	virtual environment
虛擬網絡 虚拟网络 [01\[ xū nǐ wǎng luò\]]	virtual network
虛擬通道標誌符 虚拟通道标志符 [01\[ xū nǐ tōng dào biāo zhì fú\]]	virtual channel connection identifier;vci
虛擬通道連接 虚拟通道连接 [01\[ xū nǐ tōng dào lián jiē\]]	virtual channel connection;vcc
虛擬連接 虚拟连接 [01\[ xū nǐ lián jiē\]]	virtual connection
虛數 虚数 [01\[ xū shù\]]	imaginary number
虛文 虚文 [01\[ xū wén\]]	dead letter;rule no longer in force;empty formality
虛文浮禮 虚文浮礼 [01\[ xū wén fú lǐ\]]	empty formality
虛星 虚星 [01\[ xū xīng\]]	imaginary star (in astrology)
虛有其表 虚有其表 [01\[ xū yǒu qí biǎo\]]	lit. its outside face seems good (成语 saw); fig. looks impressive but is worthless;not as good as it looks;a reputation with no substance
虛榮 虚荣 [01\[ xū róng\]]	vanity
虛榮心 虚荣心 [01\[ xū róng xīn\]]	vanity
虛構 虚构 [01\[ xū gòu\]]	imaginary
虛構小說 虚构小说 [01\[ xū gòu xiǎo shuō\]]	fiction
虛歲 虚岁 [01\[ xū suì\]]	east asian age reckoning
虛無 虚无 [01\[ xū wú\]]	nothingness
虛無主義 虚无主义 [01\[ xū wú zhǔ yì\]]	nihilism
虛無縹緲 虚无缥缈 [01\[ xū wú piǎo miǎo\]]	unreal;illusory;imaginary;vague and with nothing in it
虛空藏菩薩 虚空藏菩萨 [01\[ xū kōng zàng pú sà\]]	akasagarbha bodhisattva
虛線 虚线 [01\[ xū xiàn\]]	dotted line
虛缺號 虚缺号 [01\[ xū quē hào\]]	chinese blank character □ (punct. used to represent an unreadable character)
虛脫 虚脱 [01\[ xū tuō\]]	exhaustion;collapse from dehydration
虛腕 虚腕 [01\[ xū wàn\]]	empty wrist (method of painting)
虛與委蛇 虚与委蛇 [01\[ xū yǔ wēi shé\]]	a pretence at complying (成语 saw); sham gestures of politeness
虛蓆以待 虚席以待 [01\[ xū xí yǐ dài\]]	(成语 saw) to reserve a seat for sb
虛虛實實 虚虚实实 [01\[ xū xū shí shí\]]	hard to tell if it's real or sham
虛言 虚言 [01\[ xū yán\]]	empty words;false words
虛詐 虚诈 [01\[ xū zhà\]]	tricky and hypocritical
虛謊 虚谎 [01\[ xū huǎng\]]	false
虛警 虚警 [01\[ xū jǐng\]]	false alert
虛譽 虚誉 [01\[ xū yù\]]	imaginary reputation;empty fame
虛電路 虚电路 [01\[ xū diàn lù\]]	virtual circuit;vc
虛飄飄 虚飘飘 [01\[ xū piāo piāo\]]	light and airy;floating
虛驚 虚惊 [01\[ xū jīng\]]	false alarm;panic rumor
虜 虏 [01\[ lǔ\]]	take captive
虜獲 虏获 [01\[ lǔ huò\]]	capture (people)
虞 虞 [01\[ yú\]]	forewarned;peace;worry;surname yu
虞世南 虞世南 [01\[ yú shì nán\]]	yu shi'nan (558-638)
虞喜 虞喜 [01\[ yú xǐ\]]	chinese astronomer (281-356) famous for determining the precession of the equinoxes
虞城 虞城 [01\[ yú chéng\]]	(n) yucheng (place in henan)
虞應龍 虞应龙 [01\[ yú yìng lóng\]]	yu yinglong
虞舜 虞舜 [01\[ yú shùn\]]	yu shun
號 号 [01\[ háo\]]	roar;cry
號 号 [01\[ hào\]]	day of a month;(suffix used after) name of a ship;(ordinal) number
號召 号召 [01\[ hào zhào\]]	call;appeal
號啕 号啕 [01\[ háo táo\]]	to cry;to wail loudly
號喪 号丧 [01\[ háo sang\]]	to weep;to howl as if at a funeral
號碼 号码 [01\[ hào mǎ\]]	number
號碼牌 号码牌 [01\[ hào mǎ pái\]]	number plate;car license plate
號稱 号称 [01\[ hào chēng\]]	to have a reputation as;known as;de facto;to claim to be (often exaggeratedly or falsely)
號筒 号筒 [01\[ hào tǒng\]]	bugle
號角 号角 [01\[ hào jiǎo\]]	bugle horn
虡 虡 [01\[ jù\]]	bell pendant stand
虢 虢 [01\[ guó\]]	name of an ancient state
虣 虣 [01\[ bào\]]	cruel;violent
虥 虥 [01\[ zhàn\]]	striped wild cat
虧 亏 [01\[ kuī\]]	deficiency;deficit
虧待 亏待 [01\[ kuī dài\]]	to treat sb unfairly
虧得 亏得 [01\[ kuī de\]]	fortunately;luckily;(sarcastic) fancy that
虧心 亏心 [01\[ kuī xīn\]]	a guilty conscience
虧折 亏折 [01\[ kuī zhé\]]	to make a capital loss
虧損 亏损 [01\[ kuī sǔn\]]	deficit;(financial) loss
虧本 亏本 [01\[ kuī běn\]]	to make a loss
虧本出售 亏本出售 [01\[ kuī běn chū shòu\]]	to sell at a loss
虧格 亏格 [01\[ kuī gé\]]	(math.) genus
虧欠 亏欠 [01\[ kuī qiàn\]]	to fall short of;to have a deficit;deficit;deficiency
虧產 亏产 [01\[ kuī chǎn\]]	a shortfall in production
虧空 亏空 [01\[ kuī kōng\]]	in debt;in the red;in deficit
虧缺 亏缺 [01\[ kuī quē\]]	wane
虧負 亏负 [01\[ kuī fù\]]	deficient;to let sb down;to cause sb suffering
虩 虩 [01\[ xì\]]	terrified
虫 虫 [01\[ chóng\]]	insect;worm
虯 虬 [01\[ qiú\]]	young dragon with horns
虰蛵 虰蛵 [01\[ dīng xíng\]]	less common word for dragonfly 蜻蜓
虱 虱 [01\[ shī\]]	louse
虵 虵 [01\[ shé\]]	variant of 蛇
虷 虷 [01\[ gān\]]	worm
虹 虹 [01\[ hóng\]]	rainbow
虹 虹 [01\[ jiàng\]]	rainbow
虹口區 虹口区 [01\[ hóng kǒu qū\]]	hongkou district
虹吸管 虹吸管 [01\[ hóng xī guǎn\]]	siphon
虹橋 虹桥 [01\[ hóng qiáo\]]	rainbow bridge (name);district of shanghai including the old hongqiao airport
虹橋機場 虹桥机场 [01\[ hóng qiáo jī chǎng\]]	hongqiao airport (shanghai)
虹膜 虹膜 [01\[ hóng mó\]]	iris
虺 虺 [01\[ huī\]]	sick;with no ambition
虺 虺 [01\[ huǐ\]]	poisonous snakes
虻 虻 [01\[ méng\]]	tabanus trigonus;house fly
虼 虼 [01\[ gè\]]	flea
虼蚤 虼蚤 [01\[ gè zao\]]	flea (common colloquial word)
蚈 蚈 [01\[ qiān\]]	(arch.) firefly
蚊 蚊 [01\[ wén\]]	mosquito
蚊子 蚊子 [01\[ wén zi\]]	mosquito
蚊帳 蚊帐 [01\[ wén zhàng\]]	mosquito net
蚋 蚋 [01\[ ruì\]]	(mosquito);simulia lugubris;blackfly
蚌 蚌 [01\[ bàng\]]	oysters;mussels
蚌埠 蚌埠 [01\[ bèng bù\]]	bengbu prefecture level city in anhui
蚌埠市 蚌埠市 [01\[ bèng bù shì\]]	bengbu prefecture level city in anhui
蚍蜉 蚍蜉 [01\[ pí fú\]]	a type of large ant
蚓 蚓 [01\[ yǐn\]]	earthworm
蚔 蚔 [01\[ qí\]]	green-frog
蚖 蚖 [01\[ yuán\]]	protura (soil dwelling primitive hexapod);variant of 螈
蚖蟲 蚖虫 [01\[ yuán chóng\]]	protura (soil dwelling primitive hexapod)
蚘 蚘 [01\[ huí\]]	tapeworm
蚜 蚜 [01\[ yá\]]	aphis
蚡 蚡 [01\[ fén\]]	(mole)
蚣 蚣 [01\[ gōng\]]	scolopendra centipede
蚤 蚤 [01\[ zǎo\]]	flea
蚧 蚧 [01\[ jiè\]]	horned toad
蚨 蚨 [01\[ fú\]]	(water-beetle);money
蚩 蚩 [01\[ chī\]]	surname chi;ignorant;worm
蚩尤 蚩尤 [01\[ chī yóu\]]	chi you
蚪 蚪 [01\[ dǒu\]]	tadpole
蚯 蚯 [01\[ qiū\]]	earthworm
蚯蚓 蚯蚓 [01\[ qiū yǐn\]]	earthworm
蚰 蚰 [01\[ yóu\]]	see 蚰蜒
蚰蜒 蚰蜒 [01\[ yóu yan\]]	earwig;house centipede
蚰蜒路 蚰蜒路 [01\[ yóu yan lù\]]	lit. centipede's path;fig. narrow winding road
蚱 蚱 [01\[ zhà\]]	grasshopper
蚱蜢 蚱蜢 [01\[ zhà měng\]]	grasshopper
蚱蟲 蚱虫 [01\[ zhà chóng\]]	grasshopper
蚳 蚳 [01\[ chí\]]	ant eggs
蚴 蚴 [01\[ yòu\]]	larva
蚵 蚵 [01\[ é\]]	oyster
蚶 蚶 [01\[ hān\]]	small clam;arca inflata
蚹 蚹 [01\[ fù\]]	eulota peliomphala
蚺 蚺 [01\[ rán\]]	a boa constrictor
蚺蛇 蚺蛇 [01\[ rán shé\]]	boa constrictor
蚻 蚻 [01\[ zhá\]]	aphrophora martima
蚿 蚿 [01\[ xián\]]	millipede
蛀 蛀 [01\[ zhù\]]	termite;to bore (of insects)
蛁 蛁 [01\[ diāo\]]	pomponia maculatiocollis
蛄 蛄 [01\[ gū\]]	see 蝼蛄 mole-cricket (gryllotalpa)
蛅 蛅 [01\[ rán\]]	a caterpillar
蛆 蛆 [01\[ qū\]]	maggot
蛇 蛇 [01\[ shé\]]	snake;serpent;cl:條|条[tiao2]
蛇夫座 蛇夫座 [01\[ shé fū zuò\]]	ophiuchus (constellation)
蛇島 蛇岛 [01\[ shé dǎo\]]	shedao or snake island in bohai sea 渤海 off lüshun 旅順|旅顺 on the tip of the liaoning peninsula
蛇島蝮 蛇岛蝮 [01\[ shé dǎo fù\]]	snake island viper (gloydius shedaoensis)
蛇年 蛇年 [01\[ shé nián\]]	year of the snake (e.g. 2001)
蛇形 蛇形 [01\[ shé xíng\]]	s-shaped;serpentine;coiled like a snake
蛇毒素 蛇毒素 [01\[ shé dú sù\]]	snake toxin
蛇皮 蛇皮 [01\[ shé pí\]]	snake skin
蛇紋岩 蛇纹岩 [01\[ shé wén yán\]]	serpentine (geol.)
蛇紋石 蛇纹石 [01\[ shé wén shí\]]	serpentine (geol.)
蛇綠岩 蛇绿岩 [01\[ shé lǜ yán\]]	ophiolite (geol.)
蛇蒿 蛇蒿 [01\[ shé hāo\]]	tarragon
蛇足 蛇足 [01\[ shé zú\]]	lit. legs on a snake;sth superfluous
蛉 蛉 [01\[ líng\]]	sandfly
蛋 蛋 [01\[ dàn\]]	egg;oval shaped
蛋撻 蛋挞 [01\[ dàn tà\]]	custard tart
蛋殼 蛋壳 [01\[ dàn ké\]]	eggshell
蛋氨酸 蛋氨酸 [01\[ dàn ān suān\]]	methionine (met)
蛋白 蛋白 [01\[ dàn bái\]]	egg white;protein;albumen
蛋白石 蛋白石 [01\[ dàn bái shí\]]	opal
蛋白素 蛋白素 [01\[ dàn bái sù\]]	albumin
蛋白質 蛋白质 [01\[ dàn bái zhì\]]	protein
蛋糕 蛋糕 [01\[ dàn gāo\]]	cake
蛋花湯 蛋花汤 [01\[ dàn huā tāng\]]	clear soup containing beaten egg and green leafy vegetable
蛋黃 蛋黄 [01\[ dàn huáng\]]	egg yolk
蛋黃醬 蛋黄酱 [01\[ dàn huáng jiàng\]]	mayonnaise
蛋黄素 蛋黄素 [01\[ dàn huáng sù\]]	lecithin (phospholipid found in egg yolk)
蛌 蛌 [01\[ gǔ\]]	cricket
蛍 蛍 [01\[ yíng\]]	japanese variant of 螢|萤
蛐 蛐 [01\[ qū\]]	cricket
蛑 蛑 [01\[ móu\]]	marine crab
蛓 蛓 [01\[ cì\]]	(larva)
蛔 蛔 [01\[ huí\]]	roundworm;ascaris lumbricoides
