refers to 夜明珠	31-24576-B
resolve a doubt	33-32251-S
resolve contradictions	10-24711-S
resolve on improvement	41-39022-S
resonance	7-71818-B,8-209-S,23-33313-S,33-56385-S,46-34634-S,58-45854-B
resonance imaging fmri	9-49967-S
resonance imaging mri	46-34698-S
resonance nmr	33-61104-S
resonant	14-33316-B,37-60860-B
resonant voice	20-25497-B,20-26521-B
resonating chamber of a musical instrument	68-15045-B
resort	18-50758-B,54-42826-S,62-54232-S,63-7136-S,63-7253-S
resort on hainan island	11-10525-S,11-10703-S
resort to	42-39130-S
resound	14-57623-S
resound with laughter	13-35773-B
resounding	14-11354-B,64-56888-B,64-56942-B,68-18753-B,68-18816-B,68-18904-B
resounding sound	70-11295-B
resounding words	64-56942-S
resource	5-44930-S,12-11474-S,12-11540-S,17-53961-S,43-30965-B,48-42202-B,52-50903-S,53-9685-S,65-39144-S
resource from a mine	65-36055-S
resource identifier	62-11456-S
resource locator url	1-18733-S
resource such as manpower or tourism	59-52377-B
resource such as water or minerals	59-52377-S
resourceful	31-57480-B,31-57537-S,35-3466-B,48-42896-B,58-50836-B,60-32538-B
resourcefully	21-60538-S,24-57268-S
resources	4-6506-S,6-59848-S,27-71043-S,28-58671-S,33-38791-S,36-46787-S,41-53248-S,46-44992-S,46-45215-S,48-43309-S,59-32854-S,59-33756-S,59-50721-B,59-50935-B
resources as opposed to labor resources	41-53248-S
resources for military service	8-1868-S
resources into areas of need	27-71043-S
resources to cover a need	13-14058-S,62-27973-S
resources to help another in time of need	45-29737-S
resow	56-58452-B
respect	3-40803-S,5-10105-S,6-4444-S,7-4932-S,15-41076-B,19-9759-S,20-42393-S,20-43494-B,20-44311-B,24-30544-S,24-55301-S,25-4100-S,25-4160-S,25-6971-B,25-35235-S,26-23202-S,27-44654-S,27-45879-S,30-10964-S,30-11464-B,30-12030-S,30-12654-S,30-64602-B,40-32748-S,49-49192-S,51-8299-S,51-17358-B,53-4959-S,53-5026-S,55-48777-B,56-46005-S,67-56769-S,68-1850-S
respect a deity	30-11919-S
respect an agreement	62-68298-S
respect and love	30-11513-B
respect deeply	30-13002-S
respect for	45-38558-S
respect for aged	30-12239-S
respect for it	58-62485-S
respect for older man	4-59003-S,17-27250-S
respect for sb	59-45252-S
respect for seniors	37-8569-S
respect for the wise	47-9257-B
respect for your teacher s wife	22-26349-S
respect from a distance 成语 saw	30-12323-S
respect gods and demons from a distance 成语 saw	30-13076-S
respect of old person	51-30099-S
respect sb greatly	35-23783-S
respect second only to father	3-61610-S
respect talent and make use of ability mencius	20-44051-S
respect the old and cherish the young	20-43733-S
respect the wise and venerate the worthy 成语 saw	30-12092-S
respect to	11-40282-S
respect to sovereign	32-48900-S
respect 成语 saw	4-38274-S,42-37925-S
respectable	12-12463-B,20-43986-B
respected	20-43986-B,22-48171-S
respected honorific	57-30106-B
respected opinion	20-43409-S
respectful	16-41876-B,25-3178-B,25-3665-B,25-16675-B,25-30895-B,43-54589-S,51-26635-S,51-26809-S,52-2587-B,56-46005-B,58-35198-B
respectful attention	37-54104-S
respectful closing to a letter	30-11212-B
respectful distance	30-12323-S,30-13076-S
respectful form of address	4-57453-B
respectful ly	46-53975-B
respectful manner	68-45071-B
respectful term	64-28409-S
respectful to a superior	2-13314-S
respectfully	25-3699-S,30-11131-S,51-43048-S
respectfully with clasped hands	26-44717-S,26-49445-S
respecting noble talent while protecting the common people	20-44160-B
respective	5-53314-B,8-4315-S,12-30325-B
respectively	8-50317-B
respects	13-62542-S,13-62691-S,27-46438-S,27-46673-S,55-50602-S,58-52103-S,61-63826-S
respiratory function similar to hemoglobin	56-29282-S
respiratory syndrome	55-24763-S,55-24986-S
respiratory syndrome prrs	55-29502-S
respiratory system	13-17910-B
respiratory tract	13-18065-B,36-29453-B,36-30982-B
respite	50-22650-S
respitory syndrome	67-62980-S,67-63070-S
resplendent	41-32943-B
resplendent or rich color	54-33942-B
respond	11-48414-S,14-55435-B,25-58764-S,25-62266-S,28-59932-S,28-60319-S,28-60572-S,48-20432-B,48-20728-S,48-21173-S
respond accordingly to	14-60399-S
respond in agreement	25-59056-S
respond in singing	13-21531-B
respond instantly	51-57662-S
respond respond instantly	51-57662-S
respond to	68-18986-B
respond to a poem with a poem	63-43138-S
respond to an emergency	25-59392-B
responds to a radio code	43-63944-S,44-28020-S
responibility and push it to others	28-29735-S
responsability	6-22543-S
response	7-9413-S,7-20668-S,7-20795-S,11-48414-B,14-55435-B,25-41717-B,25-59201-B,26-57605-S,27-4217-S,36-65704-S,40-28485-S,61-66287-S
response time	11-48814-B,68-19040-B
response time technology	11-48873-B
response to sth	8-209-S
responses	49-39108-S
responses to difficult or delicate situation	58-63531-S
responsibilities	11-59582-S,17-8188-S,28-12015-S,28-30300-S,28-30300-S,28-32176-S,28-32176-S
responsibilities onto the other	3-45685-S
responsibilities through a long struggle cf confucian analects	4-44306-S
responsibilities 成语 saw	3-45685-S
responsibility	3-31139-B,4-24677-B,4-41235-B,5-57661-S,5-58405-S,7-21187-S,8-53445-S,10-14586-S,10-14710-S,17-67751-S,20-41241-S,26-62850-S,27-64562-S,28-29436-S,28-30146-S,29-22384-S,29-22752-S,34-9844-S,34-22757-S,45-2340-S,53-14422-S,54-55608-S,59-40368-B,59-40521-B,59-40579-S,59-40651-S,59-40718-S,59-40996-S,63-55725-S,63-59259-S,64-911-S
responsibility etc	26-61353-S
responsibility for	59-32156-S,59-32336-B
responsibility for a mistake	23-28402-S
responsibility for it	30-6343-S
responsibility or job	4-44683-S
responsible	3-6965-B,32-39575-B,53-14369-B
responsible crew	10-15405-B
responsible crew system	10-15335-B
responsible for	59-31940-S
responsible for completing	10-14586-S,10-14710-S
responsible for growth inside wood	23-54755-S
responsible for hemorrhagic fever with renal syndrome or cardiopulmonary syndrome	39-48183-S,39-48628-S
responsible for its profit and losses of organization	45-2340-B,53-14422-B
responsible some task	20-38388-S
rest	4-55298-S,4-55707-B,4-55707-S,4-55900-S,8-4474-S,13-15357-S,19-28722-S,19-28831-B,19-30771-S,25-4700-B,25-56949-S,26-51252-S,29-51762-S,29-51762-S,34-24098-S,35-24842-S,54-24159-S,67-61442-S
rest after an illness	7-33873-S
rest and recuperate	7-606-S
rest and reorganize military	4-55993-S
rest area	25-56978-B
rest assured	37-11989-B
rest days	66-63716-S
rest e g arm rest	26-51252-B
rest euphemism for compulsory retirement of old cadres	67-8787-S
rest i e death	36-52367-S,65-18281-S
rest in peace	19-28831-B
rest music	4-56246-B
rest room	15-1644-B,23-4215-B
restart	63-59932-S
restate	64-1783-S
restaurant	3-802-S,7-41151-S,15-60818-S,16-50977-S,21-50426-S,22-61752-S,26-41320-S,31-1641-S,49-4909-S,54-30358-S,63-39372-B,63-39472-B,63-39895-S,63-41088-S,69-5308-B,69-5801-B,69-5846-S,69-9771-S,69-13745-B,71-37621-S,71-41803-S
restaurant bill	59-45028-S
restaurant business	63-39552-S
restaurant etc	7-24693-S
restaurant hong kong	54-11290-S
restaurant syndrome	2-65048-S
restauranteur	21-43727-S
restaurants	30-35379-S
restaurants incl pizza hut and kfc	44-51731-S,44-51840-S
restful	19-31169-B,38-28985-B
resting place for departed souls	21-37066-S
restitution	23-48449-S,24-13592-B
restitution in hooke s law	9-64195-S
restless	2-4611-B,4-46161-B,23-60467-B,24-47402-B,36-17204-B,36-17682-B,38-14325-B,41-14649-B,46-55396-B
restless insomnia	52-54200-B
restless with anxiety	40-22924-B
restlessness	68-55611-B
restoration	5-47626-B,41-6785-S
restoration of 1868	31-25212-S
restoration of a past regime	24-16755-B
restoration of reactionary rule	59-7759-B
restore	24-12792-S,25-292-S,25-342-S,30-15616-S
restore a waterway by dredging	30-15616-S
restore an ancient temple	24-13282-S
restore justice	29-12887-S
restore old way	24-15954-S
restore something to its original state	25-443-S
restore the fatherland	46-53047-S
restore the patient s health	56-57428-S
restore to the original state	63-9689-S
restored	48-56618-S
restored to one s official post	19-41763-B
restoring agricultural land to forest	61-62722-B
restrain	7-14418-S,15-56658-S,25-54240-B,26-3611-B,26-66276-S,27-38153-B,27-38852-S,27-39377-S,27-61646-S,27-62321-B,29-9463-B,30-24726-S,50-63784-B,58-15639-B,61-1710-B,64-23491-S,64-47491-B
restrain a smile	24-42667-S
restrain and punish criminals in china	33-39709-S
restrain anger	45-40137-B
restrain emotions	25-11896-S
restrain horse	64-59335-S
restrain motion	30-24823-S
restrain one s anger 成语 saw	24-52224-S
restrain yourself and return to the rites 成语 saw	7-15935-B
restrained	27-39126-B,37-42507-B,55-42821-B
restrained and cautious	27-38963-B
restraint	5-37316-S,7-14954-B,9-17383-S,24-43503-S,25-544-S,38-38683-S,65-35012-S
restraint and devotion to public duties 成语 saw	9-17453-S,18-2800-S
restraint of enemy or malefactor	17-31513-S
restraint on one s movements	50-63875-S
restrict	9-11720-S,26-66276-S,27-38852-S,33-8226-S,33-12225-S,35-13257-S,41-63061-S,48-28407-S,49-3835-S,49-4442-S,49-5664-B,64-23491-S,66-18398-S
restrict at	66-18770-B
restrict sth within set boundaries	21-17406-S
restrict to	66-18667-B
restrict to even tone i e final rhyming syllable must be classical first or second tone 平聲 平声	27-16295-S
restricted	11-63749-B,61-52410-B
restricted area	47-397-B
restricted to the old track	29-60588-S
restricted view	47-58451-S,47-58539-S
restricted view through a bamboo tube	48-25414-S
restriction enzyme	66-18484-B
restriction mapping in genomics	66-18548-B
restriction pattern	66-18548-B
restrictions	29-41983-S,29-49397-S,65-36192-S,66-18398-S
restrictions such as curfew or martial law	57-48232-S
restring one s bow	32-7818-S
restroom	32-29640-S,37-53690-B
restructuring a loan	8-9811-B
