mournfully	25-9496-S,25-10383-S
n hanzhong district district in shaanxi	39-47924-B
n hechi district district in guangxi	37-20407-B
n hefeng place in hubei	70-58804-B
n hegang city in heilongjiang	70-58865-B
n heihe district district in heilongjiang	71-31044-B
n heishui place in sichuan	71-30920-B
n hejian city in hebei	37-21571-B
n hejiang place in sichuan	12-35045-B
n hejin city in shanxi	37-20601-B
n hejing place in xinjiang	13-25625-B
n hekou area in shandong	37-19462-B
n helan place in ningxia	59-50184-B
n helinge er place in inner mongolia	13-23395-B
n hengchun town in taiwan	24-67390-B
n hengdong place in hunan	56-40785-B
n hengnan place in hunan	56-40516-B
n hengshan place in shaanxi	35-7673-B
n hengshan village in taiwan	35-7740-B
n hengshui district district in hebei	56-40925-B
n hengyang district district in hunan	56-41419-B
n hepu place in guangxi	12-35398-B
n heqing place in yunnan	70-58932-B
n hequ place in shanxi	37-19937-B
n heshan city in guangdong	70-58740-B
n heshan city in guangxi	12-33077-B
n heshui place in gansu	12-34984-B
n heshun place in shanxi	13-25689-B
n heshuo place in xinjiang	13-24570-B
n hetian city in xinjiang	13-23984-B
n hetian district district in xinjiang	13-24060-B
n hexibao place in gansu	37-21162-B
n heyang place in shaanxi	12-38202-B
n heze city in shandong	54-19824-B
n hezhang place in guizhou	60-8859-B
n hezheng place in gansu	13-22998-B
n homei town in taiwan	13-24858-B
n hong an place in hubei	49-9368-B
n honghe place in yunnan	49-10787-B
n honghu city in hubei	37-61645-B
n hongjiang city in hunan	37-61372-B
n hongya place in sichuan	37-62219-B
n hongyuan place in sichuan	49-8751-B
n hongze place in jiangsu	37-61765-B
n hoping village in taiwan	13-22741-B
n houli village in taiwan	12-59867-B
n houlung town in taiwan	24-3341-B
n houma city in shanxi	5-26682-B
n houpi village in taiwan	23-67837-B
n hsi area in taiwan	57-13534-B
n hsiangshan area in taiwan	69-25391-B
n hsiaokang area in taiwan	20-66787-B
n hsiaying village in taiwan	1-61596-B
n hsichih city in taiwan	36-55485-B
n hsichou village in taiwan	39-19171-B
n hsienhsi village in taiwan	50-17553-B
n hsihu town in taiwan	39-19288-B
n hsihu village in taiwan	57-19989-B
n hsikang village in taiwan	57-19706-B
n hsikou village in taiwan	39-19095-B
n hsilo town in taiwan	57-22348-B
n hsincheng village in taiwan	30-45871-B
n hsinchuang city in taiwan	30-55786-B
n hsinfeng village in taiwan	30-56658-B
n hsinhsing area in taiwan	30-55467-B
n hsini area in taiwan	5-46143-B
n hsini village in taiwan	5-46212-B
n hsinkang village in taiwan	30-51421-B
n hsinpi village in taiwan	30-46105-B
n hsinpu town in taiwan	30-46033-B
n hsinshe village in taiwan	30-53124-B
n hsinshih village in taiwan	30-47735-B
n hsintien city in taiwan	30-48340-B
n hsinwu village in taiwan	30-47354-B
n hsinying city in taiwan	30-51960-B
n hsinyuan village in taiwan	30-45602-B
n hsitun area in taiwan	57-16341-B
n hsiulin village in taiwan	47-11462-B
n hsiushui village in taiwan	47-11540-B
n hsiyu village in taiwan	57-16672-B
n hsuehchia town in taiwan	19-18855-B
n hua an place in fujian	54-33528-B
n hua nan place in heilongjiang	34-61943-B
n huachi place in gansu	54-34593-B
n huachuan place in heilongjiang	34-62012-B
n huade place in inner mongolia	10-23767-B
n huadu city in guangdong	53-61375-B
n huai an place in hebei	26-303-B
n huaiji place in guangdong	26-1854-B
n huailai place in hebei	25-64360-B
n huaining place in anhui	26-365-B
n huairen place in shanxi	25-64296-B
n huaiyang place in henan	38-47948-B
n huaiyin city in jiangsu	38-47787-B
n huaiyin district district in jiangsu	38-47851-B
n huaiyuan place in anhui	26-1696-B
n huanghua city in hebei	71-24877-B
n huangling place in shaanxi	71-24653-B
n huanglong place in shaanxi	71-26252-B
n huangmei place in hubei	71-20252-B
n huangping place in guizhou	71-19773-B
n huangyan city in zhejiang	71-18489-B
n huangyuan place in qinghai	39-13802-B
n huangzhong place in qinghai	39-13679-B
n huangzhou city in hubei	71-18831-B
n huaning place in yunnan	54-33762-B
n huanren place in liaoning	34-7289-B
n huantai place in shandong	34-7601-B
n huarong place in hunan	54-33589-B
n huashixia place in qinghai	53-58959-B
n huatan village in taiwan	53-55085-B
n huating place in gansu	54-31708-B
n huayin city in shaanxi	54-36468-B
n huaying city in sichuan	54-36061-B
n huayuan place in hunan	53-54965-B
n huguan place in shanxi	16-37955-B
n huhsi village in taiwan	39-11633-B
n hui an place in fujian	25-17560-B
n huidong place in guangdong	25-18142-B
n huidong place in sichuan	32-24253-B
n huilai place in guangdong	25-17433-B
n huimin district district in shandong	40-11423-B
