奄 奄 [01\[ yǎn\]]	suddenly;to embrace
娃子 娃子 [01\[ wá zi\]]	baby;small child;(arch.) slave among ethnic minorities
娉 娉 [01\[ pīng\]]	graceful
娌 娌 [01\[ lǐ\]]	husband's brother's wife
娑 娑 [01\[ suō\]]	(phonetic);loose
娓 娓 [01\[ wěi\]]	active;comply with
娘 娘 [01\[ niáng\]]	mother;young lady
娘娘 娘娘 [01\[ niáng niáng\]]	queen;empress;imperial concubine;godess
娛 娱 [01\[ yú\]]	amuse
娛樂 娱乐 [01\[ yú lè\]]	entertainment
娛樂中心 娱乐中心 [01\[ yú lè zhōng xīn\]]	recreation center;entertainment center;used in names of media companies
娛樂場 娱乐场 [01\[ yú lè chǎng\]]	resort
娜 娜 [01\[ nà\]]	(phonetic na);used esp. in girl's names such as anna 安娜 or diana 黛安娜
娜 娜 [01\[ nuó\]]	elegant;graceful
娜塔莉 娜塔莉 [01\[ nà tǎ lì\]]	natalie (name)
娜娜 娜娜 [01\[ nà nà\]]	nana (novel)
娟 娟 [01\[ juān\]]	beautiful;graceful
娠 娠 [01\[ shēn\]]	pregnant
娣 娣 [01\[ dì\]]	wife of a younger brother
娥 娥 [01\[ é\]]	good;beautiful
娩 娩 [01\[ miǎn\]]	give birth to a child
娩 娩 [01\[ wǎn\]]	complaisant;agreeable
娯 娯 [01\[ yú\]]	pleasure;enjoyment;amusement;japanese variant of 娛|娱
娵 娵 [01\[ jū\]]	(feminine name);(star)
娶 娶 [01\[ qǔ\]]	take a wife;to marry (a woman)
娸 娸 [01\[ qí\]]	to ridicule;ugly
娼 娼 [01\[ chāng\]]	prostitute
娼女 娼女 [01\[ chāng nǚ\]]	prostitute
娼妓 娼妓 [01\[ chāng jì\]]	prostitute
娼婦 娼妇 [01\[ chāng fù\]]	prostitute
婀 婀 [01\[ ē\]]	graceful;willowy;unstable
婀娜 婀娜 [01\[ ē nuó\]]	(of a woman's bearing) graceful;elegant;lithe
婁 娄 [01\[ lóu\]]	(star);surname lou
婁底 娄底 [01\[ lóu dǐ\]]	loudi prefecture level city in hunan
婁底地區 娄底地区 [01\[ lóu dǐ dì qū\]]	(n) loudi district (district in hunan)
婁底市 娄底市 [01\[ lóu dǐ shì\]]	loudi prefecture level city in hunan
婁煩 娄烦 [01\[ lóu fán\]]	(n) loufan (place in shanxi)
婆 婆 [01\[ pó\]]	grandmother;matron;mother-in-law
婆囉洲 婆罗洲 [01\[ pó luó zhōu\]]	borneo province of indonesia on kalimantan island)
婆婆 婆婆 [01\[ pó po\]]	husband's mother;mother-in-law
婆家 婆家 [01\[ pó jia\]]	husband's family
婆羅浮屠 婆罗浮屠 [01\[ pó luó fú tú\]]	borobudur (in java
婆羅門 婆罗门 [01\[ pó luó mén\]]	brahman (hindu god);eternal origin
婆羅門教 婆罗门教 [01\[ pó luó mén jiào\]]	brahmanism;hinduism
婉 婉 [01\[ wǎn\]]	graceful;tactful
婉稱 婉称 [01\[ wǎn chēng\]]	euphemism (tactful expression for sth unpleasant such as death)
婉詞 婉词 [01\[ wǎn cí\]]	euphemism (tactful expression for sth unpleasant such as death)
婉轉 婉转 [01\[ wǎn zhuǎn\]]	sweet and agreeable;mild and indirect
婉辭 婉辞 [01\[ wǎn cí\]]	euphemism (tactful expression for sth unpleasant such as death)
婊 婊 [01\[ biǎo\]]	prostitute
婊子 婊子 [01\[ biǎo zi\]]	prostitute;whore
婐 婐 [01\[ wǒ\]]	maid
婕 婕 [01\[ jié\]]	handsome
婚 婚 [01\[ hūn\]]	to marry;marriage;wedding;to take a wife
婚事 婚事 [01\[ hūn shì\]]	wedding;marriage
婚前 婚前 [01\[ hūn qián\]]	pre-marital;pre-nuptual
婚前財產公證 婚前财产公证 [01\[ hūn qián cái chǎn gōng zhèng\]]	prenuptual agreement;dowry contract
婚外 婚外 [01\[ hūn wài\]]	extramarital
婚外性接觸 婚外性接触 [01\[ hūn wài xìng jiē chù\]]	extramarital sex
婚姻 婚姻 [01\[ hūn yīn\]]	matrimony;wedding;marriage
婚姻法 婚姻法 [01\[ hūn yīn fǎ\]]	marriage law
婚嫁 婚嫁 [01\[ hūn jià\]]	marriage
婚宴 婚宴 [01\[ hūn yàn\]]	wedding reception
婚慶 婚庆 [01\[ hūn qìng\]]	wedding celebration
婚戀 婚恋 [01\[ hūn liàn\]]	love and marriage
婚期 婚期 [01\[ hūn qī\]]	wedding day
婚神星 婚神星 [01\[ hūn shén xīng\]]	ceres
婚禮 婚礼 [01\[ hūn lǐ\]]	wedding ceremony;wedding
婚約 婚约 [01\[ hūn yuē\]]	engagement;wedding contract
婚紗 婚纱 [01\[ hūn shā\]]	wedding dress
婚配 婚配 [01\[ hūn pèi\]]	to marry
婚齡 婚龄 [01\[ hūn líng\]]	marrying age
婞 婞 [01\[ xìng\]]	upright
婢 婢 [01\[ bì\]]	slave girl;maid servant
婢女 婢女 [01\[ bì nǚ\]]	slave girl;servant girl
婤 婤 [01\[ zhōu\]]	(feminine name)
婥 婥 [01\[ chuò\]]	weak;delicate
婦 妇 [01\[ fù\]]	woman
婦人 妇人 [01\[ fù rén\]]	married woman
婦女 妇女 [01\[ fù nǚ\]]	woman
婦女聯合會 妇女联合会 [01\[ fù nǚ lián hé huì\]]	women's union
婦女能頂半邊天 妇女能顶半边天 [01\[ fù nǚ néng dǐng bàn biān tiān\]]	woman can hold up half the sky;fig. nowadays
婦孺皆知 妇孺皆知 [01\[ fù rú jiē zhī\]]	known to everyone;a household name
婦產科 妇产科 [01\[ fù chǎn kē\]]	department of gynecology and obstetrics;birth clinic
婦科 妇科 [01\[ fù kē\]]	gynecology
婦聯 妇联 [01\[ fù lián\]]	women's league;women's association
婧 婧 [01\[ jìng\]]	modest;supple
婪 婪 [01\[ lán\]]	avaricious
婬 婬 [01\[ yín\]]	obscene
婭 娅 [01\[ yà\]]	address term between sons-in-law
婴粟籽 婴粟籽 [01\[ yīng sū zǐ\]]	poppy seed
婷 婷 [01\[ tíng\]]	graceful
婺 婺 [01\[ wù\]]	beautiful
婺源 婺源 [01\[ wù yuán\]]	wuyuan county in shangrao 上饒|上饶
婺源縣 婺源县 [01\[ wù yuán xiàn\]]	wuyuan county in shangrao 上饒|上饶
婼 婼 [01\[ chuò\]]	recalcitrant
婿 婿 [01\[ xù\]]	son-in-law
媄 媄 [01\[ měi\]]	beautiful
媊 媊 [01\[ qián\]]	planet venus in the morning
媒 媒 [01\[ méi\]]	medium;intermediary;matchmaker;go-between
媒人 媒人 [01\[ méi rén\]]	go-between;matchmaker
媒介 媒介 [01\[ méi jiè\]]	media;medium
媒妁 媒妁 [01\[ méi shuò\]]	matchmaker;go-between (marital)
媒界 媒界 [01\[ méi jiè\]]	medium;vehicle
媒質 媒质 [01\[ méi zhì\]]	medium
媒體 媒体 [01\[ méi tǐ\]]	(news) media
媒體報導 媒体报导 [01\[ méi tǐ bào dǎo\]]	media report;news report
媒體接口連接器 媒体接口连接器 [01\[ méi tǐ jiē kǒu lián jiē qì\]]	medium interface connector
媒體自由 媒体自由 [01\[ méi tǐ zì yóu\]]	freedom of the media
媒體訪問控制 媒体访问控制 [01\[ méi tǐ fǎng wèn kòng zhì\]]	media access control;mac
媕 媕 [01\[ ān\]]	undecided
媚 媚 [01\[ mèi\]]	flatter;charm
媚詞 媚词 [01\[ mèi cí\]]	flattery
媛 媛 [01\[ yuán\]]	a beauty
媛 媛 [01\[ yuàn\]]	a beauty
媞 媞 [01\[ tí\]]	used as phonetic;girl's name
媟 媟 [01\[ xiè\]]	to lust for
媢 媢 [01\[ mào\]]	envious
媧 娲 [01\[ wā\]]	surname wa;sister of legendary emperor fu xi 伏羲
媬 媬 [01\[ bǎo\]]	governess;nurse
媮 媮 [01\[ tōu\]]	improper;irregular
媯 妫 [01\[ guī\]]	surname gui;name of a river
媲 媲 [01\[ pì\]]	to match;to pair
媲美 媲美 [01\[ pì měi\]]	to match;is comparable with
媳 媳 [01\[ xí\]]	daughter in law
媳婦 媳妇 [01\[ xí fù\]]	daughter-in-law;young married woman;young woman
媳婦兒 媳妇儿 [01\[ xí fù er\]]	daughter-in-law;young married woman;young woman
媵 媵 [01\[ yìng\]]	maid escorting bride to new home
媸 媸 [01\[ chī\]]	ugly woman
媺 媺 [01\[ měi\]]	beautiful
媻 媻 [01\[ pán\]]	to move
媼 媪 [01\[ ǎo\]]	old woman
媽 妈 [01\[ mā\]]	ma;mamma
媽咪 妈咪 [01\[ mā mī\]]	mummy (mother)
媽媽 妈妈 [01\[ mā ma\]]	mama;mommy;mother
媽祖 妈祖 [01\[ mā zǔ\]]	matsu (goddess)
媾 媾 [01\[ gòu\]]	to marry;to copulate
媾和 媾和 [01\[ gòu hé\]]	to make peace
媿 媿 [01\[ kuì\]]	ashamed
嫁 嫁 [01\[ jià\]]	to marry (a husband)
嫁人 嫁人 [01\[ jià rén\]]	to get married (of woman)
嫁妝 嫁妆 [01\[ jià zhuāng\]]	dowry (money given by the bride's family to the groom)
嫁娶 嫁娶 [01\[ jià qǔ\]]	marriage
嫁接 嫁接 [01\[ jià jiē\]]	to graft (a branch to a rootstock)
嫁禍於人 嫁祸于人 [01\[ jià huò yú rén\]]	to pass the misfortune on to sb else (成语 saw); to blame others;to pass the buck
嫁雞隨雞 嫁鸡随鸡 [01\[ jià jī suí jī\]]	if you marry a chicken
嫂 嫂 [01\[ sǎo\]]	older brother's wife; sister-in-law
嫂嫂 嫂嫂 [01\[ sǎo sao\]]	sister in law (husband's side)
嫂子 嫂子 [01\[ sǎo zi\]]	(informal) older brother's wife; sister-in-law
嫄 嫄 [01\[ yuán\]]	name of an empress
嫈 嫈 [01\[ yīng\]]	attentively;carefully
嫉 嫉 [01\[ jí\]]	jealousy;be jealous of
嫉妒 嫉妒 [01\[ jí dù\]]	jealous;envy
嫋 嫋 [01\[ niǎo\]]	delicate;graceful
嫌 嫌 [01\[ xián\]]	to dislike;to suspect
嫌忌 嫌忌 [01\[ xián jì\]]	suspicion
嫌恨 嫌恨 [01\[ xián hèn\]]	hatred
嫌惡 嫌恶 [01\[ xián wù\]]	to loathe;to abhor;hatred;revulsion
嫌棄 嫌弃 [01\[ xián qì\]]	to avoid sb (out of dislike);to one's back on sb;to ignore
嫌犯 嫌犯 [01\[ xián fàn\]]	a suspect
嫌猜 嫌猜 [01\[ xián cāi\]]	suspicion
嫌疑 嫌疑 [01\[ xián yí\]]	suspicion;(be) suspected (of)
嫌疑人 嫌疑人 [01\[ xián yí rén\]]	a suspect
嫌疑犯 嫌疑犯 [01\[ xián yí fàn\]]	a suspect
嫌肥挑瘦 嫌肥挑瘦 [01\[ xián féi tiāo shòu\]]	to choose sth over another to suit one's own convenience
嫌隙 嫌隙 [01\[ xián xì\]]	hostility;animosity;suspicion
嫖 嫖 [01\[ piáo\]]	visit a prostitute
嫗 妪 [01\[ yù\]]	brood over;old woman;protect
嫘 嫘 [01\[ léi\]]	surname lei
嫚 嫚 [01\[ màn\]]	surname man;insult
嫜 嫜 [01\[ zhāng\]]	husband's parent;lady in the moon
嫠 嫠 [01\[ lí\]]	widow
嫡 嫡 [01\[ dí\]]	first wife;son of first wife
嫣 嫣 [01\[ yān\]]	captivating
嫣然 嫣然 [01\[ yān rán\]]	beautiful;sweet;engaging
嫦 嫦 [01\[ cháng\]]	a legendary beauty who flew to the moon;the lady in the moon
嫦娥 嫦娥 [01\[ cháng é\]]	legendary moon goddess;prc spacecraft moon probe
嫩 嫩 [01\[ nèn\]]	tender;soft
嫩江 嫩江 [01\[ nèn jiāng\]]	(n) nenjiang (place in heilongjiang)
嫩江地區 嫩江地区 [01\[ nèn jiāng dì qū\]]	(n) nenjiang district (district in heilongjiang)
嫪 嫪 [01\[ lào\]]	longing (unrequited passion);surname lao
嫪毐 嫪毐 [01\[ lào ǎi\]]	lao ai (-238 bc)
嫫 嫫 [01\[ mó\]]	ugly woman
嫰 嫰 [01\[ nèn\]]	tender;delicate
嫵 妩 [01\[ wǔ\]]	flatter;to please
嫵媚 妩媚 [01\[ wǔ mèi\]]	lovely;charming
嫻 娴 [01\[ xián\]]	elegant;refined
嫻熟 娴熟 [01\[ xián shú\]]	adept;skilled
嫻靜 娴静 [01\[ xián jìng\]]	gentle and refined
嫽 嫽 [01\[ liáo\]]	good;smart;to play
嫿 嫿 [01\[ huà\]]	tranquil
嬃 嬃 [01\[ xū\]]	elder sister
嬈 娆 [01\[ ráo\]]	graceful
嬈 娆 [01\[ rǎo\]]	disturbance
嬉 嬉 [01\[ xī\]]	amusement
嬉戲 嬉戏 [01\[ xī xì\]]	to frolic;fun;a romp
嬉皮士 嬉皮士 [01\[ xī pí shì\]]	hippie
嬉皮笑臉 嬉皮笑脸 [01\[ xī pí xiào liǎn\]]	happy and giggling (成语 saw); frivolous
嬉笑 嬉笑 [01\[ xī xiào\]]	to be laughing and playing;to giggle
嬉遊 嬉游 [01\[ xī yóu\]]	to amuse oneself;to have fun
嬋 婵 [01\[ chán\]]	beautiful;graceful
嬋媛 婵媛 [01\[ chán yuán\]]	the moon;amorous involvement
嬌 娇 [01\[ jiāo\]]	lovable;pampered;tender;delicate;frail
嬌媚 娇媚 [01\[ jiāo mèi\]]	flirtatious
嬌弱 娇弱 [01\[ jiāo ruò\]]	delicate
嬌慣 娇惯 [01\[ jiāo guàn\]]	to pamper;to coddle;to spoil
嬌氣 娇气 [01\[ jiāo qì\]]	delicate;squeamish;finicky
嬌貴 娇贵 [01\[ jiāo guì\]]	pampered;fragile;finnicky
嬔 嬔 [01\[ fù\]]	baby rabbit
嬖 嬖 [01\[ bì\]]	(treat as a) favorite
嬗 嬗 [01\[ shàn\]]	changes and succession
嬗變 嬗变 [01\[ shàn biàn\]]	transmutation
嬙 嫱 [01\[ qiáng\]]	female court officials
嬛 嬛 [01\[ huán\]]	place where supreme bestows books
嬛 嬛 [01\[ xuān\]]	clever;pretty
嬝 嬝 [01\[ niǎo\]]	delicate;graceful
嬡 嫒 [01\[ ài\]]	your daughter (honorific)
嬢 嬢 [01\[ niáng\]]	japanese variant of 孃|娘;daughter;girl;wife
嬤 嬷 [01\[ mā\]]	ma;mamma
嬦 嬦 [01\[ chóu\]]	(archaic) used in ladies' names
嬪 嫔 [01\[ pín\]]	imperial concubine
嬬 嬬 [01\[ xū\]]	mistress
嬭 嬭 [01\[ nǎi\]]	breast;lady;milk
嬰 婴 [01\[ yīng\]]	infant;baby
嬰兒 婴儿 [01\[ yīng ér\]]	infant;baby
嬰兒期 婴儿期 [01\[ yīng er qī\]]	infancy
嬰孩 婴孩 [01\[ yīng hái\]]	infant
嬰幼兒 婴幼儿 [01\[ yīng yòu ér\]]	baby
嬲 嬲 [01\[ niǎo\]]	tease;disturb
嬴 嬴 [01\[ yíng\]]	full;profit;win
嬴政 嬴政 [01\[ yíng zhèng\]]	ying zheng (260-210 bc)
嬸 婶 [01\[ shěn\]]	wife of father's younger brother
嬸嬸 婶婶 [01\[ shěn shen\]]	wife of father's younger brother;aunt
嬸子 婶子 [01\[ shěn zi\]]	(informal) father's younger brother's wife; aunt
嬸母 婶母 [01\[ shěn mǔ\]]	wife of father's younger brother;aunt
嬾 嬾 [01\[ lǎn\]]	lazy
嬿 嬿 [01\[ yàn\]]	lovely
孀 孀 [01\[ shuāng\]]	widow
孃 娘 [01\[ niáng\]]	mother;troubled
孃孃 娘娘 [01\[ niáng niáng\]]	queen;empress;godess
孃孃廟 娘娘庙 [01\[ niáng niáng miào\]]	temple of goddess of fertility
孅 孅 [01\[ xiān\]]	cunning;slender
