paid	26-60113-S
pb	64-23923-S
pb3o4	32-69215-S
pc	5-53016-B,47-21874-S
pcb	16-59756-B
pd	64-20865-S
pda	28-14190-B
pde	6-12048-S
pdh	61-47169-B
pe ratio	22-13168-B
pea	59-16941-B
pea gruel	59-18811-B
pea or bean	54-19324-S
pea pisum sativum	59-18758-B
pea shoots	59-17697-B
pea zhao person nickname	59-18866-B
peace	2-11362-S,2-39005-S,10-10708-S,13-21452-B,13-22099-B,13-22894-S,15-11308-S,18-57574-S,19-22698-B,19-28831-S,21-18378-S,25-57846-B,35-157-S,36-48411-S,36-48411-S,46-51678-B,55-54728-B,59-3164-S
peace and contentment	19-27268-S
peace and happiness	19-29948-B,19-60177-B
peace and prosperity	7-7890-S,20-63713-S,23-1896-B
peace and prosperity 成语 saw	17-59030-B
peace and security	17-58016-B
peace and stability	60-41398-S,62-49468-S
peace by tolstoy 托爾斯泰 托尔斯泰	26-19235-S
peace conference	13-23268-B
peace discussions	13-22453-B
peace faction	3-4302-S
peace foundation	15-15726-S
peace keeping	50-1802-B
peace keeping force	50-1848-B
peace keeping group	5-35829-B
peace negotiations	13-22667-B
peace of mind	16-14984-B,60-46585-S
peace prize	13-22607-S,58-49874-S
peace talks	13-22453-B,13-25377-B,58-54343-B
peace time 成语 saw	21-18378-S
peace treaty	13-22538-B,13-24634-B
peace when you come or go	8-35452-S
peace wherever you go	8-35452-B
peace 成语 saw	66-22240-S
peaceful	19-27130-B,19-31169-B,19-32765-B,19-34187-B,19-34558-B,20-16437-B,22-37104-B,22-55642-B,23-990-B,24-54076-B,25-3500-B,25-3609-B,25-30828-B,25-62647-B,29-62854-B,31-19686-B,37-7785-B,37-45230-B,38-28985-B,43-36824-B
peaceful and carefree	19-33820-B
peaceful and quiet	38-65716-B
peaceful coexistence of nations	13-22201-B
peaceful measures before using force 成语 saw	7-5376-B
peaceful relations	13-24441-B
peaceful society	54-15163-S
peaceful use	13-22289-B
peacefully	19-30771-B,19-31232-S,65-57747-B
peacetime	22-42022-S
peach	26-30399-S,27-2180-S,34-2623-B,34-2907-B,36-46384-S,36-46384-S,56-4794-S,56-4794-S
peach blossom	34-3388-B
peach bun	16-38780-S,16-38780-S
peach garden	34-2797-S
peach kernel	34-2651-B
peach tree	33-640-S,34-2944-B
peaches of immortality	2-38163-S,2-38318-S,16-38715-S,34-2697-S,34-3116-S,34-3498-S
peaches of immortality kept by xi wangmu 西王母	56-17449-S
peaches of immortality of goddess xi wangmu 西王母	4-29187-S,56-17537-S
peacock	19-3494-B
peacock make no sound	70-53951-S
peacock river in xinjiang	19-3602-B
peak	7-40006-S,11-30095-S,11-42837-S,21-5729-B,21-6254-S,21-29330-S,21-34143-S,21-34179-S,21-35695-S,21-36804-S,21-38973-B,21-39865-B,21-44551-S,21-47293-S,21-47374-S,21-48425-S,21-48461-S,21-49617-S,23-1120-S,32-19135-B,44-23819-S,46-37999-B,66-45662-S,68-19696-B,68-20086-B,68-20086-B,68-20351-B,68-20641-B,68-21041-B,70-13878-B,71-46974-S
peak by changjiang three gorges	46-56493-S
peak nepalese sagarmatha	51-48012-S
peak of a mountain range	3-4756-S
peak of excitement	53-23892-B
peak of his power	68-45946-S
peak of mountain	21-49914-B
peak of perfection	14-27136-S
peak on mt taishan	42-31356-S
peak period	31-17314-B,70-14064-S
peak proverb	40-63881-S
peak season	45-4798-B
peaks	4-69633-S,21-29647-S,21-43529-S,21-43614-S,21-47329-S
peaks of a mountain range	51-10739-S
peaks poetic	21-43529-S
peal	1-22322-S
peanut	53-58570-B
peanut butter	53-58622-B,53-58684-B
pear	4-28111-S,34-17789-B,34-17815-B
pear shaped fruit	55-9256-S
pear tree	33-8226-S,33-9321-S,34-17949-B
pearl	18-35896-S,31-25517-S,42-43276-B,42-44501-B,42-46087-S,43-443-S,43-3870-S,43-7438-B,45-43360-B,59-29892-S
pearl and jade 成语 saw	42-45855-S
pearl barley	55-21132-S
pearl beads	42-45112-S
pearl flows	42-45194-S
pearl harbor hawaii	42-43463-B
pearl milk tea taiwan	42-43336-B
pearl milk tea 珍珠奶茶	37-42139-S,42-43062-S
pearl of great price	40-46872-B
pearl or jade earring	42-46044-B
pearl oyster	56-21154-B
pearl river delta	36-55200-S,36-55200-S,42-44534-B,42-45024-B
pearl river delta economic zone including the 5 provinces around guangzhou and hong kong	37-36270-S
pearl river guangdong	42-44965-B
pearl used in sacrifice	42-37642-B
pearls	28-21697-S,42-44633-B,44-64300-S,62-22813-S
pearls and jades	42-45428-B
pearls before swine	20-52736-S,71-47254-S
pearls formerly put into the mouth of a corpse	42-51258-S
pearls on coronet	43-4326-S
pearls or shells strung together	59-54399-B
pearly	42-37197-B
pearly everlasting reed	54-20489-S
peas	48-47933-S,54-19292-B,59-18731-B
peas and beans in general	55-14736-B
peasant	10-60015-S,10-60015-S,11-26321-S,54-21792-B,59-36959-S,61-40037-B,61-42022-B
peasant and worker in marxism	61-40491-B
peasant family	61-39754-B
peasant household	61-40673-B
peasant party republic of china	61-42195-B
peasant rebel leader li zicheng 李自成 who styled himself chuang wang one in jiugongshan 九宫山 nature reserve	65-52647-S
peasant revolt	61-42126-B
peasant uprising 875 884 in late tang	71-18974-S
peasant uprising at the end of later han from 184	71-19079-S,71-19195-S,71-19324-S,71-19453-S
peasant woman in former times	61-40123-B
peasants	21-57389-S
peasants in marxism	59-37063-S
peat	37-43329-B
pebble	70-56596-B
pebbles	46-45604-B
peck	12-31102-S,13-57446-S,30-33642-B
peck at	13-29342-B
pecked male esp one obliged to forsake male friends	18-37449-S,18-37571-S
pecking order	42-47881-B,42-47952-B
pecks	46-3657-S
pecks i e approx 3 kg dry measure	22-25796-S
pecks 五斗	43-36539-S
pectoralis major muscle across the top of the chest	52-24454-B
peculiar	18-1056-B,24-66137-B,41-59637-B,41-60543-B,43-62131-B
peculiarity	24-64811-B
pedagogical	22-26512-B
pedagogical middle school	2-77784-S
pedagogy	30-4688-B,57-64774-B,57-65220-B
pedal	33-29277-B,37-23743-S,37-23743-S,52-43647-B,60-46429-S,60-46713-S,60-48114-S,67-9132-S
pedal e g clutch pedal	60-46713-S
pedant	32-10363-B,61-43389-B
pedantic	41-10301-B,61-43839-B
pedantic and impractical	61-43101-B
pedantic and stubborn	61-43335-B
pedantic and unrealistic view	61-43889-B
pedantry	61-43618-B
peddle	7-23168-S,7-23332-S,59-38330-S,59-38619-S
peddle the idea of	62-38300-S
peddler	21-942-B,59-38489-B
peddler or entertainer	60-12289-S
peddlers	14-6758-S,68-6417-S
peddlers or as a toy	29-12476-S
peddling	5-62129-B,28-55578-B
pedestal	12-18999-B,16-1087-B,18-4374-S,22-64323-B
pedestal for stone tablet	46-28322-B
pedestrian	56-31257-B
pedestrian area	35-43006-B
pedestrian bridge	17-48717-B
pedestrian crossing	4-16202-B
pedestrian precinct	4-16039-B
pedestrian refuge	56-31302-B
pedestrian underpass	4-16103-B
pedestrian vehicle mixed use	4-16815-B
pedestrians and vehicles	38-55416-S
pediatric department	20-60802-B
pediatrics	7-22308-B,20-60802-B
pedicab	1-43029-B
pedicab driver	1-43090-B
pedicel stem of melon	43-9410-B
pediculus humanus	56-8353-S
pedigree	53-42691-B
pedlar	29-35830-S,29-36280-B,51-27382-B
pedology soil study	15-30305-B
pedophilia	26-4030-B
peduncled alder alnus cremastogyne	34-43008-S
peek	47-58389-S,57-37274-B
peel	9-28770-B,9-29165-S,33-37568-S,66-28721-S,66-28721-S
peel off	9-29307-B
peel used in chinese medicine	66-28721-S
peel used in traditional chinese medicine	35-1610-S
peeler e g for vegetables	9-29237-B
peep	6-23410-B,23-40539-B,35-14239-S,47-58213-B,47-58337-S,65-53330-B,65-57695-S
peep at	47-58389-S
peer	10-10135-S,12-52140-B,49-31891-B,71-39211-S
peer competition	8-52550-B
peer in this generation	32-2691-S
peer into the dark	47-58249-S
peer to peer	71-39211-S
peerless	49-45390-B,49-45633-B
peerless artwork	49-45702-B
peerless elegance	49-45481-S
peerless talent	68-56954-B
peerless talent 成语 saw	26-38512-B
peers	70-32787-S
