present the counts	47-9333-S
proud	6-32582-B,6-32639-B,6-32940-S,24-5886-B,37-51133-B,37-51249-B,69-57264-B,69-57302-B,69-57565-B
proud bearing	35-24257-B
proud of one s success in exams	31-36208-B
proud of one s success 成语 saw	60-53133-S
proud of oneself	24-7752-B,24-8132-S,53-15765-S
proud of sth	53-1300-B
proud of sth in a good way	53-14210-S
proudhon 1809 1865	31-53307-S
proudhonism	31-53385-B
proudly	6-32879-B,24-7914-B,24-8132-B,58-19554-B
prov of tibet	22-4420-S,24-27147-S,27-21567-S,42-53795-S
prove	54-53309-S,58-5770-B,58-59605-S,58-60636-S
prove a point	58-44659-S
prove oneself to be	2-10536-B
prove through argument	58-44659-S
prove to be	21-26938-S
provenance	11-34874-B
provence south of france	31-50754-B
proventil	33-48793-S
proverb	5-33512-B,5-33645-B,17-65717-S,31-38833-S,32-33225-S,35-2239-S,40-63881-S,45-45231-S,45-45406-S,49-35765-S,53-42517-S,58-48742-B,58-48772-B,71-25964-S
proverb 	32-31814-S
proverb a lazy person will find many excuses to delay working	25-63967-B
proverb a long illness makes the patient into a doctor	3-9619-B
proverb every successful man has a dedicated woman behind him	26-8394-B
proverb never too old to learn	37-63678-B
proverb says	5-33566-S
proverb to follow local customs	60-14360-B
proverb you can t judge a man by his looks	4-5395-B
proverbially perpetual arch enemies	13-1623-B
proverbially three times its radius	13-10784-S
provide	5-22308-S,5-22852-S,28-36786-S,44-29935-B,49-49153-B,57-32862-S,57-56976-S,59-50721-S,63-37383-S,63-38430-S
provide a loan e g bank	59-45990-S
provide an explanation	61-37920-S
provide as before	41-8618-S
provide assistance	10-63976-B
provide assistance or backing	29-38505-B
provide facilities for evil deeds	65-31388-S
provide financial aid	59-50871-B
provide for	41-9093-S,60-4008-B,69-11213-S
provide for one s elders	5-23637-S
provide for oneself	53-10035-S
provide for the elderly	69-12215-B
provide help when one most needs it	67-15570-S
provide impetus	22-28268-S
provide moisture	39-27362-S
provide or equip	6-28129-S
provide oxygen complement	6-65293-S
provide support for	60-4054-B
provide support to neuron	46-60618-S
provide transport	26-62489-S
provided	39-23292-S
provided by great powers to yuan shikai in 1913	14-3226-S
provided for	4-15677-S,19-63788-S
provided that	5-62370-B
providence	1-48200-B,17-47183-B
provider	14-61191-S,28-36916-B,32-42969-S,32-43063-S,67-25430-S
provider company	28-36851-B
providing access	19-3409-S
providing food	65-29927-S
providing regular passenger service	53-36171-S
province	2-67285-S,6-27830-S,7-40136-S,8-7114-S,9-58881-S,11-2728-S,13-30305-S,17-28386-S,17-30106-S,17-32866-S,17-40192-S,17-57959-S,17-59944-S,18-3414-S,18-38214-S,19-26211-S,21-8104-S,21-40906-S,21-44755-S,21-45667-S,21-50762-B,22-5776-S,22-59776-S,25-17698-S,28-49219-S,29-7216-S,30-43336-S,30-49127-S,31-46504-S,33-6930-S,33-25239-S,34-10658-S,35-65889-S,36-55679-S,37-20773-S,37-36660-S,37-57649-S,37-59581-S,37-61828-S,38-16390-S,38-16590-S,38-65278-S,39-11322-S,39-11749-S,39-12190-S,39-13414-S,39-23527-S,39-34239-S,39-51313-S,39-62984-S,40-8876-S,40-13984-S,43-11160-S,43-11236-S,43-13149-S,43-57173-S,44-63795-S,45-4278-S,45-32944-B,45-33235-B,45-34260-S,45-34943-S,47-2688-S,52-4665-S,52-48710-S,54-6001-S,54-46921-S,55-685-S,55-24901-S,55-33035-S,59-44076-S,59-44172-S,60-5137-S,60-7873-S,63-4695-S,63-5011-S,63-5309-S,63-33655-S,65-48676-S,66-7348-S,66-19306-S,66-51002-S,67-18619-S,68-16879-S,69-35999-S,70-32864-S
province anhwei in south central china	19-28481-S,19-28630-S
province around it	38-16900-S
province around the bohai sea	9-65492-S
province around vladivostok 符拉迪沃斯託克 符拉迪沃斯托克	40-11738-S
province chekiang in east china	38-8398-S,38-8744-S
province covering south jiangsu	36-58222-S
province directly administered by beijing	45-25270-S
province during the qing dynasty	41-20302-S
province epithet of sichuan	17-46858-S,17-46929-S
province fengtien in northeast china	63-4612-S,63-4915-S
province fukien in east china	47-4262-S,47-4334-S
province governor general	45-56382-S
province heilungkiang in northeast china	71-34138-S,71-34396-S
province honan in central china	37-19058-S,37-19130-S
province hopeh in north china surrounding beijing	37-18734-S,37-18955-S
province hupeh in central china	39-10462-S,39-10534-S
province in central china	59-25303-S,63-28290-S,63-33986-S,63-34179-S
province in east china	38-8327-S,47-3917-S,47-4060-S,70-39769-S
province in ming and qing times	21-51318-S
province in north north korea	7-46354-S
province in northeast china	12-38586-S,63-4262-S,71-28837-S
province in northeast north korea	71-4411-S
province in south central china	39-10725-S,39-10865-S,39-11749-S,65-16403-S,65-16522-S
province in south china	23-12260-S,23-12418-S,23-14614-S,23-14828-S,38-17063-S,38-17178-S,48-51751-S
province in southeast china	33-12795-S,33-12908-S
province in southwest china	21-49953-S,31-19244-S,39-26816-S,56-1999-S,67-17799-S,67-17898-S,67-17966-S
province in the philippines	19-66591-S
province in vietnam	31-5960-S
province in west china	57-16114-S,57-16222-S
province kansu between xinjiang and inner mongolia in north china	43-14742-S,43-14848-S
province kiangsi in southeast china	36-60731-S,36-60811-S
province kiangsu in southeast china	36-60503-S
province kiangsu in southwest china	36-60583-S
province kirin in northeast china	12-40707-S,12-40969-S
province kwangtung in south china	23-13770-S,23-13909-S
province kweichow in south central china	59-42585-S,59-42739-S
province of afghanistan	9-58948-S,15-49841-S,34-31574-S,60-8388-S
province of angola	54-43826-S
province of austria	30-66669-S,30-66748-S
province of east hungary on the border with ukraine	59-24526-S
province of indonesia in northwest sumatra	3-65396-S,3-65508-S
province of indonesia on kalimantan island	18-52195-S
province of jiangsu	12-69194-B
province of jogyakarta	2-75925-S
province of malaysia	23-57190-S
province of mongolia	2-67285-S
province of north afghanistan	22-7574-S,22-7654-S
province of pakistan	5-44202-S,30-67532-S,30-67626-S
province of portugal	65-68010-S
province of russia	10-3067-S
province of south korea	4-3709-S
province of sudan	62-54615-S
province of switzerland	37-3074-S
province or colony	9-32246-S,21-50831-S
province or provincial governor	29-13652-S
province shansi in north china between hebei and shaanxi	21-32866-S,21-33122-S
province shantung in northeast china	21-30079-S,21-30314-S
province shensi in central north china	66-19584-S,66-19797-S
province szechuan in southwest china	14-48804-S,14-49097-S
province term prc uses for taiwan	11-66156-S
province to qing china in exchange for compensation payment and unequal treaty rights	29-45849-S
province to the south of silla 新羅 新罗 in south korea around 500 ad	4-63171-S
province tsinghai in west china	67-56316-S,67-56449-S
province 吉林省 in northeast china	12-40851-S,14-49191-S,14-49519-S,15-25629-S,23-18701-S,23-18869-S,23-19057-S,23-19237-S,33-27461-S,33-27574-S,44-37491-S,44-37701-S,44-38579-S,44-38690-S,62-8181-S,62-8407-S,63-5379-S,63-5492-S
province 吉林省 through harbin 哈尔滨	33-28525-S
province 四川 in southwest china	26-12157-S,26-12279-S
province 山西省 in central north china	17-56396-S,17-56528-S
province 江西	31-53828-S,31-53933-S
province 江西省 in southeast china	10-72121-S,10-72269-S
province 河北省 in north china	46-5631-S,46-5881-S
province 甘肅 in north central china	55-44970-S,55-45168-S
province 貴陽 贵州	71-34585-S
province 遼寧省 辽宁省 in northeast china	29-14360-S,29-14501-S,32-49544-S,32-65014-S,32-65134-S,37-5565-S,40-13247-S,41-30865-S,41-30989-S,45-12136-S,45-12258-S,54-59944-S,54-60076-S,64-45259-S,64-45383-S,65-2528-S,65-2770-S,65-58689-S,65-58809-S
province 陕西	47-23339-S
province 陝西省 陕西省 in central north china	57-15540-S,57-15966-S
province 青海	67-53725-S
provinces	2-46388-S,15-39275-S,33-13968-S,46-51121-S,60-39240-S,66-19412-S
provinces a ming dynasty province	39-11322-S
provinces around guangzhou and hong kong	37-36270-S
provinces into counties	10-40860-S,10-41316-S,56-32726-S,56-32844-S
provinces of guangdong and guangxi in qing times	7-44586-S
provinces of liaoning	10-32864-S
provinces of qin and han	22-9400-S
provinces of southern china around guangzhou and the pearl river delta	36-55200-S
provincial capital	9-33018-S,45-33801-S,45-33858-S,45-34322-S
provincial city	45-34831-B
provincial city not provincial capital	9-33018-S
provincial examination	35-43680-S
provincial governor	29-13652-S,48-28795-S
provincial governor in qing and ming times	28-40867-B
provincial headquarters in the heilongjiang and vladivostok area	18-22880-S
provincial imperial exam during the ming and qing	63-30645-S
provincial judge	53-15881-B
provincial level e g government	45-34632-B
provincial not provincial status	9-32936-S
provincial office of prc ministry of civil affairs mca 民政部	36-20646-B
provincial status	9-32936-S
provincialism	63-29655-B
provision	41-8618-S,52-60441-S,57-32862-B
provision against a loss	28-37458-S
provision for capital requirements	57-58471-S
provision legal	1-19636-S,50-32056-S
provisional	18-39595-B,31-64875-B,31-65136-B,31-65400-B,38-12409-B
provisional agreement between people and new dynastic government	49-5886-B
provisional basis	26-60495-S
provisional constitution	49-5815-B
provisional government	52-58139-B
provisional revolutionary government under sun yat sen and the guomindang against yuan shikai 袁世凱 袁世凯 and the northern warlords	3-37345-S
provisions	48-61872-S,49-78-B,49-392-S,49-585-S,69-1913-B,69-18547-S
provisions e g military	49-317-B
provisions for soldiers	8-2959-S
proviso	4-64785-B
provocateur on forums etc	50-6090-S,50-7789-S,50-9640-S
provocation	27-44494-S,30-13650-S,40-57001-S,57-54375-B
provocative	9-13440-B,27-66419-B,41-10963-B
provoke	5-14087-B,9-13198-S,25-26682-S,25-27282-B,27-40966-S,27-42027-S,27-64379-S,27-64662-S,27-65934-S,27-66171-B,27-66321-S,28-1691-S,29-13194-S,29-13332-S,29-13389-S,29-13442-S,29-13598-S,39-27453-S,56-39363-S,58-35338-B,58-36820-S,58-37224-S,62-3972-S,62-4074-S
provoke a dispute	39-27184-S,39-27292-S
provoke and offend people	25-26903-S
provoke angry exchange	29-13495-S
provoke laughter	62-3760-S,62-4141-S
provoke vomiting	6-30644-S,6-30705-S
provoke with words	30-13802-S
provoked	60-31990-S
provokes a rebellion by exploiting the people	19-43096-S
provokes evil designs	57-31255-S
provoking gas	6-31057-S
prow	70-59347-S
prow of a ship	53-38840-S
prowazekii	31-49255-S
prowess	17-40811-S,18-45581-S
proximate cause	20-59248-S
proximity to the powerful to obtain favor	61-48430-S
proxy	6-8121-S
prozac also marketed as fluoxetine	31-50575-B
prrs	55-29502-S
prudence	26-13852-B
prudent	2-1309-B,9-28374-S,20-21363-B,25-46413-B,32-54780-S,58-59129-B
prudently	20-21415-S,45-60420-S
prune	5-47374-S
prunes	3-24845-B
pruning branches	26-45718-B
prunus japonica	55-17735-B
prunus mume	34-10295-S
prunus serrulata or prunus yedoensis	35-17755-S
prunus yedoensis	35-17755-S
prussia historical german state	31-53231-B
pry	9-12990-B,57-63948-B
pry bar	34-46033-B
pry into	47-58213-B,65-53330-B
pry into military secrets	47-58249-S
pry open	29-15002-S,29-15059-S
pry open with the hands	28-34539-S
przevalski 1839 1888	31-50276-S
przevalski horse equus przewalskii wild horse of central asia first identified in 1881 by nikolai mikhailovich przevalski 普爾熱瓦爾斯基 普尔热瓦尔斯基	31-49349-B
przevalski s gazelle procapra przewalskii of central asia	31-49127-B
przevalski 普爾熱瓦爾斯基 普尔热瓦尔斯基	31-49349-S
przevalski 普爾熱瓦爾斯基 普尔热瓦尔斯基 1839 1888	31-49007-S
przewalskii of central asia	31-49127-S
przewalskii wild horse of central asia first identified in 1881 by nikolai mikhailovich przevalski 普爾熱瓦爾斯基 普尔热瓦尔斯基	31-49349-S
prélude à l après midi d un faune	41-52276-B
príncipe	51-45861-S
psalms	58-14488-S
pseudepigrapha	6-24587-B
pseudo	4-62181-B,6-7791-B,29-26964-B
pseudo affixation	6-9460-B
pseudo apollodorus	32-10848-S
pseudo classical	4-45275-B
pseudo ginseng	43-36903-B
pseudo silver pewter spear head	64-27180-S
pseudoacacia	9-13074-S,37-50816-S,37-50892-S
pseudocamellia	34-8209-S
pseudocode	6-23985-B
pseudomallei	68-48528-S
pseudomembrane	53-52219-S
pseudomonas pseudomallei	68-48528-B
pseudomyopia	6-7833-B
pseudonym	6-6914-B,10-20891-B,48-14655-B
pseudonym of huang xing 黃興 黄兴	71-16950-B
pseudosciaena crocea	17-42672-S
pseudoscience	6-24530-B
pseudosphere	29-27787-S
psi greek letter ψψ	31-51134-B,31-51303-B
psilocybin	57-19559-B
psittacella	55-47388-S
psittacosis ornithosis	71-2578-B
psoriasis	3-25140-B,41-48288-B
pstn	7-55571-B,7-62042-B
psych 	58-11640-S
psychasthenia	48-56834-B
psyche	24-33192-S
