恙 恙 [01\[ yàng\]]	sickness
慢走 慢走 [01\[ màn zǒu\]]	don't go yet!;please stay a while longer!
慢跑 慢跑 [01\[ màn pǎo\]]	jogging;to jog;to canter;a slow trot
慢車 慢车 [01\[ màn chē\]]	local bus or train;slow train with many stops
慢長 慢长 [01\[ màn cháng\]]	extremely long;unending
慢騰騰 慢腾腾 [01\[ màn téng téng\]]	leisurely;unhurried;sluggish
慣 惯 [01\[ guàn\]]	accustomed to;used to
慣例 惯例 [01\[ guàn lì\]]	conventional
慣常 惯常 [01\[ guàn cháng\]]	usual;customary
慣性 惯性 [01\[ guàn xìng\]]	inertia
慣性系 惯性系 [01\[ guàn xìng xì\]]	inertial system;inertial frame (mechanics)
慣用語 惯用语 [01\[ guàn yòng yǔ\]]	commonly used phrase;idiom;colloqial usage
慣量 惯量 [01\[ guàn liàng\]]	inertia (mechanics)
慥 慥 [01\[ zào\]]	sincere
慧 慧 [01\[ huì\]]	intelligent
慨 慨 [01\[ kǎi\]]	generous;sad
慪 怄 [01\[ òu\]]	annoyed
慫 怂 [01\[ sǒng\]]	arouse
慫恿 怂恿 [01\[ sǒng yǒng\]]	to instigate;to incite;to egg sb on
慬 慬 [01\[ jǐn\]]	brave;cautious;sad
慮 虑 [01\[ lǜ\]]	anxiety
慰 慰 [01\[ wèi\]]	reassure
慰問 慰问 [01\[ wèi wèn\]]	express sympathy
慰安婦 慰安妇 [01\[ wèi ān fù\]]	comfort woman
慰藉 慰藉 [01\[ wèi jiè\]]	consolation;console
慱 慱 [01\[ tuán\]]	sad
慳 悭 [01\[ qiān\]]	stingy
慴 慴 [01\[ zhé\]]	terrified
慵 慵 [01\[ yōng\]]	careless
慶 庆 [01\[ qìng\]]	celebrate
慶元 庆元 [01\[ qìng yuán\]]	(n) qingyuan (place in zhejiang)
慶典 庆典 [01\[ qìng diǎn\]]	a celebration
慶功 庆功 [01\[ qìng gōng\]]	to celebrate a heroic deed
慶大霉素 庆大霉素 [01\[ qìng dà méi sù\]]	gentamycin (antibiotic)
慶安 庆安 [01\[ qìng ān\]]	(n) qing'an (place in heilongjiang)
慶州 庆州 [01\[ qìng zhōu\]]	gyeongju (city in south korea)
慶幸 庆幸 [01\[ qìng xìng\]]	celebrate success
慶曆新政 庆历新政 [01\[ qìng lì xīn zhèng\]]	failed reform of northern song government in 1043
慶祝 庆祝 [01\[ qìng zhù\]]	celebrate
慶祝會 庆祝会 [01\[ qìng zhù huì\]]	celebration
慶華 庆华 [01\[ qìng huá\]]	ching-hua
慶賀 庆贺 [01\[ qìng hè\]]	congratulate
慶陽 庆阳 [01\[ qìng yáng\]]	qingyang prefecture level city in gansu
慶陽地區 庆阳地区 [01\[ qìng yáng dì qū\]]	(n) qingyang district (district in gansu)
慶陽市 庆阳市 [01\[ qìng yáng shì\]]	qingyang prefecture level city in gansu
慶雲 庆云 [01\[ qìng yún\]]	(n) qingyun (place in shandong)
慷 慷 [01\[ kāng\]]	generous;magnanimous
慷慨 慷慨 [01\[ kāng kǎi\]]	vehement;fervent;generous;giving;liberal
慼 戚 [01\[ qī\]]	ashamed;grief
慾 欲 [01\[ yù\]]	desire;wish
慾壑難填 欲壑难填 [01\[ yù hè nán tián\]]	bottomless pit of desire (成语 saw); insatiable greed;carnal cravings are never satisfied and are a main obstruction on the path to enlightenment
慾望 欲望 [01\[ yù wàng\]]	desire;longing;appetite;craving
慾火 欲火 [01\[ yù huǒ\]]	lust
慾絕 欲绝 [01\[ yù jué\]]	despair;wild grief
慾蓋彌彰 欲盖弥彰 [01\[ yù gài mí zhāng\]]	trying to hide it makes it more conspicuous (成语 saw); a cover up only makes matters worse.
慾速則不達 欲速则不达 [01\[ yù sù zé bù dá\]]	lit. to want sth in haste
憀 憀 [01\[ liáo\]]	to rely on
憂 忧 [01\[ yōu\]]	worried
憂傷 忧伤 [01\[ yōu shāng\]]	distressed;sorrowing;sad;worried;grieved;laden with grief
憂患 忧患 [01\[ yōu huàn\]]	suffering;misery;hardship
憂愁 忧愁 [01\[ yōu chóu\]]	to be worried
憂慮 忧虑 [01\[ yōu lǜ\]]	to worry;anxiety (about)
憂灼 忧灼 [01\[ yōu zhuó\]]	worrying
憂鬱 忧郁 [01\[ yōu yù\]]	sullen;depressed
憂鬱症 忧郁症 [01\[ yōu yù zhèng\]]	(psychology) depression
憃 憃 [01\[ chōng\]]	foolish
憊 惫 [01\[ bèi\]]	exhausted
憋 憋 [01\[ biē\]]	hold in (urine);to hold (breath);to choke;stifle;restrain;hold back
憋悶 憋闷 [01\[ biē mēn\]]	feel oppressed;be depressed;be dejected
憋氣 憋气 [01\[ biē qì\]]	feel suffocated or oppressed;choke with resentment;feel injured and resentful
憍 憍 [01\[ jiāo\]]	arrogant
憎 憎 [01\[ zēng\]]	detest
憎恨 憎恨 [01\[ zēng hèn\]]	detest;hatred
憎惡 憎恶 [01\[ zēng wù\]]	loathe
憐 怜 [01\[ lián\]]	to pity
憐惜 怜惜 [01\[ lián xī\]]	to take pity on;to feel tenderness toward
憐憫 怜悯 [01\[ lián mǐn\]]	pity
憑 凭 [01\[ píng\]]	lean against;proof;to rely on;to depend on;to be based on
憑仗 凭仗 [01\[ píng zhàng\]]	to rely on;to depend on
憑依 凭依 [01\[ píng yī\]]	to rely on;to base oneself on
憑信 凭信 [01\[ píng xìn\]]	to trust
憑倚 凭倚 [01\[ píng yǐ\]]	to rely on
憑借 凭借 [01\[ píng jiè\]]	to rely on;using
憑單 凭单 [01\[ píng dān\]]	bill of warrant (certificate
憑弔 凭吊 [01\[ píng diào\]]	to visit a place for the memories;to pay homage to (the deceased)
憑恃 凭恃 [01\[ píng shì\]]	to depend on;to rely on
憑據 凭据 [01\[ píng jù\]]	evidence
憑欄 凭栏 [01\[ píng lán\]]	to lean on a parapet
憑準 凭准 [01\[ píng zhǔn\]]	evidence (that one can rely on);grounds (for believing sth)
憑照 凭照 [01\[ píng zhào\]]	certificate;license
憑眺 凭眺 [01\[ píng tiào\]]	to lean on sth and gaze into the distance
憑祥 凭祥 [01\[ píng xiáng\]]	(n) pingxiang (city in guangxi)
憑空 凭空 [01\[ píng kōng\]]	baseless (lie);without foundation
憑證 凭证 [01\[ píng zhèng\]]	certificates (investments)
憑陵 凭陵 [01\[ píng líng\]]	to ride roughshod over;to encroach
憑險 凭险 [01\[ píng xiǎn\]]	(to resist the enemy) relying on inaccessible territory
憑靠 凭靠 [01\[ píng kào\]]	to use;to rely on;by means of
憒 愦 [01\[ kuì\]]	confused;troubled
憔 憔 [01\[ qiáo\]]	haggard
憔悴 憔悴 [01\[ qiáo cuì\]]	wan and sallow;thin and palid;haggard;(of plants) withered
憖 憖 [01\[ yìn\]]	injured;moreover;preferably
憚 惮 [01\[ dàn\]]	dread;fear;dislike
憝 憝 [01\[ duì\]]	dislike;hate
憤 愤 [01\[ fèn\]]	indignant;anger;resentment
憤怒 愤怒 [01\[ fèn nù\]]	angry;indignant
憤恨 愤恨 [01\[ fèn hèn\]]	to hate;hatred;to resent;embittered
憤慨 愤慨 [01\[ fèn kǎi\]]	resent;resentment
憤憤不平 愤愤不平 [01\[ fèn fèn bù píng\]]	indignant
憧 憧 [01\[ chōng\]]	irresolute;unsettled
憧憬 憧憬 [01\[ chōng jǐng\]]	to long for;to look forward to;longing;vision for future
憨 憨 [01\[ hān\]]	silly;simple-minded
憨厚 憨厚 [01\[ hān hòu\]]	simple and honest;straightforward;humboldt
憩 憩 [01\[ qì\]]	to rest
憩息處 憩息处 [01\[ qì xī chù\]]	rest area
憪 憪 [01\[ xián\]]	composed
憫 悯 [01\[ mǐn\]]	sympathize;to pity
憬 憬 [01\[ jǐng\]]	awaken
憭 憭 [01\[ liǎo\]]	clear;intelligible;severe;cold
憮 怃 [01\[ wǔ\]]	disappointed;startled
憯 憯 [01\[ cǎn\]]	already;sorrowful
憲 宪 [01\[ xiàn\]]	statute;constitution
憲兵 宪兵 [01\[ xiàn bīng\]]	military police
憲兵隊 宪兵队 [01\[ xiàn bīng duì\]]	the kempeitai or japanese military police 1881-1945 (japanese counterpart of the gestapo during wwii)
憲政 宪政 [01\[ xiàn zhèng\]]	constitutional government
憲法 宪法 [01\[ xiàn fǎ\]]	constitution (of a country)
憲章 宪章 [01\[ xiàn zhāng\]]	charter
憲章派 宪章派 [01\[ xiàn zhāng pài\]]	the chartist movement (in the 1840s in england)
憶 忆 [01\[ yì\]]	remember
憸 憸 [01\[ xiān\]]	artful;flattering
憺 憺 [01\[ dàn\]]	peace
憾 憾 [01\[ hàn\]]	regret
憾恨 憾恨 [01\[ hàn hèn\]]	resentful
懂 懂 [01\[ dǒng\]]	to understand;to know
懂事 懂事 [01\[ dǒng shì\]]	sensible;thoughtful;intelligent
懂得 懂得 [01\[ dǒng de\]]	to understand;to know;to comprehend
懂行 懂行 [01\[ dǒng háng\]]	to know the ropes
懃 懃 [01\[ qín\]]	solicitous;thoughtful
懅 懅 [01\[ qú\]]	bashful;ashamed
懆 懆 [01\[ cǎo\]]	anxious;sad
懇 恳 [01\[ kěn\]]	earnest
懇切 恳切 [01\[ kěn qiè\]]	earnest;sincere
懇求 恳求 [01\[ kěn qiú\]]	beg;entreat;entreaty
懇辭 恳辞 [01\[ kěn cí\]]	to decline with sincere thanks
懈 懈 [01\[ xiè\]]	lax;negligent
懈弛 懈弛 [01\[ xiè chí\]]	slack (discipline)
懈怠 懈怠 [01\[ xiè dài\]]	slack;lazy;remiss
懈惰 懈惰 [01\[ xiè duò\]]	slack;idle
懈氣 懈气 [01\[ xiè qì\]]	to slacken off;to take it easy
應 应 [01\[ yīng\]]	ought
應 应 [01\[ yìng\]]	surname ying;to answer;to respond
應付 应付 [01\[ yìng fu\]]	to deal with;to cope
應付帳款 应付帐款 [01\[ yīng fù zhàng kuǎn\]]	accounts payable
應力 应力 [01\[ yìng lì\]]	stress (phys.)
應力場 应力场 [01\[ yìng lì chǎng\]]	stress field
應和 应和 [01\[ yìng hè\]]	to echo one another;to respond (in agreement)
應城 应城 [01\[ yīng chéng\]]	(n) yingcheng (city in hubei)
應對 应对 [01\[ yìng duì\]]	response;to answer;to reply
應得 应得 [01\[ yīng dé\]]	deserve
應徵 应征 [01\[ yìng zhēng\]]	to apply (for a job);to reply to a job advertisment
應急 应急 [01\[ yìng jí\]]	respond to an emergency
應急出口 应急出口 [01\[ yìng jí chū kǒu\]]	emergency exit
應急待命 应急待命 [01\[ yīng jí dài mìng\]]	emergency standby
應急措施 应急措施 [01\[ yìng jí cuò shī\]]	emergency measure
應急照射 应急照射 [01\[ yīng jí zhào shè\]]	emergency exposure
應急狀態 应急状态 [01\[ yīng jí zhuàng tài\]]	emergency state
應戰 应战 [01\[ yìng zhàn\]]	face a challenge;face an attack and meet it
應收帳款 应收帐款 [01\[ yīng shōu zhàng kuǎn\]]	accounts receivable
應有 应有 [01\[ yīng yǒu\]]	proper
應有盡有 应有尽有 [01\[ yīng yǒu jìn yǒu\]]	everything (one could imagine)
應激性 应激性 [01\[ yīng jī xìng\]]	irritable;sensitive;excitable
應用 应用 [01\[ yìng yòng\]]	to use;to apply;application;applicable
應用層 应用层 [01\[ yìng yòng céng\]]	application layer
應用平台 应用平台 [01\[ yìng yòng píng tái\]]	application platform
應用數學 应用数学 [01\[ yìng yòng shù xué\]]	applied mathematics
應用物理 应用物理 [01\[ yìng yòng wù lǐ\]]	applied physics
應用科學 应用科学 [01\[ yìng yòng kē xué\]]	applied science
應用程式 应用程式 [01\[ yìng yòng chéng shì\]]	application;(computer) program
應用程式介面 应用程式介面 [01\[ yìng yòng chéng shì jiè miàn\]]	application programming interface;api
應用軟件 应用软件 [01\[ yìng yòng ruǎn jiàn\]]	application software
應用軟體 应用软体 [01\[ yìng yòng ruǎn tǐ\]]	application software
應當 应当 [01\[ yīng dāng\]]	should;ought to
應答 应答 [01\[ yìng dá\]]	to reply
應縣 应县 [01\[ yīng xiàn\]]	ying county in shanxi
應聘 应聘 [01\[ yìng pìn\]]	to accept a job offer
應聘者 应聘者 [01\[ yìng pìn zhě\]]	person taking a job
應許 应许 [01\[ yīng xǔ\]]	to promise;to allow
應試教育 应试教育 [01\[ yìng shì jiào yù\]]	(set phrase) education only for the purpose of examination
應該 应该 [01\[ yīng gāi\]]	ought to;should;must
應該說 应该说 [01\[ yīng gāi shuō\]]	it should be mentioned that ...
應變 应变 [01\[ yìng biàn\]]	to meet a contingency;to adapt oneself to changes
應運而生 应运而生 [01\[ yìng yùn ér shēng\]]	to come into being at the opportune historic moment
應邀 应邀 [01\[ yìng yāo\]]	at sb's invitation;on invitation
應酬 应酬 [01\[ yìng chou\]]	social niceties;social interaction;a dinner party
懊 懊 [01\[ ào\]]	to regret
懊喪 懊丧 [01\[ ào sāng\]]	dejected;despondent;depressed
懊悔 懊悔 [01\[ ào huǐ\]]	feel remorse;repent;regret
懊惱 懊恼 [01\[ ào nǎo\]]	annoyed;vexed;upset
懋 懋 [01\[ mào\]]	be great;exert the mind
懌 怿 [01\[ yì\]]	pleased;rejoice
懍 懔 [01\[ lǐn\]]	fear
懐 懐 [01\[ huái\]]	japanese variant of 懷|怀
懒得搭理 懒得搭理 [01\[ lǎn de dā lǐ\]]	not wishing to acknowledge sb;unwilling to respond
懟 怼 [01\[ duì\]]	dislike;hate
懠 懠 [01\[ qí\]]	angry
懣 懑 [01\[ mèn\]]	melancholy
懤 懤 [01\[ chóu\]]	grieved
懥 懥 [01\[ zhì\]]	enraged
懦 懦 [01\[ nuò\]]	imbecile;timid
懦夫 懦夫 [01\[ nuò fū\]]	coward
懦弱 懦弱 [01\[ nuò ruò\]]	cowardly;weak
懨 恹 [01\[ yān\]]	contented;peaceful
懫 懫 [01\[ zhí\]]	enraged;resentful;to hate;to desist
懮 懮 [01\[ yǒu\]]	grievous;relaxed
懮慮 懮虑 [01\[ yōu lǜ\]]	(feel) anxiety;concern
懰 懰 [01\[ liú\]]	lovely;beautiful
懲 惩 [01\[ chéng\]]	punish;discipline
懲前毖後 惩前毖后 [01\[ chéng qián bì hòu\]]	lit. to punish those before to prevent those after (成语 saw); to criticize former mistakes firmly to prevent them happening again
懲戒 惩戒 [01\[ chéng jiè\]]	to discipline;reprimand
懲罰 惩罚 [01\[ chéng fá\]]	penalty;punishment;to punish
懲罰性 惩罚性 [01\[ chéng fá xìng\]]	punitive
懲辦 惩办 [01\[ chéng bàn\]]	to punish
懵 懵 [01\[ měng\]]	stupid
懶 懒 [01\[ lǎn\]]	lazy
懶人 懒人 [01\[ lǎn rén\]]	lazy person
懶得 懒得 [01\[ lǎn dé\]]	not wishing to do anything;disinclined
懶怠 懒怠 [01\[ lǎn dài\]]	lazy
懶惰 懒惰 [01\[ lǎn duò\]]	idle;lazy
懶散 懒散 [01\[ lǎn sǎn\]]	inactive;careless;lazy
懶洋洋 懒洋洋 [01\[ lǎn yāng yāng\]]	lazily
懶漢 懒汉 [01\[ lǎn hàn\]]	idle fellow;lazybones
懶腰 懒腰 [01\[ lǎn yāo\]]	stretch
懶蟲 懒虫 [01\[ lǎn chóng\]]	lazy fellow (insult);idle slob
懶辦法 懒办法 [01\[ lǎn bàn fǎ\]]	to loaf about;lazy;to hang around (and cause trouble to everyone)
懶驢上磨屎尿多 懒驴上磨屎尿多 [01\[ lǎn lǘ shàng mò shǐ niào duō\]]	(proverb) a lazy person will find many excuses to delay working;lit. when a lazy donkey is turning a grindstone
懶鬼 懒鬼 [01\[ lǎn guǐ\]]	lazybones;idle bum
懷 怀 [01\[ huái\]]	to think of;to cherish;mind;heart;bosom;surname huai
懷仁 怀仁 [01\[ huái rén\]]	(n) huairen (place in shanxi)
懷來 怀来 [01\[ huái lái\]]	(n) huailai (place in hebei)
懷來縣 怀来县 [01\[ huái lái xiàn\]]	huailai county in hebei
懷俄明 怀俄明 [01\[ huái é míng\]]	wyoming
懷俄明州 怀俄明州 [01\[ huái é míng zhōu\]]	wyoming
懷化 怀化 [01\[ huái huà\]]	huaihua prefecture level city in hunan
