ju2 xian4 xing4	21-17497-B
jué zhú	57-46181-B
jué zhǐ yǔ	19-57353-S
jué zhǒng	49-47385-B
jué zuò	21-61539-S
jué zé	26-65031-B
juān	10-6627-S,15-1228-B,18-51048-B,25-5904-B,27-4858-S,28-3472-B,32-45351-B,33-10466-S,38-36258-B,38-36359-S,52-32146-B,54-13182-S,56-22465-B,59-54550-S,64-37383-S,65-1342-B,66-62781-S,70-56344-B
juān bèi	28-4283-B
juān bān	28-4079-B
juān dī	38-36444-B
juān dī guī gōng	38-36525-B
juān gěi	28-4239-B
juān huā	33-10756-S
juān juān	38-36359-B
juān jī zhēng chù	47-28822-S
juān kuǎn	28-3746-B
juān kuǎn zhě	28-3817-B
juān kè	65-1397-B
juān mìng	28-3688-B
juān mù	28-3609-B
juān niǎo	33-10807-S
juān qū	28-4650-B
juān shuì	28-4187-B
juān shēng	28-4127-B
juān tí xuè	33-10590-S
juān wù	28-3905-B
juān xiàn	28-3998-B
juān xiàn zhě	14-35037-S
juān xuè	28-4324-B
juān xuè zhě	28-4394-B
juān xuǎn	28-4707-B
juān zhù	28-3547-B
juān zuò	33-10689-S
juān zèng	28-4526-B
juān zèng zhě	28-4586-B
juān zī	28-4473-B
juān zǐ	9-42666-S
juān zǐ guǐ yí fāng	9-42721-S
juān āi	38-36310-B
juē	14-24996-B,14-34399-B,29-5045-B,45-22234-S
juē juē	45-22234-S
juǎn	10-50098-S,11-26049-B,22-11416-B,22-27288-S,26-33489-S,28-7547-B,31-33064-S,42-61694-S,43-58238-S,52-48088-S,52-52164-B,68-60309-S
juǎn 5r	41-2342-S,64-37889-S
juǎn bā	11-26671-B
juǎn bǐ dāo	11-26918-B
juǎn bǐng	28-8338-B
juǎn chǐ	11-26547-B
juǎn céng yún	11-26604-B,28-7651-B
juǎn dài	28-7777-B
juǎn dì pí	11-26321-B
juǎn fà	11-27289-B
juǎn fēng	71-59756-S
juǎn jī	5-11971-S
juǎn jī yún	28-8025-B
juǎn lián mén	11-26717-B,28-7718-B
juǎn pū gài	28-8264-B
juǎn qǐ	11-27084-B
juǎn qǔ	28-7971-B
juǎn rèn	11-26158-B
juǎn rù	28-7583-B
juǎn shé yuán yīn	11-26979-B,28-8090-B
juǎn shū	56-34692-S
juǎn táo	28-8195-B
juǎn tǔ chóng lái	11-26205-B
juǎn xīn cài	28-7816-B
juǎn xū	11-27335-B,28-8399-B
juǎn yà zhōu	22-27211-S
juǎn yáng	28-7869-B
juǎn yáng jī	28-7916-B
juǎn yún	11-27240-B
juǎn yān	11-26868-B
juǎn zi	11-26429-B
jì	1-11282-S,1-38228-S,1-43159-S,1-45793-S,1-71907-S,2-17776-S,2-27181-S,2-29178-S,2-40713-S,2-41799-S,2-48604-S,2-48957-S,2-52366-S,2-78619-S,2-81749-S,3-16474-S,3-21874-S,3-21958-S,3-27295-S,3-33143-S,3-33503-S,3-39607-S,3-41884-S,4-698-S,4-18030-S,4-37688-S,4-37755-S,4-53122-B,4-54148-S,4-56992-S,4-57644-S,4-59937-S,5-851-S,5-8528-S,5-21400-S,5-39919-S,5-54103-S,5-63326-S,6-10410-B,6-10955-S,6-30592-S,6-30705-S,6-31152-S,6-32002-S,6-35517-S,6-39593-S,7-37290-S,7-41842-S,7-72123-S,7-73185-S,8-7114-B,8-16141-S,8-20793-S,8-37584-S,8-61472-S,8-62988-S,9-6359-S,9-6914-S,9-13274-S,9-19644-S,9-24117-S,9-29642-B,9-34807-S,9-34885-S,9-44462-B,9-49649-S,9-60672-S,9-61124-S,10-8262-B,10-10211-S,10-21406-S,10-22166-S,10-38292-S,10-40420-S,10-49504-S,10-54480-S,11-9483-S,11-21581-S,11-37963-S,11-52763-S,11-68137-S,12-5326-S,12-5402-S,12-6945-S,12-22624-S,12-37520-S,12-51323-S,12-54548-S,12-55316-S,13-4808-S,13-13292-S,13-13416-S,13-36858-S,13-42368-S,13-58626-S,14-36620-S,14-40232-B,14-48496-S,15-14309-S,15-23228-S,15-24319-S,15-35779-S,15-59247-S,16-14099-B,16-27300-S,16-27453-S,16-29910-S,16-36056-S,16-40678-S,16-44831-S,17-10020-S,17-35403-S,17-35774-S,17-58258-S,17-63907-S,18-1884-S,18-2025-S,18-11708-S,18-17004-S,18-29658-S,18-34176-S,18-34300-B,18-45846-S,18-51585-S,18-58626-S,19-6756-S,19-11439-B,19-29012-S,19-39057-S,19-41116-S,20-734-B,20-764-S,20-1024-B,20-2840-S,20-4429-S,20-9526-S,20-15746-S,20-22839-S,20-64507-S,21-13383-S,21-17271-S,21-38009-S,21-56283-S,21-60763-S,22-12657-S,22-33202-S,22-49210-S,22-65557-S,23-27034-S,23-43854-S,23-55614-S,24-1413-S,24-1543-S,24-5031-S,24-21837-S,24-30608-S,24-32936-S,24-33838-S,24-42146-B,24-44979-S,24-45655-S,24-67308-S,25-11290-B,25-16467-B,25-23957-S,25-24303-S,25-38510-S,25-48900-S,26-11352-S,26-13788-S,26-23154-S,26-36567-S,26-61949-S,26-62908-B,26-66471-S,27-4104-S,27-5759-S,27-6674-S,27-38515-S,27-46158-S,27-56250-S,27-60772-S,27-62174-S,28-12675-S,28-26755-S,28-41205-S,28-64500-S,29-23619-S,29-24809-S,29-57463-S,29-57607-S,29-58683-S,29-61314-S,29-64557-S,29-66421-S,30-7442-S,30-9830-S,30-19938-S,30-20003-S,30-24969-S,30-32169-S,30-43477-S,31-4390-B,31-4436-B,31-12036-S,31-17314-S,31-18170-S,31-32007-S,31-33310-S,31-41957-S,31-54795-S,31-57397-S,31-64600-B,32-12279-S,32-24786-S,32-27029-S,32-35652-S,32-55667-S,32-56324-S,33-21917-S,33-24119-S,33-43742-S,33-44669-S,33-53933-S,33-59397-S,34-33105-S,34-37730-S,34-55899-S,35-1769-S,35-1978-S,35-2035-S,35-32883-S,35-33088-S,35-41831-S,35-56487-S,35-59509-S,36-1041-S,36-1206-S,36-1262-S,36-6943-S,36-20869-S,36-27994-S,36-32315-S,36-52043-S,37-12890-S,37-13401-S,37-32655-S,37-37142-S,37-41106-S,37-43507-S,37-52595-B,37-53287-S,37-53531-S,37-53597-S,37-54992-S,37-62974-S,37-64862-S,38-7181-S,38-9409-S,38-30750-S,38-33929-S,38-43429-S,38-53635-S,38-55532-S,38-58207-S,38-63218-S,38-66380-B,39-14708-S,39-21486-S,39-24103-S,39-43429-S,39-44044-B,39-45998-S,39-61536-S,40-8527-S,40-8922-B,40-62824-S,41-4357-S,41-16573-S,41-33926-S,41-44238-S,41-51332-S,41-58860-S,42-556-S,42-3960-S,42-12489-S,42-62631-S,43-365-S,43-17021-S,43-19310-S,43-23743-S,43-24736-S,43-25520-S,43-25588-S,43-29510-S,43-42849-S,44-4258-S,44-13747-S,44-16105-B,44-16963-B,44-21405-B,44-24756-S,44-34582-S,44-37935-S,44-44603-S,44-53315-S,44-54843-S,44-55024-S,45-4798-S,45-17733-S,45-30431-S,45-44935-S,45-45570-S,46-2140-S,46-8870-S,46-28644-S,46-46169-S,46-50228-S,46-55582-S,46-59590-S,46-61563-S,46-64707-B,47-512-S,47-9108-S,47-14479-S,47-18646-S,47-22303-S,47-29418-S,47-35576-B,47-37319-B,47-41373-B,47-46068-S,47-54804-S,48-373-S,48-7150-S,48-10262-S,48-10948-S,48-12892-S,48-13034-S,48-15964-S,48-16693-S,48-41446-S,48-59703-S,48-62207-S,49-2425-B,49-3992-S,49-5540-S,49-6180-S,49-8036-S,49-11163-S,49-31110-S,49-44516-S,49-46965-S,49-47723-S,49-53230-S,49-59215-S,49-61676-S,49-62925-B,49-64231-S,50-7608-S,50-8046-S,50-8561-S,50-10381-S,50-10912-S,50-22650-S,50-27528-S,50-35872-S,50-36682-B,50-42557-B,50-44618-S,50-55125-B,51-28765-S,51-33974-S,51-51921-S,52-14589-S,52-32837-S,52-34143-S,52-37947-S,52-49340-S,53-9413-S,53-10546-S,53-17723-S,53-18995-S,53-19434-S,53-23816-S,53-32224-S,53-54232-B,54-50620-S,55-9996-B,55-18712-S,55-20957-B,55-22626-S,55-27606-B,55-29743-S,55-32332-S,55-32493-S,55-33527-S,56-355-S,56-15098-S,56-24646-S,56-26686-S,56-27640-S,56-33038-S,56-33561-S,56-46364-S,56-47306-S,56-47384-S,57-3925-S,57-14686-S,57-16983-S,57-19028-S,57-23129-S,57-36454-S,57-40693-B,57-44242-S,57-44554-S,57-58063-B,57-58401-S,57-60287-S,57-65688-B,58-2309-S,58-12509-S,58-15023-S,58-24475-S,58-36030-S,58-36395-S,58-48495-S,58-51765-S,58-59180-S,59-19624-S,59-53236-S,59-54630-S,59-56571-S,60-32997-S,60-38639-B,60-42152-S,60-46072-B,60-50684-S,60-50754-S,60-50812-S,60-61969-S,61-19425-S,61-22697-S,61-59555-S,62-3352-S,62-16933-S,62-17144-S,62-38252-S,62-58120-S,63-645-S,63-3908-S,63-7050-S,63-9774-S,63-13935-S,63-25481-S,63-55321-S,63-61648-S,64-6667-S,64-33941-S,64-54252-S,64-55535-S,65-13267-S,65-43895-S,65-44132-S,65-49421-S,65-63106-S,66-15485-S,66-21651-S,66-22800-S,66-41878-B,66-49843-S,66-62548-S,67-3065-S,67-4766-S,67-5732-S,67-13482-S,67-14184-S,67-19360-S,67-24403-S,67-25153-S,67-27271-S,67-35476-S,67-40305-S,67-50266-B,68-30477-S,68-49266-S,68-50559-S,69-15802-S,69-21663-S,69-45663-S,69-61724-S,69-64681-B,70-8212-S,70-10390-S,70-10646-S,70-18997-S,70-25087-S,70-25344-B,70-41706-B,70-45447-B,70-46758-B,70-47136-B,70-48752-B,70-55605-S,71-15845-S,71-36734-S,71-54733-B
jì 5r	31-63092-S
jì biāo zhǔn	15-17097-S
jì biāo zhǔn huà zǔ zhī	15-17176-S
jì biāo zhǔn zǔ zhī	15-17311-S
jì biǎo	49-53575-S
jì biǎo yǎn zhě	11-68209-S
jì bu zhù	57-65749-B
jì bài	46-65028-B
jì bào	19-11740-B
jì běn	31-12073-S,48-16167-S
jì běn diàn nǎo	48-16319-S
jì běn jì suàn jī	48-16218-S
jì bǎn	16-13504-S
jì chéng	50-42890-B
jì chéng běn	63-13989-S
jì chéng chē	57-59151-B
jì chéng diàn lù	20-40510-S
jì chéng quán	50-43018-B
jì chéng rén	18-22087-S,50-42958-B
jì chéng shì	58-2503-S
jì chéng shì shí	31-4879-B
jì chéng xù	58-2433-S
jì chéng zhe	50-43076-B
jì chóng yǎn	29-58738-S
jì chóu	57-66099-B
jì chūn	19-12074-B
jì chǎng	48-462-S
jì cè	57-59214-B
jì cí	20-2906-B
jì cún	20-1492-B,50-61764-S
jì cún chǔ	20-1626-B
jì cún qì	20-1565-B
jì cāng	49-60781-S
jì de	57-66407-B
jì diàn bào diàn huà zī xún wěi yuán huì	15-20582-S
jì diàn huà	15-20721-S,50-10799-S
jì diàn huà diàn bào zī xún wěi yuán huì	15-20795-S
jì diàn qì	50-43336-B
jì diàn xìn lián méng	15-20460-S
jì du	24-42295-B
jì duō duān	58-15062-S,70-32107-S
jì dà shè	15-16288-S
jì dà xué	10-27289-S,12-49440-S,15-12109-S,47-18700-S,67-28548-S,69-27689-S
jì dàn	24-42402-B,36-7026-S,52-3895-S
jì dá	20-3008-B
jì dé	31-4665-B,42-47571-S
jì dé lì yì	31-4731-B
jì dé qī jiān	31-4798-B
jì dì	20-3059-B
jì dòu	14-48540-S
jì dòu fu	14-48594-S
jì dù	19-11960-B,48-8900-S,48-9979-S,48-11179-S,48-12948-S
jì dùn	20-3172-B
jì dān wèi	15-16050-S
jì dān wèi zhì	15-16123-S
jì dōng	19-11592-B
jì dū	57-60638-B
jì fàng	20-2048-B
jì fù	19-12216-B,50-43173-B
jì fú	9-61774-S
jì fā	20-2542-B
jì fā zhǎn	49-60705-S
jì fāng fǎ	9-61704-S
jì fēng	19-12674-B
jì fǎ	15-17683-S
jì fǎ tíng	15-17743-S
jì guó jiā	30-55542-S
jì guān xì	4-18096-S,15-20267-S
jì guān xì xué yuàn	15-20345-S
jì guāng	26-14879-S
jì guǎn lǐ yuán	48-41489-S
jì guǎng bō diàn tái	2-56642-S
jì gòng chǎn zhǔ yì yùn dòng	15-14696-S
jì gē	15-17506-S
jì gěi	20-2691-B
jì gōng	26-63051-B,40-8960-B
jì gōng yè wěi yuán huì	15-13746-S
jì gōng zhì	15-14627-S
jì gǎi gé	49-60356-S
jì hao	57-67223-B
jì huà	3-50333-S,4-18553-S,8-5385-S,15-15310-S,17-61824-S,27-62870-S,29-63889-S,33-59140-S,56-31906-S,57-58148-B,57-59066-B,66-7043-S
jì huà jīng jì	57-58401-B
jì huà mù biāo	57-58315-B
jì huà shēng yù	57-58220-B
jì huà shǔ	51-59438-S
jì huà wěi yuán huì	15-6417-S,15-7023-S
jì huái	20-1985-B
jì huán	48-7187-S
jì huì	19-12166-B,24-42452-B,66-41949-B
jì huò bì jī jīn	15-19409-S
jì huò bì jī jīn zǔ zhī	15-19517-S
jì háng kōng lián hé huì	15-18981-S
jì háng kōng yùn shū xié huì	15-19118-S
jì hèn	24-42347-B
jì hé píng jī jīn huì	15-15726-S
jì hé zuò bù	20-48647-S
jì hé zuò yǔ fā zhǎn zǔ zhī	49-59618-S
jì hé zuò zǔ zhī	3-58857-S
jì hòu	19-11553-B
jì hòu sài	19-12021-B
jì hù lián wǎng luò	15-14425-S
jì hǎi	19-15542-S
jì hǎi shì zǔ zhī	15-17828-S
jì jiàn rén	20-1353-B
jì jiàn wén	15-19258-S
jì jiào	30-37613-S,57-60576-B
jì jiè	49-60644-S
jì jié	19-12346-B
jì jié guǒ	49-53500-S
jì jié xìng	19-12397-B
jì jiā	26-62999-B
jì jiǎn dú xiāng	10-22244-S
jì jiǔ	18-45896-S
jì jì	20-764-B,20-2840-B
jì jìng	20-915-B
jì jí	15-18375-S,20-2604-B,40-9465-B,50-22471-S
jì jí tuán	51-3706-S
jì jī	5-25555-S
jì jī chǎng	15-17429-S,40-3801-S,69-23892-S
jì jī chǔ	49-59821-S
jì jīn róng gōng sī	15-20156-S
jì jīng sǒng	47-18789-S
jì jīng sǒng xiǎo shuō	47-18893-S
jì jū	20-1931-B
jì jūn	19-12609-B
jì kān	19-11686-B
jì kē mù	32-25151-S
jì kě shī	40-61520-S
jì kǎ	6-1166-S,63-532-S
jì kǒu	24-42190-B
jì liàng	9-44488-B,13-3682-S,22-38406-S,25-42250-S,36-7322-S,43-68141-S,47-48066-S,49-31039-S,53-19367-S,57-60714-B,61-18653-S
jì liàng dān wèi	57-60770-B
jì liàng dāng liáng	9-44627-B
jì liàng jiān kòng	9-44702-B
jì liàng jì	10-21406-S
jì liàng lǜ	61-18723-S
jì liàng xiào yìng	9-44557-B
jì liàng yí	43-23518-S
jì liàng zhào shè	4-67612-S
jì lián méng	15-18907-S
jì liáo	20-848-B
jì liǎng	26-62935-B
jì lán	12-22029-S
jì láo dòng jié	15-15127-S
jì láo gōng zǔ zhī	15-15201-S
jì lèi	19-12450-B
jì lì liang	49-59475-S
jì lù	2-40647-S,9-37167-S,9-37492-S,19-12559-B,45-48592-S,49-3427-B,58-0-B,69-349-S
jì lù piàn	49-3465-B,58-140-B
jì lù piān 5r	49-3550-B
jì lù qì	58-90-B,69-533-S
jì lù yuán	58-38-B
jì lù yí	69-443-S
jì lùn tán	2-40797-S
jì lǐ	46-65278-B
jì lǜ	49-2744-B
jì lǜ jiǎn chá wěi yuán huì	2-51045-S
jì mào yì	15-19644-S
jì mào yì dà xué	20-48499-S
jì mào yì gōng yuē	40-14224-S
jì mào yì wěi yuán huì	15-6652-S
jì mái míng	66-49889-S
jì mì mǎ	24-45695-S
jì mín jiān zǔ zhī	15-17567-S
jì míng	20-1404-B,44-24814-S
jì míng tóu piào	2-29318-S
jì mò	2-41839-S,20-801-B
jì móu	57-60526-B
jì mǔ	20-2166-B,50-43130-B
jì niàn	11-65265-S,49-2786-B
jì niàn bēi	4-13039-S,49-3098-B
jì niàn guǎn	21-19890-S,49-3227-B
jì niàn jiǎng	49-3045-B
jì niàn pǐn	49-2846-B
jì niàn rì	49-2968-B,49-40664-S
jì niàn táng	2-74564-S,36-13320-S,49-2899-B
jì niàn yóu piào	49-3151-B
jì nián	49-2698-B
jì nuò	19-12496-B
jì nà qí	68-43680-S
jì nán dà xué	31-64642-B
jì nán shì	40-9090-B
jì néng	26-38625-S,26-63202-B
jì níng	40-9140-B
jì níng dì qū	40-9215-B
jì níng shì	40-9312-B
jì nǚ	18-34332-B,50-42830-B
jì piào	57-59103-B
jì pín	9-62548-S,26-43079-S,36-40-S
jì pǐn	46-64884-B
jì qián tú	49-59387-S
jì qiǎo	26-63093-B,57-36829-S,58-28517-S
jì qì	2-78672-S,16-61511-S,46-64925-B
jì qí lián	15-17012-S
jì qí shù	2-29244-S
jì qīng suàn yín háng	15-17939-S
jì qū	20-38831-S
jì qǐ	57-67332-B
jì qǔ	57-54462-S
jì rán	31-4990-B,39-36618-S
jì rèn	50-42658-B
jì rèn zhě	50-42720-B
jì rén	49-59265-S,49-61747-S,58-60119-S
jì rì qī biàn gēng xiàn	15-16900-S
jì shuāi tuì	49-60840-S
jì shàng	8-67083-S,8-67236-S,20-15802-S,29-7414-S,29-7583-S
jì shè	12-36201-S
jì shè huì	15-18224-S
jì shì	2-17826-S,19-11485-B,26-2010-S,55-33568-S,57-65805-B
jì shì bù	57-66026-B
jì shì běn	57-65944-B
jì shì cè	57-65873-B
jì shí	5-61008-S
jì shí fǎ	57-58899-B
jì shù	3-69375-S,5-44517-S,6-40711-S,7-19730-S,10-41182-S,13-64787-S,20-13538-S,24-21231-S,26-63282-B,32-63451-S,33-57825-S,33-61575-S,43-24834-S,45-48514-S,47-17424-S,49-17296-S,50-7431-S,52-39879-S,53-1980-S,57-58560-B,57-67436-B,60-40201-S,61-2206-S,62-7353-S,68-1499-S,70-14988-S
jì shù biāo zhǔn	26-63622-B
jì shù dà xué	15-12245-S
jì shù fā zhǎn	26-63698-B
jì shù fǎ	57-58670-B
jì shù guǎn	57-58796-B
jì shù gōng sī	51-59958-S
jì shù jìn chū kǒu gōng sī	2-63009-S
jì shù jù	49-53429-S
jì shù kòng zhì zhì dù	20-58774-S
jì shù lǜ yí	57-58734-B
jì shù qì	55-6499-S,57-58611-B
jì shù qíng bào	26-63464-B
jì shù shì dì yī shēng chǎn lì	47-17500-S
jì shù suǒ xiàn	26-63545-B
jì shù xiàn dài huà	47-17802-S
jì shù xué xiào	2-77905-S
jì shù xué yuàn	9-54406-S
jì shù xìng	26-63396-B
jì shù yuán	26-63341-B
jì shù zhě	57-58848-B
jì shù zhī shi	26-63778-B
jì shān	47-35606-B
jì shāng huì	15-15843-S
jì shāng yè jī qì	15-15939-S
jì shēng	20-2211-B,57-58956-B
jì shēng chóng	20-2480-B
jì shēng shēng huó	20-2328-B
jì shēng wù	20-2275-B
jì shēng zhě	20-2418-B
jì shī	23-11123-S,26-63142-B,32-24980-S,55-33631-S,58-2371-S
jì suàn	2-47837-S,57-59255-B
jì suàn chě	57-59404-B
jì suàn jī	48-16218-S,57-59562-B,67-28899-S
jì suàn jī bǐ yù	57-60042-B
jì suàn jī dòng huà	57-59707-B
jì suàn jī fǔ zhù shè jì	57-60287-B
jì suàn jī gōng yè	57-59792-B
jì suàn jī jí chéng zhì zào	57-60398-B
jì suàn jī kē xué	57-60123-B
jì suàn jī mó nǐ	57-59959-B
jì suàn jī mó shì	57-59875-B
jì suàn jī wǎng luò	57-60204-B
jì suàn jī zhì tú	57-59625-B
jì suàn qì	57-59321-B
jì suàn shù xué	57-59459-B
jì sè qíng	50-10734-S
jì sì	46-65142-B
jì sòng	20-2955-B
jì sù	20-1735-B
jì sù shēng	20-1879-B
jì sù xué xiào	20-1809-B
jì sī	6-6513-S,17-29571-S,29-64721-S,46-64780-B
jì sī fǎ	15-18306-S
jì sī quán shù	46-64818-B
jì tiào qí	15-19965-S
jì tiě lù	52-49017-S
jì tuō	20-2734-B
jì tài kōng zhàn	15-16384-S
jì tán	46-64990-B
jì tè qū	49-60569-S
jì tè shè	15-18053-S
jì tè shè zǔ zhī	15-18128-S
jì tí	57-58471-B,59-51902-S
jì tú	67-24502-S
jì tún	44-49736-S
jì tǐ cāo lián hé huì	15-21096-S
jì tǐ xì	49-60988-S
jì tǐ zhì	49-60918-S
jì wài jiāo	15-16218-S
jì wàng	20-2115-B
jì wèi	50-42773-B
jì wéi	57-66726-B
jì wén chuán tōng xùn shè	15-16789-S
jì wù	46-65100-B
jì wēi jī	49-59548-S
jì wěi	2-78378-S,15-7140-S
jì wěi jiān chá bù	2-50903-S
jì wǎng	1-6407-S,2-1605-S
jì wǎng bù jiù	31-4488-B
jì wǎng luò	15-18525-S,50-10511-S
jì wǎng luò gōng sī	15-18589-S
jì wǎng luò mén hù	15-18683-S
jì wǎng lù	50-10576-S
jì wǎng lù xié huì	50-10640-S
jì xià	8-67160-S,8-67313-S,19-11789-B,29-7499-S,29-7668-S
jì xiàn	8-7175-B,55-21005-B
jì xiàng	19-12275-B,43-19606-S,60-38720-B
jì xiàng qí	15-19348-S
jì xiào	50-36730-B
jì xiào yì	49-60426-S
jì xié dìng	50-10434-S
jì xié huì	15-15394-S
jì xiān qū lùn tán bào	15-14511-S
jì xiāo	20-3109-B
jì xué	4-7211-S,29-56849-S,32-24913-S,49-53374-S,49-60077-S
jì xué jiā	49-60153-S
jì xué xiào	10-57237-S
jì xué yì yì	32-38176-S
jì xué zhě	49-60218-S
jì xìn tuō tóu zī gōng sī	2-56464-S
jì xìn xī zhōng xīn	2-56276-S
jì xìng	6-39637-S,15-16714-S,20-15898-S,48-514-S,57-66449-B
jì xíng diàn nǎo	48-16081-S
jì xíng jǐng zǔ zhī	15-14996-S
jì xíng shì jǐng chá zǔ zhī	15-14843-S
jì xù	50-43216-B
jì xīn wén	31-9426-S
jì yuàn	18-34381-B
jì yuán	17-30441-S,30-53341-S,40-9596-B,44-24911-S,49-2573-B,49-53274-S,62-17185-S
jì yuán qián	49-2626-B
jì yuán shì	40-9672-B
jì yuán shí bào	17-30496-S
jì yuán yīn yuè	30-53411-S
jì yuán zǐ néng jié gòu	15-15596-S
jì yuán zǐ néng jī gòu	15-15474-S
jì yà	43-1025-S
jì yào	49-3358-B
jì yáng	40-9877-B
jì yì	21-53665-S,26-63241-B,32-30618-S,45-66288-S,57-66489-B
jì yì guǎng dù	57-66601-B
jì yì lì	57-66545-B
jì yì tǐ	15-56447-S,57-66667-B,66-44251-S
jì yìng bèi	35-59559-S
jì yìng yòng	20-15955-S
jì yòng hù	44-24966-S
jì yóu	55-28072-B
jì yù	66-42000-B
jì yú	20-1144-B,70-45492-B
jì yú hěn dà qī wàng	20-1235-B
jì yú shì	40-56130-S
jì yún	49-3307-B
jì yī kē dà xué	12-49512-S
jì yī liáo zhōng xīn	15-20049-S
jì yīn biāo	15-21009-S
jì yǒu	31-4949-B
jì yǒu xiào	49-60498-S
jì yǔ	47-550-S
jì yǔ huì tú	67-35574-S
jì yǔ máo qiú lián hé huì	15-18775-S
jì yǔ yán	12-14179-S,60-21389-S
jì zhu	57-66149-B
jì zhuàn	57-66253-B
jì zhuàn tǐ	49-2496-B
jì zhàng	57-66309-B,57-67268-B
jì zhàng yuán	57-66350-B
jì zhèn jiǎn	36-7083-S
jì zhì dù	32-24841-S,49-59325-S
jì zhù	40-8999-B
jì zhě	28-22341-S,29-34716-S,30-55213-S,32-62606-S,40-48848-S,41-61402-S,57-66769-B,58-2571-S
jì zhě bào dào	57-66821-B
jì zhě huì	57-66971-B
jì zhě wú guó jiè	57-67031-B
jì zhě zhàn	57-67138-B
jì zhě zhāo dài huì	57-66888-B
jì zhī cháng	1-9253-S
jì zhōu dǎo	40-9398-B,40-9522-B
jì zhǎng	20-22901-S
jì zhǔ	20-1091-B
jì zhǔ yì	15-14355-S
jì zhǔn zé lǐ shì huì	32-25035-S
jì zuò	57-66192-B
jì zé	32-16345-S
jì zú lián	15-19857-S
jì zú qiú lián hé huì	15-19717-S
jì zēng jiā zhí	49-59915-S
