guǐ biàn jiā	58-15309-B
gē luó xī	35-26175-B
gē luó xī shū	35-26226-B
gē lán gāo dì	26-4855-B
gē lì yà	13-42781-B
gē lín duō	13-43440-B
gē lín duō hòu shū	13-43601-B
gē lín duō qián shū	13-43491-B
gē lún bù	13-42303-B
gē lún bù jì	13-42368-B
gē lún bǐ yà	1-72182-S,13-42429-B,54-3061-S
gē lún bǐ yà dà xué	13-42512-B
gē lún bǐ yà guǎng bō gōng sī	13-42605-B
gē lún bǐ yà shěng	1-72284-S
gē lā	19-25372-S
gē lā sī	43-55532-S
gē lā tè sī	49-26726-S
gē lǐ	9-34143-B
gē lǐ fēng	14-14568-S
gē men	13-42113-B
gē mén 5r	13-42231-B
gē mí	35-26625-B
gē mǎ lì	54-62275-S
gē ní sī bǎo	13-42933-B
gē ní yǎ	51-40624-S
gē qín	43-60648-S
gē qǔ	9-34048-B,35-26139-B
gē rén	16-29697-S
gē shàn wǔ	52-27625-S
gē shāng	9-33952-B
gē shēng	35-26316-B
gē shǒu	18-21178-S,35-26039-B,36-21884-S
gē sà	55-24408-S
gē sà kè	13-43854-B
gē sòng	35-26694-B
gē sī	9-55984-S
gē sī dà lí jiā	13-43196-B
gē sī dá lí jiā	13-43282-B
gē sī lā ěr	26-4627-B
gē sī qún dǎo	9-56056-S,9-56158-S,33-45761-S
gē tè shì	13-43711-B
gē tīng	35-25930-B
gē wáng cháo	33-47238-S
gē wéi nà	71-29314-S
gē wéi yà	16-19573-S
gē wān	16-29843-S
gē wǔ	35-26394-B
gē wǔ tuán	35-26445-B
gē xiàn	9-34187-B
gē xiào	13-29567-S
gē xiè jiǎ	5-56887-S
gē xīng	35-26079-B
gē yáo	35-26587-B
gē yǒng	35-26546-B
gē zhèn	32-48226-S,70-58321-S
gē zhì	29-28593-B
gē zhě	29-40442-S
gē zhōu	30-46286-S
gē zi	70-56132-B
gē zuò	17-55185-S
gē zǎi xì	35-25575-B
gē · jiā xī yà dǎo	61-51021-S
gē ěr	4-48710-S,26-4685-B
gē ěr bā qiáo fū	26-4744-B
gē ěr mó	30-40386-S
gēn	2-20057-S,3-43605-S,9-5144-S,9-31199-S,10-62229-S,12-60310-S,13-43355-S,14-16999-S,15-27023-S,15-59574-S,15-66231-S,16-14392-S,19-7913-S,19-67361-S,20-4666-S,20-13721-S,22-27022-S,22-41478-S,23-32613-S,26-39293-S,27-33250-S,29-1171-S,29-1883-S,30-38497-S,30-62939-S,33-31149-S,33-63839-B,33-67906-S,34-32591-S,34-61038-S,35-54338-S,36-14101-S,36-34771-S,37-34060-S,41-43881-S,44-10540-S,46-64179-S,48-27966-S,49-5715-S,50-15520-S,52-796-S,52-6806-S,52-43608-S,53-29950-S,54-15058-S,54-50672-S,54-57001-S,57-2067-S,58-10178-S,60-37298-B,61-34319-S,61-58139-S,63-44942-S,64-26962-S,66-22392-S,71-55067-S
gēn 5r	9-5237-S,52-898-S
gēn bu shàng	60-37520-B
gēn bān	60-38095-B
gēn bāo	60-37696-B
gēn běn	33-64185-B
gēn chú	33-64725-B
gēn chāi	60-38010-B
gēn cuò jié	45-11370-S
gēn cóng	60-38054-B
gēn dou	51-23302-S
gēn dà xué	20-4732-S
gēn dào dǐ	35-54441-S
gēn dá sī	13-38922-S
gēn gāng lǐng	15-59655-S
gēn hé tǐ zì	19-5381-S
gēn hǎi mǔ	12-3199-S
gēn hǎn	12-3270-S
gēn hǎn pēn pèn qì tuī jìn yán jiū zhōng xīn	12-3331-S
gēn jiàn	60-38156-B
gēn jié dì	35-54520-S
gēn jiū dǐ	61-58605-S
gēn jiū dǐ 5r	61-58694-S
gēn jiǎo	60-38229-B
gēn jué	33-64616-B
gēn jìn	60-38446-B
gēn jù	33-63967-B
gēn jù dì	33-64124-B
gēn jù shàng biǎo	33-64038-B
gēn jī	33-63924-B
gēn jīng	33-64661-B
gēn lán	17-22620-S
gēn lí zǐ	36-34841-S
gēn nà	25-36894-S
gēn pì chóng	60-37876-B
gēn pì gu	60-37794-B
gēn qián	60-37642-B
gēn qiú yuán	61-58376-S
gēn rén	60-37589-B
gēn shàng	60-37450-B
gēn shì dān lì	29-1217-S
gēn shēn dì gù	33-64369-B
gēn suí	60-38496-B
gēn sù yuán	61-58459-S
gēn sī tǎn	50-4239-S
gēn tou	26-49300-S,27-10840-S,34-933-S,51-23216-S,60-38539-B
gēn tè	33-64503-B
gēn tíng	66-6206-S
gēn wèn dǐ	9-5303-S,20-45227-S,45-11228-S,58-12152-S,61-58233-S
gēn xié	70-22048-S
gēn yuán	33-64449-B
gēn yǔ	58-11308-S
gēn zhe	60-38327-B
gēn zhuàng jīng	33-64541-B
gēn zhì	33-64278-B
gēn zhōu	20-4819-S
gēn zōng	60-38372-B
gēng	1-11524-S,6-29433-S,10-56059-S,19-21997-S,22-62001-B,26-45636-S,31-35286-S,32-6914-B,38-12361-B,38-57466-S,47-15893-S,50-23427-B,51-461-S,51-15267-B,51-22631-S,51-37719-B,54-35739-S,58-39057-S,59-9592-S,59-57846-B,65-14402-S,70-57804-B,71-54982-S
gēng chén	22-62651-B
gēng chù	51-37915-B
gēng cì	32-8545-B
gēng dié	32-9259-B
gēng dài	32-7010-B
gēng dì	12-15830-S,32-9316-B,51-37800-B
gēng dòng	32-7259-B
gēng fān	32-9032-B
gēng fū	32-7583-B
gēng gāo xìng néng	32-9509-B
gēng gǎi	32-7955-B
gēng gǔ	32-9584-B
gēng huàn	32-7912-B
gēng huán lín	61-62722-S
gēng lòu	32-8856-B
gēng lóu	32-8466-B
gēng míng	32-7391-B
gēng nián qī	32-7763-B
gēng niǎo	45-63790-S
gēng néng gěi rén lè qù	6-65579-S
gēng nóng	10-60015-S
gēng nú	51-37858-B
gēng pú nán shǔ	32-7099-B
gēng shāng	51-15295-B
gēng shēn	22-62573-B,32-8692-B
gēng shēn rén jìng	32-8741-B
gēng shēng	32-8929-B,53-1480-S
gēng shǐ	32-7695-B
gēng sī	25-18052-S
gēng tì	32-8368-B
gēng wǔ	22-62123-B
gēng xiàn	15-16900-S
gēng xì zuò	48-57618-S
gēng xīn	32-7995-B,32-20512-S
gēng xīn bǎn	32-8292-B
gēng xīn huàn dài	32-8196-B
gēng xīn shì	32-8103-B
gēng xū	22-62496-B
gēng yín	22-62418-B
gēng yún	51-38018-B
gēng yī	32-9087-B
gēng yī shì	32-9170-B
gēng zhèng	32-8624-B
gēng zhòng	51-37961-B
gēng zhāng	32-7818-B
gēng zuò	51-37758-B
gēng zú	32-7324-B
gēng zǐ	22-62193-B
gēng zǐ guó biàn	22-62270-B
gě	12-31102-B,13-48821-B,29-23306-B,33-13925-S,53-37594-B,54-56825-B,55-5020-B,58-48615-S,65-19141-S
gě fǎ wēng	54-57047-B
gě gé jì shù qì	55-6499-B
gě liàng	3-30572-S,58-48675-S
gě lá là	34-39670-S
gě lái měi jiǎng	54-57371-B
gě lán sù shǐ kè	54-57537-B
gě lüě zi	54-57321-B
gě ruì gé ěr	54-57197-B
gě sè gě yàng	12-30378-B
gě tái	20-10430-S
gě tí	71-12759-S
gě yàng	12-30378-S
gě yōu	54-56857-B
gě ěr pén dì	39-17466-S
gěi	3-71188-S,4-27685-S,6-859-S,6-38397-S,8-57432-S,20-2691-S,20-23901-S,22-28819-S,28-4239-S,42-26138-S,43-51038-S,45-15431-S,49-49050-B,59-56912-S,61-27050-S,61-63880-S,63-10571-S,68-32170-S
gěi dìng	49-49293-B
gěi gōng zuò	38-1318-S
gěi hóu kàn	36-1705-S
gěi jī bài nián	71-25964-S
gěi rén lè qù	6-65579-S
gěi yǐ	49-49250-B
gěi yǔ zī gé	49-49366-B
gěn	53-40401-B
gěn dì	9-65778-S
gěng	8-24731-S,13-48790-B,15-57544-B,24-46487-S,34-7894-S,34-13357-B,49-56172-B,51-42646-B,51-42704-S,52-53027-S,63-22003-B,68-31512-S,70-2779-S,70-3836-B,70-43757-B
gěng bǐng	51-42894-B
gěng gài	34-13440-B
gěng gěng	24-46487-S,51-42704-B
gěng gěng yú huái	51-42788-B
gěng sè	24-37665-S,34-13385-B
gěng sāi	24-37575-S
gěng sǐ	34-13502-B
gěng yú huái	51-42788-S
gěng zhí	34-13567-B
gěng zhī chén	70-2903-S
gěng zài hóu	70-3051-S
gěng zǔ	34-13643-B
gōng	1-70549-S,2-9876-S,2-11094-S,3-3667-S,4-8674-S,5-21845-B,6-14948-S,6-16109-S,6-22628-S,6-64356-S,7-3460-S,7-18617-S,7-52246-S,7-53808-B,8-52098-S,8-54190-S,8-55998-S,9-5070-S,9-14574-S,9-17453-S,9-23712-S,9-23822-S,9-23908-S,9-46681-S,9-47562-B,9-54884-S,9-69105-S,10-5373-S,10-5907-S,10-14326-S,10-18498-S,10-23630-S,10-42739-S,10-69377-S,11-7972-S,11-28067-S,11-46026-S,11-49800-S,11-56938-S,12-32666-S,12-46651-S,13-41861-S,15-22032-S,15-40231-S,16-9162-S,16-44266-S,16-49910-S,16-56583-S,17-7702-S,17-41960-S,17-46369-S,17-57121-S,17-70627-S,18-2740-S,18-19575-S,18-20430-S,18-23025-S,19-888-S,19-36330-S,19-40139-S,19-57171-B,20-13463-S,20-42318-S,20-42492-S,20-49392-S,20-50705-S,21-18317-S,21-52613-B,22-18105-S,22-35689-S,23-7785-S,23-25549-B,23-44141-S,23-48257-S,24-1597-S,24-5338-S,24-14452-S,24-20940-S,24-44864-S,24-56753-S,25-3665-B,25-51964-S,26-8268-S,26-17169-S,26-32562-S,26-43465-S,26-50031-S,26-63051-S,27-57639-S,28-20430-S,28-36786-S,28-46251-S,28-58569-S,29-40806-S,29-47116-B,29-54442-S,29-59785-S,30-4373-S,30-4465-S,30-7822-S,30-26315-S,30-65525-S,30-70453-S,31-27778-S,31-33354-S,31-43722-S,32-3180-S,32-17514-S,32-52841-S,34-37249-S,35-44345-S,35-44408-S,35-53553-S,36-20108-S,36-25019-S,36-26024-S,36-41571-S,36-41715-S,36-45159-S,37-34866-S,38-36525-S,39-35519-S,40-8960-S,40-59407-S,41-57987-S,42-33343-S,42-34403-S,42-37925-S,42-54405-S,43-34429-S,44-38411-S,44-46920-S,44-60983-S,45-9089-S,45-13685-S,46-39734-S,46-44286-S,47-13686-S,47-24944-S,47-64590-S,48-25861-S,48-26068-S,48-31714-S,48-33235-B,48-53004-S,49-28467-S,50-7789-S,50-54614-S,50-59765-S,51-13143-S,51-25765-S,51-26566-S,51-52037-S,51-68327-S,52-14000-B,52-57824-S,52-63037-S,52-63144-S,54-44077-S,55-21319-S,55-58411-B,56-3871-S,56-33879-S,56-35927-S,56-60915-S,57-44799-S,57-53569-B,58-53643-S,59-8018-S,59-19518-S,59-26477-S,60-57757-B,61-34856-S,61-40491-S,61-42064-S,61-54031-S,62-29933-S,62-34177-S,63-8359-S,63-34305-S,64-23775-S,64-24319-S,64-39350-S,65-33866-S,65-41782-S,65-42002-S,65-67627-S,67-4569-S,67-9533-S,67-22327-S,67-29771-S,68-8088-S,68-36502-S,68-53144-S,69-33685-S,69-34384-S,70-31516-S,70-35427-S,70-39529-B,70-39967-S,70-45830-S,71-21976-S,71-23658-S,71-53895-S,71-63460-B
gōng 5r	20-49433-S
gōng bài chuí chéng	9-49161-B
