organic chem 	49-42708-S
oxide fe2o3	60-7329-S
oxide fuel mox	38-54033-S
oxide hgo	49-12541-S
oxide n2o	1-13362-S
oxide pb3o4	32-69215-S
oxide refractory material	64-51782-S
oxide tio2	64-13604-S
oxidier	3-38211-S
oxidization	43-30379-B
oxidize	36-32273-B
oxidizing agent	36-32315-B
oxil	52-9629-B
oxime chem 	52-9629-B
oximide	52-9629-B
oxyacetylene torch	36-32132-S,36-32208-S,36-32919-B
oxychloride	1-37089-S
oxygen	11-36486-S,40-55802-S,50-49223-S
oxygen complement	6-65293-S
oxygen demand an environmental indicator	10-23343-S
oxygen effect	36-32812-B
oxygen gas	36-32873-B
oxygen in blood	44-32737-S
oxygen level	56-26118-S
oxygen o	36-32100-B
oxygen of forests and nature reserves	17-24300-S
oxygenate	6-65293-S
oxyglobin	56-26686-B
oxymoron paradoxical or selfcontradictory expression	61-66571-B
oyster	41-51086-B,55-59116-B,56-20703-B,56-21154-S,56-21869-B,56-21942-S,70-42431-B
oyster meat	56-21942-S
oyster mushroom	22-44430-B
oyster sauce	56-20732-B,59-24856-B
oystercatcher	56-21897-B
oysters	55-57859-B
ozone layer	53-17007-B
ozone o3	53-15920-B,53-16961-B
ozzie rules	40-3199-B
p	23-57294-S,34-54379-S,46-41486-S,66-64361-S
p a m dirac 1902 1984	42-5859-B
p aminopropiophenone	20-51991-B
p avicida	67-8419-S
p e activity	6-18764-S
p etc	18-47519-S
p for aspirated pinyin p etc	18-47519-S
p for unaspirated pinyin b and p for aspirated pinyin p etc	18-47519-S
p m	1-58664-B,4-1279-S,10-53920-S,26-6304-S,31-46365-S,32-55920-S,43-42609-S,63-36399-S
p m 1 a m	19-121-S
p martin 1827 1916	1-26076-S
p martin 丁韙良 丁韪良	12-47846-S
p o	10-57103-B
p or t	38-65776-S
p telephioides	20-69975-S
p2p peer to peer	71-39211-B
pa	41-41441-B
pa sect of tibetan buddhism	14-38635-S
pa91	64-58723-S
paatra	64-24406-S
pace	25-50054-S,35-41879-S,35-42061-B,35-42240-B,35-43239-B,47-43239-S,56-9768-S,60-12136-B,60-48487-S,61-61143-S,62-29670-B
pace back and forth	23-60349-S,60-38863-B,60-53029-B
pace e g of modern life	50-14817-B
pace with	2-48124-S,60-37450-S
pacesetter	34-52379-B
pachyma cocos	54-9970-B
pachyrhizus erosus	59-17984-S
pachyrhizus genus	59-18047-B
pacific	1-62826-S,3-58514-S,3-61020-S,15-11417-S,16-7829-S,20-3485-S,26-29467-S,30-32169-S,33-16898-S,40-23442-S,57-15084-S,69-43587-S
pacific affairs	37-55999-S
pacific country	3-58559-S
pacific economic cooperation	3-58656-S
pacific economic cooperation organization	3-58857-S
pacific formerly new hebrides	43-10413-S
pacific herring	70-44453-B
pacific hong kong airline	15-11240-S
pacific island	65-54794-S
pacific mackerel pneumatophorus japonicus	70-41870-B
pacific nation	3-58559-S
pacific ocean	17-58450-S
pacific primorsky region	40-37804-S
pacific railroad	17-58836-S
pacific region	3-60733-S,3-61111-S,17-58514-S
pacific rim	17-58514-S,17-58948-B,43-5370-B
pacific rise a mid oceanic ridge stretching from california down to antarctica	33-16969-S
pacific war between japan and the us	17-58728-B
pacific west from china	57-19326-S
pacifism	13-22138-B
pacify	19-22698-S,19-29590-S,22-39536-S,47-42261-S,49-56391-B,49-57396-S,57-47936-S,57-48069-S,57-62854-S,67-60269-B
pacing	35-42869-B
pack	10-15122-B,10-17276-S,10-18259-B,16-6537-S,52-16949-S,52-16949-S,56-60349-S
pack and quit	28-8264-S
pack animal	69-45227-B
pack animal s load	69-45127-B
pack camel	69-46171-S
pack of lies	1-13879-S,23-51055-S
pack of rogues 成语 saw	42-6218-S,42-6680-S
pack ox sweat or to fill a house to the rafters 成语 saw	36-56606-S
package	10-13136-B,10-18259-B,10-18370-B,61-1992-S
package with a seal	10-14185-S
packaging	57-47-B
packard	25-17931-S,25-17979-S
packed	20-4004-S,39-35164-B,39-37149-S,39-39701-S,39-39932-S
packed lunch	45-3745-B
packet	10-13136-B,20-61494-B,59-63170-S
packet switching	8-57359-B
packing fee	63-38863-S
packing material	16-24311-B
pact	10-64939-B,10-65409-B,34-14813-B
pad	5-30034-S,11-21142-S,11-21142-S,16-21588-B,16-23847-B,16-24543-S,27-47364-S,39-30186-S,57-11925-B
pad an expense account	21-60616-S
pad for rocket or projectile	44-28154-S
pad music	13-64427-S
pad on draught animal	28-60255-S,28-60386-S
pad out writing with fancy phrases	16-6537-S
pad to stop bleeding	35-33284-B
padded clothes	34-19458-S
padded coverlet	56-51570-S
padded garment	27-19460-S
padded jacket	34-19563-S
padded mattress	57-8141-S
padding	16-21588-B,49-49934-S
paddle	8-64873-S,8-65255-S,34-46814-B
paddleboard	56-39970-B
paddy	36-44658-S,36-45068-B,47-35717-B,47-35874-S
paddy field	36-44658-B,47-35874-B
paddy straw mushroom	54-15590-B
pademelon	21-578-B
padlock	27-56886-B
padma hum sanskrit	13-56214-S,13-56314-S
padre title of catholic priest	46-58489-B
pads	56-50750-S
paean	8-30031-B
paekche or baekje korean kingdom 18bc 660 ad	44-54843-B
paekdu or baektu	44-48678-S
paeon of praise	58-58966-B
paeonia albiflora or lactiflora	53-49275-B
paeonia lactiflora	44-44722-S,53-49344-S
pagan	43-61722-B,55-1076-S
pagan dynasty of myanmar burma	55-1122-S
page	3-8353-S,4-32672-S,5-57922-S,15-36707-S,21-15905-S,32-11668-S,41-44718-B,41-45084-S,41-45442-S,45-35658-S,45-36536-S,50-10870-S,54-51183-B,59-48107-S,62-22000-S,68-19296-B,68-19365-S,68-19419-S,68-19584-B,68-19584-S,68-19631-S,68-38504-S,69-24468-S,69-24468-S,69-24468-S
page button	71-39574-S
page heading	68-19631-B
page layout for printing	65-37687-S
page number	68-19461-B
page of a website	69-24468-S
page or news story	48-31965-S
page proofs of newspaper	17-23036-S
pageant	45-5255-B
pager	13-17550-B
pages	71-24722-S
pagoda	1-28294-S,5-3509-B,14-18067-S,16-15913-B,16-25541-S,20-4605-S,20-5233-S,20-29118-B,32-52732-S,34-51911-S,42-57650-S,46-37794-S,53-30423-B,67-22772-S
pagoda in xi an	17-39445-S
pagoda near datong in shanxi province	22-59776-S
pagoda of yangon rangoon	4-39737-S
pagoda or sakyamuni pagoda near datong in shanxi province	22-59776-S
pagoda tree	34-45495-S
pagodas	23-7253-S
pagrosomus major	9-53078-S,45-45759-S
pagrus major	70-44344-B
pahang province of malaysia	23-57190-B
pai hsiao yen daughter of pai ping ping	44-40017-B
pai nationality	44-39764-S
pai ping ping	44-40017-S
pai ping ping well known taiwan performing artist	44-36770-B
pai tiger claw sytem martial art	55-47538-S
