huan cheng	28-45791-B,43-4928-B
hui4	1-10849-S,1-11104-S,1-32741-S,2-15138-S,2-29823-S,2-38103-S,2-40895-S,2-41005-S,2-51045-S,2-53940-S,2-54416-S,2-55253-S,2-56109-S,2-56774-S,2-57810-S,2-58773-S,2-59889-S,2-60155-S,2-60391-S,2-60648-S,2-61549-S,2-63928-S,2-64411-S,2-65675-S,2-65966-S,2-66122-S,2-80134-S,3-44936-S,3-58656-S,3-61229-S,3-64452-S,3-67103-S,3-68155-S,4-56164-S,5-20547-S,5-47985-S,5-49607-S,6-57768-S,6-63824-S,7-9080-S,7-22389-S,7-35145-S,7-35639-S,7-37744-S,7-45776-S,7-60483-S,7-64135-S,7-65629-S,8-8982-S,8-16081-S,8-16574-S,8-54361-S,9-35543-S,9-35874-S,10-21072-S,10-37629-B,10-41436-S,10-54289-S,10-54379-B,10-64628-S,10-67842-S,11-10004-S,11-61420-S,11-64797-S,12-48644-S,12-50415-S,12-58601-S,13-12452-S,13-23268-S,13-59598-S,14-6541-B,14-28087-S,14-28194-S,14-29679-B,14-34678-S,14-50881-S,15-3830-S,15-5463-S,15-5708-S,15-6250-S,15-6417-S,15-6652-S,15-7023-S,15-7572-S,15-9309-S,15-13746-S,15-15394-S,15-15726-S,15-15843-S,15-16479-S,15-16575-S,15-18224-S,15-18775-S,15-18981-S,15-19118-S,15-19717-S,15-20582-S,15-20795-S,15-21096-S,15-29090-S,15-62159-S,15-62525-S,15-69640-S,16-1645-S,16-9540-S,16-45225-S,17-1532-S,17-6926-S,17-20438-S,17-20704-S,17-37048-S,17-39679-S,17-43504-S,17-45247-S,18-8498-S,18-13427-S,18-15050-S,18-15163-S,18-16698-S,18-23321-S,18-35812-S,18-41197-S,18-54567-S,19-4940-S,19-12166-S,19-17900-S,19-18727-S,19-24065-S,19-24283-S,19-31068-S,19-60117-S,20-12972-S,20-33389-S,20-36848-S,20-61434-S,20-63816-S,20-69128-S,21-22763-S,21-22975-S,21-40178-S,21-43943-S,21-55476-S,22-30145-S,22-30579-S,22-35952-S,22-48810-S,22-65153-S,23-4495-B,23-17829-S,23-52704-B,23-52800-B,24-3664-S,24-13889-S,24-14601-S,24-26024-S,24-40189-S,24-42452-S,25-139-B,25-2226-S,25-5808-B,25-17384-B,25-51234-B,25-52443-S,26-52842-S,26-57085-S,26-59702-S,27-30227-S,27-41870-S,27-45787-S,27-53744-S,28-36251-S,30-1536-S,30-3098-S,30-4608-S,30-5444-S,30-8575-S,30-44257-S,30-49603-S,30-54655-S,30-54737-S,31-9023-S,31-45115-S,31-46541-B,31-56981-S,32-21986-B,32-22157-S,32-25035-S,34-29508-S,34-46448-B,34-48741-S,34-55773-S,35-3534-S,35-30059-S,35-30519-S,36-4274-S,36-63255-S,37-1448-S,37-32054-S,38-16332-S,38-17575-S,38-18302-S,38-18430-S,38-27100-S,38-46272-S,39-4327-S,39-31091-B,39-45700-S,40-3905-S,40-8143-B,41-7938-S,41-33712-B,41-57737-S,41-58614-S,41-63504-S,42-46452-S,42-53545-S,42-55441-S,43-4418-B,44-26385-S,44-28751-S,44-55897-S,44-61095-S,45-5255-S,45-24457-S,45-29467-S,45-34260-S,46-14920-S,46-47866-S,46-53047-S,46-63799-S,47-41340-B,47-52464-S,47-61461-S,48-17482-S,48-34861-B,49-5608-S,49-8648-S,49-9857-S,49-18055-S,49-38598-S,49-55358-B,50-10640-S,50-41335-B,50-41779-B,51-2817-S,51-3639-S,51-5233-S,51-11252-S,51-14407-S,51-24191-B,51-41109-S,51-41275-S,51-41595-S,51-42152-S,51-54685-S,51-58425-S,51-58561-S,51-60143-S,51-61951-S,51-64275-S,51-64512-S,51-68621-S,52-75-S,52-1908-S,53-9307-S,53-22426-S,53-22811-S,53-32592-S,53-50025-B,53-54605-S,54-2134-S,54-2456-S,54-2550-S,54-11095-S,54-11206-S,54-11612-S,54-35929-S,54-59134-S,55-15005-B,55-20776-B,55-37147-S,56-10472-S,56-10837-S,56-17537-S,56-17958-B,56-34953-S,56-37842-S,57-63483-S,57-66888-S,57-66971-S,58-8202-S,58-9530-S,58-11255-S,58-25316-S,58-30378-S,58-30999-B,58-32419-S,58-46829-B,58-59762-S,59-3513-S,59-12960-S,59-43043-S,59-50594-B,59-58172-S,60-744-S,60-1475-S,60-32671-S,60-42336-S,60-64843-S,61-4449-S,61-40809-S,61-45733-S,61-57137-S,61-57333-S,62-10429-S,62-37974-S,62-39263-S,63-1148-S,63-7483-S,63-20782-S,63-22080-S,63-23474-S,63-27564-S,63-39790-S,64-58763-B,65-6555-S,65-18796-S,65-28090-S,65-37438-S,65-57787-B,66-15855-S,66-41949-S,66-48128-S,66-49773-S,66-58379-S,67-5132-S,67-26566-S,67-31416-S,67-55367-S,68-3234-S,68-13305-S,68-14477-S,68-34671-S,68-51088-S,68-58368-S,69-25636-S,69-27235-S,69-27813-S,69-28196-S,69-28427-S,70-7485-S,70-13931-S,71-32220-S,71-44971-S
hui4 Lian2 he2 hui4	69-27235-S
hui4 an4	31-46582-B
hui4 bao3 xian3	46-48266-S
hui4 bao4	10-38220-B,23-52839-B,30-27878-S
hui4 bian1	10-38994-B,23-53163-B
hui4 bian1 yu3 yan2	10-39086-B
hui4 bian4	32-25555-B
hui4 bu4 hui4	32-22157-B
hui4 cai2 fu4	26-45192-S
hui4 chan3 quan2	31-57031-S
hui4 chang3	8-54401-S,32-22746-B
hui4 cheng1	58-46941-B
hui4 chu1	10-37881-B
hui4 chu1 hang2	10-37991-B
hui4 chu3 bei4	16-45286-S
hui4 chuan2 qi2	63-27630-S
hui4 cui4	55-20807-B
hui4 da4 sha4	15-9367-S
hui4 dai4 kuan3	6-57876-S
hui4 dan1 yuan2	3-64021-S
hui4 dang3	7-35352-S,31-9184-S,46-49888-S
hui4 dao4	52-28093-S
hui4 di4 qu1	24-26107-S
hui4 dian3	10-39574-B
hui4 dong4 luan4	46-48447-S
hui4 dui4	10-37740-B
hui4 er5	62-43013-S
hui4 fei4	10-39485-B,32-25598-B
hui4 fen1 jie3	58-9625-S
hui4 fou3	32-22432-B
hui4 fu2 wu4	46-49070-S
hui4 gong1 gong4 li4 yi4	46-48354-S
hui4 gong1 zuo4	46-48858-S
hui4 gong1 zuo4 zhe3	46-48926-S
hui4 gu1	56-18011-B
hui4 gu1 bu4 zhi1 chun1 qiu1	56-18065-B
hui4 gu4	25-18649-B
hui4 guan1 huai2	46-49748-S
hui4 guan1 xi4	46-49817-S
hui4 guan3	42-51563-S
hui4 guan4 tong1	56-10915-S
hui4 guo2	32-20875-S
hui4 guo2 dai4 yu4	32-20954-S
hui4 he2	10-38095-B,32-22275-B
hui4 he2 chu4	32-22327-B
hui4 hua4	10-38051-B,32-25280-B,46-48518-S,50-41934-B
hui4 huan2 jing4	46-49404-S
hui4 hui2	10-38173-B
hui4 hui4 yi4	18-41252-S
hui4 hui4 zhang3	50-33710-S
hui4 ji2	23-53300-B
hui4 ji4	10-38292-B
hui4 jia1 gong1	9-23822-S,24-1597-S
hui4 jia4	10-37693-B
hui4 jia4 zuo4	50-41867-B
hui4 jian4	32-24712-B
hui4 jie1 duan4	9-24032-S
hui4 jin1	2-65870-S,10-39533-B,41-58744-S
hui4 ju4	10-39231-B
hui4 jun4	67-68262-S
hui4 ke1 xue2	46-49487-S
hui4 ke1 xue2 yuan4	2-61906-S
hui4 ke4	32-23129-B
hui4 kuan3	10-38578-B
hui4 ling2 dun4	25-18568-B
hui4 liu2	10-38684-B
hui4 liu2 huan2	10-38748-B
hui4 long3	10-38330-B
hui4 lou4	32-24357-B
hui4 lu4	59-50630-B
hui4 lu:4	10-38897-B
hui4 mian4	32-25790-B
hui4 min2 zhu3 dang3	46-49313-S
hui4 min2 zhu3 zhu3 yi4	46-49220-S
hui4 ming2	58-46879-B
hui4 ming2 liu2	46-48633-S
hui4 mu4	32-23419-B
hui4 pan4 duan4	58-9701-S
hui4 pan4 duan4 fa3	58-9969-S
hui4 pan4 duan4 ren4 wu4	19-5013-S,58-9773-S
hui4 pan4 duan4 zuo4 ye4	58-9871-S
hui4 piao4	10-38943-B
hui4 pu3	25-17931-B
hui4 qi1	32-24213-B
hui4 qi2 dao3	65-28138-S,65-37530-S
hui4 quan4	6-57824-S
hui4 r5	1-10931-S,1-11145-S,48-17555-S,62-5564-S
hui4 ru4	10-37813-B
hui4 se4	31-46630-B,53-43799-S
hui4 shan1	15-9429-S
hui4 shang1	32-22595-B
hui4 she4	32-24545-B,33-54477-S,47-22165-S
hui4 shen2	51-55126-S
hui4 shen3	32-23242-B
hui4 shi1	5-37189-S,32-23335-B
hui4 shi4	24-26198-S,30-49672-S,32-22821-B,32-25212-B,51-41668-S,51-42227-S
hui4 shi4 kao3 shi4	32-22959-B
hui4 shou3	32-25849-B
hui4 shui3	10-38635-B
hui4 si3	32-24318-B
hui4 suo3	42-33841-S
hui4 tan2	7-67542-S,13-22453-S,32-25326-B
hui4 tan4	53-50755-S,53-50932-S
hui4 tang2	4-12350-S,10-25596-S,32-22685-B,42-14713-S
hui4 tong1 lu4	58-10056-S
hui4 tong2	32-22376-B
hui4 tu2	50-41818-B,67-35574-S
hui4 tuan2 ti3	46-48713-S
hui4 wu2 yi4	59-39742-S
hui4 wu3	53-32641-S
hui4 wu4	32-24157-B,69-23224-S
hui4 xian4	30-49741-S
hui4 xing1	13-40859-S,23-52732-B
hui4 xing2 dong4	46-49676-S
hui4 xing4	46-49018-S
hui4 xuan1 chuan2 bu4	2-54596-S
hui4 xue2	7-51640-S,46-48804-S
hui4 xue2 ke1	4-10390-S
hui4 yan3	10-38846-B
hui4 ye4 cai2 jing1 ji2 tuan2	10-38385-B
hui4 ye4 yin2 hang2	10-38497-B
hui4 yi4	7-35036-S,7-57263-S,12-10372-S,15-23983-S,18-41252-S,23-58848-S,32-23505-B,32-25377-B,32-26236-S,37-41323-S,51-61316-S,56-33117-S,62-68902-S,63-23545-S,63-23708-S,67-37091-S,69-23298-S,70-13991-S
hui4 yi4 shi4	32-25428-B
hui4 yi4 ting1	32-25495-B
hui4 yi4 yuan2	15-9487-S
hui4 yi4 zhang3	15-9573-S
hui4 yi4 zi4	32-23744-B
hui4 yin1	32-25748-B
hui4 ying4	23-53009-B
hui4 you3	32-22231-B
hui4 yu3	36-63401-S
hui4 yu3 yin1 jia1 gong1	9-23908-S
hui4 yuan2	3-51597-S,32-22495-B
hui4 yuan2 guo2	32-22536-B
hui4 zhang3	32-25635-B,50-33710-S
hui4 zhang3 tuan2	32-25690-B
hui4 zheng3	23-52911-B
hui4 zheng4 yi4	46-49149-S
hui4 zhi4	50-41984-B,59-3577-S
hui4 zhong4	32-24455-B
hui4 zhu3 yi4	21-57879-S,35-3594-S,46-47907-S,47-47161-S
hui4 zhu3 yi4 gong4 he2 guo2 lian2 meng2	55-40595-S
hui4 zhu3 yi4 guo2 jia1	46-47971-S
hui4 zhu3 yi4 jiao4 yu4 yun4 dong4	46-48063-S
hui4 zhu3 yi4 zhe3	46-48191-S
hui4 zhu4	23-53105-B
hui4 zong3	10-39159-B,23-53228-B
hui4 zong3 xu1 qiu2	46-49557-S
hui4 zu3 zhi1 wei3 yuan2 hui4	18-15163-S
hun	1-44800-S,3-30414-S,5-65501-S,8-8683-S,8-15304-S,12-61343-S,15-1074-B,18-53166-B,19-44585-S,22-2130-S,23-6895-S,24-14159-S,25-16866-B,25-44505-B,28-38572-S,28-57305-S,29-8087-S,29-36910-S,29-36910-S,30-46717-S,31-13402-S,31-26620-B,32-57530-S,34-29653-B,35-64050-B,36-53817-S,38-34353-S,38-52788-B,38-52859-B,39-7604-B,39-25044-B,42-2754-S,42-60311-B,44-30309-S,45-18211-S,45-57212-B,46-62696-S,48-59349-S,49-21981-S,49-40607-S,54-12968-S,54-60794-B,57-56931-S,58-3439-S,58-45486-B,59-62577-S,61-55774-S,62-9277-S,62-64866-S,63-10833-S,64-25881-S,64-34453-S,65-25220-S,65-26835-S,65-41265-S,65-46135-S,65-50638-B,66-53331-S,67-4294-S,67-9281-S,67-12934-S,67-53590-S,68-37500-S,69-17711-B,69-18411-B,69-64046-S,70-31726-S,70-32546-S,70-33206-B,71-20118-S,71-32313-S,71-45868-S
hun an	31-26801-B
hun bian	38-55096-B
hun bu fu ti	70-33233-B
hun cai	54-60826-B
hun chen	31-26839-B
hun chen chen	31-26738-S
hun dan	38-55224-B,39-8428-B
hun dian dao	46-62766-S
hun dun	38-54362-B
hun dun xue	38-54486-B
hun fan	38-55811-B
hun fang	38-55034-B
hun fu	32-57573-S
hun fu fu	30-46760-S
hun gong	38-54294-B
hun han ru yu	39-8106-B
hun hao	38-55182-B
hun he	38-53370-B
hun he du ji	38-53635-B
hun he gan ran	38-53498-B
hun he mo xing	38-53568-B
hun he shi yu zheng	38-53418-B
hun he ti	38-53773-B
hun he wu	38-53723-B
hun hun chen chen	31-26738-B
hun hun r	38-54867-B
hun ji	38-55532-B
hun ji nian ri	49-40664-S
hun jia	18-53701-B
hun jiao	38-53145-B
hun jiao lin	38-53202-B
hun jin	38-55662-B
hun jue	31-26696-B
hun li	18-53996-B
hun lian	18-53848-B
hun ling	18-54203-B
hun luan	38-53095-B
hun luo po	14-13916-S,17-68497-S
hun mang	38-55136-B,39-8323-B
hun meng	38-54978-B
hun mi	31-26990-B
hun mi bu xing	31-27060-B
hun mi sa	19-34657-S
hun ming	38-53822-B
hun ming r	38-53865-B
hun mu xuan	68-37668-S
hun mu yun	68-37562-S
hun nao	31-27130-S
hun nao men	68-38080-S
hun nao xuan	68-38171-S
hun nao zhang	68-38261-S
hun ning tu	38-53317-B,64-40813-S
hun pei	18-54161-B
hun po	70-33557-B
hun qi	18-53900-B,32-57624-S,62-64926-S
hun qi po	1-44864-S
hun qian	18-53279-B
hun qian cai chan gong zheng	18-53337-B
hun qian meng rao	70-33462-B
hun qian meng ying	70-33373-B
hun qing	18-53794-B
hun r	38-54867-S
hun ran	39-8284-B
hun ru	38-53260-B
hun sha	18-54114-B
hun shen	39-8552-B
hun shen shang xia	39-8613-B
hun shen xing	18-53944-B
hun sheng	67-64018-S
hun sheng zi nu:	67-64097-S
hun shi	18-53229-B
hun shi mo wang	38-52991-B
hun shi po	14-13846-S
hun shui	31-26901-B
hun shui mo yu	38-54113-B,39-7964-B
hun tang	61-55853-S
hun tian shuo	39-7871-B
hun tian yi	39-7789-B,39-44366-S,61-25513-S
hun tiao yue	43-3975-S
hun tou	3-35372-S
hun tou hun nao	31-27130-B
hun tou nao	37-13185-S,56-39708-S
hun tun	69-17749-B
hun wai	18-53455-B
hun wai xing jie chu	18-53501-B
hun wan yu	31-44868-S
hun xiang jiao	63-10920-S
hun xiao	38-54551-B
hun xiao hei bai	38-54784-B
hun xiao shi ting	38-54625-B
hun xing	4-16815-S,38-55416-B
hun xue	38-55321-B
hun xue er	38-55361-B
hun yan	18-53743-B
hun yan an	68-37864-S
hun yan hua	68-37983-S
hun yan yun	68-37759-S
hun yang ran liao	38-54033-B
hun yi zhu	39-7632-B
hun yin	10-18840-S,18-53585-B
hun yin fa	18-53645-B
hun yin jiu	54-13012-S
hun yuan	39-7717-B
hun yue	18-54053-B
hun za	38-55709-B,70-39346-S
hun za wu	38-55745-B
hun zhan	38-53932-B
hun zhen	61-55961-S
hun zhi	63-10995-S
hun zhuo	38-54925-B
hun zi	66-6011-S
hun1	3-30414-S,8-8683-S,18-53166-B,19-44585-S,22-2130-S,24-14159-S,25-16866-B,28-38572-S,30-46717-S,31-13402-S,31-26620-B,32-57530-S,35-64050-B,36-53817-S,44-30309-S,45-18211-S,45-57212-B,49-21981-S,49-40607-S,54-12968-S,54-60794-B,57-56931-S,58-3439-S,59-62577-S,62-9277-S,62-64866-S,64-25881-S,65-25220-S,65-26835-S,65-41265-S,65-50638-B,67-4294-S,67-9281-S,68-37500-S,71-20118-S
hun1 an4	31-26801-B
hun1 cai4	54-60826-B
hun1 chen2	31-26839-B
hun1 chen2 chen2	31-26738-S
hun1 fu1	32-57573-S
hun1 fu1 fu4	30-46760-S
hun1 hun1 chen2 chen2	31-26738-B
hun1 ji4 nian4 ri4	49-40664-S
hun1 jia4	18-53701-B
hun1 jue2	31-26696-B
hun1 li3	18-53996-B
hun1 lian4	18-53848-B
hun1 ling2	18-54203-B
hun1 mi2	31-26990-B
hun1 mi2 bu4 xing3	31-27060-B
hun1 mu4 xuan4	68-37668-S
hun1 mu4 yun1	68-37562-S
hun1 nao3	31-27130-S
hun1 nao3 men4	68-38080-S
hun1 nao3 xuan4	68-38171-S
hun1 nao3 zhang4	68-38261-S
hun1 pei4	18-54161-B
hun1 qi1	18-53900-B,32-57624-S,62-64926-S
hun1 qian2	18-53279-B
hun1 qian2 cai2 chan3 gong1 zheng4	18-53337-B
hun1 qing4	18-53794-B
hun1 sha1	18-54114-B
hun1 shen2 xing1	18-53944-B
hun1 sheng1	67-64018-S
hun1 sheng1 zi3 nu:3	67-64097-S
hun1 shi4	18-53229-B
hun1 shui4	31-26901-B
hun1 tou2	3-35372-S
hun1 tou2 hun1 nao3	31-27130-B
hun1 tou2 nao3	37-13185-S,56-39708-S
hun1 wai4	18-53455-B
hun1 wai4 xing4 jie1 chu4	18-53501-B
hun1 wan3 yu4	31-44868-S
hun1 yan3 an4	68-37864-S
hun1 yan3 hua1	68-37983-S
hun1 yan3 yun1	68-37759-S
hun1 yan4	18-53743-B
hun1 yin1	10-18840-S,18-53585-B
hun1 yin1 fa3	18-53645-B
hun1 yin3 jiu3	54-13012-S
hun1 yue1	18-54053-B
hun2	1-44800-S,5-65501-S,8-15304-S,12-61343-S,34-29653-B,38-34353-S,38-52788-B,39-7604-B,42-2754-S,42-60311-B,46-62696-S,48-59349-S,61-55774-S,63-10833-S,64-34453-S,66-53331-S,67-53590-S,69-17711-B,69-18411-B,69-64046-S,70-32546-S,70-33206-B,71-32313-S,71-45868-S
hun2 bu4 fu4 ti3	70-33233-B
hun2 dan4	38-55224-B,39-8428-B
hun2 dian1 dao3	46-62766-S
hun2 han4 ru2 yu3	39-8106-B
hun2 luo4 po4	14-13916-S,17-68497-S
hun2 mang2	39-8323-B
hun2 mi2 sa5	19-34657-S
hun2 po4	70-33557-B
hun2 qi1 po4	1-44864-S
hun2 qian1 meng4 rao4	70-33462-B
hun2 qian1 meng4 ying2	70-33373-B
hun2 ran2	39-8284-B
hun2 shen1	39-8552-B
hun2 shen1 shang4 xia4	39-8613-B
hun2 shi1 po4	14-13846-S
hun2 shui3 mo1 yu2	38-54113-B,39-7964-B
hun2 tang1	61-55853-S
hun2 tian1 shuo1	39-7871-B
hun2 tian1 yi2	39-7789-B,39-44366-S,61-25513-S
hun2 tiao2 yue1	43-3975-S
hun2 tun2	69-17749-B
hun2 xiang4 jiao1	63-10920-S
hun2 xing2	4-16815-S,38-55416-B
hun2 yi2 zhu4	39-7632-B
hun2 yuan2	39-7717-B
hun2 zhen4	61-55961-S
hun2 zhi3	63-10995-S
hun2 zi5	66-6011-S
hun4	15-1074-B,23-6895-S,25-44505-B,28-57305-S,29-8087-S,38-52859-B,39-25044-B,58-45486-B,65-46135-S,67-12934-S,70-31726-S
hun4 bian1	38-55096-B
hun4 dun4	38-54362-B
hun4 dun4 xue2	38-54486-B
hun4 fan4	38-55811-B
hun4 fang3	38-55034-B
hun4 gong3	38-54294-B
hun4 hao4	38-55182-B
hun4 he2	38-53370-B
hun4 he2 du2 ji4	38-53635-B
hun4 he2 gan3 ran3	38-53498-B
hun4 he2 mo2 xing2	38-53568-B
hun4 he2 shi1 yu3 zheng4	38-53418-B
hun4 he2 ti3	38-53773-B
hun4 he2 wu4	38-53723-B
hun4 hun4 r5	38-54867-B
hun4 ji4	38-55532-B
hun4 jiao1	38-53145-B
hun4 jiao1 lin2	38-53202-B
hun4 jin4	38-55662-B
hun4 luan4	38-53095-B
hun4 mang2	38-55136-B
hun4 meng1	38-54978-B
hun4 ming2	38-53822-B
hun4 ming2 r5	38-53865-B
hun4 ning2 tu3	38-53317-B,64-40813-S
hun4 r5	38-54867-S
hun4 ru4	38-53260-B
hun4 shi4 mo2 wang2	38-52991-B
hun4 xiao2	38-54551-B
hun4 xiao2 hei1 bai2	38-54784-B
hun4 xiao2 shi4 ting1	38-54625-B
hun4 xue4	38-55321-B
hun4 xue4 er2	38-55361-B
hun4 yang3 ran2 liao4	38-54033-B
hun4 za2	38-55709-B,70-39346-S
hun4 za2 wu4	38-55745-B
hun4 zhan4	38-53932-B
hun4 zhuo2	38-54925-B
hun5	29-36910-S
huo	1-53812-S,1-74005-S,2-16653-S,2-21750-S,2-68322-S,3-36077-S,3-38942-S,3-70861-S,3-72069-S,4-15084-S,4-25990-S,4-56820-B,5-9667-S,5-12475-B,5-18478-S,5-23160-S,5-29070-S,6-553-S,6-9873-S,6-16817-S,6-29904-S,7-38525-S,8-11340-S,8-36674-S,8-45363-S,10-13491-S,11-27785-S,12-31649-S,12-45504-S,12-63472-S,13-21651-B,13-21683-B,13-54369-S,14-39516-B,14-56863-S,14-63294-S,15-28590-S,16-34670-S,16-34837-S,16-34837-S,16-43566-S,17-1360-S,17-3754-B,17-13078-S,17-26282-S,17-29624-S,17-50130-S,17-66329-S,18-30908-S,19-8190-S,19-8469-S,19-47949-S,19-60959-S,19-60959-S,20-2328-S,20-30863-S,20-33725-S,20-52497-S,21-31437-S,21-63021-S,22-51338-S,22-52555-S,22-61468-S,23-29222-S,23-53561-B,24-14776-S,24-19980-S,24-45932-S,24-45932-S,24-48670-S,24-48670-S,24-53327-S,24-58146-S,24-62775-S,25-16542-B,25-24798-S,25-26486-S,25-26903-S,25-27123-S,25-48204-S,25-49136-S,25-53368-S,26-14482-B,26-16239-S,26-18856-S,26-20017-S,26-22774-S,26-64333-S,27-247-S,27-13649-S,27-28723-S,27-42675-S,27-52196-S,27-52557-S,27-65934-S,28-5191-S,28-26818-S,28-42563-S,28-50565-S,28-56529-S,28-57233-S,28-58887-S,28-62215-S,29-4807-S,29-4807-S,29-18076-S,29-28156-B,29-33325-S,29-33325-S,29-36740-S,29-36740-S,29-41432-S,29-41768-S,29-52204-S,29-64502-S,29-66186-S,30-6990-S,30-38177-S,30-46964-S,31-12233-S,31-29694-S,31-59857-S,31-59857-S,32-51789-S,32-56645-S,32-58671-S,33-34486-S,33-46369-S,33-51088-S,33-51088-S,34-41649-S,35-15407-B,35-21770-S,35-45311-S,36-46693-S,37-52067-S,37-63369-B,38-46320-S,38-46797-S,39-15299-B,39-26576-S,40-5058-S,40-10250-B,40-19615-B,40-27364-S,40-30451-S,40-33940-S,40-41883-S,40-43618-S,41-2626-S,41-11623-S,41-22471-S,41-24850-S,41-25172-S,41-26752-S,41-35602-S,41-35734-S,41-36042-S,42-2937-S,42-22843-B,42-39788-S,42-50863-S,43-15985-S,43-22346-S,43-23056-S,44-4360-S,44-30868-S,44-57535-S,45-46308-S,46-3621-B,46-18298-S,46-41640-S,46-50017-S,46-64225-S,47-1894-B,47-24632-S,47-43294-S,47-43667-B,48-32901-S,49-21694-S,49-40093-S,49-53638-S,50-18177-S,50-29868-S,50-42357-S,51-36641-S,51-48546-S,51-53454-S,52-4907-S,52-36549-S,52-53629-B,53-38634-S,54-54943-S,55-35993-B,55-54679-S,56-12679-S,56-21076-B,56-21802-S,56-22309-S,57-814-S,57-7898-S,57-26380-S,57-26464-S,57-43134-S,57-48935-S,57-57620-S,57-63266-S,58-24226-S,58-63478-S,59-10132-S,59-16304-B,59-16365-B,59-37134-B,60-13297-S,60-15458-S,60-17320-S,60-54758-S,60-59579-S,61-233-S,61-7713-S,61-42275-S,61-45652-S,61-54283-S,61-54283-S,61-62371-S,61-64124-S,62-14457-S,62-46657-S,62-61757-S,63-46311-S,63-61528-S,63-62318-S,64-3729-S,64-21863-B,65-6143-B,65-9519-S,65-29927-S,65-38678-S,65-62203-S,66-29843-S,66-63249-B,67-6119-S,67-41605-B,67-52454-S,68-52417-S,68-62435-S,69-0-S,69-11213-S,69-11213-S,69-28626-S,69-55263-S,69-59079-S,70-31807-S,70-43468-S,71-40529-S,71-43262-S,71-64418-B
huo Bi tuo	24-41206-S
huo Da lou	44-57741-S
huo ba	40-21382-B
huo ba jie	40-21449-B
huo ban	4-56870-B,12-31868-S,17-3814-B,24-60863-S,26-19445-S,40-19958-B,59-49174-S
huo bao	40-23236-B
huo bao li zhe	42-23870-B
huo bi	6-59134-S,32-61017-S,35-30133-S,37-30844-S,59-37224-B,67-28984-S
huo bi bian zhi	59-37431-B
huo bi gong ying liang	59-37280-B
huo bi ji jin	15-19409-S
huo bi ji jin zu zhi	15-19517-S
huo bi wei ji	59-37362-B
huo bi xu pin	43-22403-S
huo bu dan xing	47-1925-B
huo bu jie	14-63356-S,17-17852-S,61-54345-S
huo bu jue	69-28718-S
huo bu rong	36-43903-S
huo cang	20-6144-S,59-37178-B
huo chai	23-29281-S,40-21747-B,49-22515-S
huo chang cheng	65-62317-S
huo che	19-1278-S,40-24533-B,45-24932-S,59-38083-B
huo che piao	40-24572-B
