errors often imaginary	26-58460-S
exorcism	66-22685-S,69-56612-B
exoskeleton the carapace of insects	16-51985-B
exothermic reaction	29-52259-B
exotic	6-25160-B,43-60731-B
exotic delicacies	21-31540-B
exotoxin	56-45778-B
expand	5-15392-B,16-26138-S,16-37167-S,27-32044-B,27-32182-B,27-66710-S,29-28784-S,29-28877-S,29-28953-B,44-28236-S,52-49647-S,54-37986-B
expand business	27-41131-S
expand e g one s power or influence	29-29056-S
expanding	30-63941-S
expanse	17-27350-S,38-37071-S
expanse of water	18-17820-S,36-63889-B,39-27056-S
expansion	17-7563-S,24-49203-S,29-29056-B
expansive	17-68709-B,20-27905-B,31-18977-B,38-11053-B,59-24926-B
expansive and profound of writing	70-6328-B
expansive as of water	40-8143-B
expansive of river	38-66569-S
expansive of water	39-53387-B
expansive universe	38-10650-B
expatriate	19-51706-B
expatriates	6-50747-B
expect	4-47189-S,5-58317-S,19-21705-S,25-28184-S,25-29467-S,30-34368-S,30-35114-S,32-45379-S,32-51725-S,37-9465-S,45-32675-S,68-28918-B,68-29273-B
expect instant success	1-13126-S
expect often in negative combination	26-61432-S
expect or what would be normal	6-11306-S
expectancy	16-38248-S,22-38476-S
expectantly	32-51455-S
expectation	26-28621-B,30-34693-B,32-51064-B,32-51192-B,32-51455-S,39-36618-S
expectation on sth	20-1235-S
expectation s	32-51725-B
expectations	2-15585-S,2-18359-S,2-23381-S,4-15336-S,5-57530-S,6-11306-S,8-33973-S,11-29587-S,11-52440-S,18-12148-S,18-12318-S,45-53452-S,53-23015-S,63-60614-B
expectations by discouraging or realistic words	13-5114-S
expected	1-6341-S,1-71295-S,8-56650-S,33-35601-S,33-36041-S,33-37504-S,68-29273-B
expected menstrual period	21-45284-S,56-24826-S
expected time for a car journey	60-59639-B
expected to win a race or championship	40-47561-S
expected value	32-51242-B
expected 成语 saw	8-34461-S,8-35671-S
expectedly	11-44141-S
expecting any reward	2-16653-S
expecting the worst	33-11667-S,33-11757-S,33-11847-S
expectorate	12-60635-S
expects	68-23019-S
expedient	27-19042-S,27-19237-S,30-14429-S,35-18828-B
expedite	5-29277-B,6-30180-S,9-59870-B
expedite childbirth	6-31477-S,6-31622-S
expedition	10-28640-S,10-28696-S,10-46431-S,20-38922-S,23-63037-B,23-63118-S,23-63240-S,23-63496-S,23-63747-B,23-64013-S,23-64259-B,23-64462-S,23-64602-S,23-64678-S,23-64756-S,24-12606-S,24-23525-S,44-39629-S,57-38946-S,57-61751-S,62-35488-S,62-60689-S,62-60739-S,65-35794-S
expedition against	4-54853-S
expedition against bandits	23-63296-S
expedition by night	19-60480-S
expedition ship	23-63591-B
expedition to the east	33-18644-S
expedition to the north	10-31415-S
expedition to the south	10-71321-S
expedition to the west	57-17341-S
expeditionary army	10-28777-S
expeditionary force	62-60739-B
expeditions to the western pacific	1-62826-S
expel	28-16331-S,28-63494-B,29-28183-B,29-32533-B,30-24582-B,62-2100-B,65-43778-S,69-55834-S,69-56428-S,69-56480-B,71-37481-B
expel breath	13-15990-B
expel from office	68-4453-S
expel from party membership	65-43895-S
expel from school	65-43820-S
expel the manchu	69-56711-B
expell	66-21600-B
expenditure	7-23777-S,9-31348-S,29-41194-S,29-41279-S,48-29034-S,49-62248-B,51-38464-B,53-60967-B,59-47510-B,61-636-S,65-38362-S
expenditure and income	8-35281-B
expenditure for some project	24-38802-B
expenditures	65-36133-B
expense	7-64864-S,8-14623-S,8-15181-S,29-37567-B,49-61337-S,53-14794-S,53-60967-B,57-62747-S,59-47510-B,59-50721-B
expense account	16-10005-S,16-12506-S,21-60616-S
expense of others	57-62015-S
expenses	14-13523-S,19-63156-S,22-61874-S,30-68841-S,31-10636-S,43-22716-S,59-46155-B,59-63404-S,65-36133-B,65-43166-B,67-20836-S
expensive	1-71998-S,6-5016-B,31-17771-B,31-18564-B,59-41988-B,64-2142-S,70-11758-B
experience	2-24768-S,4-15449-S,6-1826-S,6-1937-S,6-38805-S,8-21293-S,21-4982-S,22-49569-S,23-55239-S,25-39646-S,30-5319-S,30-58357-S,35-51262-S,35-53066-S,38-34409-S,38-34479-S,38-35062-S,42-9331-S,44-48045-S,49-59064-B,49-62627-S,49-62627-B,49-62752-S,57-31110-S,57-39575-S,58-62261-S,58-63419-S,59-52075-B,59-52274-S,60-22896-S,60-55348-S,65-41265-S,65-49561-S,70-6457-S,70-7183-S,70-7485-S
experience adventures	35-53127-S
experience for city intellectuals	1-48934-S
experience for oneself	70-10711-S
experience good or bad	6-28404-S
experience makes progress easy	69-49464-S
experience of seeing exactly the same situation a second time	4-62488-S
experience of state policy	39-40715-S
experience of war	26-7293-S
experience to the full over a long period	69-7677-S
experience to the next generation	6-35787-S
experience worker know what to do	51-31657-S
experience 成语 saw	7-5151-S
experienced	7-31980-B,11-8882-S,11-9379-S,32-38277-B,48-55910-S,49-62752-B,51-24509-B,51-28401-B,51-29882-B
experienced action marker	62-42853-B
experienced and knowledgeable	51-28466-B
experienced hand	41-15507-S
experienced in the vicissitudes of life	32-16545-S
experienced person	51-28568-B
experienced scholar	19-66459-B
experienced the hard ship of life	69-8223-S
experienced the vast ocean 成语 saw	32-16545-S
experiences and luxurious surroundings	9-41574-S
experiences and sorrows	54-12564-S
experiment	20-16033-S,58-12387-B,58-13737-B,62-25553-S
experimental	58-13737-B,58-13799-B
experimental psychology	20-16234-B
experimental verification	69-58933-B
experimentally and adjust	58-39426-S
experiments	20-16033-B
expert	5-6980-B,7-31980-B,8-54641-B,17-19707-B,20-38631-B,22-26026-B,26-37150-S,26-63142-S,42-48260-S,42-58699-S,52-27583-B,56-32163-B,60-62664-S,63-49847-S,70-14922-B
expert at sth	29-18260-B
expert cart driver	60-59080-B
expert commentary	20-38755-B
expert craft from hard practice 成语 saw	53-41108-B
expert flower grower	53-56006-B,53-56070-B
expert in	27-55086-B,29-18149-B,29-18563-S
expert in a field	20-39715-B
expert in the field	19-66459-S
expert on china	2-64313-S
expert on strategy	58-51324-B
expert system	20-38684-B
expertise	63-50335-S
experts and powerful generals 成语 saw	58-51543-S,58-51653-S
experts as thick as rain 成语 saw	58-51404-S
expiration date	62-46395-S
expiration of a term	21-19476-B
expire	32-51384-S,39-39141-S,49-47066-B
expire as in expiration date	62-46395-B
expiry date of document	17-65573-B
explain	3-66830-B,8-58873-S,43-42609-S,44-35806-S,50-42478-B,57-47102-S,57-52175-S,57-52654-S,58-6026-B,58-15473-B,58-32213-S,58-54106-S,58-54681-S,58-55180-S,61-37920-S,63-52499-B,65-58046-S,66-26233-S
explain all the details	64-37622-S
explain and arouse interest	13-65224-S
explain by waving one s hands	27-58611-S,27-58821-S
explain clearly	61-37651-S,65-57882-B
explain in simple terms	57-27442-S,63-52540-S
explain one thing and he understands everything	51-56550-S
explain publicly	19-55676-S
explain sth precisely	56-46635-S
explain the difference	8-58432-S
explain the meaning of words in classic texts	63-53299-S
explain with notes	58-5435-B
explain words by 劉熙 刘熙	63-52782-S
explaining a moral	30-25497-S
explaining or calling attention to	34-53821-S
explains his own role	53-4294-S
explanation	8-5469-S,19-6954-S,20-25831-S,43-56721-S,45-45165-S,46-57228-S,57-51814-B,57-52654-B,58-32213-B,61-37774-S,61-37920-S,70-31065-S
explanation of classic text	63-53564-B
explanation of the meaning of words or phrases	63-53635-S
explanatory character	61-27622-S,61-27843-S
explanatory note	58-5435-B
explanatory section in a document	34-14424-B
expletive	14-33219-S,25-40457-B
explicit	2-1309-B,32-1702-S
explicit approval	47-13339-S
explicit congestion notification	9-19084-S,61-66444-S
explicit explanation	8-5469-B
explicit link word 如同	59-2261-S
explicit syntactic cue	31-26510-B
explicitly	57-55905-S
explode	40-30891-B,41-34489-S,41-34704-S,60-17366-S
explode or burst	41-34181-S
exploding on impact	53-16672-S
exploit	6-10897-B,9-7503-B,9-28804-S,10-10211-B,34-40146-S,41-49805-S,41-49897-S,59-19518-S
exploit a loophole	3-14567-S
exploit a resource	65-39144-B
exploit advantage to force sb to do one s bidding	28-1754-S
exploit an advantage	65-10505-S
exploitation	9-28804-B,36-22610-S,41-49805-B,56-51228-S
exploited by an opponent	61-37125-S
exploiter	13-4474-S
exploiter of labor	9-28860-B
exploiting a weak spot 成语 saw	3-14163-S
exploiting the people	19-43096-S
exploits are widely circulated	45-4384-S
exploits the tiger s might 成语 saw	42-6057-S
exploration	10-3264-B,28-23104-S,28-23264-B
exploration and foreign relations	35-61026-S
exploration company codec	2-76805-S
exploratory	28-23736-B
exploratory discussions	63-48930-S
exploratory mission to us and europe of 1871	21-35836-S
explore	28-22912-S,28-22996-S,28-23264-S,28-23627-S,28-24180-S,36-54423-S,44-29409-B,60-46524-S,61-59151-S
explorer	28-24225-B,28-24279-B
explosion	14-30770-S,15-37739-S,15-46505-S,33-60193-S,33-60254-S,36-38196-S,40-31136-S,41-34489-B,47-45282-S,58-13011-S,61-31606-B
explosion device	33-60574-S
explosion effect	33-60403-S
explosion hne	38-7967-S
explosion of laughter	41-34916-B
explosive	19-45832-S,20-59181-S,41-34566-B,70-20770-S
explosive charge	5-45912-S
explosive popularity	40-23236-B
explosive substance	40-31428-B
explosives	20-59248-S,40-31255-S,41-34782-S
explosivity index vei	40-21025-S
explostion	60-17366-S
expo	37-1448-S
exponent math 	8-15802-B
exponential function	27-59594-B
export	8-36254-S,8-36674-S,16-51544-S,40-50958-S,61-17553-S,61-17606-S,62-29016-S
export amount	8-36743-B
export ban e g on weapons	47-1524-B
export business	8-36314-B
export computer data	20-58146-S
export control	33-55476-S
export corporation catic	2-63009-S
export corporation cpmiec	2-62265-S
export data e g from a database	10-37881-S
export goods	8-36385-B
export item	61-17606-B
export oriented economic model	16-45480-B
export oriented economy	16-45367-B
export product	8-36385-B,8-36603-B
export without processing	1-19803-S
exporter	8-36314-B
exporting countries	35-27175-S
exports	8-36674-B
expose	21-23136-S,26-22722-S,26-22827-S,28-48933-B,28-49316-S,31-65938-S,32-670-B,32-2509-B,46-46658-S,57-11804-B,67-46268-S,67-46328-S,67-46527-S,67-48053-S
expose a photographic plate	68-50491-S
expose and criticize	28-48504-S,38-64171-S
expose hidden motives	58-18177-S
expose in the media	41-34232-S
expose sb s secret	67-48257-S
expose vice	23-58150-S
expose with a word	71-41423-S,71-41576-S
exposed	2-2851-S,16-51835-B,30-186-S
exposed to	57-29540-S
exposed to the sun	32-49233-B
exposition	2-38103-S,43-44269-S,58-44771-B,60-744-B
exposure	3-30991-S,7-13070-S,24-58640-S,25-59666-S,31-66077-B,32-2466-B,32-2509-B,42-13157-S,67-47909-S
exposure of photo e g due to fault or motion of camera	63-58549-S
expound	58-15512-B,65-58046-S
expound a position	65-57941-S
expound buddhist teaching	58-32774-S
expound on	58-44659-S
expound the classics	30-18740-S
expound the meaning of the classics	30-18562-S
expound the wisdom of ancient sages	6-41853-S
expr 	2-9976-S,11-61260-S,25-27008-S,27-39702-S,27-40143-S,27-40296-S,27-40426-S,27-40519-S,50-12234-S,51-57365-S,66-62548-S,66-62664-S
expr based on aesop	14-14139-S,58-33016-S
expr elder brother	65-68938-S
expr hold the feudal overlord and you control his vassals	28-1416-B
expr hold the feudal overlord and you control the whole country	28-1260-B
expr lit lying on firewood	52-54964-B
expr not to be outdone by	2-34618-B
expr not to know how lucky you are	60-55846-B
expr of humble talent and shallow learning 成语 saw	26-38019-S
expr of praise for noble character	53-51283-B
expr those who have plenty cannot understand how the suffering of others	69-7875-B
express	10-47375-B,12-57141-S,20-1144-S,38-7601-S,40-21628-S,41-58369-B,56-45851-S,56-46719-S,65-57824-S,68-50157-S
express a thought or moral	44-29645-S
express admiration	14-27307-S
express an emotion	26-67505-S
express an opinion	2-25095-S,8-47696-B
express an opposing view	13-55213-S
express boundless pleasure	69-59963-S
express co amex	51-5595-S
