down with worries	50-45742-S
e g gas	67-38992-S
e g gate	9-65841-S
e g gay	24-61425-S,24-62151-S
e g glass	46-40175-S
e g government	45-34632-S
e g governmental	55-29008-S
e g gravitational force	60-24010-S
e g greenhouse effect	29-62472-S
e g handle or radio button	31-1721-S
e g harvest	17-21052-S
e g hedge fund	47-12131-S
e g highway	24-15343-S
e g hong kong	14-56479-S
e g house judiciary chairman henry hyde	38-19511-S
e g houses	26-27076-S
e g hrw executive director kenneth roth	50-58698-S
e g in chinese opera	46-63850-S,46-63925-S
e g in cooking	17-70359-S
e g in european languages	21-15772-S
e g in smelting metal	15-47970-S
e g in soccer	9-64033-S
e g in tanning leather	15-47893-S
e g in theater	51-53510-S
e g income tax return	6-7348-S
e g insurgents	58-18329-S
e g into a bank passbook	56-57798-S
e g justice or virtue	4-61230-S
e g kidney failure	56-48277-S
e g knife blade	64-35534-S
e g laser	16-58902-S
e g legal	49-2067-S,65-10505-S
e g library renewal	50-43867-S
e g lion taming	57-64499-S,69-44778-S
e g load of truck	19-45502-S
e g loans	9-9766-S
e g lottery	17-27623-S
e g madame tusseaud s	56-21295-S
e g magnetic dipole	6-21601-S
e g maps	15-28101-S
e g marriage broker	42-716-S
e g medical	48-34556-S
e g mid century	2-80884-S
e g military	49-317-S
e g mineral ore	40-44989-S
e g movie	54-24881-S,54-24994-S
e g my humble efforts	50-12005-S
e g nature reserve	15-6572-S
e g negotiations	63-23626-S
e g nominal value in specification	34-55415-S
e g number of enemy heads cut off	35-44408-S
e g nursing care	41-9484-S
e g of a disaster	63-61891-S
e g of a nephew as a son	26-61949-S
e g of a power	21-44592-S
e g of a relationship	32-18741-S
e g of a state monopoly	9-6990-S
e g of a zip fastener	12-27264-S
e g of art	44-32137-S
e g of artworks	29-42586-S
e g of broken bones	64-47761-S
e g of chemicals	39-44754-S
e g of dynastic fortunes	48-43821-S
e g of early chinese communists	51-57935-S
e g of emperor	12-58601-S
e g of farmland	26-45838-S
e g of fishhook	5-55625-S
e g of japan or korea	16-45023-S
e g of jewels	42-41273-S
e g of lion	70-25554-S
e g of metal	41-21487-S
e g of modern life	50-14817-S
e g of national people s congress	22-30145-S
e g of neighing horse	31-18614-S
e g of news	8-54785-S
e g of ovum in uterus	54-53913-S
e g of places on a bus	19-45502-S
e g of provinces into counties	10-40860-S,10-41316-S,56-32726-S,56-32844-S
e g of rain	39-61687-S
e g of science	57-33045-S
e g of spacecraft	61-3949-S
e g of the jade emperor	17-46369-S
e g of tibet	38-1909-S
e g of traffic network	34-57141-S
e g of translation	58-338-S
e g of transport network	2-73944-S
e g on athletes	55-34231-S
e g on parade	4-18786-S
e g on religious festival	46-47609-S
e g on the stage	7-61418-S
e g on weapons	47-1524-S
e g one s effort	9-53218-S
e g one s power or influence	29-29056-S
e g oranges	7-30272-S
e g padded garment	27-19460-S
e g passport	27-56583-S
e g paying one s bill in a restaurant	49-4909-S
e g pedestrians and vehicles	38-55416-S
e g peppermint in toothpaste	46-2140-S,58-36395-S
e g piano	58-37315-S
e g planet	31-30896-S
e g poem contains feelings	55-42437-S
e g poison	25-50158-S
e g population	38-4507-S
e g pork fat	52-12081-S
e g postage stamps	8-33198-S
e g presidency of eu	61-15456-S
e g preventing catching fingers in automatic car windows	65-60298-S
e g prisoners of war	62-64107-S
e g protest	11-50472-S
e g providing regular passenger service	53-36171-S
e g quantum leap in spectroscopy	60-53749-S
e g radar	14-56744-S
e g radio waves	35-13749-S
e g rail	24-15343-S
e g railway	23-10270-S,37-27396-S
e g rainbow or eclipse	17-53789-S
e g real estate	65-39488-S
e g religious	42-28276-S
e g religious instruction	29-61240-S
e g results of election	64-2746-S
e g revolution	68-54948-S
e g royal palace	64-13284-S
e g saliva	16-44507-S,16-44592-S
e g school	7-63342-S
e g school year	22-48636-S
e g sculpture	62-17902-S
e g seven fifths	6-6833-S
e g sewage backs up into the house because of a blockage	5-58742-S
e g sight or hearing	46-3351-S
e g skinned alive	37-65223-S
e g sleeplessly	27-11145-S,61-19845-S
e g soccer	35-29432-S
e g software	45-6520-S
e g solar	8-12368-S,61-19351-S
e g spelling entertainment group	30-38930-S
e g sporting	20-50270-S,60-483-S
e g sports	48-373-S
e g statement	3-25242-S
e g steel	38-46797-S
e g stick or bone	27-8104-S
e g stock prices	42-12334-S
e g surgery	46-2284-S
e g telephone area code	4-32524-S
e g the eroded rock making up sediment	36-4637-S
e g the final r of putonghua	11-26979-S,28-8090-S
e g the indian subcontinent	35-20417-S
e g the sixties	22-47102-S
e g tiananmen square	23-11359-S
e g to a a party conference	19-55742-S
e g to a social problem	53-43083-S
e g to avoid rain	15-61126-S
e g to commit a crime	51-35558-S
e g to cook a spring roll	11-27084-S
e g to cross river or lake	48-571-S
e g to enter a building	46-64441-S
e g to goods in transit	6-45010-S
e g to lecture	11-64002-S
e g to marry	63-37911-S
e g to pad an expense account	21-60616-S
e g to progress or to promotion	66-39605-S
e g to sun it	5-55410-S
