liáng bàn	38-39253-B
lu jie	59-47704-S
lu jie dian	50-9818-S
lu jie dian jie mian	50-9887-S
lu jing	60-42007-B
lu jun	7-52910-S,10-33527-S,38-26103-S,66-34224-B
lu jun shang xiao	66-34261-B
lu jun zhong wei	66-34326-B
lu ka	45-12881-B
lu ka yin	31-53147-S
lu ke	14-60548-S,37-35395-S
lu ke er qin	66-14076-S
lu ke er qin qi	66-14178-S
lu ke hai wen guo jia shi yan shi	22-18780-S
lu ke hai wen shi yan shi	22-18929-S
lu ke lin	22-18629-S,22-19056-S
lu ke lin Da qiao	22-18690-S
lu ke qia ti	40-38909-S
lu ke qia ti xian	40-39084-S
lu ke zou	40-62269-S
lu kong zhi	63-14508-S
lu kou	10-46270-S,60-41892-B,69-42543-S
lu kuai	17-39058-S
lu li	7-9305-S,11-16722-S,30-33365-S
lu li cheng	17-54092-S
lu lian jie ceng	50-9989-S
lu lian jie shi bie ma	30-22837-S
lu lu	13-18736-S,23-3758-S,40-8441-S,40-20519-S,49-62575-S,66-34155-B,70-1303-S
lu lu xu xu	66-34491-B
lu mang	70-41196-B,71-3703-B
lu mao	22-8263-S
lu mei	61-68553-S
lu mian	60-44298-B
lu mo si	24-51372-S
lu mu qi	40-39271-S
lu mu qi shi	40-39476-S
lu ni ya	27-24834-S
lu pian	49-3465-S,58-140-S
lu pian r	49-3550-S
lu piao yi	17-39188-S
lu ping an	1-21218-S
lu ping tai	50-9343-S
lu po	17-38967-S,66-32884-B
lu qi	58-90-S,66-33339-B,67-2365-S,69-533-S
lu qiao	3-59833-S,60-42946-B
lu qu	64-42406-B
lu ren	21-13184-S,22-29060-S,46-53789-S,57-36708-S,60-41584-B,62-48338-S
lu ren suo zhi	12-25246-S
lu ri	22-19254-S
lu rou	71-8461-B
lu ru	40-39692-S
lu sa ka	45-14185-B
lu sa ke xun	45-3338-S
lu sa lan guo	30-30710-S
lu sa leng	51-42009-S
lu sai er	22-19117-S
lu shan	21-38141-S
lu shang	60-41125-B,66-32706-B
lu shang bi zhong dian geng you yi yi	60-41196-B
lu sheng	66-33731-B
lu sheng du wan juan shu	56-34692-S
lu sheng se	2-36247-S
lu shi	7-14314-S,11-28839-S,31-22605-S,31-53231-S,36-47535-S,70-40126-B
lu shi di guo jia zi ran bao hu qu	27-26789-S
lu shi di wen	4-66051-S
lu shi jun bing	22-19317-S
lu shu	71-3432-B
lu shu yuan	21-49187-S
lu shui	1-5743-S,60-43304-B,67-47214-B,71-3553-B
lu shun feng	1-21309-S
lu si	15-27651-S,16-20032-S,22-19199-S,37-39159-S,48-28696-S,51-44726-S
lu si dao	51-44791-S
lu si hai xia	37-39234-S
lu su	67-46904-B,71-3643-B
lu su deng	46-10035-S
lu sun	55-36893-B
lu te	59-30834-S
lu te qi	26-39906-S
lu te wu	50-9640-S
lu ti	60-7018-S,67-48582-B
lu tian	67-46749-B,71-3600-B
lu tian su ying	67-46813-B
lu tou jiao	9-1993-S,21-47678-S
lu wang	7-64961-S
lu wei	39-33969-B,55-37110-B
lu wei ma	27-61419-S
lu wen	70-40841-B
lu wu neng	23-3934-S
lu xi	67-47748-B
lu xi ya dao	51-49161-S
lu xian	60-43543-B,67-58554-S
lu xiang	43-57905-S,64-42163-B
lu xiang dai	64-42224-B
lu xiang ji	64-42284-B
lu xiao fu	60-9139-S
lu xiao xi	62-1897-S
lu xie hui	50-10640-S
lu xu	66-33785-B
lu xu xu	66-34491-S
lu xue	45-19193-S
lu xue fu	60-9221-S
lu yan	28-5355-S
lu yan r	69-42609-S
lu yi	69-443-S
lu yi gang	60-42825-B
lu yi si	51-51974-S
lu yin	64-42657-B
lu yin ci dai	45-3657-S
lu yin dai	64-42707-B
lu yin ji	64-42761-B
lu yin pi	67-47909-B
lu ying	67-47280-B
lu ying dai	64-42458-B
lu ying ji	64-42527-B
lu ying yong	50-9416-S
lu yong	64-5925-S,64-42605-B
lu you	60-43049-B
lu you qi	60-43255-B
lu you xie ding	60-43112-B
lu you xie yi	60-43184-B
lu yu	70-49058-B
lu yuan	58-38-S
lu yue qiu	44-25320-S
lu yun	66-34444-B
lu zang bu Da xia gu	66-56196-S
lu zao	12-7259-S,41-35654-B
lu zhai	8-14062-S
lu zhan dui	38-25323-S
lu zhang	60-44239-B
lu zhe	28-24086-S
lu zhen	37-17926-S
lu zhi	5-51464-S,39-34058-B,71-3768-B
lu zhi sheng	5-51562-S
lu zhu	67-47318-B
lu zhuan	21-39900-S
lu zi	15-27710-S,41-35473-B,60-41957-B
lu zu	71-3493-B
lu zuo	17-50963-S
lu zuo ma	27-61283-S
lu zuo ye xi tong	50-9242-S
lu1	13-18679-S,13-18736-S,13-26799-S,14-40391-B
lu1 ga2 qi2	62-53028-S
lu1 lu1	13-18736-S
lu2	1-44380-S,8-20444-S,8-41411-S,12-24620-S,15-27555-S,15-42711-S,16-31595-S,16-34356-B,23-15965-B,24-19802-S,28-38392-S,28-41899-S,30-44083-S,34-5701-S,35-17110-B,39-29666-S,40-14854-B,40-23306-S,40-41236-S,40-42058-S,40-65413-S,40-66445-S,41-173-S,41-863-S,41-14102-S,41-24362-S,41-35434-B,42-29349-B,47-44603-S,48-43909-B,49-41318-S,50-46682-B,50-50403-B,52-53588-B,53-40304-B,54-7424-S,55-36409-B,56-9468-S,56-11519-S,56-57693-S,57-21841-S,61-25599-S,61-32184-B,63-55392-S,64-49832-S,65-7347-B,67-32579-S,68-40524-S,68-52850-B,69-29068-S,69-35468-S,70-18598-S,70-49024-B,71-2305-B,71-48923-S,71-64098-B
lu2 ba1	52-22704-S,54-60219-S,66-10031-S
lu2 bi3	45-13503-B
lu2 bian1	41-35692-B
lu2 bu4	45-13146-B
lu2 chuang2	41-35522-B
lu2 ci2	71-2344-B
lu2 da4	17-34199-S
lu2 dao3	54-59944-S
lu2 dao3 shi4	54-60076-S
lu2 di2	55-37073-B
lu2 fu2 qi3 piao2	27-61868-S
lu2 guan3	55-36935-B
lu2 hua1 huang2 que4	55-36978-B
lu2 hui4	55-37147-B
lu2 huo3	41-35602-B
lu2 huo3 che1 zhan4	39-29775-S
lu2 jia4	41-35564-B
lu2 jie2	59-47704-S
lu2 ka3	45-12881-B
lu2 sa4 ka3	45-14185-B
lu2 shi1 di3 wen2	4-66051-S
lu2 si1	15-27651-S
lu2 sun3	55-36893-B
lu2 wei3	55-37110-B
lu2 xi1 ya4 dao3	51-49161-S
lu2 yu2	70-49058-B
lu2 zao4	12-7259-S,41-35654-B
lu2 zi1	15-27710-S
lu2 zi5	41-35473-B
lu2 zuo4	17-50963-S
lu3	3-66161-S,5-33850-S,12-60587-S,19-28433-S,21-14493-S,22-46853-S,25-32258-S,27-26752-S,29-18042-B,31-22505-S,34-51332-S,35-16567-B,36-17713-B,37-16991-S,39-33942-B,40-20519-S,42-61097-S,45-3195-S,46-38072-B,46-53753-S,47-22501-S,48-50350-S,51-42289-S,53-39682-B,55-54645-B,65-7317-B,65-44278-S,68-9586-S,69-56711-S,70-39769-B,71-2989-B,71-7946-S,71-54248-S
lu3 Da4 xue2	51-42325-S
lu3 Sa1 ke4 xun4	45-3244-S
lu3 Zang4 bu4 jiang1	66-56357-S
lu3 ai1 er3	41-62593-S
lu3 ba1	66-14030-S
lu3 bang4	70-40739-B
lu3 bang4 xing4	70-40785-B
lu3 bo2	7-18570-S
lu3 dai4 ting1	71-3053-B
lu3 ding1	32-68028-S,49-30616-S
lu3 dong1	31-53307-S
lu3 dong1 zhu3 yi4	31-53385-S
lu3 dun4	70-41428-B
lu3 e4	11-15939-S
lu3 fa3	39-34105-B
lu3 fan1	12-61454-S
lu3 fan1 di4 qu1	12-61539-S
lu3 fan1 pen2 di4	12-61727-S
lu3 fan1 shi4	12-61631-S
lu3 fu2 er3 gong1	70-39967-B
lu3 ge2	17-62545-S
lu3 ge2 zu2	17-62632-S
lu3 hu2	39-34010-B
lu3 hua1 chi4	62-55544-S
lu3 hua4	71-3172-B
lu3 hua4 wu4	71-3273-B
lu3 hua4 yin2	71-3337-B
lu3 huo4	29-18076-B,55-54679-B
lu3 ji2 ya4	34-347-S
lu3 ji2 ya4 ren2	34-428-S
lu3 jia3	5-10576-S
lu3 ka3 yin1	31-53147-S
lu3 ke1 er3 qin4	66-14076-S
lu3 ke1 er3 qin4 qi2	66-14178-S
lu3 ke4	14-60548-S,37-35395-S
lu3 ke4 hai3 wen2 guo2 jia1 shi2 yan2 shi4	22-18780-S
lu3 ke4 hai3 wen2 shi2 yan2 shi4	22-18929-S
lu3 ke4 lin2	22-18629-S,22-19056-S
lu3 ke4 lin2 Da4 qiao2	22-18690-S
lu3 ke4 qia4 ti2	40-38909-S
lu3 ke4 qia4 ti2 xian4	40-39084-S
lu3 lu3	40-20519-S
lu3 mang3	70-41196-B,71-3703-B
lu3 mo2 si1	24-51372-S
lu3 mu4 qi2	40-39271-S
lu3 mu4 qi2 shi4	40-39476-S
lu3 ni2 ya4	27-24834-S
lu3 ren2	21-13184-S,46-53789-S
lu3 ri4	22-19254-S
lu3 ru3	40-39692-S
lu3 sa4 ke4 xun4	45-3338-S
lu3 sa4 lan2 guo2	30-30710-S
lu3 sai4 er3	22-19117-S
lu3 shi1 di4 guo2 jia1 zi4 ran2 bao3 hu4 qu1	27-26789-S
lu3 shi2	7-14314-S
lu3 shi3	70-40126-B
lu3 shi4	11-28839-S,31-22605-S,31-53231-S
lu3 shi4 jun1 bing4	22-19317-S
lu3 shu3	71-3432-B
lu3 shui3	71-3553-B
lu3 si1	22-19199-S,37-39159-S,48-28696-S,51-44726-S
lu3 si1 dao3	51-44791-S
lu3 si1 hai3 xia2	37-39234-S
lu3 su4	71-3643-B
lu3 su4 deng1	46-10035-S
lu3 te4	59-30834-S
lu3 te4 qi2	26-39906-S
lu3 tian2	71-3600-B
lu3 wei4	39-33969-B
lu3 wen4	70-40841-B
lu3 xiao3 fu5	60-9139-S
lu3 xue3 fu1	60-9221-S
lu3 yan2	28-5355-S
lu3 zang4 bu4 Da4 xia2 gu3	66-56196-S
lu3 zhi1	39-34058-B
lu3 zhi4	71-3768-B
lu3 zu2	71-3493-B
lu4	1-37948-S,2-2851-S,2-40647-S,2-57738-S,3-5115-S,3-15852-S,3-27081-S,3-39093-S,3-51763-S,3-59763-S,3-69586-S,3-69660-S,4-2726-S,4-3095-S,4-46472-S,4-46947-S,4-58322-S,5-49301-S,5-51057-S,6-28556-S,6-50048-B,7-2453-S,7-33142-S,7-55571-S,7-62821-S,7-64916-S,7-68364-S,8-14545-S,8-45839-S,8-46850-S,9-1674-S,9-15760-S,9-37167-S,9-37492-S,9-48258-S,9-51293-S,9-53840-S,10-5830-S,10-36794-S,10-41106-S,10-60401-S,10-66980-S,11-5774-S,11-21422-S,11-23171-S,11-55091-S,12-51845-S,12-53708-S,12-59047-S,12-61393-S,13-63200-S,13-65431-S,14-51963-S,14-55386-S,15-38083-S,16-51835-S,17-35908-S,17-38805-S,17-42226-S,17-50257-S,17-51977-S,17-58836-S,17-68666-S,18-10506-S,18-14764-S,19-33885-S,20-9763-S,20-29660-S,20-40434-S,20-40510-S,20-57004-S,21-1283-S,21-23136-S,21-23957-S,21-33274-S,21-33872-S,21-34989-S,21-62564-S,22-10397-S,22-28970-S,22-29381-S,22-45878-S,23-3758-S,23-3876-S,23-10342-S,23-11281-S,23-13331-S,23-31028-S,23-52497-B,24-5114-S,24-41621-S,24-45983-S,24-56439-S,26-16599-B,26-64201-S,26-64662-S,26-64892-S,27-12049-S,27-21491-S,27-23199-S,27-61065-S,28-22744-S,28-24039-S,28-49316-S,28-64638-S,29-43084-S,30-186-S,30-17072-S,30-17210-S,30-20194-S,30-21142-S,30-21399-S,30-22691-S,30-46361-S,30-67489-S,31-11006-S,31-35032-S,32-670-S,32-2509-S,32-69843-S,33-26434-S,33-36267-S,33-41599-S,33-41667-S,34-12005-S,35-14466-S,35-20417-S,35-27070-S,35-61026-S,36-268-S,36-46982-S,36-48626-S,36-62322-S,37-27587-S,37-36118-S,37-52863-S,37-55266-S,38-7601-S,38-25940-S,38-39730-S,38-44416-B,38-57867-S,38-60402-S,39-31490-S,39-44076-B,40-8441-S,40-13105-S,40-59640-S,41-16816-S,41-17060-S,41-51124-S,42-9293-S,42-13157-S,42-24217-S,42-56956-S,42-58421-B,43-3488-B,43-7269-S,43-49677-S,43-63594-S,44-25144-S,44-25246-S,44-47994-S,44-50045-S,44-50090-S,45-6800-B,45-12453-S,45-19087-S,45-48592-S,46-643-S,46-27368-B,46-38033-B,46-65498-B,47-30333-B,47-38184-B,47-52593-S,47-57702-S,48-6989-S,48-16835-S,48-35714-B,48-39684-B,48-43821-B,49-3427-S,49-15196-S,49-54928-S,49-55194-S,49-62575-S,50-8808-S,50-9201-S,50-10576-S,50-17632-S,50-22165-S,50-40965-S,51-8220-S,51-30851-S,51-58289-S,52-49017-S,54-28079-B,54-44631-S,54-56302-S,54-56367-S,55-4296-S,55-9690-B,55-11159-S,55-14941-B,55-40371-S,55-45538-S,55-54457-S,55-58841-S,56-4994-S,56-30030-S,56-46962-S,57-24440-S,57-27697-S,57-61509-S,58-0-S,58-10056-S,58-18281-S,58-28091-S,58-42333-S,59-14086-S,59-50529-B,59-50630-S,60-11253-S,60-11844-S,60-14020-S,60-25167-S,60-41079-B,61-3949-S,61-6634-B,61-20580-B,61-30022-S,61-49027-S,61-55120-S,61-62858-S,62-1832-S,62-13663-S,62-14653-S,62-26522-B,62-44983-S,62-48854-S,62-52123-S,63-1409-S,63-45922-B,64-34271-S,64-38112-S,64-42044-B,64-48945-B,64-56518-S,65-4796-S,65-20069-S,65-20969-S,65-23923-S,65-27057-S,65-42461-S,66-16260-S,66-32653-B,66-34155-S,66-41735-S,66-54127-S,66-58033-S,67-6477-S,67-25557-S,67-34874-S,67-37438-S,67-37588-S,67-37945-S,67-44932-S,67-46328-B,67-58317-S,67-58476-S,68-26850-S,68-35073-S,68-40015-S,68-52687-S,69-349-S,69-42500-S,69-44558-S,69-45272-S,69-46223-S,69-47990-S,69-51757-B,70-193-S,70-1303-S,70-22297-S,70-22386-S,70-22806-S,70-44638-B,70-57954-S,71-1874-B,71-8169-B,71-9122-S,71-9417-B,71-29427-S
lu4 ban3	11-18156-S,11-21493-S
lu4 bao1	38-26019-S
lu4 bao4 zuo4	71-8650-B
lu4 bian1	60-44184-B
lu4 biao1	60-42902-B
lu4 bing4 du2	11-55158-S
lu4 bu4 ming2	5-19626-S
lu4 bu4 shi2 yi2	60-41398-B
lu4 bu4 shu2	4-14639-S
lu4 bu4 tong1	35-41702-S
lu4 cai2 hua2	9-1737-S
lu4 ceng2	30-22755-S,64-56556-S
lu4 cheng2	60-43346-B
lu4 chi3	13-28660-S,67-48662-B
lu4 chi3 er2 xiao4	67-48702-B
lu4 chu1	38-7683-S,67-46527-B,68-52735-S
lu4 chu1 jia1	10-60459-S
lu4 chu1 ma3 jiao3	67-46603-B
lu4 chun2	43-15401-S
lu4 deng1	21-34459-S,60-42991-B
lu4 di4	66-32820-B
lu4 dian3	54-56440-S,67-48619-B
lu4 dian4 shi4	65-28510-S
lu4 fei1 xing2	2-27304-S
lu4 feng1 mang2	9-1864-S
lu4 fu2 wu4	12-59090-S,50-9493-S
lu4 fu4 di4	3-59976-S
lu4 gong1 cheng2	62-52169-S
lu4 gong4	64-42104-B,64-42347-B
lu4 guo2	7-33190-S
lu4 guo4	60-44133-B
lu4 hai3 kong1 jun1	66-33671-B
lu4 hai3 kong1 san1 jun1	66-33600-B
lu4 han2	67-48053-B
lu4 he2	7-33252-S
lu4 hua4	17-39259-S
lu4 huan2 jing4	50-9741-S
lu4 ji1	66-32965-B
lu4 ji1 dao3 dan4	66-33007-B
lu4 ji4 shu4	10-41182-S
lu4 jia4	17-39128-S,66-33289-B
lu4 jia4 gou4	50-9562-S
lu4 jiang1	70-55191-S
lu4 jie2 dian3	50-9818-S
lu4 jie2 dian3 jie4 mian4	50-9887-S
lu4 jing4	60-42007-B
lu4 jun1	7-52910-S,10-33527-S,38-26103-S,66-34224-B
lu4 jun1 shang4 xiao4	66-34261-B
lu4 jun1 zhong1 wei4	66-34326-B
lu4 ke3 zou3	40-62269-S
lu4 kong4 zhi4	63-14508-S
lu4 kou3	10-46270-S,60-41892-B,69-42543-S
lu4 kuai4	17-39058-S
lu4 li2	7-9305-S,30-33365-S
lu4 li3	11-16722-S
lu4 li4 cheng2	17-54092-S
lu4 lian2 jie1 shi2 bie2 ma3	30-22837-S
lu4 lian4 jie2 ceng2	50-9989-S
lu4 lu4	23-3758-S,40-8441-S,49-62575-S,66-34155-B,70-1303-S
lu4 lu4 xu4 xu4	66-34491-B
lu4 mao4	22-8263-S
lu4 mei2	61-68553-S
lu4 mian4	60-44298-B
