朾 朾 [01\[ tíng\]]	to bump
柳橙 柳橙 [01\[ liǔ chéng\]]	orange (fruit)
柳毅傳 柳毅传 [01\[ liǔ yì zhuàn\]]	story of liu yi
柳永 柳永 [01\[ liǔ yǒng\]]	liu yong (987-1053)
柳江 柳江 [01\[ liǔ jiāng\]]	(n) liujiang (place in guangxi)
柳河 柳河 [01\[ liǔ hé\]]	liuhe county in tonghua 通化
柳河縣 柳河县 [01\[ liǔ hé xiàn\]]	liuhe county in tonghua 通化
柳煙花霧 柳烟花雾 [01\[ liǔ yān huā wù\]]	lit. willow scent and mist of blossom (成语 saw); scene full of the delights of spring
柳營鄉 柳营乡 [01\[ liǔ yíng xiāng\]]	(n) liuying (village in taiwan)
柳琴 柳琴 [01\[ liǔ qín\]]	liuqin lute
柳綠花紅 柳绿花红 [01\[ liǔ lǜ huā hóng\]]	green willow and red flowers;all the colors of spring
柳葉刀 柳叶刀 [01\[ liǔ yè dāo\]]	lancet (surgeon's knife)
柳陌花衢 柳陌花衢 [01\[ liǔ mò huā qú\]]	brothel
柳青 柳青 [01\[ liǔ qīng\]]	liu qing (1916-1978)
柳體 柳体 [01\[ liǔ tǐ\]]	calligraphic style of liu gongquan
柴 柴 [01\[ chái\]]	firewood;surname chai
柴油 柴油 [01\[ chái yóu\]]	diesel fuel
柴油機 柴油机 [01\[ chái yóu jī\]]	diesel engine
柴油發動機 柴油发动机 [01\[ chái yóu fā dòng jī\]]	diesel engine
柴火 柴火 [01\[ chái huo\]]	firewood
柴科夫斯基 柴科夫斯基 [01\[ chái kē fū sī jī\]]	piotr ilyich tchaikowsky (1840-1893)
柴薪 柴薪 [01\[ chái xīn\]]	firewood
柴達木盆地 柴达木盆地 [01\[ chái dá mù pén dì\]]	tsaidam or qaidam basin depression northeast of the plateau of tibet
柵 栅 [01\[ zhà\]]	fence
柵欄 栅栏 [01\[ zhà lán\]]	fence
柶 柶 [01\[ sì\]]	spoon;ladle
柷 柷 [01\[ zhù\]]	percussion instrument
柸 柸 [01\[ pēi\]]	to hate;bear grudge
柺 柺 [01\[ guǎi\]]	old man's staff
査 査 [01\[ chá\]]	japanese variant of 查
柿 柿 [01\[ shì\]]	persimmon
柿子 柿子 [01\[ shì zi\]]	persimmon
柿餅 柿饼 [01\[ shì bǐng\]]	dried persimmon
栀子 栀子 [01\[ zhī zi\]]	cape jasmine (gardenia jasminoides)
栀子花 栀子花 [01\[ zhī zi huā\]]	cape jasmine (gardenia jasminoides)
栃 栃 [01\[ lì\]]	archaic variant of 櫪|枥
栄 栄 [01\[ róng\]]	glory;honor;flourish;prosper;variant of 榮|荣
栈板 栈板 [01\[ zhàn bǎn\]]	pallet
栒 栒 [01\[ xún\]]	cross bar
栓 栓 [01\[ shuān\]]	bottle stopper;wooden pin;plug
栓塞 栓塞 [01\[ shuān sè\]]	thrombosis
栓皮櫟 栓皮栎 [01\[ shuān pí lì\]]	acorn
栔 栔 [01\[ qì\]]	carve;cut
栖 栖 [01\[ qī\]]	to roost;to inhabit;to stay;habitat
栗 栗 [01\[ lì\]]	chestnut;surname li
栗子 栗子 [01\[ lì zi\]]	chestnut
栗色 栗色 [01\[ lì sè\]]	maroon (color)
栗鼠 栗鼠 [01\[ lì shǔ\]]	bunny
栝 栝 [01\[ guā\]]	juniperus chinensis;measuring-frame
栟 栟 [01\[ bīng\]]	trachycarpus excelsa
校 校 [01\[ jiào\]]	proofread;to check;to compare
校 校 [01\[ xiào\]]	school;military officer
校勘 校勘 [01\[ jiào kān\]]	collate
校友 校友 [01\[ xiào yǒu\]]	alumnus;alumna;schoolmate
校園 校园 [01\[ xiào yuán\]]	campus
校園網絡 校园网络 [01\[ xiào yuán wǎng luò\]]	campus network
校園骨幹 校园骨干 [01\[ xiào yuán gǔ gàn\]]	campus backbone
校地 校地 [01\[ xiào dì\]]	campus
校外 校外 [01\[ xiào wài\]]	off campus
校官 校官 [01\[ xiào guān\]]	military officer;ranked officer in chinese army
校尉 校尉 [01\[ xiào wèi\]]	military officer
校徽 校徽 [01\[ xiào huī\]]	school badge;college insignia;university crest
校服 校服 [01\[ xiào fú\]]	school uniform
校歌 校歌 [01\[ xiào gē\]]	school song
校正 校正 [01\[ jiào zhèng\]]	to proofread and correct;to edit and rectify
校準 校准 [01\[ jiào zhǔn\]]	calibrate
校舍 校舍 [01\[ xiào shè\]]	school building
校花 校花 [01\[ xiào huā\]]	the prettiest girl of the school;school beauty queen;campus belle
校訂 校订 [01\[ jiào dìng\]]	revision
校訓 校训 [01\[ xiào xùn\]]	school motto
校車 校车 [01\[ xiào chē\]]	school bus
校長 校长 [01\[ xiào zhǎng\]]	(college
校阅 校阅 [01\[ jiào yuè\]]	to review (troops)
校際 校际 [01\[ xiào jì\]]	inter-school;intercollegiate
校驗 校验 [01\[ jiào yàn\]]	to check;to examine
校驗碼 校验码 [01\[ xiào yàn mǎ\]]	check digit
栩 栩 [01\[ xǔ\]]	quercus serrata
栩栩 栩栩 [01\[ xǔ xǔ\]]	vivid
栩栩如生 栩栩如生 [01\[ xǔ xǔ rú shēng\]]	vivid and lifelike;true to life;realistic
株 株 [01\[ zhū\]]	tree trunk;stump (tree root);a plant;classifier for trees or plants;to involve others (in shady business)
株守 株守 [01\[ zhū shǒu\]]	to stick to sth stubbornly;never let go
株式會社 株式会社 [01\[ zhū shì huì shè\]]	japanese limited company (kabushiki kaisha)
株治 株治 [01\[ zhū zhì\]]	to involve others (in a law case)
株洲 株洲 [01\[ zhū zhōu\]]	zhuzhou prefecture level city
株洲市 株洲市 [01\[ zhū zhōu shì\]]	zhuzhou prefecture level city
株連 株连 [01\[ zhū lián\]]	to involve others (in a crime);guilt by association
栫 栫 [01\[ jiàn\]]	fence;palisade
栭 栭 [01\[ ér\]]	tree mushroom
栱 栱 [01\[ gǒng\]]	post
栲 栲 [01\[ kǎo\]]	mangrove
栳 栳 [01\[ lǎo\]]	basket
栴 栴 [01\[ zhān\]]	sandalwood
栵 栵 [01\[ lì\]]	hedge
核 核 [01\[ hé\]]	pit;stone;nucleus
核不擴散 核不扩散 [01\[ hé bù kuò sàn\]]	nuclear nonproliferation
核事件 核事件 [01\[ hé shì jiàn\]]	nuclear incident
核仁 核仁 [01\[ hé rén\]]	nucleolus (within nucleus of cell)
核僵持 核僵持 [01\[ hé jiāng chí\]]	nuclear equipoise;nuclear stalemate
核冬天 核冬天 [01\[ hé dōng tiān\]]	nuclear winter
核出口控制 核出口控制 [01\[ hé chū kǒu kòng zhì\]]	nuclear export control
核動力攻擊潛艇 核动力攻击潜艇 [01\[ hé dòng lì gōng jī qián tǐng\]]	nuclear attack submarine
核動力潛艇 核动力潜艇 [01\[ hé dòng lì qián tǐng\]]	nuclear-powered submarine
核動力航空母艦 核动力航空母舰 [01\[ hé dòng lì háng kōng mǔ jiàn\]]	nuclear-powered aircraft carrier
核勢 核势 [01\[ hé shì\]]	nuclear potential
核協議 核协议 [01\[ hé xié yì\]]	nuclear agreement
核原料 核原料 [01\[ hé yuán liào\]]	nuclear material
核反應 核反应 [01\[ hé fǎn yìng\]]	nuclear reaction
核反應堆 核反应堆 [01\[ hé fǎn yìng duī\]]	nuclear reactor
核反擊 核反击 [01\[ hé fǎn jī\]]	nuclear counter strike
核合成 核合成 [01\[ hé hé chéng\]]	nucleosynthesis
核問題 核问题 [01\[ hé wèn tí\]]	the nuclear problem
核四級共振 核四级共振 [01\[ hé sì jí gòng zhèn\]]	nuclear quadruple resonance
核國家 核国家 [01\[ hé guó jiā\]]	nuclear nations
核地雷 核地雷 [01\[ hé dì léi\]]	nuclear land mine;nuclear mine
核均勢 核均势 [01\[ hé jūn shì\]]	nuclear parity
核大國 核大国 [01\[ hé dà guó\]]	a nuclear power (country)
核威 核威 [01\[ hé wēi\]]	nuclear strength;nuclear might
核威懾力量 核威慑力量 [01\[ hé wēi shè lì liang\]]	nuclear deterrent
核威懾政策 核威慑政策 [01\[ hé wēi shè zhéng cè\]]	policy of nuclear intimidation
核子 核子 [01\[ hé zi\]]	nuclear;nucleus
核對峙 核对峙 [01\[ hé duì zhì\]]	nuclear stalemate
核小體 核小体 [01\[ hé xiǎo tǐ\]]	nucleosome
核屏蔽 核屏蔽 [01\[ hé píng bì\]]	nuclear shielding
核工業 核工业 [01\[ hé gōng yè\]]	nuclear industry
核工業部 核工业部 [01\[ hé gōng yè bù\]]	ministry of nuclear industry
核工程 核工程 [01\[ hé gōng chéng\]]	nuclear engineering
核廢物 核废物 [01\[ hé fèi wù\]]	nuclear waste
核彈 核弹 [01\[ hé dàn\]]	nuclear warhead
核彈頭 核弹头 [01\[ hé dàn tóu\]]	nuclear reentry vehicle;nuclear warhead
核心 核心 [01\[ hé xīn\]]	core;nucleus
核情報 核情报 [01\[ hé qíng bào\]]	nuclear intelligence
核戰 核战 [01\[ hé zhàn\]]	nuclear warfare
核戰斗部 核战斗部 [01\[ hé zhàn dǒu bù\]]	nuclear warhead
核技術 核技术 [01\[ hé jì shù\]]	nuclear technology
核推進 核推进 [01\[ hé tuī jìn\]]	nuclear propulsion
核擴散 核扩散 [01\[ hé kuò sàn\]]	nuclear proliferation
核支援 核支援 [01\[ hé zhī yuán\]]	nuclear support
核散射 核散射 [01\[ hé sàn shè\]]	nuclear scattering
核易損性 核易损性 [01\[ hé yì sǔn xìng\]]	nuclear vulnerability
核查制度 核查制度 [01\[ hé chá zhì dù\]]	verification regime
核柱 核柱 [01\[ hé zhù\]]	nuclear column
核桃 核桃 [01\[ hé tao\]]	walnut;cl:個|个[ge4]
核桃仁 核桃仁 [01\[ hé tao rén\]]	walnut kernel
核模型 核模型 [01\[ hé mó xíng\]]	nuclear model
核武 核武 [01\[ hé wǔ\]]	nuclear weapon
核武器 核武器 [01\[ hé wǔ qì\]]	nuclear weapon
核武器事故 核武器事故 [01\[ hé wǔ qì shì gù\]]	nuclear weapon accident
核武器儲備 核武器储备 [01\[ hé wǔ qì chǔ bèi\]]	nuclear stockpile
核武器安全 核武器安全 [01\[ hé wǔ qì ān quán\]]	nuclear weapon safety
核武器操練 核武器操练 [01\[ hé wǔ qì cāo liàn\]]	nuclear weapon exercise
核武器材料 核武器材料 [01\[ hé wǔ qì cái liào\]]	nuclear weapon material;weapon's grade material
核武器演練 核武器演练 [01\[ hé wǔ qì yǎn liàn\]]	nuclear weapon maneuver
核武器研製計劃 核武器研制计划 [01\[ hé wǔ qì yán zhì jì huà\]]	nuclear weapons (manufacturing) program
核武器試驗 核武器试验 [01\[ hé wǔ qì shì yàn\]]	nuclear test
核武庫 核武库 [01\[ hé wǔ kù\]]	nuclear arsenal
核殺傷破壞估計 核杀伤破坏估计 [01\[ hé shā shāng pò huài gū jì\]]	nuclear damage assessment
核洩漏 核泄漏 [01\[ hé xiè lòu\]]	a nuclear leak
核潛艇 核潜艇 [01\[ hé qián tǐng\]]	nuclear submarine
核火箭發動機 核火箭发动机 [01\[ hé huǒ jiàn fā dòng jī\]]	nuclear rocket engine
核熱 核热 [01\[ hé rè\]]	nuclear heat
核燃料 核燃料 [01\[ hé rán liào\]]	nuclear fuel
核燃料元件 核燃料元件 [01\[ hé rán liào yuán jiàn\]]	nuclear fuel element
核燃料後處理 核燃料后处理 [01\[ hé rán liào hòu chù lǐ\]]	nuclear fuel reprocessing
核燃料循環 核燃料循环 [01\[ hé rán liào xún huán\]]	nuclear fuel cycle
核燃料燃耗 核燃料燃耗 [01\[ hé rán liào rán hào\]]	nuclear fuel burnup
核爆炸 核爆炸 [01\[ hé bào zhà\]]	nuclear explosion
核爆炸地球物理效應 核爆炸地球物理效应 [01\[ hé bào zhà dì qiú wù lǐ xiào yìng\]]	geophysical effects of nuclear explosion
核爆炸效應 核爆炸效应 [01\[ hé bào zhà xiào yìng\]]	nuclear explosion effect
核爆炸煙雲 核爆炸烟云 [01\[ hé bào zhà yān yún\]]	nuclear cloud
核爆炸裝置 核爆炸装置 [01\[ hé bào zhà zhuāng zhì\]]	nuclear explosion device
核物理 核物理 [01\[ hé wù lǐ\]]	nuclear physics
核生存能力 核生存能力 [01\[ hé shēng cún néng lì\]]	nuclear survivability
核當量 核当量 [01\[ hé dāng liàng\]]	nuclear yield
核發電 核发电 [01\[ hé fā diàn\]]	nuclear power generation
核發電廠 核发电厂 [01\[ hé fā diàn chǎng\]]	nuclear power plant
核相互作用 核相互作用 [01\[ hé xiāng hù zuò yòng\]]	nuclear interaction
核磁共振 核磁共振 [01\[ hé cí gòng zhèn\]]	nuclear magnetic resonance (nmr)
核糖 核糖 [01\[ hé táng\]]	ribose
核糖核酸 核糖核酸 [01\[ hé táng hé suān\]]	ribonucleic acid (rna)
核糖體 核糖体 [01\[ hé táng tǐ\]]	ribosome
核素 核素 [01\[ hé sù\]]	nuclide
核結構 核结构 [01\[ hé jié gòu\]]	nuclear structure
核聚變 核聚变 [01\[ hé jù biàn\]]	fusion;nuclear fusion
核能 核能 [01\[ hé néng\]]	nuclear energy
核能技術 核能技术 [01\[ hé néng jì shù\]]	nuclear technology
核能源 核能源 [01\[ hé néng yuán\]]	nuclear power
核自旋 核自旋 [01\[ hé zì xuán\]]	nuclear spin
核苷 核苷 [01\[ hé gān\]]	nucleotide
核苷酸 核苷酸 [01\[ hé gān suān\]]	nucleotide
核裂變 核裂变 [01\[ hé liè biàn\]]	atomic fission;nuclear fission;fission
核裝置 核装置 [01\[ hé zhuāng zhì\]]	nuclear device
核設施 核设施 [01\[ hé shè shī\]]	nuclear facility;nuclear installation
核試 核试 [01\[ hé shì\]]	a nuclear test
核試爆 核试爆 [01\[ hé shì bào\]]	a nuclear test
核試驗 核试验 [01\[ hé shì yàn\]]	nuclear test
核試驗堆 核试验堆 [01\[ hé shì yàn duī\]]	nuclear test reactor
核試驗場 核试验场 [01\[ hé shì yàn chǎng\]]	nuclear test site
核談判 核谈判 [01\[ hé tán pàn\]]	nuclear negotiations
核證模型 核证模型 [01\[ hé zhèng mó xíng\]]	verification model
核變形 核变形 [01\[ hé biàn xíng\]]	nuclear deformation
核軍備 核军备 [01\[ hé jūn bèi\]]	nuclear arms
核輻射 核辐射 [01\[ hé fú shè\]]	nuclear radiation
核轉變 核转变 [01\[ hé zhuǎn biàn\]]	nuclear transformation;nuclear transmutation
核轟炸 核轰炸 [01\[ hé hōng zhà\]]	nuclear bomb
核轟炸機 核轰炸机 [01\[ hé hōng zhà jī\]]	nuclear bomber (aircraft)
核連鎖反應 核连锁反应 [01\[ hé lián suǒ fǎn yìng\]]	nuclear chain reaction
核酮糖 核酮糖 [01\[ hé tóng táng\]]	ribulose (type of sugar)
核酸 核酸 [01\[ hé suān\]]	nucleic acid
核銷 核銷 [01\[ hé xiāo\]]	erroneous variant of 覈銷|核销
核門檻 核门槛 [01\[ hé mén jiàn\]]	nuclear threshold
核防御 核防御 [01\[ hé fáng yù\]]	nuclear defense
核陀螺 核陀螺 [01\[ hé tuó luó\]]	nuclear gyroscope
核電 核电 [01\[ hé diàn\]]	nuclear power
核電廠 核电厂 [01\[ hé diàn chǎng\]]	nuclear power plant
核電磁脈衝 核电磁脉冲 [01\[ hé diàn cí mài chōng\]]	nuclear electro-magnetic pulse
核電站 核电站 [01\[ hé diàn zhàn\]]	nuclear power plant
核電荷數 核电荷数 [01\[ hé diàn hè shù\]]	electric charge on nucleus;atomic number
核黃素 核黄素 [01\[ hé huáng sù\]]	riboflavin (vitamin b2)
根 根 [01\[ gēn\]]	radical (chem.);root;basis;classifier for long slender objects
根基 根基 [01\[ gēn jī\]]	foundation
根據 根据 [01\[ gēn jù\]]	according to;based on;basis;foundation
根據上表 根据上表 [01\[ gēn jù shàng biǎo\]]	according to the above table
根據地 根据地 [01\[ gēn jù dì\]]	base of operations
根本 根本 [01\[ gēn běn\]]	fundamental;basic;root;simply;absolutely (not);(not) at all
根治 根治 [01\[ gēn zhì\]]	to bring under permanent control;to effect a radical cure
根深蒂固 根深蒂固 [01\[ gēn shēn dì gù\]]	deep-rooted (problem etc)
根源 根源 [01\[ gēn yuán\]]	origin;root (cause)
根特 根特 [01\[ gēn tè\]]	ghent
根狀莖 根状茎 [01\[ gēn zhuàng jīng\]]	rhizome (biol.);root stock
根絕 根绝 [01\[ gēn jué\]]	exterminate
根莖 根茎 [01\[ gēn jīng\]]	stolon;runner;rhizome;rhizoma
根除 根除 [01\[ gēn chú\]]	to eradicate
栻 栻 [01\[ shì\]]	(tree)
格 格 [01\[ gé\]]	square;frame;rule;(legal) case;style;character;standard;pattern;(classical) to obstruct; to hinder;(classical) to arrive; to come;(classical) to investigate; to study exhaustively
格但斯克 格但斯克 [01\[ gé dàn sī kè\]]	gdansk (city in poland)
格列高利曆 格列高利历 [01\[ gé liè gāo lì lì\]]	gregorian calendar
格勒諾布爾 格勒诺布尔 [01\[ gé lè nuò bù ěr\]]	grenoble (french town)
格外 格外 [01\[ gé wài\]]	especially;particularly
格子棉布 格子棉布 [01\[ gé zi mián bù\]]	gingham
格子花呢 格子花呢 [01\[ gé zi huā ní\]]	plaid
格局 格局 [01\[ gé jú\]]	structure;pattern;layout
格式 格式 [01\[ gé shì\]]	form;specification;format
格式化 格式化 [01\[ gé shì huà\]]	to format
格式塔 格式塔 [01\[ gé shì tǎ\]]	gestalt (loan);coherent whole;technical word used in psychology meaning the whole is more than the sum of its parts;holistic;integrated;total
格式塔療法 格式塔疗法 [01\[ gé shì tǎ liáo fǎ\]]	gestalt therapy;holistic therapy
格拉 格拉 [01\[ gé lā\]]	gera (city in germany)
格拉斯哥 格拉斯哥 [01\[ gé lā sī gē\]]	glasgow
格拉漢姆 格拉汉姆 [01\[ gé lā hàn mǔ\]]	graham or graeme (name)
格拉納達 格拉纳达 [01\[ gé lā nà dá\]]	granada
格拉茨 格拉茨 [01\[ gé lā cí\]]	graz (city in austria)
格斯塔 格斯塔 [01\[ gé sī tǎ\]]	gestalt (loan);coherent whole;technical word used in psychology meaning the whole is more than the sum of its parts;holistic;integrated;total;also written 格式塔
格林 格林 [01\[ gé lín\]]	green or greene (name)
格林多 格林多 [01\[ gè lín duō\]]	corinthians
格林奈爾大學 格林奈尔大学 [01\[ gé lín nài ěr dà xué\]]	grinnell college (private liberal arts college in grinnell
格林威治 格林威治 [01\[ gé lín ní zhì\]]	greenwich
格林威治村 格林威治村 [01\[ gé lín wēi zhì cūn\]]	greenwich
格林威治標準時間 格林威治标准时间 [01\[ gé lín wēi zhì biāo zhǔn shí jiān\]]	greenwich mean time;gmt
格林尼治 格林尼治 [01\[ gé lín ní zhì\]]	greenwich (former location of greenwich observatory
格林尼治本初子午線 格林尼治本初子午线 [01\[ gé lín ní zhì běn chū zǐ wǔ xiàn\]]	the greenwich meridian
格林尼治標準時間 格林尼治标准时间 [01\[ gé lín ní zhì biāo zhǔn shí jiān\]]	greenwich mean time gmt
格林納達 格林纳达 [01\[ gé lín nà dá\]]	grenada
格格不入 格格不入 [01\[ gé gé bù rù\]]	(成语 saw) inharmonious;incompatible
格格笑 格格笑 [01\[ gé gé xiào\]]	giggle
格洛納斯 格洛纳斯 [01\[ gé luò nà sī\]]	glonass (globalnaya navigatsionaya satelitnaya sistema or global navigation satellite system)
格涅沙 格涅沙 [01\[ gé niè shā\]]	ganesha (the elephant-headed god in hinduism
格爾夫波特 格尔夫波特 [01\[ gé ěr fū bō tè\]]	gulf port (florida or mississippi)
格爾木 格尔木 [01\[ gé ěr mù\]]	golmud or ge'ermu (city in qinghai)
格網 格网 [01\[ gé wǎng\]]	(math.) a lattice
格羅寧根 格罗宁根 [01\[ gé luó níng gēn\]]	groningen
格蘭氏陰性 格兰氏阴性 [01\[ gé lán shì yīn xìng\]]	gram negative (of bacteria);also written 革蘭氏陰性|革兰氏阴性
格蘭芬多 格兰芬多 [01\[ gé lán fēn duō\]]	godric gryffindor
格言 格言 [01\[ gé yán\]]	maxim
