tōng rén	31-51503-S
wan guan xi fa	12-19555-S
wan guan zhi	14-26893-S
wan gui	31-13142-S,46-29035-B
wan guo	54-44032-B
wan guo jia	38-22039-S
wan guo ma	54-44141-B
wan hao	19-37155-B
wan hu	10-48731-S,42-39357-B,54-45360-B
wan hu zhi shou	42-39437-B
wan hua	12-19482-S,42-40688-B
wan hua tong	54-47492-B
wan hua zhao	42-40628-B
wan hui	28-602-B,31-45115-B
wan hun wan yu	31-44868-B
wan huo	42-39788-B
wan huo ji	10-47375-S
wan huo zi fen	42-39839-B
wan ji	30-20003-S,37-53882-S,40-42993-B
wan ji ben	40-43031-B
wan ji ben huang suan na	40-43110-B
wan ji la yi	54-9230-S
wan ji shu da xue	15-12245-S
wan ji su	45-57534-S
wan jia	42-39068-B
wan jian	31-45547-B
wan jie	19-38093-B
wan jiu	28-713-B
wan jiu er tong	28-774-B
wan ju	27-51246-S,27-51817-S,28-495-B,42-38885-B
wan juan	10-50098-S
wan juan shu	56-34692-S
wan ku	10-51005-S
wan kuang lan	9-46405-S
wan le	12-26980-S,21-9927-S,42-39722-B
wan li	1-11457-S,28-535-B,31-55487-S
wan li fu	31-45304-B
wan li lu sheng du wan juan shu	56-34692-S
wan li zhui zong	54-48019-B
wan lian	28-970-B
wan lie	68-31269-B
wan ling jie	54-48411-B
wan liu	28-914-B
wan lu	60-11253-S
wan lu:	10-50019-S
wan ma	10-50654-S
wan mei	2-5088-S,19-38225-B
wan mei wu que	19-38287-B
wan min	54-45908-B
wan ming	54-43988-B
wan mo jiao	27-30867-S,61-23153-S
wan nan	54-48318-B
wan nan shi bian	44-63849-B
wan neng	54-47269-B,64-16565-S,64-16697-S
wan neng qu chi	54-47314-B
wan neng yao shi	54-47405-B
wan nian	31-45063-B,54-44858-B
wan nian li	54-45055-B
wan nian qian	54-44986-B
wan nong	42-39130-B
wan nong ci zao	42-39217-B
wan ou	42-38161-B
wan pi	68-31654-B
wan po shuai	46-18974-S
wan qi	31-45162-B,42-38997-B
wan qi qian	1-40350-S
wan qiang	68-31452-B
wan qu	23-52243-B,37-16695-S,71-60816-S
wan qu du	23-52330-B
wan qu kong jian	23-52389-B
wan qu qu	23-52161-S
wan quan	19-36682-B,22-56182-S
wan quan dong de	19-36828-B
wan quan gui na tui li	2-4844-S,19-36908-B
wan quan jian rong	19-36748-B
wan quan ye	2-4964-S
wan quan yu fu	19-37016-B
wan quan zhong li	2-4756-S
wan que	10-49646-S
wan r	20-25917-S,27-30793-S,42-38272-B,62-5423-S
wan r de	2-14619-S
wan r de zhuan	42-38672-B
wan r hua zhao	42-38816-B
wan ren	12-19211-S,47-61861-S
wan ren di	54-43309-B
wan ren sang de	42-38061-B
wan ren zhi di	54-43222-B
wan ru	19-49059-B
wan shan	2-5034-S,19-37104-B,53-21047-S
wan shang	31-36317-S,31-44670-B,42-40741-B
wan shang hao	31-44719-B
wan shi	26-35385-S,31-44779-B,54-42939-B,54-43058-B
wan shi bu gong	42-37925-B
wan shi da	54-43102-B
wan shi da ka	54-43158-B
wan shi zhi bei zhen	26-35440-S
wan shou wan	42-39642-B
wan shua	42-40459-B
wan shui qian shan	54-45956-B
wan su	45-57709-S
wan sui	54-45777-B
wan sui dao zheng hou qun	52-38801-B
wan suo	42-40348-B
wan ting	25-35667-S,40-43261-B,43-6155-S
wan tong	45-57778-S,68-31694-B
wan wan	10-48242-S,54-47621-B
wan wan qu qu	23-52161-B
wan wei	10-47269-S,42-38931-B,44-56920-S,54-43437-B
wan wei tian luo di wang	54-46662-B
wan wei wang	54-46821-B
wan wu	54-46432-B
wan wu qian	1-19962-S
wan wu sang zhi	42-40017-B
wan wu yi shi	54-46354-B
wan xi	25-16325-B
wan xia	31-45609-B,42-40221-B
wan xian	38-60319-S,54-46921-B
wan xiang	1-37871-S,10-17401-S
wan xiao	42-40304-B,65-38863-S
wan xing	19-37213-B,42-40549-B
wan xing ce yan	19-37531-B
wan xing xin li xue	19-37290-B
wan xing xin li zhi liao	19-37431-B
wan xu	10-52421-S
wan yan	31-45009-B,56-6676-B
wan yao	23-52458-B
wan yi	4-39426-S,20-67929-S,54-42752-B
wan yi er	42-39546-B
wan yong biao	54-46482-B
wan you	54-45529-B
wan you yin li	54-45572-B
wan yu	18-41555-S,31-44868-S
wan yuan hu	54-43528-B
wan zai tong	45-57600-S
wan zhan zheng	38-22134-S
wan zhang	28-657-B
wan zhe	42-40419-B
wan zhen	10-50420-S
wan zheng	19-37748-B,68-31567-B,68-33730-S
wan zheng xing	19-37799-B
wan zhi	10-44917-S,61-33174-S
wan zhong du	3-38482-S
wan zhong yi xin	54-46539-B
wan zhuan	18-52857-B
wan zi	3-1776-B,26-35336-S,40-30921-S
wan zu	28-17576-S
wan1	3-65600-S,9-28738-B,10-35869-S,11-483-S,12-19171-S,16-29843-S,17-5066-S,18-6447-S,21-40774-S,22-57262-S,23-52129-B,24-60012-S,27-30701-S,32-5906-S,33-13032-S,33-15007-S,34-41257-S,37-16631-S,37-39340-S,38-21954-S,39-2796-S,39-6070-S,39-6263-S,40-18902-B,52-48710-S,53-20663-S,54-24523-S,54-25184-S,56-6635-B,59-18731-B,61-23104-S,64-15499-S,65-16652-S,65-54532-S
wan1 Hai3 xia2	12-19413-S
wan1 Min2 zhu3 Zi4 zhi4 Tong2 meng2	12-19272-S
wan1 Shi4 wu4 Ban4 gong1 shi4	15-2944-S
wan1 dou4	59-18758-B
wan1 dou4 zhao4	59-18866-B
wan1 dou4 zhou1	59-18811-B
wan1 gang3	30-42984-S
wan1 guan1 xi4 fa3	12-19555-S
wan1 guo2 jia1	38-22039-S
wan1 hua4	12-19482-S
wan1 ji4 shu4 da4 xue2	15-12245-S
wan1 lu4	60-11253-S
wan1 mo4 jiao3	27-30867-S,61-23153-S
wan1 qu1	23-52243-B,37-16695-S,71-60816-S
wan1 qu1 du4	23-52330-B
wan1 qu1 kong1 jian1	23-52389-B
wan1 qu1 qu1	23-52161-S
wan1 r5	27-30793-S
wan1 ren2	12-19211-S
wan1 wan1 qu1 qu1	23-52161-B
wan1 xiang1	1-37871-S
wan1 yan2	56-6676-B
wan1 yao1	23-52458-B
wan1 zhan4 zheng1	38-22134-S
wan1 zu2	28-17576-S
wan2	1-25505-S,1-37020-S,2-44545-S,3-1749-B,3-16286-S,3-38582-S,7-2919-S,8-65585-B,12-3968-S,12-27214-S,18-28980-S,19-36468-B,20-25831-S,23-47048-S,25-32204-S,25-38189-S,26-66235-B,28-54867-S,32-43511-S,34-57601-S,36-36589-S,36-54960-B,40-42964-B,42-37776-B,42-38601-S,43-5923-S,43-34668-S,43-40764-S,45-57492-S,49-14296-B,51-33092-S,53-48913-B,54-42524-S,55-33441-S,59-58786-S,62-37095-S,62-37645-S,63-6616-S,68-27536-S,68-31193-B,70-36607-S
wan2 bei4	19-36533-B
wan2 bei4 xing4	19-36624-B
wan2 bi4	19-38032-B
wan2 bi4 gui1 zhao4	19-37869-B
wan2 cheng2	19-37599-B,32-57718-S
wan2 cheng2 shi2	19-37678-B
wan2 dan4	19-38409-B
wan2 dun4	24-55223-S,68-31735-B
wan2 er5	18-29025-S,70-29692-S
wan2 er5 bu4 zhuan4	42-38323-B
wan2 er5 huai4	42-38537-B
wan2 er5 ming4	42-38446-B
wan2 er5 piao4	42-38755-B
wan2 er5 wan2	42-38601-B
wan2 fei3	68-31352-B
wan2 fu1	70-8275-S
wan2 geng3	68-31512-B
wan2 gu4	68-31401-B
wan2 hao3	19-37155-B
wan2 hu1	42-39357-B
wan2 hu1 zhi2 shou3	42-39437-B
wan2 hua1 zhao1	42-40628-B
wan2 hua4	42-40688-B
wan2 huo3	42-39788-B
wan2 huo3 zi4 fen2	42-39839-B
wan2 ji1	40-42993-B
wan2 ji1 ben3	40-43031-B
wan2 ji1 ben3 huang2 suan1 na4	40-43110-B
wan2 ji1 su4	45-57534-S
wan2 jia1	42-39068-B
wan2 jie2	19-38093-B
wan2 ju4	27-51246-S,27-51817-S,42-38885-B
wan2 le4	12-26980-S,42-39722-B
wan2 lie4	68-31269-B
wan2 mei3	2-5088-S,19-38225-B
wan2 mei3 wu2 que1	19-38287-B
wan2 nong4	42-39130-B
wan2 nong4 ci2 zao3	42-39217-B
wan2 ou3	42-38161-B
wan2 pi2	68-31654-B
wan2 qi4	42-38997-B
wan2 qiang2	68-31452-B
wan2 quan2	19-36682-B,22-56182-S
wan2 quan2 dong3 de5	19-36828-B
wan2 quan2 gui1 na4 tui1 li3	2-4844-S,19-36908-B
wan2 quan2 jian1 rong4	19-36748-B
wan2 quan2 ye4	2-4964-S
wan2 quan2 yu4 fu4	19-37016-B
wan2 quan2 zhong1 li4	2-4756-S
wan2 r5	20-25917-S,42-38272-B
wan2 r5 de2 zhuan4	42-38672-B
wan2 r5 de5	2-14619-S
wan2 r5 hua1 zhao1	42-38816-B
wan2 ren2 sang4 de2	42-38061-B
wan2 shan4	2-5034-S,19-37104-B,53-21047-S
wan2 shang3	42-40741-B
wan2 shi4 bu4 gong1	42-37925-B
wan2 shou3 wan4	42-39642-B
wan2 shua3	42-40459-B
wan2 su4	45-57709-S
wan2 suo3	42-40348-B
wan2 ting1	40-43261-B,43-6155-S
wan2 tong2	45-57778-S,68-31694-B
wan2 wei4	42-38931-B
wan2 wu4 sang4 zhi4	42-40017-B
wan2 xia2	42-40221-B
wan2 xiao4	42-40304-B,65-38863-S
wan2 xing2	19-37213-B
wan2 xing2 ce4 yan4	19-37531-B
wan2 xing2 xin1 li3 xue2	19-37290-B
wan2 xing2 xin1 li3 zhi4 liao2	19-37431-B
wan2 xing4	42-40549-B
wan2 yi4	20-67929-S
wan2 yi4 er5	42-39546-B
wan2 zai1 tong2	45-57600-S
wan2 zhe3	42-40419-B
wan2 zheng3	19-37748-B,68-33730-S
wan2 zheng3 xing4	19-37799-B
wan2 zheng4	68-31567-B
wan2 zhi2	10-44917-S,61-33174-S
wan2 zhong1 du2	3-38482-S
wan2 zi5	3-1776-B,40-30921-S
wan3	1-6032-S,1-15908-S,2-46033-S,4-22881-S,6-26698-S,8-24448-S,8-24546-S,16-58430-S,17-1129-S,18-41449-S,18-51249-B,18-52623-B,19-49009-B,25-16296-B,26-60171-S,28-321-B,31-14210-S,31-36972-S,31-44629-B,31-47140-B,37-17072-S,37-53822-S,40-1387-B,42-58381-B,44-580-B,44-63795-B,45-30751-S,46-29004-B,47-61784-S,50-4945-B,54-11430-S,54-23313-B,54-27886-B,58-45761-S,58-63301-S,61-8522-B,65-5278-S,69-5520-S
wan3 Qing1	31-45217-B
wan3 an1	31-44951-B
wan3 bao4	10-26721-S,31-44821-B
wan3 bei4	31-45470-B
wan3 bu4	29-26441-S
wan3 can1	31-45787-B,32-20409-S,32-20696-S
wan3 che1	31-45425-B
wan3 cheng1	18-52662-B
wan3 cheng2	17-10568-S
wan3 chi2	37-53935-S
wan3 ci2	18-41502-S,18-52761-B,18-52930-B,28-1020-B,28-1075-B
wan3 dao3	31-45360-B
wan3 e2	28-1130-B
