yīn sī tǎn	25-33076-S
yǒu zhù yú jì yì	32-30618-B
yǒu zhāo yī rì	32-34770-B
yǒu zhēng wú zhàn	32-32359-B
yǒu zhě	26-29082-S
yǒu zhī jué	37-10766-S
yǒu zhǔ	26-28751-S
yǒu zhǔ quán	8-4944-S
yǒu zuì	32-38636-B
yǒu zuò wéi	17-21195-S
yǒu zé rèn	32-39575-B
yǒu zī gé	32-39637-B
yǒu ài	11-43196-B
yǒu è bào	25-21703-S
yǒu ěr	66-40208-S
yǒu ǒu	40-56859-S
yǔ	1-64240-S,1-76013-S,2-41299-S,2-52165-S,2-71549-S,3-7771-S,3-28695-B,4-69542-S,5-4966-S,5-5103-S,5-20731-S,5-30740-B,5-32432-S,5-33645-S,5-33949-S,5-39328-S,6-39851-S,6-42753-B,6-48408-S,7-17775-S,8-12130-S,8-23291-S,8-23392-S,8-25101-S,8-27450-S,8-60594-S,8-63851-S,10-19996-S,10-20069-S,10-29372-S,11-18409-S,11-19011-S,11-20290-S,11-34962-S,11-54144-S,11-69845-S,12-2051-S,12-48043-S,12-50968-S,12-69761-S,12-69879-S,13-1566-S,13-10341-S,13-19755-S,13-26415-S,14-9667-S,14-36363-B,14-63967-S,14-64007-S,15-1157-B,15-1516-B,15-13059-S,15-32270-S,16-20205-S,16-20333-S,16-20577-S,16-21186-S,16-43297-S,16-46090-S,16-50661-S,17-29797-S,17-39967-S,17-67371-S,18-10376-S,18-33808-S,18-41555-S,18-48011-S,18-49633-S,19-2811-S,19-10475-S,19-20560-B,19-47713-S,19-51638-S,19-57353-S,20-10236-B,21-15301-S,21-40433-S,21-49129-B,22-6552-S,22-19837-S,22-20108-S,22-21886-S,23-4115-B,23-30836-S,24-28653-S,25-23521-S,25-28985-S,25-29916-S,25-40457-S,25-51060-S,26-12014-S,26-36048-S,26-57937-S,27-21084-S,27-63276-S,28-9127-S,28-9438-S,28-11963-S,28-12629-S,28-46950-S,28-49993-S,28-50088-S,29-50832-S,29-65255-B,30-37107-B,30-40707-S,30-41445-S,30-41877-S,31-3756-S,31-11580-S,31-12184-S,31-35967-S,31-63144-S,32-612-S,32-792-S,32-924-S,32-1184-S,32-12549-S,32-50878-S,32-57086-S,32-64222-S,33-8772-S,33-40898-S,34-12569-S,34-17695-S,34-26957-B,34-45004-S,34-54917-S,34-56041-S,35-15341-S,35-24872-S,36-4574-S,36-14245-S,36-63401-S,37-34636-S,37-38988-S,37-39395-S,37-41676-S,37-41736-S,37-47611-S,37-48089-S,37-48633-S,38-3835-S,38-6458-S,39-8106-S,39-36991-S,39-41044-S,39-50970-S,40-38607-S,41-16635-S,41-44456-S,42-3713-S,42-60656-B,42-61527-S,43-17527-S,43-17594-S,43-36012-S,43-56543-S,44-17558-B,45-18841-S,45-22085-S,45-61397-S,47-550-S,47-1412-S,47-10113-B,47-13548-S,47-16047-S,47-37178-S,47-57979-B,47-59896-S,48-5268-S,48-50067-S,48-51940-S,49-29285-S,49-34049-S,49-41927-S,49-44584-S,49-49192-S,49-50698-S,50-1734-S,50-23943-S,50-62111-S,51-15458-B,51-23712-S,51-39932-S,53-13815-S,53-21885-B,53-50679-S,53-53586-S,53-60773-S,54-4423-S,54-15163-S,54-20275-S,54-36357-S,54-58362-S,54-62158-S,55-6118-S,55-31741-S,56-30143-S,56-36315-S,56-46427-S,56-59426-S,57-20723-S,57-31944-S,57-56089-S,58-7959-S,58-11200-S,58-11308-S,58-16085-S,58-24766-B,58-26128-S,58-44530-S,58-48772-S,58-51404-S,58-52281-S,58-52948-S,58-53384-S,58-53736-S,59-25214-S,59-55942-S,59-56822-S,59-56962-S,59-59451-S,60-2656-S,60-26823-S,61-12265-S,61-53090-S,62-11395-S,62-30733-S,62-67070-S,63-45734-S,65-26306-S,65-45615-S,65-48840-S,65-56900-S,65-65287-S,66-3489-S,66-4811-S,66-8533-S,66-18257-S,66-21141-S,66-49716-S,67-1109-S,67-13987-B,67-24243-S,67-24302-S,67-41470-S,67-53010-S,67-60464-S,68-12830-S,68-18477-S,68-21657-S,68-58137-S,69-32547-S,69-32630-S,69-64528-S,70-50761-S,70-53553-S,71-28686-S,71-45342-S,71-56488-B
yǔ biǎo	31-55636-S
yǔ bìng	36-38722-S,58-26518-B
yǔ bǐng	48-41056-S
yǔ chéng	47-10168-B
yǔ chóu móu	32-59309-S
yǔ chēng	42-36244-S
yǔ céng yún	67-14228-B
yǔ cí	58-27797-B
yǔ cǐ tóng shí	53-22529-B
yǔ diàn huà xì tǒng zhěng hé	67-34947-S
yǔ diào	58-27857-B
yǔ diǎn	67-15289-B
yǔ duàn	51-16217-B
yǔ dà xué	1-51914-S
yǔ dī	67-14540-B
yǔ fá	50-52223-S
yǔ fā zhǎn zǔ zhī	49-59618-S
yǔ fēng	58-28031-B
yǔ fǎ	11-54182-S,58-26034-B
yǔ fǎ shù yǔ	58-26128-B
yǔ fǎ shū	58-26073-B
yǔ guò tiān qíng	67-14838-B
yǔ guò tiān qīng	67-15029-B
yǔ guān	51-15487-B
yǔ guān xì cóng jù	59-55981-S
yǔ guǒ	50-1268-S,67-14418-B
yǔ gé	53-22486-B
yǔ gǎn	58-25488-B
yǔ gǎn xìng	42-54929-S
yǔ huà	51-15546-B,58-26469-B
yǔ huì	58-11255-S,58-25316-B
yǔ huì tú	67-35574-S
yǔ huā xiāng	70-50916-S
yǔ háng	19-21257-B
yǔ háng fú	19-21414-B
yǔ háng hé tài kōng shǔ	15-5023-S
yǔ háng jú	19-21358-B,51-3886-S,51-6048-S
yǔ háng yuán	19-21303-B
yǔ hé píng	26-19235-S
yǔ hé zuò zǔ zhī	35-29175-S
yǔ hòu chūn sǔn	67-14304-B
yǔ hā mó là	49-26404-S
yǔ jiāo huàn wěi yuán huì	19-24283-S
yǔ jì	67-14184-B
yǔ jìng	7-36364-S,12-34012-S,21-16947-S,58-24994-B,63-64460-S
yǔ jìng xiào yìng	58-25120-B
yǔ jìng yī lài xìng	58-25035-B
yǔ jù	58-24954-B
yǔ jīng	51-16339-B
yǔ kè	51-15663-B
yǔ liàng	67-15246-B
yǔ liào kù	58-25805-B
yǔ liè	51-16378-B
yǔ liú	51-15991-B
yǔ liú yì	29-39202-S
yǔ luó mǎ zì	15-13119-S
yǔ lín	41-18726-S,51-15708-B,67-14375-B
yǔ lóng	21-15347-S
yǔ lù	58-28091-B
yǔ lā bù lā duō	49-19731-S
yǔ mào yì zǒng xié dìng	65-56572-S
yǔ máo	51-15753-B,60-56586-S
yǔ máo bǐ	51-15872-B
yǔ máo duàn	51-15926-B
yǔ máo qiú	51-15807-B
yǔ máo qiú lián hé huì	15-18775-S
yǔ piān jiàn	6-32733-S
yǔ pái	34-56088-S
yǔ pīn yīn	39-51019-S
yǔ pǔ xī lóng	19-21176-B
yǔ qiú	33-30977-S
yǔ quē xiàn	57-56216-S
yǔ qì	6-9395-S,58-25907-B
yǔ qì zhù cí	58-25967-B
yǔ qí	53-22055-B
yǔ qī qī	68-58500-S
yǔ rè	54-4475-S
yǔ rén	15-1592-B,67-14013-B
yǔ róng	51-16163-B
yǔ rú huì	68-58368-S
yǔ rú zhù	17-40009-S
yǔ rú zhū	18-35896-S
yǔ shuǐ	67-14486-B
yǔ shuǐ píng kǎo shì	39-51086-S
yǔ shì cháng cí	53-21966-B
yǔ shí jiān sài pǎo	53-22339-B
yǔ shí jū jìn	53-22111-B
yǔ shí xiāo xi	53-22240-B
yǔ shùn	68-57227-S
yǔ shān	17-16572-S
yǔ shāng rén	25-23672-S
yǔ shēng	58-27149-B
yǔ shī	58-25192-B
yǔ shī cháng zhèng	57-56133-S
yǔ shōu yì de guān xì	68-57982-S
yǔ sù	58-26716-B
yǔ sāo dòng	14-11034-S
yǔ sī	67-14708-B
yǔ sōng	67-14095-B
yǔ sǎn	67-14054-B
yǔ tián	51-16115-B
yǔ tài	58-25565-B
yǔ tài píng yáng	3-61020-S
yǔ tài píng yáng dì qū	3-61111-S
yǔ tóng zhōu	68-58218-S
yǔ wén	19-21091-B,58-25663-B
yǔ wén lǎo shī	58-25719-B
yǔ wú lún cì	58-26363-B
yǔ wú zǔ	68-58576-S
yǔ wā	67-14757-B
yǔ wēi shé	55-53901-S
yǔ xià	36-56328-S
yǔ xiàn	67-60529-S
yǔ xióng zhǎng	70-38048-S
yǔ xióng zhǎng bù kě jiān dé	70-38138-S
yǔ xiāng	40-33681-S,55-44915-S,57-16672-S
yǔ xiǎo	67-22549-S
yǔ xì	11-20357-S,58-26669-B,65-25051-S
yǔ xìn	23-4166-B
yǔ xù	58-25274-B
yǔ xī	9-43042-S
yǔ yuàn wéi	3-31677-S
yǔ yuán	58-26197-B
yǔ yàn	67-14642-B
yǔ yán	2-40245-S,4-17237-S,4-68986-S,4-70189-S,10-39086-S,11-20443-S,12-938-S,12-14179-S,16-61131-S,16-63547-S,19-41950-S,32-10673-S,35-4215-S,35-29987-S,46-47142-S,47-29718-S,51-66865-S,53-9615-S,58-27217-B,60-21389-S,60-39969-S,67-35094-S,68-1616-S,70-19979-S,70-23483-S
yǔ yán chǎn shēng	58-27385-B
yǔ yán néng lì	6-63205-S,58-27532-B
yǔ yán quē xiàn	58-27463-B
yǔ yán shì yuē	58-27601-B
yǔ yán xué	58-27267-B
yǔ yán xué jiā	58-27322-B
yǔ yán xué yuàn	10-28050-S,15-13884-S
yǔ yán xué yì shí	6-63104-S
yǔ yán zhàng ài	58-27728-B
yǔ yán zhī chí	16-61200-S
yǔ yì	58-25359-B,58-26823-B
yǔ yì fēn lèi	58-26950-B
yǔ yì fēn xī	58-26880-B
yǔ yì fēng mǎn	51-16271-B
yǔ yì kōng jiān	58-27079-B
yǔ yì xué	58-27027-B
yǔ yì xìng	58-25436-B
yǔ yún	47-40596-S,58-24843-B
yǔ yān bù xiáng	58-26240-B
yǔ yī	67-14798-B
yǔ yīn	12-34086-S,58-28132-B
yǔ yīn hé chéng	58-28237-B
yǔ yīn jiā gōng	9-23712-S,9-23908-S
yǔ yīn jì qiǎo	58-28517-B
yǔ yīn jì yì	45-66288-S
yǔ yīn shí bié	58-28590-B
yǔ yīn shī yǔ zhèng	58-28309-B
yǔ yīn tōng xùn tōng dào	58-28663-B
yǔ yīn xué	58-28392-B
yǔ yīn xìn hào	58-28170-B
yǔ yīn yì shí	58-28445-B
yǔ yǐ	3-28724-B
yǔ zhuàng fù yè	51-16029-B
yǔ zhèng	17-67461-S,38-53418-S,44-64954-S,56-46795-S,58-28309-S
yǔ zhòng	58-26599-B
yǔ zhòng bù tóng	53-22610-B
yǔ zhòng shāng	25-23577-S
yǔ zhòng xīn cháng	58-27901-B
yǔ zhòu	16-53903-S,19-20595-B
yǔ zhòu fēi chuán	19-21023-B
yǔ zhòu guān	19-20898-B
yǔ zhòu hào	19-20847-B
yǔ zhòu shè xiàn	19-20644-B
yǔ zhòu shēng chéng lùn	19-20711-B
yǔ zhòu sù dù	19-20954-B
yǔ zhòu xiàn	19-20791-B
yǔ zhù cí	58-24897-B
yǔ zhī	58-25615-B
yǔ zhōng	40-47419-S,64-9133-S
yǔ zhōu	47-10233-B
yǔ zhū lì yè	50-57044-S
yǔ zé xià zhù	67-14580-B
