gibbs free energy	53-11296-B
gradually	1-23371-B,8-7582-B,31-12280-B,38-26993-B,38-32697-S,39-55344-B,39-55552-B,39-55606-B,62-2303-B,62-2505-B,66-48171-S,69-45442-S
gradually and entrench oneself at every step	35-42696-S
gradually in number or quantity	50-38303-S,55-13992-S
gradually influenced	38-27152-S
gradually proceed	39-55651-B
graduate	8-39151-S,39-38196-S,43-54755-S,62-29483-S
graduate exam	51-33807-S
graduate of a school	43-54890-B
graduate school	46-14078-B,46-14313-B
graduate student	46-14250-B
graduate studies	46-14078-B
graduated measuring cylinder	64-6087-B,64-6165-B,64-6324-B
graduated scale	9-14440-B
graduation	43-54755-B,43-54826-B
graeme name	33-65978-S
graffiti	16-18840-B,16-18931-B
graft	17-3511-S,28-26405-S,34-24884-S,41-31903-S
graft a branch to a rootstock	18-57884-S
graft money	28-64907-B
graft tree	26-54025-B
grafted	46-15561-S
grafted onto rootstock	28-27236-S
graham or graeme name	33-65978-B
grail	51-47678-S,51-49049-S
grain	8-47509-S,14-62719-S,20-66992-S,22-14971-S,30-34368-B,30-37107-S,42-7416-S,44-58518-S,46-50228-S,47-10695-B,47-10869-S,47-10918-S,47-21950-S,47-21950-S,47-22027-S,47-23066-S,47-29080-S,47-30333-S,47-30388-S,47-36111-S,47-36416-S,47-36694-B,47-36876-B,47-37016-S,47-37228-B,47-38184-S,47-41043-S,47-41154-S,47-41211-S,47-43823-S,47-43886-S,48-47933-S,48-48012-B,48-51177-B,49-1097-S,49-1142-S,49-1178-S,51-38654-S,51-38981-S,53-21450-S,59-59918-B,65-1475-S,66-29753-S,69-16868-S
grain against a famine	47-39927-S,47-40041-S
grain by rolling	60-60939-S
grain come up	12-60690-S
grain crops	47-15758-S
grain crops other than rice and wheat	67-5517-B
grain eating grub	56-7671-B,56-16740-B
grain equal to five dou 五斗 before tang	30-35771-S
grain equal to one tenth dou 斗	10-52837-S
grain equal to one tenth of sheng 升 or liter	12-31102-S
grain equal to ten dou 斗	46-3657-S
grain equal to ten sheng 升 or one tenth dan 石	30-33642-S
grain farmer	49-462-B
grain fed animals	15-1074-B
grain from a store e g to sun it	5-55410-S
grain from granary	49-1214-S
grain from the husk	53-21265-S
grain husk	39-56460-B
grain in beard	53-49961-S
grain in wood etc	49-14630-B,49-15010-B,49-15196-B
grain may be stored in damp climates	48-4191-S
grain mill	46-34472-B,46-39046-B
grain not fully grown	47-21950-B
grain of cereal	47-37091-B
grain of rice	48-48071-B
grain of wood	42-53278-B
grain offerings	43-3352-S
grain on the floor	26-42380-S
grain rain	47-37178-S
grain ration	69-18782-B
grain reserves	6-59073-B
grain rice	48-57375-S
grain size	48-48352-B
grain stalks evenly	47-41373-S
grain tax	24-23390-B
grain used in a prc economic program c 1955 1993	49-211-S
grain weight	14-22803-B
grain while still on the stem	19-4107-S
grained pattern	50-11477-S
grained rice	48-46903-S
grained rice indian rice	48-46956-S,48-47022-S,65-18631-S
grained sticky rice	48-51677-S
grains	3-52290-S,5-51957-S
grains in distilled liquor	48-48601-B
grains maize	48-49691-S
grains of sand	37-17360-B
gram	7-14418-B,7-55243-B,7-56731-B,68-5161-S
gram 1953 1938	68-5161-S
gram negative bacteria that do not retain gram stain	68-5397-B
gram negative of bacteria	33-67971-B
gram positive bacteria	68-5517-B,68-5586-B
gram stain	68-5397-S
gram stain used to distinguished two different kinds of bacteria	68-5256-B
gramineae family including bamboo	47-10729-B
gramm 	44-3863-S,44-4041-S
grammar	6-38622-S,8-50650-S,10-2434-S,12-5734-S,12-58923-S,14-17534-S,14-18423-S,19-37599-S,19-37678-S,23-28916-S,28-16654-S,30-12654-S,30-29544-B,42-49605-S,45-22085-S,58-10824-S,58-11727-S,58-26034-B,58-52216-S,58-53893-S,59-9814-S,62-19792-S,62-43988-S,63-62749-S,64-1687-S,64-6707-S
grammar book	58-26073-B
grammar in english	15-54699-S
grammar number plus classifier	12-56290-B
grammar to modify	5-49913-B
grammatical	9-61830-S
grammatical functions of mood	13-66256-S
grammatical or logical error	58-26518-B
grammatical particle equivalent to 吧	14-291-B
grammatical predicate	58-52281-B
grammatical subject	3-7771-B
grammatical term	58-26128-B
grammatical voice	58-25565-B
grammy award prize for music recording	54-57371-B
gramophone	13-55586-B,13-55838-S,43-51267-B,67-26738-B,67-26799-B,67-26870-B
gramophone needle	13-55962-S,13-56025-S
gramophone record	13-55680-B,13-55782-B,41-44325-B
grams	64-31360-S
granada	33-66054-B
granary	5-51848-B,14-63896-B,23-6017-B,23-15924-S,30-34580-B,36-29732-S,48-45234-S,49-113-B,49-1214-S
grand	2-37387-B,6-25160-B,14-29605-B,16-2580-B,16-3014-B,19-38547-B,19-38684-B,37-45230-B,38-10191-B,40-590-B,45-4622-B,45-62808-B,59-24491-B,66-37284-B,66-38110-B,66-52816-B
grand ambitions to win	13-63360-B,13-63511-B
grand and heroic	45-5482-B
grand canal	4-3293-S,4-3375-S,17-36343-S,17-36391-S
grand canyon colorado	47-21146-S
grand canyon of colorado river	17-16486-B
grand canyon of the nujiang river in tibet and yunnan	24-53041-S
grand ceremony	45-4503-B
grand chancellor	28-14442-B
grand council	60-65846-B
grand duchy	17-6546-B
grand event	45-5863-B
grand fashion for a limited time	45-5370-B
grand father	32-15418-S
grand feast	14-28194-B
grand historian by sima qian 司馬遷 司马迁	12-22624-S
grand jury	17-38738-B
grand justice	17-24810-B
grand national party	17-10950-S
grand niece	5-16783-B
grand occasion	45-4228-B,45-5637-B
grand piano	17-37475-B
grand prince qing title	25-4417-B
grand prince yixin 1833 1898	18-7998-B,25-4489-B
grand prospect	19-38608-B,70-55507-B
grand reputation	17-20161-S
grand scale	17-17476-S
grand scribe	17-57121-B
grand scribe official position in many chinese states up to the han	17-57006-B
grand slam	17-26107-B,39-41096-B
grand style	28-15753-B
grand theater	1-52051-S
grand theft auto vice city computer game	5-42415-B,5-42514-B,5-42624-B
grand total	49-64231-B,50-35872-B
