werther	50-4199-B
wise kings from the east in the biblical nativity story	1-30402-S,33-19070-S
wise man submits to circumstances	58-62673-S
wise may appear stupid 成语 saw	17-20304-S,17-20517-S
wise move	70-15316-B
wise ruler or comprehensive mirror for aid in government	59-52142-S
wish	9-44949-S,16-52867-S,20-556-S,22-2746-S,24-40502-B,24-45070-B,25-25039-S,25-28184-B,25-29267-B,25-53068-B,35-22839-B,46-54683-B,46-55261-B,47-41507-S,58-42209-S,68-45119-B,68-45173-S,68-45341-B
wish a long life	54-45777-B
wish for	22-2829-S,22-20776-S,25-30673-B
wish one could do sth	25-1039-S,25-1203-S
wish sb a happy new year	27-45604-B
wish to continue sth	25-29685-S
wish well	46-54957-B
wish you riches and treasures traditional expression of good will	27-43713-S
wishes	12-47100-S,18-30607-S,24-7608-S,40-62943-S,46-54683-S,47-34681-S,58-27901-S,66-42940-S,66-43747-S,66-43747-S,68-26932-S
wishes for	68-29798-S
wishes for a prosperous new year	25-3836-S
wishes for your new home	14-16005-S
wishes of the deceased	63-3741-B
wishes or interests to serve sb else s	61-45062-S
wishful	39-6836-B
wishful thinking	1-8241-S,1-15485-S,44-21557-B,44-39882-S
wishing one could do sth	25-1039-B,25-1203-B
wishing to acknowledge sb	25-62266-S
wishing to do anything	25-63435-S
wishing to outdo others	57-25715-B
wishing to part	9-63515-S
wishing you a prosperous new year traditional new year greeting	25-3836-B
wisp mysterious lights due to phosphorescence from natural calcium phosphate 磷化鈣 磷化钙 capo3	70-31807-S
wisp of material precipitated from liquid	49-50195-S,49-50281-S
wisps of cloud	27-15528-S
wisteria	49-29783-B
wit	68-57539-B
wit s end	40-61520-S
witch	18-20488-B,18-34433-B,21-62621-B,21-62674-B,21-63191-B,36-3719-B,42-6513-B
witch doctor	21-63242-B
witch esp european	18-34624-B
witchcraft	21-62979-B,21-63148-B,46-51389-B,56-22172-S,56-22309-S
with	1-65638-S,1-68053-S,1-74575-S,1-77863-S,2-3706-S,2-20331-S,2-23276-S,2-23276-S,2-46462-S,2-48124-S,3-26459-S,3-26459-S,3-26459-S,4-30250-S,4-35588-B,4-52755-S,4-56929-S,5-5739-S,5-24622-S,5-25670-S,6-4958-S,6-13185-S,6-13791-S,6-13829-S,6-13867-S,6-13867-S,6-22478-S,6-47737-S,6-65502-S,7-16897-S,7-32192-S,8-4727-S,8-60791-S,9-12755-S,10-12793-S,10-12793-S,10-12793-S,10-16357-S,10-64032-S,10-64305-S,11-36486-S,11-37024-S,12-31449-S,12-33311-S,12-34348-S,12-34662-S,12-36652-S,12-45156-B,12-46183-S,12-51574-S,12-61824-S,13-12129-S,13-12129-S,13-21452-S,13-21452-B,13-48869-S,14-16151-S,14-60399-S,17-71892-S,18-2351-S,18-6236-S,18-6236-S,18-31896-S,18-50399-S,18-56914-S,19-29778-S,19-65493-S,20-36775-S,20-46890-S,20-46890-S,20-55111-S,20-57602-S,21-26938-S,22-8911-S,22-50849-S,23-6895-S,23-7032-S,23-23323-S,23-23323-S,23-23323-S,23-23323-S,23-26222-S,23-26368-S,23-64931-S,24-10189-S,24-45889-S,25-32435-S,25-32435-S,25-35162-S,25-58821-S,26-28197-S,26-40675-S,26-40675-S,27-60989-S,27-62634-S,28-6629-S,28-7420-S,28-26662-S,28-27873-S,28-28131-S,28-34847-S,28-58280-S,28-59997-S,28-60925-S,29-23236-S,29-23527-S,29-28349-S,29-29869-S,30-1663-S,32-25790-S,32-40446-S,34-41649-S,36-8553-S,36-8845-S,36-12117-S,37-330-S,37-4404-S,37-51412-S,38-53260-S,38-53260-S,39-38483-S,39-38483-S,39-40366-S,39-40515-S,39-40515-S,40-18072-S,41-6501-S,41-7437-S,41-15394-S,41-16739-S,42-5993-S,42-26064-S,42-37776-S,42-39130-S,42-39130-S,42-39357-S,42-40221-S,43-18301-S,44-5002-S,44-62715-S,45-5689-S,45-11012-S,45-28990-S,45-29223-S,45-30627-S,46-20852-S,46-30533-S,47-44380-S,48-6114-S,48-6114-S,48-6114-S,48-6114-S,48-6114-S,48-6114-S,48-6114-S,48-33175-S,49-14566-S,49-39970-S,49-43005-S,49-43005-S,49-44516-S,50-15520-S,50-42557-S,50-43216-S,50-43216-S,51-19740-S,51-35349-S,51-42569-S,51-57830-S,51-62407-S,51-62689-S,52-426-S,52-49844-S,52-49979-S,53-21885-S,54-53041-S,55-48615-S,55-48615-S,55-49051-S,55-50218-S,56-10531-S,56-61344-S,57-62522-S,57-65349-S,58-20384-S,58-21789-S,58-41200-S,59-59387-S,60-28626-S,60-28626-S,60-28706-S,60-28706-S,60-37298-S,60-37298-B,60-37450-S,60-37450-S,60-37520-S,61-6390-S,61-8801-B,61-34549-S,61-53436-S,61-54414-S,61-60343-S,61-63346-S,62-3416-S,62-19670-S,62-20085-S,62-20085-S,62-35623-S,62-44078-S,62-45148-S,62-68298-S,62-68385-S,62-68498-S,62-68579-S,63-1584-S,63-37383-S,63-37495-S,63-37495-S,63-37495-S,63-37495-S,64-18702-S,64-33491-S,65-53904-S,66-31809-S,66-31809-S,66-42753-S,66-44837-S,67-11322-S,67-13206-S,68-2948-S,68-24052-S,68-48800-S,70-6958-S,70-29056-S,71-53268-S,71-63972-S
with 	32-66457-S
with 0 and 1 interchanged	56-58131-S
with 13 to 16 strings	48-23434-S
with 13 to 25 strings	12-4652-S
with 3 legs and loop handle	41-40783-S
with 3 reeds	48-44051-S
with 4th may 1919 protest against the treaty of versailles	3-48098-S,3-48299-S
with 7 or 8 holes	48-3745-S,48-34768-S
with 8 holes	48-23386-S
with a bait	13-63957-S
with a ball	26-46926-S
with a basin on one s head 成语 saw	26-23741-S
with a beautiful woman	59-22531-S
with a big knife chop leaving the minor details to clear up later	61-44878-S
with a big stick	26-45935-S
with a birth defect	35-63350-S
with a bodhisattva	54-31284-S,62-50006-S,64-7828-S
with a brush	28-11251-S,28-49770-S
with a cloth	8-15802-S
with a cold	71-53060-S
with a comparative stranger	3-70754-S
with a courtyard	19-20496-S
with a crash	14-31033-B,14-31146-B
with a current crisis	27-67201-S
with a dark green leaf	53-62854-S
with a gift	63-43311-S,63-43365-S
with a girl	12-44261-S
with a glance	45-52361-S
with a guru	11-62063-S
with a halogen such as chlorine	71-3172-S
with a head like a sturgeon	70-42497-S
with a hole at the center	27-48891-S
with a hook and bait	64-19637-S
with a lathe	60-58341-S
with a laugh 成语 saw	4-26876-S
with a like minded person in distress	53-50755-S,53-50932-S
with a literary reputation 成语 saw	32-13007-S
with a little help from his friends	14-59084-B
with a local	21-2056-S
with a long handle	64-32091-S
with a loud bang	61-31892-B
with a manager	13-9193-S
with a matter	55-49195-S
with a member of the opposite sex	26-43949-S
with a miraculous feat	69-59540-S
with a mishap	8-34266-S
with a mop	27-47436-S
with a muck rake 成语 saw	5-57061-S
with a narrow waist	51-14705-S
with a nasal twang	71-53060-S
with a negative	58-63150-S
with a pair of legs on each segment	5-54643-S
with a paper seal	9-54151-S
with a pen etc	48-40267-S
with a pestle	46-28906-S
with a plan	32-32561-B
with a poem	63-43138-S
with a poker	29-11950-S
with a pole	48-28135-S
with a previous sentence or clause	9-16471-S
with a problem	68-2948-S
with a pump	28-51748-S
with a rebuff	46-31692-S,47-56449-S
with a remaining grievance	35-55881-S,35-56041-S
with a request	41-9730-S
with a respiratory function similar to hemoglobin	56-29282-S
with a rope	50-25390-S
with a round mouth and two or four handles	48-35521-S
with a row of colored garlands	53-55691-S
with a saw	64-39269-S
with a seal	10-14185-S
with a sigh 成语 saw	4-26525-S,4-26631-S
