qū chǐ lóu tī	32-4616-B
ren chu gong huan zheng	4-14730-B
ren chuan ren	4-6378-B
ren chuang	14-16629-S,66-63467-S
ren chui xiao	42-29584-S
ren ci	4-11455-B,4-20996-B
ren cong	4-6810-B,4-9258-B,4-42919-B
ren cuo	58-22541-B
ren da	2-52797-S,4-7848-B,7-34938-S
ren da hui yi	7-35036-S
ren da xue	61-8699-S
ren dai	68-10915-B
ren dan	4-43883-B
ren dan you	32-17116-S,32-17315-S
ren dang	21-52969-S,22-66747-S
ren dao	1-66964-S,4-17332-B,25-47875-S
ren dao jiu yuan	4-17558-B
ren dao zhu yi	4-17476-B
ren dao zui	11-43867-S
ren de	58-20576-B
ren de dao ji quan sheng tian	1-1662-S
ren de guan dian	32-60649-S
ren de zhu	24-42924-B
ren di	54-43309-S
ren di qu	64-29958-S
ren dian nao	5-53016-S
ren ding	4-8066-B,58-20384-B
ren ding sheng tian	4-8138-B
ren dong yi	1-68297-S
ren dou fu	33-6455-S
ren du	25-46843-S
ren duo shi zhong	4-7782-B
ren er jie	61-44878-S
ren er mu	28-33271-S
ren er yi	14-59228-S
ren fa	58-21490-B
ren fa xiao	62-3618-S
ren fa zhi	4-34664-S
ren fan	35-66631-S
ren fang	66-63528-S
ren fang hu zhuang bei	5-52905-S
ren fu yu shi	4-13833-B
ren gan	53-67638-S,59-40718-S
ren gao ma da	4-19289-B
ren ge	4-10776-B
ren ge hua	4-10838-B
ren ge mei li	4-10990-B
ren ge shen	4-10913-B
ren gong	3-3667-S,4-8674-B
ren gong chui qi	9-7595-S
ren gong dao	4-8820-B
ren gong gai nian	4-8969-B
ren gong he	4-9045-B
ren gong liu chan	4-9113-B
ren gong shou yun	4-8740-B
ren gong zhao liang	4-9179-B
ren gong zhi neng	4-8883-B
ren gou	58-22389-B,60-24871-S
ren gou r bu lu chi	13-28660-S
ren gou tou sheng	24-42815-B
ren gu quan	6-57381-S
ren gu wu	1-67151-S,4-34796-S
ren hai	4-8597-S,4-13954-B
ren he	4-41870-B,15-38707-S,17-48022-S,29-57997-S
ren he qi ta	4-41986-B
ren he ren	4-41936-B
ren hou chen	35-41945-S
ren hou mian bi you yi ge feng xian de nu: ren	26-8394-S
ren hou wu lai zhe	9-21785-S
ren hua	66-63588-S
ren huan	4-8452-B,25-48314-S
ren huo	4-15084-B,17-50130-S
ren ji	4-18030-B,50-26910-S
ren ji ai e	24-44174-B
ren ji guan xi	4-18096-B
ren ji han	4-16593-B
ren ji jia zu	4-15677-B
ren ji jie mian	4-11067-B
ren jia	4-8271-B,4-8396-B,51-25052-S
ren jia shi	40-46185-S
ren jia yi	6-5571-S,6-5751-S
ren jian	4-17697-B,14-16687-S,45-15041-S,66-63648-S
ren jian di yu	4-17753-B
ren jian r	4-8507-B
ren jian tian tang	4-17927-B
ren jiao	4-43396-B,58-21543-B
ren jie	4-6210-B,13-50084-S,25-12225-S,25-31111-S,61-61611-S
ren jie di ling	4-6306-B
ren jie ji	21-52900-S
ren jie kuai le	25-12286-S,25-31171-S
ren jin bu jiao ao shi ren luo hou	55-51582-S
ren jin qi cai	4-14809-B,4-14927-B
ren jing	4-15449-B,19-58740-S,32-8741-S,56-31402-S
ren jing yang	45-52925-S
ren jing yi	4-34595-S
ren jiu	4-42763-B
ren jun	4-7529-B,24-42626-B
ren jun bu jin	24-42667-B
ren jun zi	38-41423-S
ren ke	4-43934-B,58-20099-B
ren kou	4-6860-B,38-2380-S
ren kou chou mi	4-7147-B
ren kou diao cha	4-7318-B
ren kou mi du	4-6959-B
ren kou pu cha	4-7086-B
ren kou shu	4-7031-B
ren kou tong ji xue	4-7211-B
ren kou xue	4-6904-B
ren kuang	35-66693-S
ren lao ren yuan	4-42558-B
ren le qu	6-65579-S
ren lei	4-18357-B,11-43947-S,12-175-S
ren lei ji yin zu ji hua	4-18553-B
ren lei mian yi que xian bing du	4-18418-B
ren lei xue	4-18659-B
ren lei xue jia	4-18716-B
ren lei zui	11-43999-S
ren li	4-6453-B
ren li bi	6-26284-S
ren li che	4-6576-B
ren li che fu	4-6628-B
ren li ji	28-52200-S
ren li shi guo	22-29820-S
ren li zi yuan	4-6506-B
ren lian he hui	2-59889-S
ren ling	58-22621-B
ren ling ban	6-32442-S
ren liu	4-13607-B
ren liu shou shu	4-13718-B
ren long	4-19496-B
ren lu	12-53708-S
ren luo hou	55-51582-S
ren ma	4-18786-B,10-54678-S
ren ma bi	4-18952-B
ren ma zuo	10-54741-S
ren men	4-6171-B
ren men hu	6-26358-S
ren mian	4-42201-B
ren mian xiang	42-16389-S
ren min	2-52886-S,4-11685-B,10-4717-S,51-3015-S
ren min bi	4-12441-B
ren min bi yuan	4-12499-B
ren min da hui tang	4-12350-B,10-25596-S
ren min dai biao	4-11729-B
ren min dai biao da hui	7-35145-S
ren min dang	11-18763-S
ren min fa yuan	4-12847-B,32-21788-S
ren min gong di	4-11813-B
ren min gong he guo	4-12165-B,32-50611-S,54-61843-S
ren min gong she	4-11918-B
ren min gong she hua	4-11991-B
ren min guang chang	4-12574-B
ren min ji ben quan li	4-12249-B
ren min jian cha yuan	32-21641-S
ren min jie fang jun	4-13281-B
ren min jing cha	4-13373-B
ren min min zhu zhuan zheng	4-12733-B
ren min ri bao	4-12649-B
ren min wang	4-12944-B
ren min xing dong dang	4-13162-B
ren min yin hang	2-53837-S,4-13453-B
ren min ying xiong ji nian bei	4-13039-B
ren min zhen xian	4-13536-B
ren min zhi yuan jun	2-53067-S
ren ming	4-7381-B,4-7429-B,4-42705-B,8-34386-S,58-20232-B,58-20665-B
ren nai	24-43503-B
ren nai li	24-43598-B
ren nei	4-42258-B
ren pei	58-22228-B
ren pi bu	68-11001-B
ren ping	4-43231-B
ren qi	4-43467-B,4-43514-B,50-34774-S
ren qi tun sheng	24-43144-B
ren qi zi ran	4-42308-B
ren qian kua	32-31814-S
ren qin	58-21656-B
ren qin pei	4-34450-S
ren qing	2-33223-S,4-9478-B,4-43038-B,32-29839-S,58-20927-B,68-25384-S,68-54242-S
ren qing shi gu	4-9601-B
ren qing wei r	4-9728-B
ren qiong zhi duan	4-15336-B
ren qu	40-46121-S
ren qu lou kong	4-6697-B
ren quan	4-11137-B
ren quan dou shi	4-11348-B
ren quan fa	4-11184-B
ren quan guan cha	4-11257-B
ren quan jiang	55-23607-S,55-23934-S
ren qun	4-15814-B
ren r	33-35683-S,58-19883-S
ren rang	24-43660-B
ren ren	4-6043-B,4-41517-B,24-44736-S,51-22762-S,58-19786-B
ren ren r	58-19883-B
ren ren wei qin	4-41576-B
ren ren wei xian	4-41706-B
ren ren zhi shi	4-20172-B
ren ri bao	21-52830-S
ren ri ji	42-3960-S
ren rou sou suo	4-15855-B
ren ru fu zhong	24-44065-B
ren ru han gou	24-43852-B
ren ru ji	25-32798-S
ren ru qiu quan	24-43970-B
ren ru sheng	23-27516-S
ren ru tou sheng	24-43744-B
ren san ba huo	30-46964-S
ren san xiang	65-2232-S
ren sang de	42-38061-S
ren sha	69-1819-S
ren shan ren hai	4-8597-B
ren shang hai	5-52687-S
ren shen	4-6768-B,4-16688-B,16-36699-B,16-62913-S,18-33990-B
ren shen quan	4-16747-B
ren shen shi yan	18-34044-B
ren sheng	4-14509-B,58-21114-B
ren sheng lu bu shu	4-14639-B
ren sheng ru meng	4-14549-B
ren shi	2-20473-S,4-5602-B,4-5750-B,4-7573-B,4-11602-B,4-41451-B,8-54641-S,12-29989-S,13-47565-S,25-40770-S,29-56651-S,31-57712-S,32-40549-S,37-63989-S,38-29998-S,41-33397-S,42-7048-S,42-55017-S,43-63236-S,45-15174-S,45-63193-S,50-3826-S,57-42217-S,58-21789-B,62-51038-S,67-10792-S,68-147-S
ren shi biao	40-31955-S
ren shi bu men	4-5868-B
ren shi bu neng	58-21926-B
ren shi guan li	4-5793-B
ren shi lun	58-21988-B
ren shou	2-2711-S,4-9802-B,24-42769-B,40-56004-S
ren shou bao xian	4-7634-B
ren shou dong	4-9845-B
ren shou nian feng	4-7706-B
ren shu	4-10164-B,25-42168-S,35-56339-S,58-22481-B
ren shu shi	41-15046-S
ren si	4-11553-B
ren si ke	28-9364-S
ren si kou r	58-20727-B
ren si li	58-20788-B
ren si li r	58-20839-B
ren sui	4-44476-B
ren suo	4-43321-B
ren suo zhi	12-25246-S
ren tai shen	35-23119-S
ren tan	4-34194-S
ren tan wei guan zhi	4-34251-S
ren ti	4-19033-B,68-11050-B
ren ti jie pou	4-19142-B
ren ti jie pou xue	4-19210-B
ren ti qi guan	4-19076-B
ren ti tuo	27-53621-S
ren ting	4-43792-B
ren ting wen	51-67318-S
ren tong	24-43393-B,58-20169-B
ren tou	4-18177-B,58-22731-B
ren tou di	8-34637-S
ren tou piao	1-68410-S
ren tou shi shen	4-18240-B
ren tou shui	4-18303-B
ren wang	19-63585-S
ren wei	3-29873-S,4-14066-B,58-21041-B
ren wei ben	4-35812-S
ren wei kuai le zhi ben	9-60911-S
ren wei le	9-61028-S
ren wei qin	4-41576-S
ren wei sheng	5-52832-S
ren wei shi	27-44712-S
ren wei xian	4-41706-S
ren wen	4-10214-B,25-46988-S
ren wen she hui xue ke	4-10390-B
ren wen she ke	4-10497-B
ren wen xue	4-10335-B
ren wen zhu yi	4-10272-B
ren weng	3-3755-S
ren wu	3-41350-S,4-14336-B,4-42442-B,6-35160-S,16-36405-B,16-53167-S,19-5013-S,53-61249-S,58-9773-S,68-40227-S,68-52532-S,68-58730-S
ren wu ke ren	24-43266-B
ren wu lan	4-42507-B
ren wu lian	41-56645-S
ren wu miao xie	4-14400-B
ren xi ai	62-3560-S
ren xia	4-42116-B
ren xia shui	27-35393-S
ren xian	21-41208-S,34-7499-S,57-61887-S
ren xian gao zhuang	25-19103-S
ren xian mu	59-13621-S
ren xian shi neng	4-44001-B
ren xiang	6-5695-S,35-53350-S,62-52614-S
ren xiang ni	32-29891-S
ren xiao	26-24834-S
ren xin	2-8568-S,4-9311-B,17-17661-S,24-43001-B,59-40651-S
ren xin fu	5-12840-S
ren xin xian	26-53488-S
ren xing	4-9383-B,4-42973-B,68-10957-B
ren xing dao	4-16279-B
ren xing di xia tong dao	4-16103-B
ren xing heng dao	4-16202-B
ren xing qu	4-16039-B
ren xu	16-36625-B
ren xuan	4-17631-B,4-44163-B
ren ya hui	27-53744-S
ren yan	4-14172-B,33-26608-S,37-10028-S,39-7372-S,54-18048-S
ren yan li chu Xi Shi	25-12113-S
ren yan xi shao	4-14230-B
ren yao	4-7915-B
ren yao shi	47-11915-S
ren yi	4-21316-B,4-43119-B,14-3980-S,22-0-S
ren yi ge	4-41312-B
ren yi liao	8-34571-S
ren yi qiu	4-43178-B
ren yi wai	8-34461-S
ren yi zhong	47-9333-S
ren yin	16-36550-B
ren yin hang	13-57942-S
ren yong	4-43564-B
ren you	4-43619-B
ren you tian	33-10940-S
ren yu	4-19358-B,51-1874-S
ren yu xiao jie	4-19415-B
ren yuan	3-7062-S,4-7474-B,4-14465-B,4-42558-S,7-42991-S,11-38513-S,12-24288-S,15-39198-S,20-41753-S,21-53120-S,24-11787-S,36-25730-S,46-61190-S,47-20613-S,50-8392-S,57-32691-S,58-38071-S,58-38748-S,61-2432-S,63-50781-S,65-39234-S,68-47232-S
ren yue dui	58-34132-S
ren yun yi yun	4-5939-B
ren zai	17-21109-S
ren zai xiang ni	32-29744-S
ren zao	4-16900-B
ren zao si	4-17039-B
ren zao tian ti	4-16963-B
ren zao wei xing	4-17160-B
ren zao xian wei	4-17088-B
ren zao yu yan	4-17237-B
ren zei zuo fu	58-22059-B
ren zhang	2-29576-S,4-28057-S,58-22310-B
ren zhang guo	4-28111-S
ren zhe	24-43454-B,50-42720-S
ren zhen	58-21168-B
ren zhen fen	4-34366-S
ren zhen jing	4-34516-S
ren zhen shi	45-40686-S
ren zheng	58-21727-B
ren zheng wu zheng	4-16333-B
ren zhi	2-17902-S,4-16552-B,4-43736-B,49-24631-B,58-21253-B,59-40579-S
ren zhi di	54-43222-S
ren zhi ju	69-59540-S
ren zhi lu	17-50257-S
ren zhi ma	49-21579-S
ren zhi shen jing xin li xue	58-21311-B
ren zhi shi	4-20172-S
ren zhi wei	3-12489-S
ren zhong	4-5647-B,4-15132-B,4-44249-B,32-39222-S,44-44465-S
ren zhong cheng juan shu	32-33225-S
ren zhong dao yuan	4-44306-B
ren zhu	37-8948-S
ren zhu mu	23-27695-S
ren zhu yi	2-11725-S,5-52620-S,23-27595-S
ren zhun	58-20989-B
ren zi	4-8023-B,16-36477-B,58-20323-B,63-29806-S
ren zi rao	23-3448-S
ren zu	19-63788-S
ren zui	58-21426-B
ren zuo	58-19956-B
ren2	1-2159-S,1-6781-S,1-19078-S,1-20498-S,1-23164-S,1-67015-S,1-76291-S,2-37637-S,2-45600-S,2-52721-S,2-78899-S,2-83535-S,3-3622-S,3-5673-S,3-20958-S,3-26218-S,4-5355-B,4-6043-S,4-6378-S,4-20136-B,4-21812-S,4-24967-S,4-25829-S,4-27991-S,4-32475-S,4-33417-S,4-33981-S,4-35073-S,4-38187-S,4-38614-S,4-38835-S,4-41517-S,4-41936-S,4-55072-S,4-60709-S,5-2233-S,5-5561-S,5-5943-S,5-10944-S,5-26596-S,5-28478-S,5-32363-S,5-33141-S,5-39470-S,5-39854-S,5-49003-S,5-52494-S,5-52560-S,5-62994-S,5-64277-S,6-495-S,6-3706-S,6-5530-S,6-7209-S,6-10543-S,6-14428-S,6-21347-S,6-33514-S,6-39776-S,6-42892-S,6-43060-S,6-43446-S,6-50881-S,6-51459-S,7-5005-S,7-19674-S,7-61668-S,7-64702-S,7-71495-S,7-72278-S,8-29136-S,8-30097-S,8-36975-S,8-38370-S,9-3007-S,9-18007-S,9-36129-S,9-37059-S,9-37763-S,9-68476-S,10-25495-S,10-65294-S,11-18704-S,11-20156-S,11-20830-S,11-22184-S,11-41027-S,11-42996-S,11-56732-S,11-59744-S,11-63102-S,11-64531-S,12-61-S,12-19211-S,12-21077-S,12-28223-S,12-31718-S,12-32786-S,12-40216-S,12-40385-S,12-41354-S,12-45379-S,12-53654-S,12-56131-S,12-60458-S,13-2158-S,13-10969-S,13-12951-S,13-21082-S,13-39916-S,13-57886-S,14-56186-S,14-61758-S,15-1592-S,15-30822-S,15-32438-S,15-65682-S,16-16490-S,16-16971-S,16-29697-S,16-34610-S,16-36293-B,16-43196-S,16-45666-S,16-46495-S,16-48431-S,16-51374-S,17-60138-S,18-8255-S,18-11506-S,18-19133-S,18-19193-S,18-20525-S,18-22087-S,18-32547-S,18-34518-S,18-41705-S,18-46551-S,18-54484-S,18-55718-S,18-57693-S,18-57952-S,18-59022-S,19-23000-S,19-35531-S,19-51267-S,19-51582-S,19-58544-S,19-60901-S,20-1353-S,20-6595-S,20-21976-S,20-37740-S,20-69270-S,21-13184-S,21-16522-S,21-41133-S,21-52789-S,21-60869-S,22-18549-S,22-19669-S,22-29060-S,22-29724-S,22-41929-S,22-49713-S,22-66670-S,23-2041-S,23-3398-S,23-8342-S,23-13852-S,23-63118-S,23-66810-S,24-23979-S,24-24648-S,24-44736-S,24-58373-S,24-64646-S,25-1582-S,25-9626-S,25-12062-S,25-19037-S,25-23374-S,25-23672-S,25-24594-S,25-28392-S,25-31055-S,25-33619-S,25-35432-S,25-36294-S,25-38771-S,25-63390-S,25-64296-S,26-3758-S,26-7727-S,26-7768-S,26-8394-S,26-9713-S,26-12862-S,26-37448-S,26-37845-S,26-38739-S,26-60773-S,27-808-S,27-3339-S,27-42942-S,27-56414-S,27-56636-S,28-5292-S,28-18899-S,28-25112-S,28-27014-S,29-1659-S,29-1802-S,29-6370-S,29-8785-S,29-13274-S,29-14781-S,29-16125-S,29-27081-S,29-40094-S,29-42715-S,29-58640-S,29-60279-S,30-17439-S,30-25447-S,30-34012-S,30-43737-S,30-44397-S,30-54819-S,31-2669-S,31-8346-S,31-17866-S,31-22001-S,31-51503-S,31-56645-S,31-57537-S,32-28069-S,32-29584-S,32-29640-S,32-32698-S,32-54979-S,32-56080-S,32-58131-S,32-60530-S,32-62287-S,33-1279-S,33-1856-S,33-6406-S,33-27342-S,33-42186-S,33-55268-S,33-58385-S,34-428-S,34-2651-S,34-5466-S,34-7289-S,34-25419-S,34-27555-S,34-41594-S,34-42097-S,34-48665-S,35-2782-S,35-27129-S,35-28511-S,35-56579-S,35-63291-S,35-66319-S,36-5063-S,36-5119-S,36-19052-S,36-25306-S,36-45214-S,36-48722-S,36-59828-S,37-9977-S,37-20545-S,37-24894-S,37-29288-S,37-29391-S,37-29837-S,37-49576-S,37-63473-S,38-34879-S,39-5600-S,39-35477-S,39-48121-S,40-21575-S,40-31899-S,40-32311-S,40-34919-S,40-37387-S,40-46068-S,40-61953-S,41-14993-S,41-33357-S,41-51709-S,41-52464-S,42-251-S,42-2364-S,42-3918-S,42-9587-S,42-14366-S,42-15475-S,42-24437-S,42-28888-S,42-29480-S,42-61476-S,42-61635-S,43-1882-S,43-16627-S,43-18257-S,43-32114-S,43-34061-S,43-44091-S,43-44925-S,43-63875-S,43-65410-S,44-8437-S,44-26148-S,44-30081-S,44-33502-S,44-34106-S,44-34505-S,44-36211-S,44-36630-S,44-53411-S,45-5553-S,45-9479-S,45-10285-S,45-16023-S,45-19465-S,45-23064-S,45-31851-S,45-39795-S,45-39958-S,45-40625-S,45-52881-S,45-55126-S,46-733-S,46-1835-S,46-31310-S,46-47550-S,46-53789-S,46-57751-S,47-11857-S,47-17348-S,47-36057-S,47-56973-S,47-61861-S,48-7387-S,48-8814-S,48-26631-S,49-6537-S,49-17202-S,49-18987-S,49-21515-S,49-45481-S,49-59265-S,49-61747-S,50-1019-S,50-1565-S,50-27170-S,50-42958-S,50-51528-S,50-54057-S,51-1828-S,51-2939-S,51-5509-S,51-12393-S,51-14984-S,51-22762-S,51-24999-S,51-27819-S,51-40526-S,51-44389-S,51-51491-S,51-56722-S,52-2408-S,52-19564-S,52-26908-S,52-49750-S,53-5158-S,53-6537-S,53-7215-S,53-8835-S,53-22950-S,53-26617-S,53-40600-S,54-2059-S,54-31771-S,54-37261-S,54-58214-S,54-61792-S,55-30641-S,55-31113-S,55-32276-S,56-76-S,56-7805-S,56-24109-S,56-31257-S,56-51080-S,56-51500-S,56-51934-S,56-54715-S,56-55981-S,57-4166-S,57-4635-S,57-4762-S,57-17925-S,57-19405-S,57-25020-S,57-31055-S,57-36708-S,57-37861-S,58-13959-S,58-19786-S,58-43561-S,58-49246-S,58-49359-S,58-59853-S,58-60119-S,59-6287-S,59-32262-S,59-42472-S,59-46061-S,59-56323-S,59-57929-S,60-9520-S,60-19733-S,60-37589-S,60-41584-S,60-63684-S,61-4695-S,61-6892-S,61-9071-S,61-38843-S,61-39557-S,61-47304-S,61-53555-S,61-61549-S,61-63508-S,62-3500-S,62-33860-S,62-36278-S,62-43320-S,62-48338-S,62-60192-S,63-1087-S,63-16291-S,63-29742-S,63-31841-S,63-34847-S,64-2946-S,64-4417-S,64-11165-S,64-29885-S,65-120-S,65-42555-S,65-45230-S,65-70081-S,66-2736-S,66-6650-S,66-7927-S,66-16629-S,66-61462-S,66-63401-S,67-14013-S,67-15728-S,67-42883-S,67-55304-S,67-66430-S,68-9702-S,68-11480-S,68-34038-S,69-1726-S,69-27015-S,69-32154-S,69-32396-S,69-32691-S,69-46047-S,69-49782-S,69-53530-S,69-59494-S,70-39874-S,70-40421-S,70-58539-S,71-22143-S,71-29012-S
ren2 Man3 zu2 zi4 zhi4 xian4	34-7355-S
ren2 Ti3 yu4 chang3	10-25990-S
ren2 ai4	4-20799-B
ren2 an1 quan2 dao3	56-31302-S
ren2 an4	35-66498-S
ren2 an4 jian4	35-66567-S
ren2 bang1	14-46254-S
ren2 bao3	4-6098-B
ren2 bu4 fu4	40-32129-S
ren2 bu4 guo4 tou2 dian3 di4	35-66390-S
ren2 bu4 ke3 mao4 xiang4	4-5395-B
ren2 bu4 kuai4	4-34113-S
ren2 bu4 qian3	19-58633-S
ren2 bu4 zhi1 gui3 bu4 jue2	4-5507-B
ren2 cai2	4-9911-B,4-10590-B,4-15763-B,20-39715-S
ren2 cai2 liang3 kong1	4-16429-B
ren2 cai2 wai4 liu2	4-10097-B
ren2 chao2	4-14015-B
ren2 che1 hun2 xing2	4-16815-B
ren2 chen2	4-15975-B,16-36768-B
ren2 cheng1	4-15184-B,48-8302-S
ren2 cheng1 dai4 ci2	4-15256-B
ren2 cheng2 hu3	1-29980-S
ren2 cheng2 shi4	14-59084-S
ren2 chong2	19-58855-S
ren2 chong2 bai4	5-52759-S
ren2 chu4 gong4 huan4 zheng4	4-14730-B
ren2 chuan2 ren2	4-6378-B
ren2 chuang2	14-16629-S,66-63467-S
ren2 chui1 xiao1	42-29584-S
ren2 ci2	4-20996-B
ren2 ci4	4-11455-B
ren2 cong2	4-6810-B,4-9258-B
ren2 da4	2-52797-S,4-7848-B,7-34938-S
ren2 da4 hui4 yi4	7-35036-S
ren2 da4 xue2	61-8699-S
ren2 dan1 you1	32-17116-S,32-17315-S
ren2 dang3	21-52969-S,22-66747-S
ren2 dao4	1-66964-S,4-17332-B,25-47875-S
ren2 dao4 jiu4 yuan2	4-17558-B
ren2 dao4 zhu3 yi4	4-17476-B
ren2 dao4 zui4	11-43867-S
ren2 de2 dao4 ji1 quan3 sheng1 tian1	1-1662-S
ren2 de5 guan1 dian3	32-60649-S
ren2 di2	54-43309-S
ren2 di4 qu1	64-29958-S
ren2 dian4 nao3	5-53016-S
ren2 ding4	4-8066-B
ren2 ding4 sheng4 tian1	4-8138-B
ren2 dou4 fu5	33-6455-S
ren2 duo1 shi4 zhong4	4-7782-B
ren2 er2 yi4	14-59228-S
ren2 er3 mu4	28-33271-S
ren2 fa1 xiao4	62-3618-S
ren2 fa4 zhi3	4-34664-S
ren2 fan4	35-66631-S
ren2 fang2	66-63528-S
ren2 fang2 hu4 zhuang1 bei4	5-52905-S
ren2 fu2 yu2 shi4	4-13833-B
ren2 gan1	53-67638-S
ren2 gao1 ma3 da4	4-19289-B
ren2 ge2	4-10776-B
ren2 ge2 hua4	4-10838-B
ren2 ge2 mei4 li4	4-10990-B
ren2 ge2 shen2	4-10913-B
ren2 gong1	3-3667-S,4-8674-B
ren2 gong1 chui1 qi4	9-7595-S
ren2 gong1 dao3	4-8820-B
ren2 gong1 gai4 nian4	4-8969-B
ren2 gong1 he2	4-9045-B
ren2 gong1 liu2 chan3	4-9113-B
ren2 gong1 shou4 yun4	4-8740-B
ren2 gong1 zhao4 liang4	4-9179-B
ren2 gong1 zhi4 neng2	4-8883-B
ren2 gou3 r5 bu4 lu4 chi3	13-28660-S
ren2 gu3 wu3	1-67151-S,4-34796-S
ren2 hai3	4-8597-S,4-13954-B
ren2 he2	15-38707-S,17-48022-S,29-57997-S
ren2 hou4 chen2	35-41945-S
ren2 hou4 mian5 bi4 you3 yi1 ge4 feng4 xian4 de5 nu:3 ren2	26-8394-S
ren2 hou4 wu2 lai2 zhe3	9-21785-S
ren2 hua2	66-63588-S
ren2 huan2	4-8452-B,25-48314-S
ren2 huo4	4-15084-B,17-50130-S
ren2 ji1 han3	4-16593-B
ren2 ji1 jie4 mian4	4-11067-B
ren2 ji3 jia1 zu2	4-15677-B
ren2 ji4	4-18030-B
ren2 ji4 guan1 xi4	4-18096-B
ren2 jia1	4-8271-B,51-25052-S
ren2 jia3 yi4	6-5571-S,6-5751-S
ren2 jia4 shi3	40-46185-S
ren2 jia5	4-8396-B
ren2 jian1	4-17697-B,14-16687-S,66-63648-S
ren2 jian1 di4 yu4	4-17753-B
ren2 jian1 r5	4-8507-B
ren2 jian1 tian1 tang2	4-17927-B
ren2 jie1	13-50084-S
ren2 jie1 ji2	21-52900-S
ren2 jie2	4-6210-B,25-12225-S,25-31111-S,61-61611-S
ren2 jie2 di4 ling2	4-6306-B
ren2 jie2 kuai4 le4	25-12286-S,25-31171-S
ren2 jin4 bu4 jiao1 ao4 shi3 ren2 luo4 hou4	55-51582-S
ren2 jin4 qi2 cai2	4-14809-B,4-14927-B
ren2 jing1	4-15449-B,19-58740-S
ren2 jing1 yi4	4-34595-S
ren2 jing4	32-8741-S,56-31402-S
ren2 jing4 yang3	45-52925-S
ren2 jun1	4-7529-B
ren2 jun1 zi5	38-41423-S
ren2 kou3	4-6860-B,38-2380-S
ren2 kou3 chou2 mi4	4-7147-B
ren2 kou3 diao4 cha2	4-7318-B
ren2 kou3 mi4 du4	4-6959-B
ren2 kou3 pu3 cha2	4-7086-B
ren2 kou3 shu4	4-7031-B
ren2 kou3 tong3 ji4 xue2	4-7211-B
ren2 kou3 xue2	4-6904-B
ren2 kuang2	35-66693-S
ren2 le4 qu4	6-65579-S
ren2 lei4	4-18357-B,11-43947-S,12-175-S
ren2 lei4 ji1 yin1 zu3 ji4 hua4	4-18553-B
ren2 lei4 mian3 yi4 que1 xian4 bing4 du2	4-18418-B
ren2 lei4 xue2	4-18659-B
ren2 lei4 xue2 jia1	4-18716-B
ren2 lei4 zui4	11-43999-S
ren2 li2 bi4	6-26284-S
ren2 li4	4-6453-B
ren2 li4 che1	4-6576-B
ren2 li4 che1 fu1	4-6628-B
ren2 li4 ji3	28-52200-S
ren2 li4 zi1 yuan2	4-6506-B
ren2 lian2 he2 hui4	2-59889-S
ren2 ling3 ban1	6-32442-S
ren2 liu2	4-13607-B
ren2 liu2 shou3 shu4	4-13718-B
ren2 long2	4-19496-B
ren2 lu4	12-53708-S
ren2 luo4 hou4	55-51582-S
ren2 ma3	4-18786-B,10-54678-S
ren2 ma3 bi4	4-18952-B
ren2 ma3 zuo4	10-54741-S
ren2 men2 hu4	6-26358-S
ren2 men5	4-6171-B
ren2 mian4 xiang4	42-16389-S
ren2 min2	2-52886-S,4-11685-B,10-4717-S,51-3015-S
ren2 min2 bi4	4-12441-B
ren2 min2 bi4 yuan2	4-12499-B
ren2 min2 da4 hui4 tang2	4-12350-B,10-25596-S
ren2 min2 dai4 biao3	4-11729-B
ren2 min2 dai4 biao3 da4 hui4	7-35145-S
ren2 min2 dang3	11-18763-S
ren2 min2 fa3 yuan4	4-12847-B,32-21788-S
ren2 min2 gong1 di2	4-11813-B
ren2 min2 gong1 she4	4-11918-B
ren2 min2 gong1 she4 hua4	4-11991-B
ren2 min2 gong4 he2 guo2	4-12165-B,32-50611-S,54-61843-S
ren2 min2 guang3 chang3	4-12574-B
ren2 min2 ji1 ben3 quan2 li4	4-12249-B
ren2 min2 jian3 cha2 yuan4	32-21641-S
ren2 min2 jie3 fang4 jun1	4-13281-B
ren2 min2 jing3 cha2	4-13373-B
ren2 min2 min2 zhu3 zhuan1 zheng4	4-12733-B
ren2 min2 ri4 bao4	4-12649-B
ren2 min2 wang3	4-12944-B
ren2 min2 xing2 dong4 dang3	4-13162-B
ren2 min2 yin2 hang2	2-53837-S,4-13453-B
ren2 min2 ying1 xiong2 ji4 nian4 bei1	4-13039-B
ren2 min2 zhen4 xian4	4-13536-B
ren2 min2 zhi4 yuan4 jun1	2-53067-S
ren2 ming2	4-7381-B
ren2 ming4	4-7429-B,8-34386-S
ren2 qian2 kua1	32-31814-S
ren2 qin1 pei4	4-34450-S
ren2 qing2	2-33223-S,4-9478-B,32-29839-S,68-25384-S,68-54242-S
ren2 qing2 shi4 gu4	4-9601-B
ren2 qing2 wei4 r5	4-9728-B
ren2 qiong2 zhi4 duan3	4-15336-B
ren2 qu1	40-46121-S
ren2 qu4 lou2 kong1	4-6697-B
ren2 quan2	4-11137-B
ren2 quan2 dou4 shi4	4-11348-B
ren2 quan2 fa3	4-11184-B
ren2 quan2 guan1 cha2	4-11257-B
ren2 quan2 jiang3	55-23607-S,55-23934-S
ren2 qun2	4-15814-B
ren2 r5	33-35683-S,58-19883-S
ren2 ren2	4-6043-B,24-44736-S
