world economic forum wef	62-54232-S,62-54331-S
xun 蘇洵 苏洵	1-41113-S
xun 魯迅 鲁迅	42-3960-S
xun 鲁迅 鲁迅	2-57951-S
xun2	69-45442-S
xun2 尋 寻	29-5458-S
xunhe 846 904	33-9972-S
xunhua salazu autonomous county in qinghai	24-16956-B
xunke place in heilongjiang	62-59382-S
xunwu county in ganzhou 贛州 赣州	20-45587-B,20-45657-B
xunyang district of jiujiang city 九江市	39-63829-B,39-63907-B
xunyang place in shaanxi	31-16626-S
xunyi place in shaanxi	31-16565-S
xupu place in hunan	39-55173-S
xushui place in hebei	24-4274-S
xuwen place in guangdong	24-4508-S
xuyi county in jiangsu	45-19370-B
xuyong place in sichuan	30-658-S
xuzhou district district in jiangsu	24-3815-S
xuzhou prefecture level city in jiangsu	24-3742-B,24-3910-B
xvi	27-26659-S
xvi roman catholic pope	32-65746-S
xylan	32-54077-B
xylem	32-55152-B
xylene	3-39557-B
xylitol	32-53974-B
xylophone	32-53672-B,50-20522-S
xylose type of sugar	32-53918-B
xylulose type of sugar	32-55200-B
xī ān prefecture level city and capital of shǎnxī province 陝西省 陕西省 in central north china	57-15540-B,57-15966-B
xīnpéi 1847 1917	58-64145-S
xīnzhōu prefecture level city in shānxī 山西	24-50583-B,24-50668-B
y	4-32204-S,12-48043-S,25-16073-S,45-28990-S,64-18142-S
y 10	62-39574-S
y in current slang	4-7915-S
ya	56-36762-S
ya an district district in sichuan	66-54939-S
ya an prefecture level city in sichuan	66-54869-B,66-55031-B
ya fujimori 1938 	55-32953-S
ya3	3-57582-S
yacht	62-37742-B
yadong place in tibet	3-59472-S
yah lin trie arkansas restauranteur	21-43727-S
yahoo	66-56021-B
yahweh	66-54830-B
yai2	21-44153-S
yajiang place in sichuan	66-55561-S
yak	41-51631-B,42-1729-B
yak bos grunniens	36-17431-S,36-17475-S
yakeshi city in inner mongolia	41-46407-S
yakov mikhailovich sverdlov 1885 1919	30-42280-B
yaksha nature spirits	17-746-B
yaksu in north korea	55-34377-B
yakuza japanese mafia	31-10008-B
yale	51-42289-B
yale university	51-42325-B
yalong bay	3-65600-B
yalong river	66-55861-B
yalta	66-55814-B
yalu river	70-55191-B
yam	11-40199-S,21-32810-B,43-57798-B,55-26995-B,55-35571-B
yam bean	59-18047-B
yam bean pachyrhizus erosus	59-17984-B
yam cha	69-6527-S
yam kuen 1944 	32-16733-S
yam paste a snack in chaozhou cuisine	53-49069-B
yama	65-50449-B
yamagata prefecture in north of honshū island	21-29726-B
yamamoto isoroku 1884 1943	21-29933-B
yamamoto name	21-29883-B
yamanashi prefecture on the east coast of japan southwest of tōkyō	21-30476-B
yamasaki name	21-29381-B
yamato possibly 3rd century ad	17-9707-B
yamdroktso lake in central tibet	50-63997-B
yamen	22-103-S,56-36821-B,61-20536-B
yamen 衙門 衙门	56-36762-B
yami	62-53460-S,66-55967-S
yamoussoukro city in the ivory coast	3-62897-B
yan	6-5177-S,14-41266-S,23-16336-S,31-44230-S,37-4545-S,41-28289-B,63-32568-S,65-27159-S,65-50399-S,68-44545-S
yan 1900 1995	16-41764-S
yan 226 bc	17-57810-S,41-28742-S
yan 236 290	12-25543-S
yan an district district in shaanxi	23-16751-S
yan and zhao	41-29214-B
yan chinese author	54-26424-S
yan dynasty	70-23684-S
yan fu 1853 1921	14-41828-B
yan mountain range across north hebei	41-28932-B
yan ningshi 873 954 calligrapher of 5 dynasties period between tang and song	34-27348-B
yan of the sixteen kingdoms 384 409	24-621-S
yan of the sixteen kingdoms 398 410	11-1834-S
yan of the sixteen kingdoms 409 436	10-34396-S
yan of the sixteen kingdoms 前燕 337 370	9-21977-S
yan style in chinese calligraphy	68-44750-B
yan xishan 1883 1960	65-50488-B
yan ying 晏嬰 晏婴 or yanzi 晏子 500 bc	31-44447-S
yan 燕 puzzles out to mean brilliant prospects	63-22219-S
yanbian korean autonomous prefecture in jilin province 吉林省 in northeast china	23-19237-B
yanbian korean autonomous prefecture 延邊朝鮮族自治州 延边朝鲜族自治州	13-25852-S,13-26000-S,15-25328-S,15-25473-S,19-25478-S,19-25622-S,30-10241-S,30-10389-S,36-64001-S,36-64153-S,42-60345-S,42-60495-S,71-57240-S,71-57392-S
yanbian korean autonomous prefecture 延邊朝鮮族自治州 延边朝鲜族自治州 in jilin province 吉林省 in northeast china	23-18701-B,23-18869-B,23-19057-B
yanbian place in sichuan	71-7652-S
yanchao village in taiwan	41-29004-S
yancheng area in taiwan	71-6852-S
yancheng place in henan	63-28151-S
yancheng prefecture level city in jiangsu	71-6612-B,71-6689-B
yanchi county in ningxia	71-7065-B,71-7133-B
yanchuan place in shaanxi	23-17158-S
yang	3-24295-S,4-39637-S,34-27196-S,34-27870-S,50-63955-S,52-8344-S,66-23523-S,66-25698-S,66-34671-B
yang 1968 	34-29239-S
yang baosen 1909 1958	34-27683-B
yang bin	34-27932-B
yang c 390 338 bc	13-61804-S
yang chengzhong 1913 1987	34-28733-B
yang county in shaanxi	37-51743-B
yang festival	64-2372-B,64-2422-B
yang fujia 1936 	34-29062-B
yang guifei 719 756	34-29363-S
yang guifei 楊貴妃 杨贵妃 719 756	34-28810-S
yang hucheng	34-29304-B
yang jian 541 604	34-27472-S,66-38995-S,66-39086-S
yang jianli	34-27813-B
yang jiechi 1950 	34-28668-B
yang jun sui dynasty	34-27239-B
yang kaihui 1901 1930	34-29508-B
yang of sui 569 618	66-39400-S
yang rui	34-29465-B
yang s political reform of qin state 秦國 秦国 of 361 bc	13-61867-S
yang saga	34-27626-B
yang school of philosophy	66-25745-S
yang sen	34-28325-B
yang shangkun	34-27752-B
yang shenxiu	34-28609-B
yang shouren 1912 2005	34-27555-B
yang symbol	17-59378-S
yang vital breath	36-26808-S
yang wei badminton	34-29184-B
yang xiong 53 bc 18 ad	28-45691-B
yang xiuqing	34-29125-B
yang yi 974 1020	34-27296-B
yang yueqing	34-27975-B
yang yuhuan or yang guifei 楊貴妃 杨贵妃 719 756	34-28810-B
yang yuhuan 楊玉環 杨玉环 or yang guifei 719 756	34-29363-B
yangbi yizu autonomous county in yunnan	39-56015-B
yangcheng place in shanxi	66-35005-S
yangchun city in guangdong	66-35520-S
yangdong place in guangdong	66-35795-S
yanggangdo province in north north korea	7-46354-B
yanggao place in shanxi	66-37038-S
yangge	47-25524-B
yanggu place in shandong	66-36679-S
yangjiang prefecture level city in guangdong	66-36157-B,66-36238-B
yangjing beer beijing beer	41-28404-B,41-28647-B
yangjing brewery in beijing	41-28574-B
yangling area in shaanxi	34-29577-S
yangmei town in taiwan	34-28250-S
yangon rangoon	4-39684-B,4-39737-S
yangou	23-57995-S
yangpu district of shanghai	34-28538-B
yangqin	28-45313-B
yangqin 揚琴 扬琴	26-31197-S,56-8904-S
yangqu place in shanxi	66-35666-S
yangshan county in qingyuan 清远	66-35130-B,66-35200-B
yangshan terminal	37-50442-B
yangshao culture archaeological period with red and black pottery	4-40584-B,4-40687-B
yangshuo place in guangxi	66-35728-S
yangtze	14-29049-S
yangtze by the three gorges	21-62735-S
yangtze river	36-57963-S,65-16171-B
yangtze river delta	65-16311-B
yangxi place in guangdong	66-36614-S
yangxin place in hubei	66-35457-S
yangxin place in shandong	66-34748-S
yangyang child name	66-36743-B
yangyuan place in hebei	66-34940-S
yangzhong city in jiangsu	28-44614-S
yangzhou prefecture level city in jiangsu	28-44865-B,28-44942-B
yangzhou 成语 saw	69-52984-S
yangzi river	28-44754-S
yanhe tujiazu autonomous county in guizhou	37-26979-B
yanji county level city	23-16454-B,23-16510-B
yanjin place in henan	23-17947-S
yanjin place in yunnan	71-7203-S
yanjing	41-28362-B
yanjing or yenching university	41-28488-B
yanjing place in tibet	71-6484-S
yankees baseball team	37-50213-S
yankees in major league baseball	42-34914-S
yanling county	40-28344-S
yanling county in zhuzhou 株洲	40-28725-B
yanling place in henan	63-32625-S
yanping village in taiwan	23-17225-S
yanpu village in taiwan	71-6777-S
yanqi basin in northeast of tarim basin	40-44338-B
yanqi county in xinjiang	40-44153-B,40-44431-B
yanqi huizu autonomous county in xinjiang	40-44210-B
yanqing county of beijing municipality	23-17547-B
yanqing place in beijing	23-17482-S
yanshan in yunnan	23-14321-S
yanshan place in hebei	71-6927-S
yanshan place in yunnan	46-26958-S
yanshi	3-41520-S
yanshi city in henan	6-5246-B
yanshou fl 650	33-2317-S
yanshou place in heilongjiang	23-16577-S
yanshui town in taiwan	71-6990-S
yantai city 煙台市 烟台市	41-50064-S,41-50148-S,47-3554-S,47-3638-S,53-51109-S,53-51191-S,54-39368-S,54-39454-S
yantai district district in shandong	41-1905-S
yantai prefecture level city in shandong	41-1831-B,41-2001-B
yantai 煙台 烟台	27-44144-S,27-44230-S,34-24288-S,34-24368-S,38-26175-S,38-26259-S,54-39550-S,54-39634-S,54-40770-S,54-40854-S,55-8196-S,55-8280-S,65-13813-S,65-13899-S,71-58184-S,71-58268-S
yantian district of shenzhen city 深圳市	71-7486-B,71-7564-B
yanting place in sichuan	71-6547-S
yanwu 1613 1682	68-49562-S
yanyuan in shanxi	26-2882-S
yanyuan place in sichuan	71-7325-S
yanzhao metropolis daily	41-29261-B
yanzhou city in shandong	7-22914-S
yanzi	31-44377-S
yanzi c 500 bc	31-44275-B,31-44327-B
