and print	8-66094-S,50-19782-S
anti japanese protest movement stemming from the manchurian railway incident of 18th july 1931 九一八事變 九一八事变	27-5334-S
anti malaria chemical	67-58117-S
anti missile	11-47494-B
anti missile missile such as the patriot missile	11-47388-B
anti monopoly	11-46301-B
anti narcotics measures	65-61053-B
anti nuclear e g protest	11-50472-B
anti party	11-56545-B
anti perspirant	35-32883-B
anti qing	11-51102-B
anti qing revolutionary party set up in 1904 under cai yuanpei 蔡元培	7-9080-B,24-13889-B
anti qing revolutionary party set up in changsha by huang2 xing1 黃興 黄兴 in 1904	54-35929-B
anti revolutionary coup	11-56171-S
anti science	11-52023-B
anti scientific	11-52023-B
anti scurvy	27-4434-S
anti seismic measures	27-7757-B
anti ship	11-52876-B
anti ship cruise missile	11-52932-B
anti stimulant	11-52763-B
anti submarine	11-51324-B
anti tank	11-46190-B
anti terror	11-48147-B
anti trust legislation	11-46301-B
anti virus software	65-61487-B
anti war	11-49074-B
antibacterial	27-7081-B,27-7184-B
antibiotic	4-4908-S,25-52026-S,27-6172-B,27-7129-B
antibiotic medicine	38-31389-B
antibiotic resistance	27-4723-B
antibody	14-17391-S,27-8062-B,53-47947-S
anticapsizing	27-4045-B
antichemical rescue	65-59887-B
anticipate	7-5005-S,25-25494-S,25-28184-S,25-29467-S,30-34368-S,30-34634-S,30-34693-S,32-51455-S,68-28918-B,68-29229-B,68-29668-B
anticipates	26-28621-S
anticipation	30-34693-B
anticipation note ran	68-29393-S
anticline geol	52-17803-B
anticlockwise	61-67309-B
anticoagulant	27-4104-B
anticodon	11-46526-B
anticommunist propaganda	11-44661-S
anticommunist propaganda as a crime	11-44564-B
anticorruption	11-54503-B
antics	28-51333-S,29-26797-S
antidepressant	27-4600-B
antiderivative	11-30611-B
antidote	57-52133-B
antifreeze	3-15288-S,3-39163-S,65-59784-B
antifungal	27-6396-B
antigen	27-4174-B
antigen determinant causing immunological response	27-4217-B
antigua	19-29447-B
antigua and barbuda	19-29345-B
antihistamine	27-6617-B,27-6784-B
antihistamine type of drug to lessen allergic symptoms	27-6674-B
