yè liàn	43-32188-S
yòng zhèng	5-45584-S
yòng zhě	5-14744-S
yòng zhě zhōng jiè	5-14794-S
yòng zhǐ	56-38170-S
yòng zhǔ yì	20-14385-S
yòng zì	43-34605-B
yòng zì fú jí	62-10957-S
yòng zì rú	62-40403-S
yòng zì yuán zǔ	62-10860-S
yòng zī yuán shí bié hào	62-11456-S
yòng èr jí tóu hū xī qì	6-29085-S
yòng é	5-45648-S
yòu	5-1246-B,5-21525-B,5-38573-S,11-41494-B,12-22881-B,12-62633-S,15-975-B,18-45343-S,18-48850-S,19-56532-B,20-25144-S,20-43733-S,21-15577-S,21-58105-S,22-7129-S,22-48525-S,22-54032-B,22-58590-S,23-30737-S,27-43566-S,33-44984-B,40-47106-S,46-52319-B,53-5310-S,53-17855-S,54-58054-S,55-59088-B,58-17479-S,58-23861-B,59-28404-S,63-52456-B,70-54871-B,71-26164-S,71-50558-B
yòu bian	12-23532-B
yòu bian 5r	12-23615-B
yòu biàn jì	58-24475-B
yòu chóng	22-54867-B
yòu cè	12-22917-B
yòu duò	12-23486-B
yòu dì	22-54307-B
yòu dòng	58-23902-B
yòu dǎo	58-24036-B
yòu dǎo fēn miǎn	58-24136-B
yòu fèn zǐ	34-34496-S
yòu féng yuán	21-58371-S
yòu fā	58-24393-B
yòu fā lā dǐ	22-54436-B
yòu fā lā dǐ hé	22-54514-B
yòu fā lā dǐ hé gǔ	22-54592-B
yòu fāng	12-23253-B
yòu fēn zhī guān xì cóng jù	12-23010-B
yòu guǎi	58-24298-B
yòu guǎi zhě	58-24339-B
yòu gōu quán	21-58180-S
yòu huò	58-24226-B
yòu hù	5-1288-B
yòu kē	71-50667-B
yòu lái le	11-41630-B
yòu miáo	22-54799-B
yòu mèi	22-54213-B
yòu míng	11-41689-B,22-64272-S
yòu mǎ	22-54908-B
yòu nián	22-54261-B
yòu ní kē	6-57702-B
yòu nǚ	22-54170-B,71-23046-S
yòu pàn	21-59763-S
yòu qián wèi	12-23131-B
yòu qí	15-33165-S,22-7217-S,30-47495-S,55-38194-S,66-3611-S,68-43759-S
yòu qīng	12-22960-B
yòu shuō huí lai	58-15897-S
yòu shí	22-54355-B
yòu shòu	22-54398-B
yòu shǒu	12-23208-B,21-58286-S
yòu shǔ	71-50603-B
yòu xià	22-58667-S
yòu xiàn	58-24527-B
yòu xiǎng	21-58646-S
yòu xuán	42-26982-S
yòu yì	12-23413-B
yòu yì hòu qí	20-10633-S
yòu yì zhōng qí	20-10494-S,47-19824-S
yòu yù	12-23353-B
yòu yī cì	11-41555-B
yòu yīn	58-23955-B
yòu zhì	22-54687-B
yòu zhì yuán	22-54741-B
yòu zi	33-45022-B
yòu ér	18-62300-S,22-54060-B
yòu ér yuán	22-54098-B
yòu ěr	58-24567-B
yóng	14-2673-B,68-44846-B
yóng bì	28-44448-B
yóng guǐ zi	37-52434-B
yóu	1-53860-S,1-56530-S,1-63487-S,1-71658-S,2-75160-S,2-75670-S,2-82599-S,3-31297-S,3-38211-S,4-29724-S,4-43619-S,4-68458-S,7-68283-S,9-46939-S,9-56839-S,9-57004-S,10-1068-S,11-25039-S,11-34354-S,12-66024-S,12-68054-S,13-14336-S,14-51204-S,14-58183-S,14-61388-S,15-56285-S,17-3106-S,17-50773-S,17-60516-S,17-69140-S,18-24074-S,18-56211-S,18-60961-S,19-19478-S,20-59993-S,21-1435-S,21-7742-B,21-51958-S,23-15234-S,23-37626-S,27-15913-S,27-60539-S,27-67455-S,28-21562-S,28-64380-S,29-59423-S,29-65652-S,30-55062-S,30-66956-B,30-68933-S,33-28469-S,33-30486-S,33-41548-S,33-50904-S,34-4491-S,34-21436-S,34-25613-S,34-26441-S,34-31819-B,34-40189-S,35-285-S,35-4457-S,36-32577-S,36-33760-S,36-59556-S,37-866-S,37-21980-B,37-22847-S,39-6893-B,39-43670-S,39-44521-S,39-53233-S,39-61589-S,40-7547-S,40-7709-S,40-8594-S,40-19642-S,40-19806-S,40-44670-S,40-65297-S,41-674-S,41-1513-S,41-5733-S,41-5890-S,41-23861-S,41-24213-S,41-47850-S,42-14011-B,42-15195-B,42-55867-S,43-14531-S,43-25040-S,43-38556-B,44-5585-B,45-611-S,46-7786-S,46-22820-S,46-23206-S,48-29394-S,49-43148-S,49-61476-S,49-65521-S,50-10207-S,50-19392-S,50-39432-B,50-49385-S,53-10113-S,53-28143-S,53-36537-S,53-51806-S,54-2644-S,55-14869-B,55-19886-S,55-28072-S,55-58607-S,55-58753-B,56-4161-S,56-7598-B,56-8088-S,56-20732-S,57-56442-S,58-822-B,59-17029-S,59-24856-S,59-25864-S,59-35885-S,59-37006-S,60-2123-S,60-40427-S,60-43049-S,61-12335-S,61-17280-B,62-102-B,62-27760-S,62-28189-S,62-36210-B,62-63435-S,62-64409-S,63-21078-S,63-25236-B,63-42089-S,63-51006-S,63-61431-S,64-22526-B,66-34393-S,66-60007-S,67-38111-S,68-6898-S,69-2542-S,69-2929-S,69-26490-S,69-50179-S,70-17677-S,70-23035-S,70-37991-S,70-41559-B,71-10918-S,71-14786-S,71-20798-S,71-61785-S
yóu biān	63-26161-B
yóu bàn	62-36321-B
yóu bào	36-5719-S,49-19586-S,54-35427-S,63-25423-B
yóu bèng	37-22885-B
yóu bù	37-22253-B
yóu bù jí	62-47207-S
yóu bāo	63-25321-B
yóu bǐng	37-23895-B,40-31194-S
yóu bǔ	57-23010-S
yóu chuān dōng zuàn tàn gōng sī	2-76805-S
yóu chuō	63-25683-B
yóu chuō rì qī	63-25739-B
yóu chá	63-42246-S
yóu chāi	63-25641-B
yóu chǎn pǐn	61-12441-S
yóu chǎng	41-721-S
yóu cài	37-23486-B
yóu cài huā	18-24113-S
yóu cài zǐ	37-23554-B
yóu céng	55-19026-S
yóu cāng	41-24255-S
yóu cǐ	43-38876-B
yóu cǐ kě jiàn	43-38925-B
yóu diàn	63-26487-B
yóu dà	42-14152-B
yóu dà shū	42-14211-B
yóu dàng	1-2375-S,62-37788-B
yóu dá	42-15103-B
yóu dá sī	42-15140-B
yóu dé	2-19129-S
yóu dì	30-69260-S,63-26379-B
yóu dì qiú	7-49388-S
yóu dì yuán	63-26435-B
yóu dì zhǐ	67-38220-S
yóu dù	53-10707-S
yóu dēng	37-23099-B
yóu dǎng	53-11983-S
yóu fàng rèn	53-10860-S
yóu fèi	63-26216-B
yóu fā dòng jī	33-51008-S
yóu guàn chē	37-23276-B
yóu guó	43-32300-S,59-35930-S
yóu guāng qī	37-22108-B
yóu guō	37-23697-B
yóu guǎn	61-17921-S
yóu guǒ	41-47890-S
yóu gòu	63-26257-B
yóu gāo	37-23448-B
yóu gōng sī	54-2718-S,67-15971-S
yóu gǎng	53-11134-S
yóu huà	37-23186-B,53-10414-S
yóu huà gōng gǔ fèn yǒu xiàn gōng sī	2-61362-S
yóu huà xué	46-7833-S
yóu huàn shí pǐn xiàng mù	46-7903-S
yóu huā	63-42128-S
yóu hào	37-23350-B
yóu hán	53-11296-S
yóu hé huà xué gōng yè xié huì	2-61549-S
yóu hēi	37-23999-B
yóu jià	37-22053-B
yóu jiàn	15-56199-S,53-35983-S,63-25277-B,67-29134-S
yóu jiàn chuán sòng fú wù	67-29212-S
yóu jiàn wǎng	65-61918-S
yóu jiù zhāng	42-29133-S
yóu jì	24-1413-S,50-44618-S,51-28765-S,57-23129-S,62-38252-B,63-25481-B
yóu jìng	43-38731-B,56-31004-S
yóu jú	63-25534-B
yóu jú biān mǎ	63-25578-B
yóu jī	33-50950-S,51-11904-S,53-10491-S,62-37153-B
yóu jī duì	62-37265-B
yóu jī qīng chú jì	53-10546-S
yóu jī zhàn	62-37203-B
yóu jīn sài ěr nán	21-8574-B
yóu jǐ	60-55228-S
yóu jǐng	37-22010-B
yóu kuàng	40-15615-S
yóu kuàng shí	64-20219-S
yóu kè	30-69055-S,62-36544-B
yóu kè lǐ lǐ qín	21-7812-B
yóu kù	37-22295-B
yóu kǎ tǎn	21-8104-B
yóu kǎ tǎn bàn dǎo	21-8174-B
yóu kǎn	21-8266-B
yóu liàng	51-38327-S
yóu liào	37-22348-B
yóu liào zuò wù	37-22449-B
yóu liè guó	13-14488-S
yóu luò tǐ	53-11627-S
yóu là	46-8019-S
yóu lái	43-38691-B
yóu lè	62-37323-B
yóu lè chǎng	62-37438-B
yóu lè yuán	62-37383-B
yóu lè yuán xié huì	2-64411-S
yóu lì	62-37494-B
yóu lì xī sī	21-8036-B
yóu lí	62-38485-B
yóu lù	33-41599-S
yóu lún	37-23650-B,63-26321-B
yóu lǎn	62-38106-B
yóu lǎn qū	62-38175-B
yóu mào yì	53-11690-S
yóu mào yì lián méng	35-29785-S
yóu mào yì qū	53-11754-S
yóu mén	37-23743-B
yóu mìng	51-70036-S
yóu mí	46-8168-S
yóu mín	40-55024-S
yóu mín zhǔ dǎng	53-10929-S
yóu mù	62-37544-B
yóu mǎ lù	33-41667-S
yóu nóng suō	64-22560-B
yóu piào	49-3151-S,63-26068-B
yóu piāo yí de zhuàng tài	53-11188-S
yóu pài	53-11083-S
yóu píng	27-37113-S
yóu qì	10-24075-S,37-22671-B,38-37327-S,60-43255-S
yóu qì tián	37-22715-B
yóu qí	21-7926-B
yóu qí jìng jì	25-38510-S
yóu qí shì	21-7982-B
yóu qī	37-22928-B
yóu qū	1-37471-S,63-25375-B
yóu qǐ yè	53-10323-S
yóu rè	42-14919-B
yóu rè diǎn	30-69166-S
yóu rén	62-36278-B
yóu róng	66-62949-S
yóu rú	42-14860-B
yóu shuì	62-38300-B
yóu shén xiàng	53-11388-S
yóu shì chǎng	53-10639-S
yóu shì jiè	13-14392-S
yóu shēng	66-63023-S
yóu shēng wù	38-13638-S
yóu shū chū guó zǔ zhī	46-8076-S
yóu shǒu	62-36982-B
yóu shǒu hào xián	62-37027-B
yóu sōng	37-23948-B
yóu sǔn	62-38435-B
yóu tián	37-23142-B
yóu tiáo	37-22562-B
yóu tiān cù	9-57093-S
yóu tiān rán qì jí tuán gōng sī	2-61735-S
yóu tuán	30-68998-S
yóu tài	42-14292-B
yóu tài fù guó zhǔ yì	42-14414-B
yóu tài fù guó zhǔ yì zhě	42-14497-B
yóu tài fǎ diǎn	42-14794-B
yóu tài huì táng	42-14713-B
yóu tài jiào	42-14593-B
yóu tài jiào táng	42-14646-B
yóu tài rén	42-14366-B
yóu tài zhǔ yì	11-51550-S
yóu táo	37-22519-B
yóu tā	42-3380-B,42-14066-B
yóu tā zhōu	42-14103-B
yóu tǐ cāo	53-11911-S
yóu tǐng	62-37742-B
yóu wán	25-38189-S,62-37095-B,62-37645-B
yóu wèi jìn	25-29685-S
yóu wèi zhi	67-38151-S
yóu wù	21-8479-B
yóu wāng wāng	37-22783-B
yóu xiàn	1-53936-S,4-29783-S,71-10977-S,71-61846-S
yóu xiá	62-36363-B
yóu xiá qí shì	62-36410-B
yóu xié	37-23815-B
yóu xié dìng	60-43112-S
yóu xié yì	60-43184-S
yóu xiāng	37-23232-B,63-26118-B
yóu xué	62-36480-B
yóu xuǎn zé quán	53-11833-S
yóu xì	27-51964-S,50-8644-S,51-61818-S,57-45783-S,62-36635-B,67-29055-S
yóu xì chí	39-6969-B
yóu xì chǎng	62-36677-B
yóu xì jī	62-36733-B
yóu xì shuō	62-36895-B
yóu xì shè bèi	62-36796-B
yóu xíng	46-46025-S,62-38045-B
yóu xī	21-8323-B
yóu yan	55-58786-B
yóu yan lù	55-58841-B
yóu yà zhōu diàn tái	53-10230-S
yóu yán	12-68114-S
yóu yè	30-69107-S
yóu yì	62-36593-B,62-37828-B
yóu yì huì	62-37974-B
yóu yì jī yóu lè yuán xié huì	2-64411-S
yóu yì tuán	62-37874-B
yóu yì zhì	53-10797-S
yóu yóu	37-22847-B,49-65521-S
yóu yù	42-14979-B
yóu yù bù jué	42-15020-B
yóu yú	16-18700-S,39-44979-S,40-29355-S,43-38789-B,70-41592-B
yóu yǒng	30-7255-S,39-7026-B,53-11020-S,53-57940-S
yóu yǒng chí	39-7065-B
yóu yǒng yī	39-7124-B
yóu zhuàng	44-5619-B
yóu zhuó zhāng	42-29046-S
yóu zhàn	9-57187-S
yóu zhá	37-22988-B,43-35709-S
yóu zhá quān bǐng	37-23033-B
yóu zhèng	17-3172-S,63-25807-B
yóu zhèng biān mǎ	63-25991-B
yóu zhèng jú	63-25924-B
yóu zhèng lián méng	54-44225-S
yóu zhèng xìn xiāng	63-25849-B
yóu zhí yè	53-11463-S
yóu zhě	16-45946-S,30-69315-S
yóu zhī	37-23400-B,63-42558-S
yóu zhī lù	24-41621-S
yóu zhōng	43-38989-B
yóu zhǔ yì	53-10166-S
yóu zuǐ huá shé	37-22161-B
yóu zì zhǔ	2-19193-S
yóu zì zài	53-11541-S
yóu zāi	25-7846-S
yóu zōng	37-22628-B
yóu zǒng gōng sī	2-60883-S
yóu zǒu	62-38375-B
yóu ěr qīn kē	21-8383-B
yù	1-23764-S,1-61676-S,1-76968-S,2-972-S,2-1208-S,2-15708-S,2-17048-S,2-29084-S,2-77669-S,2-78021-S,2-78123-S,3-60448-S,4-2623-S,4-17753-S,4-25249-S,5-38912-S,5-46458-S,5-65193-S,6-4077-S,6-4958-S,6-58501-S,7-328-S,7-25134-S,7-46583-S,7-59093-S,8-14977-S,8-23530-S,8-41951-S,9-1143-S,9-28532-S,9-43146-S,9-63188-S,10-40977-S,11-40088-S,12-23353-S,12-26001-B,12-58664-S,13-19491-S,13-24223-S,13-48515-S,14-11395-B,14-23198-B,14-24558-S,14-57511-S,15-39804-S,15-42751-S,15-63826-B,15-66325-S,16-602-S,16-6882-B,16-23707-S,16-29108-S,16-29346-S,16-51229-S,16-62741-S,17-25713-S,17-27580-S,17-32048-S,17-58514-S,18-2081-S,18-59350-B,19-4199-S,19-4690-S,19-16533-S,19-35960-S,19-47186-S,20-8131-S,20-10017-B,20-27603-S,20-30029-S,20-39952-S,21-32424-S,21-39748-B,22-37055-S,23-39473-S,23-40480-S,23-55827-B,23-65317-S,24-11598-S,24-12474-B,24-62036-S,24-62290-S,25-585-S,25-6342-B,25-14738-S,25-27706-B,25-43426-S,25-53068-B,25-54058-S,25-61307-S,26-590-S,26-67041-S,27-15037-S,27-27976-S,29-14096-S,30-4545-S,30-20644-S,31-5437-S,31-38235-B,31-44868-S,31-51700-S,31-57163-S,32-20954-S,33-4549-S,33-35296-S,33-63280-S,34-22621-B,34-23557-B,34-23760-S,34-33713-S,34-41973-S,34-60617-S,35-5499-S,35-22839-B,36-8363-B,36-10025-S,36-40083-S,36-44248-S,36-54359-S,37-8415-S,37-25156-S,37-51850-S,37-53202-S,38-2799-S,38-13001-S,38-14685-B,38-17500-S,38-41106-S,38-43947-B,38-45962-S,38-48013-B,39-50663-S,40-1906-B,40-7080-S,40-7876-S,40-19549-B,41-923-S,41-4547-B,41-17233-B,41-25994-B,41-32836-B,41-56729-S,41-59883-S,42-14979-S,42-15743-B,42-17458-B,42-25358-S,42-29376-B,42-45428-S,43-29051-S,43-60778-S,44-916-S,44-4674-S,44-11979-S,44-13300-S,44-17012-B,44-20870-B,44-32916-S,44-42213-S,44-53213-S,45-1937-S,45-6151-S,45-9371-S,45-31685-S,45-62808-B,46-14527-S,46-29669-S,46-43520-B,46-61454-S,47-6804-B,47-12895-S,47-25367-S,48-3259-S,48-29895-S,48-45149-B,48-51211-S,49-51886-S,49-54340-S,50-15786-B,50-29647-S,50-38020-S,50-40540-B,50-52595-B,51-7987-S,51-9063-S,51-12739-S,51-51577-S,51-67036-S,52-2033-S,52-2471-B,52-5546-S,52-14254-B,53-21932-B,53-45023-S,53-49002-B,54-13440-S,55-4198-S,55-11312-B,55-13126-S,55-17298-B,55-17735-B,55-45678-S,55-54394-S,56-5352-B,56-21897-S,56-30227-S,56-55951-B,57-5681-S,57-14623-S,57-58220-S,57-60042-S,57-64774-S,58-24811-B,58-46630-B,59-2261-S,59-5847-B,59-15274-B,59-21946-S,59-22531-S,59-25303-B,59-39278-S,59-53893-S,60-3954-S,60-27315-S,61-3216-S,61-65086-S,61-66571-S,62-14210-S,62-33445-S,62-35623-B,62-48249-S,62-66430-S,63-979-S,63-1584-B,63-20579-B,63-35001-S,64-12766-S,64-22410-B,64-35140-B,65-50672-B,65-62673-S,66-14538-S,66-26162-S,66-42000-S,66-45483-B,66-46899-S,67-13883-S,67-26466-S,67-43105-S,68-3424-S,68-3643-S,68-12175-S,68-28204-B,68-33852-S,69-2417-S,69-5104-B,69-12460-S,69-19410-B,69-44741-B,69-49688-S,69-56994-B,70-8870-S,70-19474-S,70-30359-B,70-30391-B,70-30952-B,70-33890-B,70-54953-B,70-56374-B,71-1083-B,71-20720-S,71-21773-S,71-31451-S
yù bàng xiāng zhēng	71-1127-B
yù bàng xiāng zhēng yú wēng dé lì	71-1255-B
yù bào	17-48901-S,68-28824-B
yù bèi	68-28392-B
yù bèi zhī shi	68-28473-B
yù bù	30-5107-S
yù bù jué	42-15020-S
yù bǔ	68-28665-B
yù chàng yì	26-19902-S
yù chí	38-14875-B
yù chǎng	1-53580-S,10-25990-S,18-15362-S,37-34169-S,38-14720-B,70-9000-S
yù chǎng guǎn	70-9052-S
yù cái	35-65359-S
yù cè	68-29547-B
yù cōng cōng	70-30705-S
yù diàn shì	30-5172-S
yù duàn liàn	70-9422-S
yù duō lì huáng hào	15-64089-B
yù dào	62-35699-B
yù dá fū	70-30593-B
yù dé	40-1179-S
yù dìng	68-28865-B,68-30412-B
yù dí	47-6904-B
yù fáng	68-31003-B
yù fáng cuò shī	68-31103-B
yù fáng zhōng xīn	44-7319-S
yù fù	19-37016-S,44-20896-B,68-28269-B
yù fū zuò	42-29825-B,47-6839-B
yù guān	14-27785-S
yù guān chéng	14-27870-S
yù guān shì	14-27991-S
yù guǎn	70-9495-S
yù gài mí zhāng	25-53456-B
yù gào	68-28770-B
yù gòu	68-30795-B
yù gù	68-28315-B
yù gù zú zì zhì xiàn	52-2764-S
yù gāng	38-14959-B
yù gāo cháo	24-62088-S
yù gōng zuò zhě	30-4800-S
yù gǎn	68-28970-B
yù huán	34-28810-S,42-31105-B
yù huáng	42-31230-B
yù huáng dà dì	42-31289-B
yù huáng dīng	42-31356-B
yù huì	53-22426-B
yù huó dòng	70-9118-S
yù huǒ	25-53368-B
yù hài	62-35766-B
yù hè nán tián	25-53101-B
yù hé	25-27833-B,38-7508-S
yù hé zuò	17-25828-S
yù hé zuò lián méng	10-66013-S
yù héng	42-32202-B
yù hòu	7-7268-S,68-28713-B
yù hóng shěng	42-31945-B
yù hù xiǎo	19-61234-S
yù hún	12-61343-S
yù jià qīn zhēng	24-12606-B
yù jiàn	62-35898-B,68-30163-B
yù jiè	30-4945-S,70-9197-S
yù jiā	25-27770-B,30-4741-S
yù jiāng	70-30550-B
yù jué	25-53405-B
yù jì	17-10020-S,57-14686-S,68-30477-B
yù jí	47-5207-S
yù jù	59-25414-B
yù jīn	5-64678-S,38-14832-B
yù jīn xiāng	70-30654-B
yù jūn rén	34-42097-S
yù jǐng	68-30664-B
yù jǐng xiāng	42-29402-B
yù jǐng xì tǒng	68-30719-B
yù kòu	68-29069-B
yù kē	17-14431-S,68-29876-B
yù kōng	52-14372-B
yù kūn	46-9182-S
yù liào	8-34065-S,68-29229-B
yù liáng yán	64-12821-S
yù luó dú sù	53-49177-B
yù lán	42-32055-B
yù lán huā	42-32102-B
yù lí	20-42203-B
yù lín	42-30262-B
yù lín dì qū	42-30333-B
yù lín shì	42-30426-B
yù lóng	67-40732-S
yù lóng xuě shān	42-32516-B
yù lóu	7-59136-S
yù lǎn	17-58358-S,68-30269-B
yù lǐ zhèn	42-32275-B
yù lǜ	43-29146-S
yù mèn	70-30501-B
yù mén	42-32344-B
yù mén guān	42-32402-B
yù mín	56-56040-B
yù míng	15-63883-B,59-30654-S
yù míng fú wù qì	15-63928-B
yù míng zhù cè	15-64010-B
yù móu	32-41536-S,68-30581-B
yù mǐ	42-31497-B
yù mǐ chì méi xī tóng	42-31858-B
yù mǐ diàn fěn	42-31539-B
yù mǐ fěn	42-31605-B
yù mǐ gāo	42-31669-B
yù mǐ huā	42-31808-B
yù mǐ táng jiāng	42-31741-B,70-16064-S
yù niàn	35-22889-B
yù nàn	62-36014-B
yù nàn zhě	62-36069-B
yù nán	70-30438-B
yù nán chuán	62-36128-B
yù nèn	69-25173-S
yù néng lì	37-10654-S,43-29201-S
yù ní	53-49069-B
yù nǎi	53-49140-B
yù nǚ	43-18403-S
yù pán	71-64449-B
