煆 煆 [01\[ yā\]]	raging fire
牛飲 牛饮 [01\[ niú yǐn\]]	gulp
牛馬 牛马 [01\[ niú mǎ\]]	oxen and horses;beasts of burden
牛魔王 牛魔王 [01\[ niú mó wáng\]]	gyuumao
牝 牝 [01\[ pìn\]]	female
牟 牟 [01\[ móu\]]	barley;to moo;usurp
牟利 牟利 [01\[ móu lì\]]	to gain profit (by underhand means);to exploit;exploitation
牟取 牟取 [01\[ móu qǔ\]]	to gain profit (by underhand means);to exploit;to bleed;same as 谋取
牟定 牟定 [01\[ móu dìng\]]	(n) mouding (place in yunnan)
牟平 牟平 [01\[ mù píng\]]	muping district of yantai city 煙台市|烟台市
牟平區 牟平区 [01\[ mù píng qū\]]	muping district of yantai city 煙台市|烟台市
牠 牠 [01\[ tā\]]	it (used for animals)
牡 牡 [01\[ mǔ\]]	male
牡丹 牡丹 [01\[ mǔ dān\]]	peony (type of flower)
牡丹亭 牡丹亭 [01\[ mǔ dān tíng\]]	peony pavilion (1598)
牡丹卡 牡丹卡 [01\[ mǔ dan kǎ\]]	peony card (credit card issued by industrial and commercial bank of china)
牡丹坊 牡丹坊 [01\[ mǔ dān fāng\]]	peony lane
牡丹江 牡丹江 [01\[ mǔ dān jiāng\]]	(n) mudanjiang (city in heilongjiang)
牡丹江地區 牡丹江地区 [01\[ mǔ dān jiāng dì qū\]]	(n) mudanjiang district (district in heilongjiang)
牡丹江市 牡丹江市 [01\[ mǔ dāng jiāng shì\]]	mudanjiang city in heilongjiang
牡丹鄉 牡丹乡 [01\[ mǔ dān xiāng\]]	(n) mutan (village in taiwan)
牡羊座 牡羊座 [01\[ mǔ yáng zuò\]]	aries (constellation and sign of the zodiac);used erroneously for 白羊座
牡蠣 牡蛎 [01\[ mǔ lì\]]	oyster
牡鹿 牡鹿 [01\[ mǔ lù\]]	hart
牢 牢 [01\[ láo\]]	firm;fast
牢固 牢固 [01\[ láo gù\]]	firm;secure
牢房 牢房 [01\[ láo fáng\]]	jail cell;prison cell
牢牢 牢牢 [01\[ láo láo\]]	firmly
牢記 牢记 [01\[ láo jì\]]	to remember sth clearly
牢靠 牢靠 [01\[ láo kào\]]	firm and solid;robust;reliable
牢靠妥當 牢靠妥当 [01\[ láo kào tuǒ dàng\]]	reliable;solid and dependable
牢騷 牢骚 [01\[ láo sāo\]]	discontent;complaint
牣 牣 [01\[ rèn\]]	fill up;to stuff
牦牛 牦牛 [01\[ máo niú\]]	yak
牧 牧 [01\[ mù\]]	shepherd;surname mu
牧人 牧人 [01\[ mù rén\]]	pastor;pastoral
牧伕座 牧夫座 [01\[ mù fū zuò\]]	boötes (constellation)
牧區 牧区 [01\[ mù qū\]]	grazing land;pasture
牧場 牧场 [01\[ mù chǎng\]]	pasture;grazing land;ranch
牧師 牧师 [01\[ mù shī\]]	chaplain;churchman;clergyman;parson;pastor;priest;rector
牧師之職 牧师之职 [01\[ mù shī zhī zhí\]]	ministry
牧業 牧业 [01\[ mù yè\]]	animal husbandry; animal product industry
牧民 牧民 [01\[ mù mín\]]	herdsman
牧神 牧神 [01\[ mù shén\]]	shepherd god;faun;pan in greek mythology
牧神午後 牧神午后 [01\[ mù shén wǔ hòu\]]	prélude à l'après-midi d'un faune
牧神節 牧神节 [01\[ mù shén jié\]]	lupercalia
牧羊 牧羊 [01\[ mù yáng\]]	shepherd
牧羊人 牧羊人 [01\[ mù yáng rén\]]	shepherd
牧羊者 牧羊者 [01\[ mù yáng zhě\]]	shepherd
牧草 牧草 [01\[ mù cǎo\]]	pasture;forage grass;pasturage
牧養 牧养 [01\[ mù yǎng\]]	to raise (animals)
物 物 [01\[ wù\]]	thing;object;matter;abbr. for physics 物理
物主 物主 [01\[ wù zhǔ\]]	owner
物以類聚 物以类聚 [01\[ wù yǐ lèi jù\]]	similar things come together (成语 saw); like draws like;birds of a feather flock together.
物件 物件 [01\[ wù jiàn\]]	object
物候 物候 [01\[ wù hòu\]]	natural phenomena of a seasonal nature
物候學 物候学 [01\[ wù hòu xué\]]	the study of seasonal phenomena (flouring
物價 物价 [01\[ wù jià\]]	(commodity) prices
物價指數 物价指数 [01\[ wù jià zhǐ shù\]]	price index
物力 物力 [01\[ wù lì\]]	physical resources (as opposed to labor resources)
物化 物化 [01\[ wù huà\]]	objectification
物品 物品 [01\[ wù pǐn\]]	articles;goods;materials
物慾世界 物欲世界 [01\[ wù yù shì jiè\]]	the world of material desires (buddh.)
物料 物料 [01\[ wù liào\]]	material
物業 物业 [01\[ wù yè\]]	property
物業稅 物业税 [01\[ wù yè shuì\]]	property tax
物業管理 物业管理 [01\[ wù yè guǎn lǐ\]]	property management
物流 物流 [01\[ wù liú\]]	distribution (business);logistics
物流管理 物流管理 [01\[ wù liú guǎn lǐ\]]	logistics
物理 物理 [01\[ wù lǐ\]]	physics;physical
物理化學 物理化学 [01\[ wù lǐ huà xué\]]	physical chemistry
物理學 物理学 [01\[ wù lǐ xué\]]	physics
物理學家 物理学家 [01\[ wù lǐ xué jiā\]]	physicist
物理層 物理层 [01\[ wù lǐ céng\]]	physical layer
物理性質 物理性质 [01\[ wù lǐ xìng zhì\]]	physical property
物理結構 物理结构 [01\[ wù lǐ jié gòu\]]	physical composition
物理量 物理量 [01\[ wù lǐ liàng\]]	physical quantity
物產 物产 [01\[ wù chǎn\]]	products
物種 物种 [01\[ wù zhǒng\]]	species
物種起源 物种起源 [01\[ wù zhǒng qǐ yuán\]]	charles darwin's origin of species
物色 物色 [01\[ wù sè\]]	to look for;to seek;to choose;color of object;color of fleece (of domestic animal);to see;to notice;all kinds of things;odds and ends
物資 物资 [01\[ wù zī\]]	goods and materials
物質 物质 [01\[ wù zhì\]]	matter;substance;material;materialistic
物質上 物质上 [01\[ wù zhì shàng\]]	materially
物質享受 物质享受 [01\[ wù zhì xiǎng shòu\]]	material benefits
物質文明和精神文明 物质文明和精神文明 [01\[ wù zhì wén míng hé jīng shén wén míng\]]	material and spiritual culture;matter and mind;material progress
物鏡 物镜 [01\[ wù jìng\]]	objective (optics)
物體 物体 [01\[ wù tǐ\]]	object;body;substance
牮 牮 [01\[ jiàn\]]	prop up
牯 牯 [01\[ gǔ\]]	bullock;cow
牲 牲 [01\[ shēng\]]	domestic animal
牲口 牲口 [01\[ shēng kou\]]	animals used for their physical strength (mules
牲畜 牲畜 [01\[ shēng chù\]]	domesticated animals;livestock
牳 牳 [01\[ mǔ\]]	(bovine)
牴 牴 [01\[ dǐ\]]	to butt;resist
牴觸 牴触 [01\[ dǐ chù\]]	contradict
牷 牷 [01\[ quán\]]	one-color bullock
牸 牸 [01\[ zì\]]	female of domestic animals
特 特 [01\[ tè\]]	special;unique;distinguished;especially;unusual;very
特任 特任 [01\[ tè rèn\]]	special appointment
特使 特使 [01\[ tè shǐ\]]	special envoy;special ambassador
特例 特例 [01\[ tè lì\]]	special case;isolated example
特價 特价 [01\[ tè jià\]]	special price
特克斯 特克斯 [01\[ tè kè sī\]]	tekesi river
特克斯市 特克斯市 [01\[ tè kè sī shì\]]	tekesi city in kazakh autonomous prefecture
特克斯河 特克斯河 [01\[ tè kè sī hé\]]	tekesi river in kazakh autonomous prefecture
特克斯縣 特克斯县 [01\[ tè kè sī xiàn\]]	tekesi county in kazakh autonomous prefecture
特免 特免 [01\[ tè miǎn\]]	special exemption;privilege
特內里費 特内里费 [01\[ tè nèi lǐ fèi\]]	tenerife
特出 特出 [01\[ tè chū\]]	outstanding;prominent
特刊 特刊 [01\[ tè kān\]]	special edition (of magazine)
特別 特别 [01\[ tè bié\]]	especially;special;particular;unusual
特別任務連 特别任务连 [01\[ tè bié rèn wu lián\]]	special duties unit
特別待遇 特别待遇 [01\[ tè bié dài yù\]]	special treatment
特別感謝 特别感谢 [01\[ tè bié gǎn xiè\]]	special thanks;particular thanks
特別是 特别是 [01\[ tè bié shì\]]	especially
特別行政區 特别行政区 [01\[ tè bié xíng zhèng qū\]]	special administrative region
特別護理 特别护理 [01\[ tè bié hù lǐ\]]	intensive care
特利 特利 [01\[ tè lì\]]	(name) terry
特别客串 特别客串 [01\[ tè bié kè chuàn\]]	special guest performer (in a show);special guest appearance (in film credits)
特制 特制 [01\[ tè zhì\]]	special;unique
特務 特务 [01\[ tè wu\]]	special assignment (military);special agent;operative;spy
特化 特化 [01\[ tè huà\]]	specialization
特區 特区 [01\[ tè qū\]]	special administrative region;abbr. for 特別行政區|特别行政区
特古西加爾巴 特古西加尔巴 [01\[ tè gǔ xī jiā ěr bā\]]	tegucigalpa (capital of honduras)
特地 特地 [01\[ tè dì\]]	specially;for a special purpose
特奧會 特奥会 [01\[ té ào huì\]]	special olympics
特定 特定 [01\[ tè dìng\]]	special;specific;designated;particular
特定含義 特定含义 [01\[ tè dìng hán yì\]]	specific meaning
特寫 特写 [01\[ tè xiě\]]	feature article
特工 特工 [01\[ tè gōng\]]	secret service;special service
特徵 特征 [01\[ tè zhēng\]]	characteristic;diagnostic property;distinctive feature;trait
特徵值 特征值 [01\[ tè zhēng zhí\]]	eigenvalue (math.)
特徵向量 特征向量 [01\[ tè zhēng xiàng liàng\]]	eigenvector (math.)
特徵聯合 特征联合 [01\[ tè zhēng lián hé\]]	characteristic binding
特快 特快 [01\[ tè kuài\]]	express;especially fast
特快專遞 特快专递 [01\[ tè kuài zhuān dì\]]	express mail
特急 特急 [01\[ tè jí\]]	especially urgent;top priority
特性 特性 [01\[ tè xìng\]]	property;characteristic
特惠 特惠 [01\[ tè huì\]]	special privilege;favorable (terms);discount (price);preferential (treatment);ex gratia (payment)
特惠金 特惠金 [01\[ tè huì jīn\]]	ex gratia payment
特意 特意 [01\[ tè yì\]]	specially;intentionally
特技 特技 [01\[ tè jì\]]	special effect;stunt
特技跳傘 特技跳伞 [01\[ tè jī tiào sǎn\]]	skydiving
特拉法爾加 特拉法尔加 [01\[ tè lā fǎ ěr jiā\]]	trafalgar
特拉法爾加廣場 特拉法尔加广场 [01\[ tè lā fǎ ěr jiā guǎng chǎng\]]	trafalgar square (london)
特拉維夫 特拉维夫 [01\[ tè lā wéi fū\]]	tel aviv;tel aviv-jaffa
特拉華 特拉华 [01\[ tè lā huá\]]	delaware
特拉華州 特拉华州 [01\[ tè lā huá zhōu\]]	delaware
特指 特指 [01\[ tè zhǐ\]]	to refer in particular to
特提斯海 特提斯海 [01\[ tè tí sī hǎi\]]	thetys (pre-cambrian ocean)
特效 特效 [01\[ tè xiào\]]	special effect;specially good effect;especially efficacious
特斯拉 特斯拉 [01\[ tè sī lā\]]	tesla (unit)
特有 特有 [01\[ tè yǒu\]]	distinctive;special feature;peculiar
特權 特权 [01\[ tè quán\]]	prerogative;privilege;privileged
特此 特此 [01\[ tè cǐ\]]	hereby
特殊 特殊 [01\[ tè shū\]]	special;particular;unusual;extraordinary
特殊教育 特殊教育 [01\[ tè shū jiào yù\]]	special education
特殊護理 特殊护理 [01\[ tè shū hù lǐ\]]	special care;intensive nursing
特洛伊 特洛伊 [01\[ tè luò yī\]]	ancient city of troy
特洛伊木馬 特洛伊木马 [01\[ tè luò yī mù mǎ\]]	trojan horse
特派 特派 [01\[ tè pài\]]	special appointment;special correspondent;task force;sb dispatched on a mission
特派員 特派员 [01\[ tè pài yuán\]]	special correspondent;sb dispatched on a mission;special commissioner
特為 特为 [01\[ tè wèi\]]	for a specific purpose;specially
特產 特产 [01\[ tè chǎn\]]	special local product;(regional) specialty
特異 特异 [01\[ tè yì\]]	exceptionally good;excellent;clearly outstanding;distinctive;peculiar;unique
特異功能 特异功能 [01\[ tè yì gōng néng\]]	extra-sensory perception
特異選擇 特异选择 [01\[ tè yì xuǎn zé\]]	special choice;special reserve
特種 特种 [01\[ tè zhǒng\]]	particular kind;special type
特種警察 特种警察 [01\[ tè zhòng jǐng chá\]]	special police;prc crack armed police dealing with hijacking
特種部隊 特种部队 [01\[ tè zhǒng bù duì\]]	(military) special forces
特立尼達 特立尼达 [01\[ tè lì ní dá\]]	trinidad
特立尼達和多巴哥 特立尼达和多巴哥 [01\[ tè lì ní dá hé duō bā gē\]]	trinidad and tobago
特等 特等 [01\[ tè děng\]]	special grade;top quality
特約 特约 [01\[ tè yuē\]]	specially engaged;employed or commissioned for a special task
特約記者 特约记者 [01\[ tè yuē jì zhě\]]	special correspondent;stringer
特級 特级 [01\[ tè jí\]]	special grade;top quality
特色 特色 [01\[ tè sè\]]	characteristic;distinguishing feature or quality
特許 特许 [01\[ tè xǔ\]]	special permission
特許狀 特许状 [01\[ tè xǔ zhuàng\]]	charter
特許經營 特许经营 [01\[ tè xǔ jīng yíng\]]	franchised operation;franchising
特調 特调 [01\[ tè tiáo\]]	special blend (coffee);house blend (coffee)
特警 特警 [01\[ tè jǐng\]]	abbr. for 特種警察|特种警察
特護 特护 [01\[ tè hù\]]	special nursing;intensive care;abbr. of 特殊護理|特殊护理
特護區 特护区 [01\[ tè hù qū\]]	intensive care department (of hospital)
特質 特质 [01\[ tè zhì\]]	characteristic;special property
特赦 特赦 [01\[ tè shè\]]	amnesty
特起 特起 [01\[ tè qǐ\]]	to appear on the scene;to arise suddenly
特輯 特辑 [01\[ tè jí\]]	special collection;special issue;album
特邀 特邀 [01\[ tè yāo\]]	special invitation
特長 特长 [01\[ tè cháng\]]	personal strength;one's special ability or strong points
特需 特需 [01\[ tè xū\]]	special need;particular requirement
特魯埃爾 特鲁埃尔 [01\[ tè lǔ āi ěr\]]	tergüel or teruel
特點 特点 [01\[ tè diǎn\]]	characteristic (feature);trait;feature
牼 牼 [01\[ kēng\]]	shank bone of ox
牽 牵 [01\[ qiān\]]	to pull (an animal on a tether);to lead along;to hold hands
牽一髮而動全身 牵一发而动全身 [01\[ qiān yī fā ér dòng quán shēn\]]	lit. pull one hair and the whole body moves;fig. a slight change will affect everything else;the butterfly effect
牽制 牵制 [01\[ qiān zhì\]]	to control;to curb;to restrict;to impede;to pin down (enemy troops)
牽動 牵动 [01\[ qiān dòng\]]	to affect;to produce a change in sth
牽就 牵就 [01\[ qiān jiù\]]	to concede;to give up
牽引 牵引 [01\[ qiān yǐn\]]	to pull;to draw (a cart);to tow
牽引力 牵引力 [01\[ qiān yǐn lì\]]	motive force;traction
牽強 牵强 [01\[ qiān qiǎng\]]	far-fetched;implausible (chain of reasoning)
牽強附會 牵强附会 [01\[ qiān qiǎng fù huì\]]	far-fetched and hard to believe
牽心 牵心 [01\[ qiān xīn\]]	to worry;concerned
牽心掛腸 牵心挂肠 [01\[ qiān xīn guà cháng\]]	to worry deeply about sth;extremely concerned
牽手 牵手 [01\[ qiān shǒu\]]	hold hands (romance)
牽扯 牵扯 [01\[ qiān chě\]]	involve;implicate
牽扶 牵扶 [01\[ qiān fú\]]	to lead
牽掛 牵挂 [01\[ qiān guà\]]	to worry
牽掣 牵掣 [01\[ qiān chè\]]	to impede;to hold up
牽涉 牵涉 [01\[ qiān shè\]]	involve;implicated
牽牛 牵牛 [01\[ qiān niú\]]	altair (star);cowherd of the folk tale cowherd and weaving maid 牛郎織女|牛郎织女
牽牛 牵牛 [01\[ qiān niú\]]	morning glory
牽牛星 牵牛星 [01\[ qiān niú xīng\]]	altair (star);cowherd of the folk tale cowherd and weaving maid 牛郎織女|牛郎织女
牽牛花 牵牛花 [01\[ qiān niú huā\]]	white-edged morning glory
