鷇 鷇 [01\[ kòu\]]	fledglings
鼙 鼙 [01\[ pí\]]	drum carried on horseback
鼚 鼚 [01\[ chāng\]]	sound of drum
鼛 鼛 [01\[ gāo\]]	large drum
鼠 鼠 [01\[ shǔ\]]	rat;mouse
鼠型斑疹傷寒 鼠型斑疹伤寒 [01\[ shǔ xíng bān zhěn shāng hán\]]	murine typhus
鼠尾草 鼠尾草 [01\[ shǔ wěi cǎo\]]	sage (herb)
鼠年 鼠年 [01\[ shǔ nián\]]	year of the rat (e.g. 2008)
鼠標 鼠标 [01\[ shǔ biāo\]]	mouse (computer)
鼠標器 鼠标器 [01\[ shǔ biāo qì\]]	mouse (computer)
鼠海豚 鼠海豚 [01\[ shǔ hǎi tún\]]	porpoise
鼠疫 鼠疫 [01\[ shǔ yì\]]	plague
鼠疫桿菌 鼠疫杆菌 [01\[ shǔ yì gǎn jūn\]]	yersinia pestis;the bubonic plage bacillus
鼠疫菌苗 鼠疫菌苗 [01\[ shǔ yì jūn miáo\]]	plague vaccine
鼠目寸光 鼠目寸光 [01\[ shǔ mù cùn guāng\]]	short-sighted
鼠竄 鼠窜 [01\[ shǔ cuàn\]]	to run away scared;to scurry off like a frightened rat
鼠肚雞腸 鼠肚鸡肠 [01\[ shǔ dù jī cháng\]]	small-minded
鼠膽 鼠胆 [01\[ shǔ dǎn\]]	cowardly
鼠蚤型斑疹傷寒 鼠蚤型斑疹伤寒 [01\[ shǔ zǎo xíng bān zhěn shāng hán\]]	murine typhus fever
鼠輩 鼠辈 [01\[ shǔ bèi\]]	a scoundrel;a bad chap
鼡 鼡 [01\[ shǔ\]]	variant of 鼠;rat;mouse
鼢 鼢 [01\[ fén\]]	(mole)
鼪 鼪 [01\[ shēng\]]	stoat;weasel
鼫 鼫 [01\[ shí\]]	long-tailed marmot
鼬 鼬 [01\[ yòu\]]	weasel;mustela nivalis
鼬屬 鼬属 [01\[ yòu shǔ\]]	mustela (genus of weasels etc)
鼬科 鼬科 [01\[ yòu kē\]]	mustelidae (taxonomic family of weasel
鼯 鼯 [01\[ wú\]]	petaurista leucogenys
鼴 鼹 [01\[ yǎn\]]	mole
鼴鼠 鼹鼠 [01\[ yǎn shǔ\]]	mole
鼷 鼷 [01\[ xī\]]	mouse
鼻 鼻 [01\[ bí\]]	nose
鼻中隔 鼻中隔 [01\[ bí zhōng gé\]]	nasal septum
鼻兒 鼻儿 [01\[ bí er\]]	eye;a hole in an implement or utensil for insertion
鼻口部分 鼻口部分 [01\[ bí kǒu bù fèn\]]	muzzle
鼻咽 鼻咽 [01\[ bí yān\]]	nose and throat
鼻塞 鼻塞 [01\[ bí sè\]]	a blocked nose
鼻子 鼻子 [01\[ bí zi\]]	nose
鼻孔 鼻孔 [01\[ bí kǒng\]]	nostril
鼻尖 鼻尖 [01\[ bí jiān\]]	tip of the nose
鼻屎 鼻屎 [01\[ bí shǐ\]]	snot;nasal mucus
鼻息 鼻息 [01\[ bí xī\]]	breath
鼻樑 鼻梁 [01\[ bí liáng\]]	bridge of the nose
鼻涕 鼻涕 [01\[ bí tì\]]	nasal mucus;snivel
鼻淵 鼻渊 [01\[ bí yuān\]]	nasosinusitis
鼻炎 鼻炎 [01\[ bí yán\]]	rhinitis
鼻煙 鼻烟 [01\[ bí yān\]]	snuff
鼻煙壺 鼻烟壶 [01\[ bí yān hú\]]	snuff bottle
鼻牛兒 鼻牛儿 [01\[ bí niú er\]]	hardened mucus in nostrils
鼻甲骨 鼻甲骨 [01\[ bí jiǎ gǔ\]]	turbinate bone (anat.
鼻疽 鼻疽 [01\[ bí jū\]]	glanders
鼻病毒 鼻病毒 [01\[ bí bìng dú\]]	rhinovirus (common cold virus)
鼻祖 鼻祖 [01\[ bí zǔ\]]	the earliest ancestor;originator (of a tradition
鼻竇 鼻窦 [01\[ bí dòu\]]	paranasal sinus
鼻竇炎 鼻窦炎 [01\[ bí dòu yán\]]	sinusitis
鼻腔 鼻腔 [01\[ bí qiāng\]]	nasal cavity
鼻針療法 鼻针疗法 [01\[ bí zhēn liáo fǎ\]]	nose-acupuncture therapy
鼻青眼腫 鼻青眼肿 [01\[ bí qīng yǎn zhǒng\]]	a black eye (成语 saw); serious injury to the face;fig. a setback;a defeat
鼻青臉腫 鼻青脸肿 [01\[ bí qīng liǎn zhǒng\]]	a bloody nose and a swollen face;badly battered
鼻音 鼻音 [01\[ bí yīn\]]	nasal sound
鼻韻母 鼻韵母 [01\[ bí yùn mǔ\]]	(of chinese pronunciation) a vowel followed by a nasal consonant
鼻飼法 鼻饲法 [01\[ bí sì fǎ\]]	nasal feeding
鼻骨 鼻骨 [01\[ bí gǔ\]]	nasal bone
鼻黏膜 鼻黏膜 [01\[ bí nián mó\]]	nasal mucous membrane
鼽 鼽 [01\[ qiú\]]	congested nose
鼾 鼾 [01\[ hān\]]	snore
鼾聲 鼾声 [01\[ hān shēng\]]	sound of snoring
齁 齁 [01\[ hōu\]]	snore;thirsty from salty food
齆 齆 [01\[ wèng\]]	stuffed nose
齈 齈 [01\[ nóng\]]	cold in the head catarrh of the nose
齉 齉 [01\[ nàng\]]	stoppage of the nose;to speak with a nasal twang;snuffling; snuffle (as in nose with a cold)
齊 齐 [01\[ qí\]]	(name of states and dynasties at several different periods);surname qi
齊 齐 [01\[ qí\]]	neat;even;level with;identical;simultaneous;all together;to even sth out
齊一 齐一 [01\[ qí yī\]]	uniform
齊全 齐全 [01\[ qí quán\]]	complete
齊國 齐国 [01\[ qí guó\]]	qi state of western zhou and the warring states (1122-265 bc)
齊天大聖 齐天大圣 [01\[ qí tiān dà shèng\]]	great sage the equal of heaven
齊宣王 齐宣王 [01\[ qí xuān wáng\]]	king xuan of qi (reigned 342-324 bc)
齊射 齐射 [01\[ qí shè\]]	volley (of gunfire)
齊心 齐心 [01\[ qí xīn\]]	to be of one mind;to work as one
齊書 齐书 [01\[ qí shū\]]	history of qi of the southern dynasties
齊桓公 齐桓公 [01\[ qí huán gōng\]]	duke huan of qi (reigned 685-643 bc)
齊河 齐河 [01\[ qí hé\]]	(n) qihe (place in shandong)
齊湣王 齐湣王 [01\[ qí mǐn wáng\]]	king min of qi (reigned 323-284 bc)
齊白石 齐白石 [01\[ qí bái shí\]]	qi baishi (1864-1957)
齊聲 齐声 [01\[ qí shēng\]]	all speaking together;in chorus
齊魯 齐鲁 [01\[ qí lǔ\]]	abbr. for shandong culture
齊齊哈爾 齐齐哈尔 [01\[ qí qí hā ěr\]]	qiqihar city in heilongjiang
齊齊哈爾市 齐齐哈尔市 [01\[ qí qí hā ěr shì\]]	qiqihar city in heilongjiang
齋 斋 [01\[ zhāi\]]	(buddhist or daoist) to fast;to abstain from meat or wine;room;building
齋戒 斋戒 [01\[ zhāi jiè\]]	to fast
齋月 斋月 [01\[ zhāi yuè\]]	ramadan (muslim month of fasting)
齋藤 斋藤 [01\[ zhāi téng\]]	saito or saitoh
齌 齌 [01\[ jì\]]	see 齌怒 rage
齎 齎 [01\[ jī\]]	send;to present in both hands
齏 齑 [01\[ jī\]]	fragment;spices
齒 齿 [01\[ chǐ\]]	tooth
齒冠 齿冠 [01\[ chǐ guàn\]]	crown of tooth
齒嵴 齿嵴 [01\[ chǐ jí\]]	alveolar ridge
齒更 齿更 [01\[ chǐ gēng\]]	dental transition (from milk teeth to adult teeth)
齒根 齿根 [01\[ chǐ gēn\]]	root of tooth
齒條 齿条 [01\[ chǐ tiáo\]]	rack (and pinion)
齒條千斤頂 齿条千斤顶 [01\[ chǐ tiáo qiān jīn dǐng\]]	rack and pinion jack
齒條齒輪 齿条齿轮 [01\[ chǐ tiáo chǐ lūn\]]	rack and pinion
齒輪 齿轮 [01\[ chǐ lún\]]	(machine) gear;pinion (gear wheel)
齒音 齿音 [01\[ chǐ yīn\]]	dental consonant
齒齦 齿龈 [01\[ chǐ yín\]]	gum;gingiva
齒齦炎 齿龈炎 [01\[ chǐ yín yán\]]	gingivitis
齔 龀 [01\[ chèn\]]	replace the milk teeth
齕 齕 [01\[ hé\]]	gnaw
齗 齗 [01\[ kěn\]]	gums (of the teeth);to dispute
齙 龅 [01\[ páo\]]	projecting teeth
齙牙 龅牙 [01\[ páo yá\]]	buck teeth;projecting teeth
齚 齚 [01\[ cuò\]]	variant of 齰
齜 龇 [01\[ zī\]]	projecting teeth;to bare one's teeth
齜牙咧嘴 龇牙咧嘴 [01\[ zī yá liě zuǐ\]]	to grimace (in pain);to show one's teeth;to bare one's fangs
齞 齞 [01\[ niàn\]]	to display the teeth
齟 龃 [01\[ jǔ\]]	irregular;uneven teeth
齠 龆 [01\[ tiáo\]]	shed the milk teeth;young
齡 龄 [01\[ líng\]]	age
齢 齢 [01\[ líng\]]	japanese variant of 齡|龄
齣 齣 [01\[ chū\]]	variant of 出 (classifier for plays or chapters of classical novels)
齦 龈 [01\[ kěn\]]	gnaw;bite
齦 龈 [01\[ yín\]]	gums
齧 齧 [01\[ niè\]]	surname nie;gnaw
齧咬 齧咬 [01\[ niè yǎo\]]	gnaw
齪 龊 [01\[ chuò\]]	dirty;filthy;base;mean;narrow-minded;petty
齬 龉 [01\[ yǔ\]]	irregular teeth
齮 齮 [01\[ yǐ\]]	surname yi;bite
齯 齯 [01\[ ní\]]	teeth grown in old age
齰 齰 [01\[ cuò\]]	to bite
齱 齱 [01\[ zōu\]]	uneven teeth;buck-toothed
齱齵 齱齵 [01\[ zōu yú\]]	uneven teeth;buck-toothed
齲 龋 [01\[ qǔ\]]	decayed teeth;dental caries
齲齒 龋齿 [01\[ qǔ chǐ\]]	dental caries;cavity
齵 齵 [01\[ yú\]]	uneven (teeth)
齶 腭 [01\[ è\]]	palate;roof of the mouth
齶 齶 [01\[ è\]]	palate
齶裂 腭裂 [01\[ è liè\]]	cleft palate
齷 龌 [01\[ wò\]]	dirty;small-minded
齷濁 龌浊 [01\[ wò zhuó\]]	filthy;nasty;sordid;impure (motives)
齷齪 龌龊 [01\[ wò chuò\]]	dirty;filthy;vile;despicable;narrow-minded;petty
龍 龙 [01\[ lóng\]]	dragon;imperial;surname long
龍井 龙井 [01\[ lóng jǐng\]]	longjing county level city in yanbian korean autonomous prefecture 延邊朝鮮族自治州|延边朝鲜族自治州
龍井市 龙井市 [01\[ lóng jǐng shì\]]	longjing county level city in yanbian korean autonomous prefecture 延邊朝鮮族自治州|延边朝鲜族自治州
龍井茶 龙井茶 [01\[ lóng jǐng chá\]]	longjing (tea)
龍井鄉 龙井乡 [01\[ lóng jǐng xiāng\]]	(n) lungching (village in taiwan)
龍利 龙利 [01\[ lóng lì\]]	sole;right-eyed flounder;flatfish;see also 鰈|鲽
龍利葉 龙利叶 [01\[ lóng lì yè\]]	sauropus spatulifolius beille (shrub of the euphorbiaceae family)
龍勝各族自治縣 龙胜各族自治县 [01\[ lóng shèng gè zú zì zhì xiàn\]]	longsheng gezu autonomous county in guangxi
龍南 龙南 [01\[ lóng nán\]]	longnan county in ganzhou 贛州|赣州
龍南縣 龙南县 [01\[ lóng nán xiàn\]]	longnan county in ganzhou 贛州|赣州
龍口 龙口 [01\[ lóng kǒu\]]	longkou county level city in yantai 煙台|烟台
龍口市 龙口市 [01\[ lóng kǒu shì\]]	longkou county level city in yantai 煙台|烟台
龍城 龙城 [01\[ lóng chéng\]]	longcheng district of chaoyang city 朝陽市|朝阳市
龍城區 龙城区 [01\[ lóng chéng qū\]]	longcheng district of chaoyang city 朝陽市|朝阳市
龍山 龙山 [01\[ lóng shān\]]	(n) longshan (place in hunan);longshan district of liaoyuan city 遼源市|辽源市
龍山區 龙山区 [01\[ lóng shān qū\]]	longshan district of liaoyuan city 遼源市|辽源市
龍山文化 龙山文化 [01\[ lóng shān wén huà\]]	longshan culture
龍岩 龙岩 [01\[ lóng yán\]]	longyan prefecture level city in fujian
龍岩地區 龙岩地区 [01\[ lóng yán dì qū\]]	(n) longyan district (district in fujian)
龍岩市 龙岩市 [01\[ lóng yán shì\]]	longyan prefecture level city in fujian
龍崎鄉 龙崎乡 [01\[ lóng qí xiāng\]]	(n) lungchi (village in taiwan)
龍崗 龙岗 [01\[ lóng gǎng\]]	longgang district of shenzhen city 深圳市
龍崗區 龙岗区 [01\[ lóng gǎng qū\]]	longgang district of shenzhen city 深圳市
龍嵩 龙嵩 [01\[ lóng sōng\]]	tarragon
龍嵩葉 龙嵩叶 [01\[ lóng sōng yè\]]	tarragon
龍川 龙川 [01\[ lóng chuān\]]	(n) longchuan (place in guangdong);ryongchon
龍州 龙州 [01\[ lóng zhōu\]]	(n) longzhou (place in guangxi)
龍年 龙年 [01\[ lóng nián\]]	year of the dragon (e.g. 2000)
龍形拳 龙形拳 [01\[ lóng xíng quán\]]	long xing quan - dragon fist - martial art
龍捲風 龙卷风 [01\[ lóng juǎn fēng\]]	tornado;hurricane;twister;cyclone
龍樹菩薩 龙树菩萨 [01\[ lóng shù pú sà\]]	nagarjuna (nagarjuna bodhisattva)
龍江 龙江 [01\[ lóng jiāng\]]	(n) longjiang (place in heilongjiang)
龍泉 龙泉 [01\[ lóng quán\]]	(n) longquan (city in zhejiang)
龍泉驛區 龙泉驿区 [01\[ lóng quán yì qū\]]	(n) longquanyi (area in sichuan)
龍海 龙海 [01\[ lóng hǎi\]]	(n) longhai (city in fujian)
龍港 龙港 [01\[ lóng gǎng\]]	longgang district of huludao city 葫蘆島市|葫芦岛市
龍港區 龙港区 [01\[ lóng gǎng qū\]]	longgang district of huludao city 葫蘆島市|葫芦岛市
龍湖 龙湖 [01\[ lóng hú\]]	longhu district of shantou city 汕头市
龍湖區 龙湖区 [01\[ lóng hú qū\]]	longhu district of shantou city 汕头市
龍潭 龙潭 [01\[ lóng tán\]]	longtan district of jilin city 吉林市
龍潭區 龙潭区 [01\[ lóng tán qū\]]	longtan district of jilin city 吉林市
龍潭鄉 龙潭乡 [01\[ lóng tán xiāng\]]	(n) lungtan (village in taiwan)
龍灣區 龙湾区 [01\[ lóng wān qū\]]	longwan district of wenzhou city in zhejiang
龍爭虎鬥 龙争虎斗 [01\[ lóng zhēng hǔ dòu\]]	lit. the dragon wars
龍王 龙王 [01\[ lóng wáng\]]	the dragon king of the eastern sea (in mythology)
龍生九子 龙生九子 [01\[ lóng shēng jiǔ zǐ\]]	lit. the dragon has nine sons (成语 saw); fig. all kinds of characters;good and bad intermingled;it takes all sorts to make a world.
龍眼 龙眼 [01\[ lóng yǎn\]]	longan fruit (dimocarpus longan)
龍羊峽 龙羊峡 [01\[ lóng yáng xiá\]]	(n) longyangxia (place in qinghai)
龍舌蘭 龙舌兰 [01\[ lóng shé lán\]]	agave americana (poisonous desert plant of mexico);tequila
龍舟 龙舟 [01\[ lóng zhōu\]]	dragon boat;imperial boat
龍船 龙船 [01\[ lóng chuán\]]	dragon boat (used at 端午
龍蒿 龙蒿 [01\[ lóng hāo\]]	tarragon
龍蝦 龙虾 [01\[ lóng xiā\]]	lobster
龍裡 龙里 [01\[ lóng lǐ\]]	(n) longli (place in guizhou)
龍遊 龙游 [01\[ lóng yóu\]]	longyou county in zhejiang
龍遊縣 龙游县 [01\[ lóng yóu xiàn\]]	longyou county in zhejiang
龍鍾 龙锺 [01\[ lóng zhōng\]]	decrepit;senile
龍門 龙门 [01\[ lóng mén\]]	(n) longmen (place in guangdong)
龍門山 龙门山 [01\[ lóng mén shān\]]	mt longmen
龍門山斷層 龙门山断层 [01\[ lóng mén shān duàn céng\]]	longmenshan fault line
龍門斷層 龙门断层 [01\[ lóng mén duàn céng\]]	longmenshan fault line
龍門石窟 龙门石窟 [01\[ lóng mén shí kū\]]	longmen grottoes at luoyang
龍陵 龙陵 [01\[ lóng líng\]]	(n) longling (place in yunnan)
龍陽 龙阳 [01\[ lóng yáng\]]	place in shanghai;homosexual
龍陽君 龙阳君 [01\[ lóng yáng jūn\]]	homosexual (positive term)
龍頭 龙头 [01\[ lóng tóu\]]	faucet;water tap
龍頭老大 龙头老大 [01\[ lóng tóu lǎo dà\]]	big boss;leader of a group;dominant (position)
龍飛鳳舞 龙飞凤舞 [01\[ lóng fēi fèng wǔ\]]	lit. dragon flies
龍馬精神 龙马精神 [01\[ lóng mǎ jīng shén\]]	old but still full of vitality (成语 saw)
龍骨 龙骨 [01\[ lóng gǔ\]]	keel
龐 庞 [01\[ páng\]]	huge;enormous;tremendous;surname pang
龐加萊 庞加莱 [01\[ páng jiā lái\]]	(henri) poincaré
龐培 庞培 [01\[ páng péi\]]	pompeium
龐大 庞大 [01\[ páng dà\]]	huge;enormous;tremendous
龐家堡區 庞家堡区 [01\[ páng jiā bǎo qū\]]	pangjiabao district of zhangjiakou city
龐德 庞德 [01\[ páng dé\]]	pang de (-219)
龐然大物 庞然大物 [01\[ páng rán dà wù\]]	huge monster
龐雜 庞杂 [01\[ páng zá\]]	enormously complex;a vast jumble
龑 龑 [01\[ yǎn\]]	high and bright
龔 龚 [01\[ gōng\]]	surname gong
龕 龛 [01\[ kān\]]	niche;shrine
龘 龘 [01\[ tà\]]	the appearance of a dragon walking
龜 龟 [01\[ guī\]]	tortoise;turtle
龜山鄉 龟山乡 [01\[ guī shān xiāng\]]	(n) kueishan (village in taiwan)
龜殼 龟壳 [01\[ guī ké\]]	tortoise shell
龜頭 龟头 [01\[ guī tóu\]]	glans;head of a turtle
龠 龠 [01\[ yuè\]]	ancient unit of volume
龡 龡 [01\[ chuì\]]	to blow (a flute);archaic version of 吹
龢 龢 [01\[ hé\]]	harmonious;archaic version of 和
龤 龤 [01\[ xié\]]	to harmonize;to accord with;to agree
蘭 蘭 [01\[ lán\]]	unicode compatibility variant for 蘭;orchid
盧 盧 [01\[ lú\]]	korean variant of 盧|卢
老 老 [01\[ lǎo\]]	unicode compatibility variant of 老
不 不 [01\[ bù\]]	variant of 不;(negative prefix);not;no
練 練 [01\[ liàn\]]	variant of 練|练
識 識 [01\[ shí\]]	unicode compatibility variant of 識|识
兀 兀 [01\[ wù\]]	duplicate of big five a461
嗀 嗀 [01\[ huò\]]	to vomit
Ｕ盤 Ｕ盘 [01\[ yù pán\]]	flash drive
