yù pén	38-14919-B
yī yàng	1-12407-S,1-12502-B,1-65267-S,11-50697-S
yī yào	6-38512-S,6-38717-S,63-50614-B
yī yán wéi dìng	1-20861-B
yī yè	1-3691-S
yī yè lù shui	1-5743-B
yī yè qíng	1-5684-B
yī yì	1-2733-B,1-8679-S,1-8823-B,20-39084-S,43-54130-S
yī yì gū xíng	1-8894-B
yī yì miáo	1-32533-S
yī yù shí	64-45793-S
yī yú hú dǐ	4-47461-B
yī yī	1-194-B,5-23884-B
yī yī bú shě	5-23996-B
yī yī duì yìng	1-254-B
yī yī yuán tǐ	70-50252-S
yī yōng ér shàng	1-9857-B
yī yǎn	1-11646-S
yī yǎng huà dàn	1-13458-B
yī yǎng huà tàn	1-13526-B
yī yǎng huà èr dàn	1-13362-B
yī yǔ	18-49633-S
yī zhe	5-25670-B
yī zhuó	56-42639-B
yī zhuāng	56-42775-B
yī zhàn	52-18052-S
yī zhàn shì	44-46185-S
yī zhàn xiàn	49-51144-S
yī zhàn xiàn gōng zuò bù	49-51214-S
yī zhào	5-25497-B
yī zhèn	1-22322-B
yī zhèn zǐ	1-22376-B
yī zhé	18-30263-S
yī zhì	1-18452-B,2-24768-S,7-35891-S,10-51803-S,35-43302-S,42-19607-S,63-50033-B
yī zhì qiān jīn	1-9947-B
yī zhì xìng	1-18590-B
yī zhì xìng xiào yìng	1-18646-B
yī zhì zì	1-18524-B,1-65428-S
yī zhì zī yuán dìng zhǐ qì	1-18733-B
yī zhí	1-15203-B
yī zhí wǎng qián	1-15414-B
yī zhí yǐ lái	1-15338-B
yī zhāng	1-8326-B,48-9352-S
yī zhāo shēng	49-51333-S
yī zhēn	50-27239-S
yī zhě	44-62814-S
yī zhī bàn jiě	1-15758-B
yī zhī shí	51-56550-S
yī zhōng yuán zé	1-1148-B
yī zhōng yī tái	1-1062-B
yī zhōu	1-4659-B,4-47837-S
yī zhǒng	1-16268-B,12-6723-S
yī zhǒng cū mián bù	1-16326-B
yī zhǒng zi	10-17873-S
yī zhǔ jiào	49-13331-S
yī zài	1-2871-B
yī zú	22-13836-S
yī zú miáo zú zì zhì zhōu	71-34703-S,71-35417-S
yī zú shí	59-21826-S
yī zǐ	56-42132-B
yī zǔ zhī	67-66588-S
yī èr	14-45479-S,43-56167-S
yī èr bā shì biàn	1-1367-B
yī èr cǎn àn	14-45852-S
yī èr fǎn gé mìng zhèng biàn	14-45708-S
yī èr shì biàn	14-45618-S
yī ér zhōng	24-9982-S
yī ér zú	1-65339-S
yī ā huà	56-42859-B
yī ān	5-24412-B
yī ěr	16-53220-S,26-39116-S,54-39171-S
yī ěr kù cí kè	4-50326-B
yīn	1-44103-S,2-21039-S,3-4369-S,3-7485-S,3-55526-S,4-23396-S,4-70272-S,5-58479-S,6-63574-S,7-13502-S,7-18111-S,7-42835-S,7-53598-S,8-63466-S,9-26190-S,9-69024-S,10-18840-S,10-28573-S,10-61514-S,11-26979-S,11-31103-S,11-70299-S,12-11753-S,12-12805-S,12-34086-S,12-52576-S,13-4895-S,13-26939-S,14-4916-S,14-5021-S,14-5949-B,14-24136-S,14-35875-S,14-59041-B,15-56658-B,15-66850-S,16-1847-S,16-7159-B,16-64889-S,17-60923-S,18-22603-S,18-22649-S,18-44427-B,18-46208-S,18-48374-S,18-53585-S,19-2289-S,20-31887-S,21-15772-S,21-33374-S,22-44363-S,22-45812-S,22-58518-S,23-34398-S,23-59867-S,24-3194-S,24-39960-S,25-30828-B,25-44644-B,26-9164-S,27-53092-S,28-8090-S,29-12788-S,29-15840-S,29-26709-S,30-39530-S,31-53147-S,32-25748-S,34-17458-S,34-50121-S,34-54980-S,35-57059-S,35-65636-B,36-4762-S,36-31912-B,36-61469-S,37-36618-S,37-42276-S,38-21369-S,38-47787-S,38-65776-S,39-12877-S,39-14184-B,39-15111-S,39-30093-S,39-51019-S,39-51250-S,40-6639-S,41-35285-S,43-1651-S,43-44870-S,43-44975-S,43-46899-S,44-9492-S,44-17707-B,44-35750-S,45-13077-S,46-29840-S,47-1862-B,47-5962-S,47-49843-S,48-7241-S,49-7468-S,49-20848-S,49-49842-B,49-66245-S,50-23581-S,51-2739-S,51-20554-S,51-61166-S,51-67075-S,52-4314-S,52-18745-S,52-26163-S,53-29628-S,53-29707-S,53-29787-S,53-31697-S,53-66368-S,54-10637-B,54-36468-S,54-64308-S,55-26436-S,56-47533-S,56-52926-B,57-41682-S,57-43716-S,57-64353-S,58-5547-S,58-23955-S,58-28132-S,58-40075-S,58-46362-S,59-2929-S,59-6793-S,60-16416-S,60-41686-S,61-9422-S,61-22247-S,62-11110-S,62-53099-S,62-60344-S,63-14060-S,63-38932-S,64-2547-S,64-32467-B,64-42657-S,65-4736-S,65-27426-S,65-50965-B,66-23523-B,66-23681-B,66-30201-S,66-41251-S,66-64361-S,67-6604-S,67-39260-S,67-40863-S,67-68639-S,68-12698-S,68-13825-B,68-19225-S,69-17552-S,69-21839-S,69-24428-S,69-34942-S,69-35735-S,69-51086-B,71-52482-S,71-55396-S
yīn biàn	68-15697-B
yīn biàn liàng	14-62201-B
yīn biāo	15-21009-S,68-14660-B
yīn biǎo dá	15-67507-S
yīn bù	66-25486-B,68-14710-B
yīn bù kè cǎo yuán	22-10510-S
yīn bō	60-24510-S,68-14787-B
yīn cháng	68-15901-B
yīn chén	66-24709-B
yīn chéng	10-61556-S,56-59765-S,68-14830-B
yīn chún	66-23765-B
yīn chā	68-13996-B
yīn cái shī jiào	14-60739-B
yīn cáo	60-15602-S,66-24446-B
yīn cí	12-52742-S,14-22598-S,51-2593-S
yīn cí dài	45-3657-S
yīn cǐ	14-60908-B
yīn diào	68-15478-B
yīn duō yì zì	16-64932-S
yīn dà hào	4-70395-S
yīn dà tí qín	4-70309-S
yīn dài	64-42707-S,68-14041-B
yīn dào	66-25256-B
yīn dào kǒu	66-25296-B
yīn dào yán	66-25380-B
yīn dì	66-23971-B,66-25025-B
yīn dì qū	38-47851-S
yīn dì zhì yí	14-59805-B
yīn dú	68-15624-B
yīn fù	66-25653-B
yīn fù zhī míng	14-61034-B
yīn fú	7-49274-S,68-14882-B
yīn fú hào	37-44994-S
yīn fēng	41-11335-S,66-26107-B
yīn fǎ	18-47519-S,18-53645-S,34-56392-S,58-5667-S
yīn guō léng měng gǔ zì zhì zhōu	22-10644-S
yīn guǎn	68-14995-B
yīn guǒ	3-45199-S,14-60852-B
yīn gāo	68-16531-B
yīn gōng chéng	15-67137-S
yīn gǔ	19-48583-S
yīn huò dé fú	14-61468-B
yīn hào	68-15381-B
yīn hé	7-53754-S,14-35928-S,54-40387-S
yīn hé chéng	58-28237-S
yīn hù	66-24317-B
yīn hěn jiǎn dān	11-31168-S
yīn jié	14-22526-S,64-2596-S,65-29524-S,67-2621-S,68-15132-B
yīn jié cí	16-65119-S
yīn jié dān wèi	3-64992-S
yīn jié tǐ	68-15174-B
yīn jiā gōng	9-23712-S,9-23908-S
yīn jiān	66-25600-B
yīn jiē	3-53161-S,68-15976-B
yīn jiē duàn	27-53340-S
yīn jì qiǎo	58-28517-S
yīn jì yì	45-66288-S
yīn jìng	66-24209-B
yīn jí	66-24496-B,68-15233-B
yīn jí shè xiàn guǎn	66-24581-B
yīn jī	29-43204-S,64-42761-S
yīn jīng	66-24940-B,66-24985-B
yīn kuò dà	15-67214-S
yīn liàng	68-15853-B
yīn liáng	66-24750-B
yīn liáng chù	66-24791-B
yīn liè	58-46469-S
yīn lì	66-24399-B
yīn lì chéng biàn	14-59355-B
yīn lí zǐ	66-25883-B
yīn lí zǐ bù wèi	66-25938-B
yīn lòu jiù jiǎn	14-62332-B
yīn lěng	66-23715-B
yīn lǜ	68-14085-B
yīn miàn	66-26052-B
yīn miè	39-14225-B
yīn mái	66-26014-B
yīn máo	66-24665-B
yīn mén	66-25539-B
yīn móu	66-25066-B
yīn móu diān fù zhèng fǔ zuì	66-25115-B
yīn mǎ	15-67403-S
yīn niǔ tè	14-61639-B
yīn niǔ tè rén	14-61758-B
yīn náng	66-23805-B
yīn pín shè bèi	68-16442-B
yīn píng	66-24047-B
yīn píng shēng	66-24101-B
yīn pú sà	57-41735-S,57-43758-S
yīn pǐ	67-47909-S
yīn qiè	35-65762-B
yīn qì	29-29227-S
yīn qín	35-65816-B
yīn qīn	18-44470-B
yīn rén chéng shì	14-59084-B
yīn rén ér yì	14-59228-B
yīn rú cǐ	14-59919-B
yīn rǎn sè tǐ yì cháng	15-67286-S
yīn shuān	68-14136-B
yīn shì	7-57657-S,11-31262-S,14-60016-B,36-61513-S
yīn shì fàng shí jiān	61-9464-S
yīn shì fēn jiě	14-60088-B
yīn shì lì dǎo	14-59462-B
yīn shí bié	58-28590-S
yīn shí zhì yí	14-60620-B
yīn shù	6-64702-S,14-60484-B,59-59845-S
yīn shān	66-23905-B
yīn shāng	35-65889-B
yīn shī dú	6-63614-S
yīn shī yǔ zhèng	58-28309-S
yīn shū	47-6001-S
yīn sè	68-15422-B
yīn sì jiàn	7-13552-S
yīn sù	14-61818-B,42-53712-S,60-24581-S,68-15291-B,68-15806-B
yīn sī bù lǔ kè	14-60548-B
