fe3o4	25-45399-S,42-28226-S,46-45107-S
fig to study a problem to find the right way to solve it	20-53110-B,20-53317-B
fig to suffer a reverse in politics or business	60-34099-B
fig to suffer a setback	54-50875-B
fig to swear revenge on sb	69-3430-B
fig to tackle a key problem	29-48135-B
fig to take a backward step	65-30075-B
fig to take a shortcut to promotion	49-35175-B
fig to take action too late	3-66287-B
fig to take advantage of the situation for one s own benefit	68-25473-B,68-25632-B
fig to take on a new lease of life	28-54741-B
fig to teach what one has just learned	41-20682-B
fig to think through	42-58033-B
fig to throw into relief	40-41026-B
fig to toil for sb else s benefit	16-33392-B
fig to touch the main point in speaking	46-18662-B
fig to treat an important question as a minor matter	17-40466-B
fig to treat oneself as hopeless and act crazily	46-18974-B
fig to try anyone or anything in a crisis	44-9959-B
fig to try hard to save a desperate crisis	9-46405-B
fig to turn crude writing into a literary gem	71-41263-B,71-42567-B
fig to turn from passive to active behavior	11-46384-B
fig to understand thoroughly	56-11657-B
fig to use powerful connections to intimidate people	42-6057-B
fig to waste time on an insoluble or insignificant problem	65-9835-B,65-10101-B
fig to win favor or influence using sb else s property	6-981-B
fig to work hard to compensate for one s limited abilities	48-7938-B
fig to work in haste	65-34839-B
fig to work into the night	27-65772-B
fig to work or study diligently	51-38018-B
fig to work with extreme care and precision	48-53267-B,48-58875-B
fig to worry unduly over minor matters	30-37613-B
fig to write in a free style	28-49862-B
fig to yearn for sth	23-19574-B
fig tomb	33-28238-B
fig topsy turvy and inequitable	5-57439-B
fig total success	39-41096-B
fig totally refuted	70-8275-B
fig tree	54-31156-S
fig trickery	53-57818-B
fig trouble maker	19-59609-B,19-59922-B
fig trouble times test a faithful minister	44-7683-B,44-7881-B
fig two people say exactly the same thing usually derog 	1-24039-B
fig tyrannical government oppresses the people	42-28888-B
fig unable to see one s own faults	45-14851-B,45-15577-B
fig under the counter	65-34530-B
fig under the counter indirect way for influence or pressure	24-2766-B
fig unexpected winner	71-33578-B
fig unnecessary suspicions	33-13429-B
fig unsurmountable obstacle	40-22722-B
fig untroubled person	51-14984-B
fig upright and honest	56-31004-B
fig upright and unwilling to compromise	70-38547-B
fig urgent need	62-61567-B,62-61757-B
fig useless remnant	48-62861-B
fig using one s proximity to the powerful to obtain favor	61-48430-B
fig vacuous and sentimental of poetry or art	12-66079-B
fig vertical or north south lines	50-30803-B
fig vigorous new policies	30-46964-B
fig wandering aimlessly with no tenured position	42-59084-B
fig waste or discord within an organization	7-30886-B
fig way of seeing through a conspiracy	41-7089-B
fig way out of an embarrassing situation	53-20866-B
fig wedding celebrations	37-57791-B,37-57947-B
fig western dress	68-4976-B
fig whichever way	1-48356-B
fig whoever started the trouble should end it	57-52888-B
fig wicked scoundrel	19-58740-B
fig widely experienced in the vicissitudes of life	32-16545-B
fig with rapt attention	8-27677-B
fig wonderful	27-29594-B
fig wounded or damaged person	6-44103-B
fig you can t tell the really dangerous enemy from his external appearance	13-28660-B
fig you must work harder	61-67446-B
fig young talent	67-3342-B
fig younger woman esp girl friend or rival	18-37134-B
figaro	59-46396-S
fight	1-57023-S,2-11437-S,2-11527-S,3-68497-B,3-70861-S,5-6930-S,10-11236-S,20-45804-S,20-46773-S,20-57374-S,26-6907-S,26-16674-S,26-16674-B,26-20484-S,26-40322-S,26-45769-S,26-50691-S,27-3989-S,27-53413-S,27-63731-B,28-14912-S,28-52985-B,28-53090-S,28-53156-S,28-53196-S,38-53932-S,41-37979-B,41-38909-B,59-24422-S,65-35384-S,70-28610-S,70-28920-S,70-29056-B
fight a battle	26-40760-S
fight a battle of words	13-49179-B
fight against	11-47096-S,27-6090-S
fight alone	19-13058-S
fight at close quarters	23-6755-S,23-6823-S,45-65660-S
fight at night 成语 saw	27-65772-S
fight at the risk of one s life	27-52347-S
fight back	14-55661-S
fight before taking sides	15-51688-S
fight bitterly	35-56623-S
fight bravely	18-18292-S
fight desperately	27-52607-S
fight desperately at the risk of one s life	27-51593-S
fight for	41-38393-S,41-39807-S
fight for fame	41-38477-S
fight for mastery	1-13600-S
fight for one s life	35-56175-S
fight hand to hand	3-68547-S
fight in one place after another	61-23652-S
fight minutes	41-38316-S
fight off and make sb run off	26-49201-S
fight one another 成语 saw	45-65660-S
fight or work desperately hard	27-52196-S
fight over	28-61673-B,41-38655-B
fight tiger bare handed and wade rivers 成语 saw	32-159-S
fight to a standstill	26-44239-S
fight to reverse sth	26-48109-S
fight to the death	35-57504-B,58-23409-S
fight to the last ditch	52-17315-S
fight to win or die	52-18052-S
fight together	23-6689-S
fight us	6-47487-S
fight with all one s might	9-46112-S
fight with one s back to the river 成语 saw	52-18052-S
fight 成语 saw	32-32359-S
fighter	9-20727-S,16-37082-B,26-18272-B,26-20766-B,38-33253-S
fighter aircraft	26-18703-B,26-20599-B
fighter for environmental protection	43-4734-S
fighter for human rights	4-11348-S
fighter plane	35-64976-B
fighting	8-1558-B,25-19226-S,25-21379-S,25-24121-S,26-16771-B,28-53260-B,38-33191-S,47-42888-S,63-41442-S,64-56753-S,64-56791-S,70-29316-S
fighting across the country	61-23724-S
fighting as if one s life depends on it	27-50972-S
fighting everywhere over a thousand miles 成语 saw	61-23724-B
fighting from all four quarters	10-71389-B,10-71508-B,10-71629-B,33-18712-B,33-18833-B,33-24204-B
fighting group	26-18010-B
fighting hand to hand	24-5460-B
fighting in chinese opera or dance	35-46868-S
fighting in spite of all setbacks	44-54337-S
