aftermath	9-63364-B,24-56-B
also written 杜鵑鳥 杜鹃鸟	33-10466-S
also written 松石	33-27386-B
also written 格式塔	33-66177-B
also written 桅杆	34-3877-B
also written 榴槤 榴梿	34-42559-B
also written 榴槤果 榴梿果	34-42664-B
also written 榴蓮 榴莲	34-42363-B
also written 榴蓮果 榴莲果	34-42468-B
also written 機槍 机枪	35-5768-B
also written 歧視 歧视	21-34372-B
also written 歸於 归于	35-53228-B
also written 死不瞑目	35-55881-B
also written 比索 bi3 suo3	27-11742-B
also written 氨基葡萄糖	54-58746-B
also written 氨基酸	52-26327-B
also written 沒精打彩 没精打彩	37-11464-B
also written 沒藥 没药	32-60139-B
also written 洛磯山 洛矶山	37-55776-B
also written 浮屠	38-13080-B
also written 涂	21-46632-B
also written 涂山	21-46688-B
also written 混蛋 混蛋	39-8428-B
also written 清脆 清脆	61-11836-B
also written 渾 浑	38-52788-B
also written 渾水摸魚 浑水摸鱼	38-54113-B
also written 滑冰	39-17720-B
also written 漂泊	68-60710-B
also written 漂流	68-60802-B
also written 漂浮	68-60888-B
also written 激盪 激荡	40-5693-B
also written 炮兵	46-16037-B
also written 炮轟	46-16371-S
also written 烏克麗麗	21-7812-S
also written 熒光屏 荧光屏	56-12603-B
also written 爬行動物 爬行动物	41-37887-B
also written 爬行類 爬行类	41-37686-B
also written 特徵值 特征值	32-63715-B
also written 特徵向量 特征向量	32-63813-B
also written 玄狐	64-27836-B
also written 珍珠	45-43360-B
also written 生米煮成熟飯 生米煮成熟饭	43-28366-B
also written 申斥	43-44762-B
also written 當舖 当铺	43-68216-B
also written 當鋪 当铺	43-67983-B
also written 疾風勁草 疾风劲草	44-7881-B
also written 盡快 尽快	6-56173-B
also written 直升機 直升机	45-22389-B
also written 直流	14-17643-B
also written 真珠	42-43276-B
also written 眾所周知 众所周知	45-53282-B
also written 睪酮 睾酮	45-57600-B
also written 矽末病	46-4134-B,46-6616-B,46-6768-B,46-11677-B,46-21918-B,46-39103-B
also written 矽肺病	71-32451-B
also written 社論 社论	46-50361-B
also written 神經元 神经元	46-59235-B
also written 積穀防飢 积谷防饥	47-40041-B
also written 粘膠 粘胶	71-28390-B
also written 精雕細刻 精雕细刻	48-53267-B
also written 糊涂	52-21978-B
also written 糊涂虫	52-22051-B
also written 約翰一書 约翰一书	49-7183-B
also written 約翰三書 约翰三书	49-7064-B
also written 約翰二書 约翰二书	49-7550-B
also written 約莫 约莫	49-5229-B
also written 紋風不動 纹风不动	30-31671-B
also written 結草銜環 结草衔环	49-44177-B
also written 統一碼 统一码	14-16453-B,54-44141-B
also written 緣分 缘分	50-19004-B
also written 纍墜 累坠	50-45125-B
also written 纍贅 累赘	50-44933-B
also written 聚酯	51-55279-B
also written 聽小骨 听小骨	52-2202-B
also written 茜草	54-13093-B
also written 菸鹼 菸碱	54-38171-B
also written 蕩漾 荡漾	45-14418-B
also written 蝸牛 蜗牛	56-9335-B
also written 血紅蛋白 血红蛋白	56-29068-B
also written 衝擊波 冲击波	37-13055-B
also written 託詞 托词	26-52601-B
also written 質鋪 质铺	59-60831-B
also written 贊同	59-14611-S
also written 踺子	60-48727-B
also written 輕機槍 轻机枪	61-10872-B
also written 輕脆 轻脆	38-64354-B
also written 辨別 辨别	61-37298-B
also written 辭典 辞典	58-9232-B
also written 迪斯科	44-59127-B
also written 週轉金 周转金	13-14167-B
also written 達賴喇嘛 达赖喇嘛	62-55396-B
also written 違強陵弱 违强陵弱	62-56679-B
also written 那裡 那里	63-17499-B
also written 酒吧	63-39416-B
also written 重機槍 重机枪	63-60867-B
also written 重砲 重炮	63-62139-B
also written 銀元 银元	37-52148-B,64-25702-B,64-27452-B
also written 銀圓 银圆	64-25395-B
also written 開發週期 开发周期	65-39358-B
also written 關於 关于	65-53775-B
also written 阿司匹林	66-5070-B
also written 阿諾·施瓦辛格 阿诺·施瓦辛格	12-22092-B
also written 陵夷	8-25848-B
also written 雇用	6-52378-S
also written 雨過天晴	67-15029-B
also written 雷鬼	67-23766-B
also written 霍金	67-43836-B
also written 革蘭氏陰性 革兰氏阴性	33-67971-B
also written 鳴謝 鸣谢	64-31977-B
also written 鴕鳥 鸵鸟	69-50514-B
also written 鹽酸 盐酸	36-34998-B
also xi an district of liaoyuan city 遼源市 辽源市	57-15540-B
also yi4 qi5	51-13357-B
also zuo1 si3 to invite death by recklessness	5-7699-B
also 周濟 周济	59-56571-B
also 安德魯 安德鲁 protestant transliteration	19-28303-B
also 摩西 protestant translation	34-11638-B
also 津沽	37-25651-S
also 糠	23-990-S
also 老公 lao3 gong1	51-25818-S
also 老趼	51-29937-B
also 老鵰 老雕	71-769-S
also 貸方 贷方	12-23253-B
also 賙濟 赒济	13-13292-B
also 趼子	50-42100-B
also 高速公路	70-22806-B
also 鰈 鲽	71-57698-S
alstom	66-8016-B
alt delete	65-37869-S
altai and tianshan	39-17466-S
altai and tianshan ranges	39-17075-S
altai mountain chain on the border of russia and mongolia	66-8411-B
altai mountain range in xinjiang and siberia	66-8313-B
altai republic in russian central asia	66-8233-B
altaic language	66-8533-B
altair	70-29120-S
altair and vega stars	41-49228-B
altair and vega where cowherd and weaving maid 牛郎織女 牛郎织女 are allowed an annual meeting	70-57411-S
altair star	41-49104-B,41-64050-B,41-64222-B
altar	8-48113-S,16-32058-B,26-13562-S,46-64990-B,51-52444-S
altar and take over the kitchen 成语 saw	60-25771-S
altar inside ancestral temple	46-52156-S
altar lamp burning day and night	65-15099-B
altay prefecture in xinjiang	65-68235-B
altay prefecture level city in xinjiang	65-68154-B,65-68325-B
alter	5-47823-B,29-43530-S,29-43783-S,29-45630-S,29-46088-S,32-7259-S,32-7955-B,47-26081-S,47-58909-S,59-9592-B
alter a text indiscriminately 成语 saw	18-32412-S
alteration	59-7501-B
altercation	11-69657-B
alternate	3-70505-S,6-29020-B,32-8368-S,32-9259-S,59-8852-S,61-16273-B
alternate dialog comic	20-47633-B
alternate form of 倏	6-59972-B
alternate formal name	2-79948-S
alternate phyllotaxy leaf pattern	3-45327-B,3-45397-B
alternate prose and rhymed parts for recitation and singing often on buddhist themes	59-9227-S
alternate term for traditional chinese character	35-40531-B
alternate watch	32-7324-S
alternately	3-66702-B,3-70161-B,32-9032-B,61-52845-B
alternating current	3-70629-B,67-31895-B
alternating current circuits	4-53449-S
alternating current elec 	3-70505-B,3-71963-B
alternating current to direct current	30-15757-S
alternating electric current to direct current	30-15843-S
alternation	3-71887-B
alternation of generations	2-37839-B
alternative	40-47734-S,40-61628-S
alternative but to	2-8746-S,12-7980-S
alternative medicine	11-46777-S,11-47006-S,12-7364-B,68-22360-S,69-28975-S,70-25986-S
alternative name	4-1445-B,9-4205-B,11-41689-B
alternative name for the yellow emperor 黄帝	61-1555-B
alternative name of person stressing a moral principle	56-44130-S
alternative reading bei4 qiao4	59-29892-B
alternative spelling of tokhtogan 脱脱	26-51451-B
alternative 成语 saw	61-51811-S
althaea rosea	54-38634-B
although	6-56471-B,66-62852-B,66-62895-B,66-63098-B,66-63160-B
although dead	66-62949-S,66-63023-S
although destitute	59-36824-S
although small	47-34936-B
althusser	66-8941-S
althusser 1918 1990	60-42513-S
althusser 路易·皮埃尔·阿尔都塞 1918 1990	66-8941-S
altitude	4-68734-S,70-19139-S
altitude or pitch of sound	70-11362-S
