xīn xì xiàn	30-51633-B
yan chu	21-51148-S,39-45381-B
yan chuan chang duan	45-51055-B
yan chuang	21-49745-B
yan ci	14-41879-B,14-42719-B,14-42880-B,57-56040-B,57-56531-B
yan cong	38-50475-S,41-2086-B
yan da	24-36427-S
yan dai	41-4110-B,45-51872-B
yan dang	23-16944-B
yan dao	71-18556-S
yan de hu zi	1-70353-S
yan di	45-48950-B,54-38124-B
yan di qu	71-58925-S
yan di xia	45-49024-B
yan dian	45-52675-B,54-55186-S
yan dian qi	69-59199-B
yan dian tu	45-52293-B
yan ding	46-13319-B
yan dong	14-41349-B,20-63579-S,45-48467-B
yan dong ji lu	45-48592-B
yan dong ji shu	45-48514-B
yan du	46-14989-B
yan dui	33-62247-S
yan duo	24-36346-S
yan er	24-36222-S,28-33457-B,37-26625-B
yan er dao ling	28-33509-B
yan er yu	2-29084-S
yan fa	23-18008-B,46-13597-B
yan fan	5-13184-S,11-36625-B
yan fang	14-43381-B,45-49273-B,69-58445-B
yan fang shui	45-49347-B
yan fei yu	38-6458-S
yan fen fei	9-63515-S
yan feng	45-52361-B
yan feng fu	49-62752-S
yan fu	17-41123-S,45-50905-B
yan fu shi	60-31652-S
yan gai	28-33669-B
yan gang	41-2853-B
yan gao shou di	45-52491-B
yan ge	14-42127-B,23-17679-B,37-27875-B,45-49571-B,65-50324-B
yan ge ge li	14-42338-B
yan ge lai jiang	14-42264-B
yan ge lai shuo	14-42191-B
yan gu guan	13-31031-B
yan guan	69-59132-B
yan guan cha	52-6304-S
yan guan qi xing	51-69561-S
yan guang	45-48142-B,69-57900-B
yan guang duan	45-48184-B
yan guang fa	69-57961-B
yan guang pei jing fa	69-58128-B
yan guang pei jing ye	69-58033-B
yan gui	41-4416-B,51-29200-S,57-62406-S
yan guo lao	45-52119-B
yan hai	37-27173-B,38-10420-S,41-2482-B
yan hai di qu	37-27214-B
yan han	14-41715-B
yan hao	24-36561-S
yan he	69-58892-B
yan hen	11-36316-B
yan hong	18-25983-S,45-51244-B
yan hong se	53-46227-B
yan hou	13-30946-B,51-40013-S
yan hu	28-33799-B,41-13875-S,71-51633-S
yan hua	21-49789-B,39-45520-B,39-57011-S,41-2895-B,68-37983-S
yan hua bu	41-3481-B
yan hua chang	41-3043-B
yan hua fen dai	41-3570-B
yan hua feng yue	41-3933-B
yan hua liao luan	41-3690-B,45-51618-B
yan hua liu xiang	41-3405-B
yan hua nu:	41-3120-B
yan hua shi	41-3338-B
yan hua wu	33-50232-S
yan hua xiang	41-3273-B
yan hua xing yuan	41-3769-B
yan hua zhai	41-2972-B,41-3197-B
yan hua zhen	41-3857-B
yan huan	23-18112-B
yan huang gua	63-46352-B
yan hui	19-60117-B,23-17829-B,37-27118-B,41-2684-B,59-12960-B
yan hui gang	41-2731-B
yan hui yu	36-63401-S
yan huo	41-2626-B,41-24850-B,52-36549-B,63-46311-B,69-59079-B
yan ji	34-35399-S,39-45998-B
yan ji shi	61-26099-S
yan jia	14-41397-B,31-44560-B,68-30361-S
yan jia shen chi	14-41488-B
yan jian	1-54446-S,1-61951-S,23-18404-B,41-4475-B,45-48722-B,45-50786-B,45-51918-B,54-38171-B,54-38241-B,71-7984-B
yan jian di	71-8046-B
yan jian shi di	71-8102-B
yan jian yi zong ju	15-7223-S
yan jiang	21-10621-S,21-36325-B,37-26900-B,39-46945-B,41-14207-S,44-33825-S
yan jiang liu	21-36430-B
yan jiang yan	21-36371-B
yan jiao mo	45-51963-B
yan jie	23-17632-B,45-50232-B,65-39967-S
yan jie guo	39-4710-S
yan jin	14-42459-B,14-42579-B,14-42796-B,39-47060-B
yan jing	17-61695-S,21-36044-B,26-23583-S,29-25932-S,41-2297-B,45-46221-S,45-50667-B,45-52174-B,54-32946-S,66-47454-S
yan jing da fang guang fo	54-33076-S
yan jing qi zhong	23-19574-B
yan jing she	45-52242-B
yan jing zhuo ma que	65-27791-S
yan jiu	12-16212-S,14-8456-S,22-52878-S,24-10279-S,46-13752-B,70-19907-S
yan jiu bao gao	46-14007-B
yan jiu fan ying dui	46-13867-B
yan jiu ji gou	46-14174-B
yan jiu ling yu	46-14527-B
yan jiu sheng	46-14250-B
yan jiu sheng yuan	46-14313-B
yan jiu suo	10-26980-S,46-14078-B,46-56747-S
yan jiu yuan	46-13951-B,46-14455-B
yan jiu zhe	46-14387-B
yan jiu zhong xin	12-3331-S,46-13794-B
yan ju	39-45470-B
yan juan	11-36248-B
yan juan r	41-2342-B
yan jue ju	3-55053-S
yan jun	14-41774-B,14-42510-B
yan kan	45-50516-B
yan kao	46-14665-B
yan ke	14-42674-B,41-29083-B
yan ke lei bo shi jun	52-14916-S
yan ke xue	45-50998-B
yan ku	14-42924-B
yan ku qiu bao zi jun	11-36808-B
yan kuang	45-50617-B
yan kuang wu	62-18332-S
yan lan	23-17737-B,70-52547-S
yan le	19-60177-B
yan lei	45-49724-B
yan leng yu	8-23291-S
yan li	14-41560-B,37-26550-B,45-48366-B,53-46386-B
yan li chu Xi Shi	25-12113-S
yan lian	33-59052-S,39-46396-B,45-51180-B
yan liao	68-44597-B
yan liao shi	30-18920-S
yan ling	26-13505-S
yan liu	39-24183-S,41-13820-S
yan liu se	3-55658-S
yan lu	37-27587-B,55-58841-S,71-7946-B
yan lu: shi	1-28740-S
yan lun	17-49991-S,57-56375-B
yan lun zi you	57-56442-B
yan lù	55-58841-S
yan ma	33-54049-S
yan mai	28-33416-B,41-30280-B
yan mai zhou	41-30317-B
yan man zu zi zhi xian	21-36845-S
yan mao jin xing	45-48245-B
yan mei	32-36375-S,40-56571-S
yan mei jiang jun	52-15116-S
yan mei yu	43-17527-S
yan mi	14-41656-B
yan mi yu	43-17594-S
yan mian	23-18055-B
yan min	41-2441-B
yan ming	57-55905-B,69-58519-B
yan ming ti	45-24525-S
yan ming zheng shen	69-58614-B
yan mo	38-55943-B,46-13654-B
yan mu	41-2236-B,45-50479-B
yan na	50-58338-S
yan nao er	22-5559-S
yan nao er shi	22-5662-S
yan neng li	6-63205-S,58-27532-S
yan ni	11-36692-B,46-13406-B
yan ni er	24-46909-S
yan nian yi shou	23-17304-B
yan pan	46-13254-B
yan pang guan	8-22548-S
yan pao	63-46075-B
yan pen she qi	40-22527-S
yan pi	45-50325-B,63-63146-S,66-67783-S
yan pi r	63-63270-S
yan pi zi	45-50364-B
yan pi zi qian	45-50412-B
yan pian	38-31306-S
yan piao	69-58724-B
yan pin	23-18258-B,60-5079-B
yan pin zhao lan	23-18319-B
yan qi	11-36435-B,11-36486-B,14-40812-B,23-17884-B
yan qi xi gu	6-5300-B
yan qian	15-36089-S,45-48320-B
yan qiang	41-2395-B,51-29111-S
yan qiao yu	53-60773-S
yan qing	19-60229-B,23-18543-B,53-46186-B
yan qiong qiu	41-13929-S
yan qiu	45-50129-B,46-13522-B
yan qu	13-4073-S,45-35301-S
yan quan	41-2128-B,44-34162-S
yan quan guo	55-10553-S
yan que	41-29352-B,55-49299-S
yan que an zhi hong gu zhi zhi	41-29558-B
yan que chu tang	41-30084-B
yan que wu que	41-29798-B
yan que xian	58-27463-S
yan que xiang he	41-29877-B
yan r	20-64100-S,21-17770-S,35-57409-S,50-49095-S,69-42609-S
yan ran	6-60257-B,18-59644-B
yan re	40-28607-B,45-49837-B
yan ren	4-33417-S,30-54819-S,44-34106-S
yan ren er mu	28-33271-B
yan ren yuan	47-20613-S,58-38748-S
yan rong	21-36267-B
yan rou	63-46175-B
yan se	45-51442-B,53-46279-B,68-44712-B
yan se hu	16-8318-B
yan se su ceng hei se su liu	45-51507-B
yan se ze	30-19021-S
yan sha hai kui du su	21-36182-B
yan shan	40-22722-S
yan shang	69-57793-B
yan shang ren	25-23374-S
yan shao	45-49619-B
yan she	56-35666-B
yan shen	3-70754-S,23-16400-B,45-50827-B
yan sheng	45-50170-B,56-35711-B
yan sheng gong ju	64-15251-S
yan sheng wu	56-35814-B
yan shi	10-45661-S,11-36191-B,11-36904-B,13-4128-S,14-36890-S,20-16092-S,21-36486-B,22-18780-S,22-18929-S,28-33851-B,30-3702-S,39-46269-B,45-48774-B,45-49407-B,53-46340-B,59-30212-S,63-27920-S,69-58223-B,71-59021-S
yan shi ceng	21-36660-B
yan shi gan ran	20-16147-S
yan shi quan	21-36524-B
yan shi xue	21-36581-B
yan shi yue	58-27601-S
yan shi zheng	48-55553-S
yan shou	14-41606-B,69-58326-B
yan shu	45-49770-B,71-50808-B
yan shu liu	33-32475-S,33-32549-S
yan shuang qiu jun	52-15024-S
yan shui	43-26448-S
yan shui ni	46-22282-S
yan shun	12-56605-S
yan shuo	39-46832-B
yan shuo zhe	39-46885-B
yan si	38-55902-B
yan si qi	40-43948-S,42-10399-S
yan song ting	11-23295-S
yan su	14-42625-B
yan suan	39-46325-B,41-4156-B,69-58775-B,71-7717-B
yan suan ke lun te luo	71-7773-B
yan suan yan	71-7870-B
yan sui	23-19707-B,37-51890-S,53-53270-B
yan sui ye	53-53312-B
yan sui yu	65-45615-S
yan ta	17-39445-S,20-4605-S,20-5233-S
yan tai	46-26915-B
yan tan	40-56513-S,57-56285-B,71-7390-B
yan tao	46-14876-B
yan tao hui	46-14920-B
yan ti	28-33917-B,68-44750-B
yan tian	71-7444-B
yan tiao	45-52014-B
yan tiao dong	45-52065-B
yan tiao r	37-26820-B
yan tiao yue	7-42693-S,47-894-S
yan ting zuo	16-8409-B
yan tu	37-27659-B
yan tu ti	21-35995-B
yan wai zhi yi	57-55739-B
yan wang ting	18-33654-S
yan wei ding	1-20861-S
yan wei fu	41-28863-B
yan wen	30-30985-S
yan wo	41-29165-B,45-51137-B
yan wu	11-36367-B,18-30395-S,23-18465-B,39-46201-B,41-4297-B
yan wu ji	41-4357-B
yan xi	19-60071-B,37-27523-B,39-45913-B,39-46652-B,46-13470-B,46-14614-B,48-22969-B,60-63272-S
yan xi shao	4-14230-S
yan xi yu	61-12265-S
yan xia	40-28237-B,41-4259-B,45-47712-B
yan xian	22-5776-S,37-27396-B,38-20219-S,45-51338-B
yan xiang	15-63612-S,19-60329-B
yan xiang kan	12-7042-S
yan xiao	24-36648-S,45-36667-S
yan xiao yun san	41-2530-B
yan xin li xue	20-16234-S
yan xing	23-17438-B,27-6015-S,40-28427-B,57-55956-B,58-13799-S
yan xing fan ying	40-28485-B
yan xiu yuan	46-13182-B
yan xu	23-18205-B
yan xu lie	22-33388-S
yan xue	21-36718-B,58-27267-S,69-58848-B
yan xue jia	58-27322-S
yan xue yi shi	6-63104-S
yan xue yuan	10-28050-S,15-13884-S
yan ya	45-48669-B
yan yan	13-30986-B,21-49871-B,40-28564-B
yan yan yi xi	18-42-B
yan yang	11-36581-B,21-36763-B
yan yang ji	47-20692-S
yan yao	38-31389-S,45-51686-B,70-37347-S
yan yao shui	45-51742-B
yan ye	41-4065-B
yan yi	1-33134-S,20-33982-S,35-52701-S,36-19893-S,39-46445-B,39-46555-B,39-46726-B,66-38905-S
yan yi fa	39-46495-B
yan yi quan	39-46774-B
yan yi xi	18-42-S
yan yin	19-60286-B,41-2784-B
yan ying	45-49126-B
yan yong	37-27291-B
yan yong niu dao	9-34347-S
yan you	56-4161-B
yan you xi	57-45783-S
yan yu	29-50832-S,57-56089-B,58-48772-B,59-22531-B
yan yu que xian	57-56216-B
yan yu shi chang zheng	57-56133-B
yan yuan	18-21235-S,32-18492-S,39-45563-B,43-67686-S,67-30105-S
yan yun	33-60495-S,45-49460-B,68-37759-S
yan zha	8-369-S
yan zhan	23-17014-B
yan zhan shu	27-36298-S
yan zhan xing	23-17100-B
yan zhang ai	58-27728-S
yan zhao	45-51388-B
yan zhe	11-68209-S,37-27485-B
yan zhen li de wei yi biao zhun	20-15514-S
yan zhen qing	68-44649-B
yan zheng	14-42409-B,22-36960-S,40-28677-B,69-58933-B
yan zheng ma	69-59016-B
yan zheng zheng	45-50704-B
yan zhi	46-14734-B,48-38261-S,48-38472-S,50-35469-S,52-23366-B,52-36486-B,63-46025-B
yan zhi chi	16-61200-S
yan zhi guo cheng	46-14793-B
yan zhi ji hua	33-59140-S
yan zhi yu	52-23405-B
yan zhong	14-43015-B,45-47904-B,60-25601-S,71-52242-S
yan zhong ci	45-47953-B
yan zhong ding	45-48047-B
yan zhong guan qie	14-43307-B
yan zhong hou guo	14-43152-B
yan zhong wen ti	14-43080-B
yan zhong xing	14-43248-B
yan zhu	44-43026-S,45-49886-B
yan zhu r	44-43087-S,45-49927-B
yan zhu rou	3-53989-S,63-46250-B
yan zhu yi	49-62686-S
yan zhu zi	45-50028-B
yan zi	41-28824-B,52-36358-B,63-46120-B
yan zi yu	53-13815-S
yan zong	54-32811-S
yan zou	39-45771-B
yan zou zhe	39-45850-B
yan zuo	17-50897-S
yan1	1-14073-S,4-14172-S,6-49658-B,8-11221-S,9-21977-S,10-34396-S,11-1834-S,11-26868-S,13-4032-S,13-30822-B,14-154-B,14-4800-S,17-26801-S,17-72066-B,18-59610-B,21-44885-B,25-62647-B,26-14084-S,27-17403-S,27-17742-S,30-11668-S,33-26608-S,33-30582-S,35-65605-B,37-10028-S,38-40452-B,38-55865-B,39-7372-S,39-14143-B,40-7186-S,40-42006-S,40-43860-S,40-44121-B,40-56451-S,41-1785-B,42-10321-S,43-62535-S,46-23034-S,47-1132-S,48-30570-S,49-22640-S,52-23338-B,52-53560-B,54-18048-S,54-38028-B,58-42412-S,62-47007-S,63-32568-B,63-45958-B,65-50293-B,65-50585-B,67-17077-S,67-18796-S,67-63837-S,69-28805-S,71-51098-S,71-51595-S
yan1 bu4 xiang2	58-26240-S
yan1 cao3	41-4024-B
yan1 chen2	41-2173-B
yan1 cong1	38-50475-S,41-2086-B
yan1 dai4	41-4110-B
yan1 de2 hu3 zi3	1-70353-S
yan1 di4	54-38124-B
yan1 gang1	41-2853-B
yan1 ge1	65-50324-B
yan1 gu3 guan3	13-31031-B
yan1 gui3	41-4416-B,51-29200-S
yan1 hai3	38-10420-S,41-2482-B
yan1 hong2	18-25983-S
yan1 hou2	13-30946-B,51-40013-S
yan1 hu2	71-51633-S
yan1 hua1	39-57011-S,41-2895-B
yan1 hua1 bu4	41-3481-B
yan1 hua1 chang3	41-3043-B
yan1 hua1 fen3 dai4	41-3570-B
yan1 hua1 feng1 yue4	41-3933-B
yan1 hua1 liao2 luan4	41-3690-B
yan1 hua1 liu3 xiang4	41-3405-B
yan1 hua1 nu:3	41-3120-B
yan1 hua1 shi4	41-3338-B
yan1 hua1 wu4	33-50232-S
yan1 hua1 xiang4	41-3273-B
yan1 hua1 xing2 yuan4	41-3769-B
yan1 hua1 zhai4	41-2972-B,41-3197-B
yan1 hua1 zhen4	41-3857-B
yan1 huang2 gua1	63-46352-B
yan1 hui1	41-2684-B
yan1 hui1 gang1	41-2731-B
yan1 huo3	41-2626-B
yan1 huo4	52-36549-B,63-46311-B
yan1 jian3	41-4475-B,54-38171-B,54-38241-B
yan1 jing4	41-2297-B
yan1 juan3 r5	41-2342-B
yan1 mei2	32-36375-S,40-56571-S
yan1 min2	41-2441-B
yan1 mo4	38-55943-B
yan1 mu4	41-2236-B
yan1 pao4	63-46075-B
yan1 qiang1	41-2395-B,51-29111-S
yan1 qu1	13-4073-S
yan1 quan1	41-2128-B
yan1 ran2	18-59644-B
yan1 rou4	63-46175-B
yan1 shi4	13-4128-S
yan1 si3	38-55902-B
yan1 si4 qi3	40-43948-S,42-10399-S
yan1 suan1	41-4156-B
yan1 tan4	40-56513-S
yan1 wu4	18-30395-S,41-4297-B
yan1 wu4 ji4	41-4357-B
yan1 xi1 shao3	4-14230-S
yan1 xia2	41-4259-B
yan1 xiao1 yun2 san4	41-2530-B
yan1 yan1 yi1 xi1	18-42-B
yan1 yan2	13-30986-B
yan1 ye4	41-4065-B
yan1 yi1 xi1	18-42-S
yan1 yin3	41-2784-B
yan1 yong4 niu2 dao1	9-34347-S
yan1 yu3	29-50832-S
yan1 yun2	33-60495-S
yan1 zhi1	52-23366-B,63-46025-B
yan1 zhi1 yu2	52-23405-B
yan1 zhi4	52-36486-B
yan1 zhu1 rou4	3-53989-S,63-46250-B
yan1 zi4	52-36358-B,63-46120-B
yan2	1-13879-S,1-19438-S,1-24739-S,2-1462-S,2-38888-S,2-40245-S,2-43833-S,2-79033-S,3-15575-S,3-15642-S,3-57052-S,3-62666-S,4-17237-S,4-26114-S,4-59296-S,4-68986-S,4-70189-S,5-15517-S,5-20678-S,5-26948-S,6-10842-S,6-39475-S,7-72442-S,8-26974-S,9-15579-S,9-18448-S,9-23649-S,10-39086-S,11-20443-S,11-37253-B,12-938-S,12-14179-S,12-16707-S,12-58522-S,12-68114-S,13-11754-S,13-30986-S,14-3491-S,14-4060-S,14-5083-S,14-41266-B,15-63378-B,15-68104-S,16-21504-B,16-31073-S,16-47490-S,16-61131-S,16-63508-S,16-63547-S,17-27900-S,17-33826-S,17-67284-S,18-34115-B,18-35052-S,18-37449-S,18-37571-S,18-45700-S,19-27358-S,19-41950-S,19-55422-S,19-55602-S,20-10096-S,20-42719-S,20-59829-S,21-11053-S,21-20484-S,21-24425-S,21-35761-B,21-36371-S,21-46487-B,21-46515-B,21-49671-B,21-49871-S,21-61906-S,22-1717-S,22-59672-S,23-16336-B,23-30682-S,24-37754-S,24-46846-S,24-58795-S,24-64325-S,25-23316-S,26-2123-S,26-5155-S,26-13370-S,26-13441-S,26-21358-S,26-30516-S,26-30635-S,27-36231-S,27-66016-S,28-5355-S,28-35377-B,28-45455-S,29-31509-S,29-37786-S,29-38938-S,30-6554-S,30-30934-S,30-32516-S,30-60793-S,30-64271-S,31-9517-S,31-26317-S,31-63841-S,32-10673-S,32-27066-S,32-54870-S,33-29831-S,33-32699-S,33-68182-S,34-23836-S,35-94-S,35-4215-S,35-11220-B,35-29987-S,36-12529-S,36-29530-S,36-37686-S,36-62391-S,37-7014-S,37-8077-S,37-15643-S,37-26444-B,37-43876-S,38-6395-S,38-26880-S,38-31219-S,38-50283-S,39-36140-S,39-36234-S,40-6442-S,40-13163-S,40-21301-S,40-25432-S,40-28190-B,40-28564-S,40-55491-S,41-13781-S,41-43535-S,41-46530-S,42-5023-S,42-20601-S,42-27868-S,43-17471-S,43-39623-S,43-43809-S,43-51677-S,43-63138-S,44-11142-S,44-25877-S,44-30937-S,44-34054-S,44-47797-S,44-63362-S,44-65884-S,45-20165-S,45-44699-S,46-8449-S,46-11183-S,46-12310-S,46-13134-B,46-21099-S,46-22228-S,46-23587-S,46-24146-S,46-24908-S,46-29384-B,46-32366-S,46-32711-S,46-42082-S,46-45378-S,46-45551-S,46-47142-S,47-20559-S,47-29718-S,47-63700-S,47-63771-S,48-22924-B,48-28036-S,48-39748-B,48-50400-S,49-7964-S,49-43981-S,49-62842-B,50-12425-S,50-15919-S,50-30649-S,51-33807-S,51-66584-S,51-66865-S,52-9314-S,52-14847-S,52-16048-S,52-25875-S,52-31432-S,52-36976-S,52-40352-S,52-40784-S,52-41926-S,52-44380-S,52-46297-S,52-56186-S,53-9615-S,53-55400-S,54-21324-S,54-23109-B,55-10500-S,55-46460-S,55-54197-S,55-60196-S,55-60322-S,56-4134-B,56-6676-S,56-9730-S,57-45614-S,57-48232-S,57-55691-B,58-23615-S,58-27217-S,58-43686-S,58-46579-S,58-49774-S,58-52630-S,58-57973-S,58-61115-S,58-61743-S,59-11864-S,59-13294-S,59-14253-S,60-2304-S,60-20001-S,60-21389-S,60-39969-S,61-14266-S,61-14396-S,61-44485-S,61-67948-S,62-57055-S,62-58447-S,62-67360-S,62-69577-S,63-12347-S,63-21493-B,63-44801-S,63-45777-S,63-48043-S,64-3028-S,64-7481-S,64-12821-S,64-13181-S,64-21028-B,64-31930-S,64-51926-S,65-10435-S,65-51437-S,65-56779-S,65-65427-B,66-25380-S,67-6827-S,67-35094-S,67-63070-S,68-1616-S,68-4157-S,68-19327-S,68-23686-S,68-30309-S,68-44545-B,68-44979-B,68-56198-S,69-4081-S,69-4473-S,69-13561-S,69-20912-S,70-19979-S,70-23483-S,71-4640-S,71-5576-S,71-5812-S,71-6457-B,71-7870-S,71-17394-S,71-18489-S,71-46092-S,71-51554-S,71-52062-S,71-55491-S,71-58851-S
yan2 an4	37-26689-B
yan2 an4 di4 qu1	37-26755-B
yan2 bi4 xi1	18-23465-S
yan2 bian1	37-27734-B
yan2 bian1 r5	37-27805-B
yan2 bing4 du2	18-40977-S,33-19366-S,57-18187-S
yan2 bo1	46-15089-B
yan2 bu4	43-51753-S
yan2 bu4 fan2	57-27442-S
yan2 bu4 hui4	45-24457-S
yan2 can2 qiu1	40-25493-S
yan2 cang1	21-35794-B
yan2 ceng2	21-49699-B
yan2 chan3 sheng1	58-27385-S
yan2 chang2	23-19422-B
yan2 chang2 xian4	23-19487-B
yan2 cheng2 bu4 dai4	14-41978-B
yan2 chi2	23-18623-B
yan2 chi4	14-43456-B
yan2 chuang2	21-49745-B
yan2 ci2	14-41879-B,14-42719-B,14-42880-B,57-56040-B,57-56531-B
yan2 dang4	23-16944-B
yan2 dao3	71-18556-S
yan2 di4 qu1	71-58925-S
yan2 ding4	46-13319-B
yan2 dong1	14-41349-B
yan2 dong4	20-63579-S
yan2 du2	46-14989-B
yan2 er2 yu4	2-29084-S
yan2 er5	37-26625-B
yan2 fa1	23-18008-B,46-13597-B
yan2 fang2	14-43381-B
yan2 fei1 yu3	38-6458-S
yan2 fu4 shi4	60-31652-S
yan2 ge1	23-17679-B
yan2 ge2	14-42127-B,37-27875-B
yan2 ge2 ge2 li2	14-42338-B
yan2 ge2 lai2 jiang3	14-42264-B
yan2 ge2 lai2 shuo1	14-42191-B
yan2 guan1 qi2 xing2	51-69561-S
yan2 hai3	37-27173-B
yan2 hai3 di4 qu1	37-27214-B
yan2 han2	14-41715-B
yan2 hu2	41-13875-S
yan2 hua4	21-49789-B
yan2 huan3	23-18112-B
yan2 hui2	37-27118-B
yan2 hui4	23-17829-B
yan2 hui4 yu3	36-63401-S
yan2 ji3	34-35399-S
yan2 jia1	14-41397-B,68-30361-S
yan2 jia1 shen1 chi4	14-41488-B
yan2 jian3	71-7984-B
yan2 jian3 di4	71-8046-B
yan2 jian3 shi1 di4	71-8102-B
yan2 jian4	23-18404-B
yan2 jiang1	21-36325-B,37-26900-B,41-14207-S
yan2 jiang1 liu2	21-36430-B
yan2 jiang1 yan2	21-36371-B
yan2 jie1	23-17632-B
yan2 jin3	14-42579-B,14-42796-B
yan2 jin4	14-42459-B
yan2 jing1	54-32946-S
yan2 jing1 da4 fang1 guang3 fo2	54-33076-S
yan2 jing3 qi3 zhong3	23-19574-B
yan2 jing4	21-36044-B
yan2 jiu1	12-16212-S,22-52878-S,24-10279-S,46-13752-B,70-19907-S
yan2 jiu1 bao4 gao4	46-14007-B
yan2 jiu1 fan3 ying4 dui1	46-13867-B
yan2 jiu1 ji1 gou4	46-14174-B
yan2 jiu1 ling3 yu4	46-14527-B
yan2 jiu1 sheng1	46-14250-B
yan2 jiu1 sheng1 yuan4	46-14313-B
yan2 jiu1 suo3	10-26980-S,46-14078-B,46-56747-S
yan2 jiu1 yuan2	46-13951-B
yan2 jiu1 yuan4	46-14455-B
yan2 jiu1 zhe3	46-14387-B
yan2 jiu1 zhong1 xin1	12-3331-S,46-13794-B
yan2 jue2 ju4	3-55053-S
yan2 jun4	14-41774-B,14-42510-B
yan2 kao3	46-14665-B
yan2 ke1	14-42674-B
yan2 ke4 lei2 bo2 shi4 jun1	52-14916-S
yan2 ku4	14-42924-B
yan2 kuang4 wu4	62-18332-S
yan2 lan3	23-17737-B
yan2 leng3 yu3	8-23291-S
yan2 li4	14-41560-B,37-26550-B
yan2 liao4	68-44597-B
yan2 ling4	26-13505-S
yan2 liu2	39-24183-S,41-13820-S
yan2 liu4 se4	3-55658-S
yan2 lu3	71-7946-B
yan2 lu4	37-27587-B
yan2 lu:4 shi1	1-28740-S
yan2 lun4	57-56375-B
yan2 lun4 zi4 you2	57-56442-B
yan2 man3 zu2 zi4 zhi4 xian4	21-36845-S
yan2 mei2 jiang1 jun1	52-15116-S
yan2 mei3 yu3	43-17527-S
yan2 mi4	14-41656-B
yan2 mi4 yu3	43-17594-S
yan2 mian2	23-18055-B
yan2 ming2	57-55905-B
yan2 ming4 ti2	45-24525-S
yan2 mo2	46-13654-B
yan2 neng2 li4	6-63205-S,58-27532-S
yan2 ni3	46-13406-B
yan2 ni4 er3	24-46909-S
