one s means	64-4838-S,64-6912-S
or conserve one s health	5-41679-S
or consultant	48-20971-S
or consulting room	65-23828-S
or consumer	17-18470-S
or contest	10-55796-S
or continuing an action	60-15864-S
or contusion	44-13437-S
or convent	17-5921-S
or conversation	58-16401-S
or convulsions in young children	44-19742-S
or cord	49-30357-S
or cork	34-25015-S
or cosh math	66-66322-S
or cotton	49-47958-S,50-43777-S
or cotton bolls	65-41441-S
or cotton fabric	71-15316-S
or cou	63-31322-S
or countryman	12-51194-S
or countryside	1-60063-S
or cover up a hole	30-5703-S
or cramping broken pieces together	64-36256-S,64-39174-S
or cricket bat	42-52030-S
or crime	19-45219-S
or crimes	23-51750-S
or criticism	45-62535-S
or criticize sb by name	71-38574-S
or crop failure	69-19490-S
or crossbow	48-23515-S
or crowd control	10-64761-S
or cry	13-46829-S
or cudgel	34-20346-S
or cupboard	16-31401-S
or current	67-38289-S
or curse at people	50-54057-S
or cushion	27-13263-S
or d	40-6639-S
or damaged person	6-44103-S
or dance	35-46868-S,60-48727-S,60-48834-S
or danger	2-35581-S
or danger in one s own backyard	59-10542-S
or daoist	5-435-S
or daoist abbot	30-61426-S
or daoist monk or nun	37-34260-S
or daoist to fast	71-54477-S
or dark color	57-7130-S
or dashiqiao county level city in yingkou 營口 营口	17-29144-S,17-29263-S
or data	12-21691-S
or daughter	18-44119-S,19-9985-S
or davies english name	26-24074-S
or day of atonement jewish holiday	60-4779-S
