dalian	31-7865-S
delicate	18-54420-B,18-58540-B,18-60223-B,18-61128-B,18-61236-B,18-61343-B,18-61775-B,23-36301-S,48-57559-B,48-57692-B,49-32212-B,50-25855-B,50-46853-B,50-46897-B,50-46946-B,50-47035-B,56-55558-B
delicate and pretty	38-64117-B
delicate features	45-36041-S
delicate situation	58-63531-S
delicate texture	33-44199-B
delicious	18-26995-B,51-2490-B,52-12565-B,70-43273-B
delight	14-6828-B,34-49909-B,45-36947-S,53-26121-S,53-26242-S
delight in other people s misfortune	22-51338-S
delight the eye 成语 saw	42-58917-S
delight to see 成语 saw	14-9089-S
delight 成语 saw	14-7954-S
delighted	24-49768-B,25-27901-B,25-28008-B,35-31722-B,44-14183-B,58-470-B
delighted and sincerely willing	24-32792-B
delighted to do sth	24-35412-B
delighted with oneself	61-1406-S
delightful	18-29025-B,25-27901-B,59-57206-B
delights and common hardships 成语 saw	12-49865-S
delights of spring	33-50232-S
delights the eye 成语 saw	59-57206-S
delilah person name	17-7289-B
delimit	9-38983-S,9-39448-S
delimiter	22-33481-S
delin 530 590	33-2571-S
delineate	9-40031-S,10-12386-S,10-12490-S
delinquent	21-3905-S
delinquents	17-55863-S
deliquesce chem	39-63498-S
deliquescent	39-63553-B
delirious ravings	17-2216-B
delirium	61-54878-S
deliver	3-66603-S,3-66773-S,3-71188-B,4-27685-B,6-41612-S,27-2096-S,28-27138-B,53-18876-S,61-63346-S,61-63449-S,62-60021-B
deliver a speech	39-46832-B
deliver goods	3-72069-S
deliver personally	68-1049-S
deliver to people	44-25971-S
deliverance	29-63641-B
delivered	16-51122-S
delivered and the bill settled	7-47929-S
delivered by the head of gov on affairs of state	13-28185-S
delivery	4-65442-S,8-50711-B,22-15274-S,24-49287-S,61-67795-S,62-41641-B,69-58326-S
delivery address	63-38734-B
delivery commerce	3-67050-B
delivery of goods	28-42563-S
delivery of mail	20-3059-B
delivery of meal	61-64217-S
delivery period	3-72120-B
delivery room in hospital	43-31898-B
delivery service	6-41730-B,59-51229-S,67-29212-S
dell	26-23704-B
delphinus constellation	38-24463-B
delta	1-42367-B,36-55200-S,36-55200-S,39-8829-S,42-44534-S,42-45024-S,65-16311-S
delta asia financial group macau	10-38385-B
delta asia s a r l	10-38497-S
delta economic zone including the 5 provinces around guangzhou and hong kong	37-36270-S
delta greek letter δδ	24-8449-B
delta in south myanmar burma	4-50102-S
delta ursae majoris in the big dipper	17-48787-B
deltoid muscle over the shoulder	1-42512-B
deluge	5-58848-B,37-61324-B,51-22061-B
delusion	22-53665-B
delusion 成语 saw	44-21557-S
delusions	17-2996-B
delusions of grandeur	53-4483-B
deluxe model	59-25056-B
delve into	65-10435-S
demagogy	14-31413-B
demand	5-21976-S,5-22103-S,5-22852-S,5-23290-S,5-23586-S,13-19573-S,27-63512-S,27-63512-S,27-63573-S,36-53489-S,41-22471-S,46-49557-S,49-26044-S,49-26257-S,50-14075-S,50-36099-S,57-24553-B,57-26552-S,57-37203-S,57-61751-S,60-9660-S,60-54758-S,67-39558-S
demand an answer	58-4549-S
demand an environmental indicator	10-23343-S
demand details	57-62924-S,57-62985-S
demand econ 	5-22600-S,67-39499-B
demand immediate action	9-14299-S
demand insistently	23-44500-S
demand instant success	24-59123-S
demand payment	57-27847-S,57-63636-S,61-59151-S,61-60825-S
demand redress for a grievance	43-42758-S
demand repayment	57-62189-S
demand repayment of debt	6-32131-S
demanding	67-13206-B
demanding compensation	46-31176-S,46-31423-S
demanding vengeance for grievances	8-15304-S
demanding with menaces	58-18476-B
demands	2-46188-S,2-46276-S,18-12233-S,18-33091-S,58-18476-S,58-18561-S,58-18644-S
demands it	17-31103-S
demands of 1925	3-33219-S
demands suffering	53-41108-S
demarcate	9-39448-S,34-52607-B
demarcate a boundary	34-55151-S
demarcated	8-53983-S
demeanor	68-54714-S,68-56703-B
demented	68-46444-B
dementia	44-15945-B,44-16000-B,44-21504-B,51-27887-S,51-27984-S,51-28078-S,66-8735-S
demerger	8-53372-S
demerits	9-50603-S
demerits after death	55-5582-S,55-5802-S
demerits 成语 saw	58-33789-S,58-44834-S
demigods	17-55542-B
demilitarized zone	67-68010-B
demise	15-57309-B,21-44992-B,31-14522-S,31-15739-S,40-14540-S,69-49194-B
demo software	58-12707-S
demobilization	62-63990-B
demobilize	24-16668-S,61-62234-S
democracy	2-60155-S,30-50429-S,30-50508-S,36-18020-B,36-18063-B,36-18202-S,36-18464-B,36-21738-B,36-21738-S,46-49220-S,54-15058-S
democracy movement abbr 	36-23189-B
democracy nld	7-35506-S
democracy revolution	30-50601-S
democracy wall 1978 1989	36-18605-B
democratic	36-18464-B
democratic alliance for the betterment and progress of hong kong	36-18296-B,36-20221-B
democratic alliance of chinese students	2-80337-S
democratic centralism	36-18778-B
democratic dictatorship	4-12733-S
democratic faction	36-18542-B
democratic league	2-60286-S
democratic national construction association	2-60391-S
democratic party	15-70118-S,36-18990-B,46-49313-S,46-49949-S,53-10929-S
democratic party fundraiser	71-19919-S
democratic party japanese political party	53-7924-S
democratic party member	36-19052-S
democratic party of serbia	16-20463-B
democratic progressive party	36-18678-S,36-23110-S
democratic republic of congo	9-28042-B
democratic republic of korea north korea	32-50611-S
democratic republic of the congo	15-69832-S
democratic republic of timor leste	33-18297-S
democratic revolution	36-18867-B,53-28431-S
democratic self government league	12-19272-S
democratic transformation	36-18202-B
democratic union german political party	16-63-S
democratically elected	36-23294-B
democrats	36-18127-B
demodulate	57-52346-S
demography	4-6904-B
demolish	27-19401-S,27-19999-B
demolish an argument	69-46457-S
demolish using explosives	41-34782-S
demolition munition	11-32219-S
demolition of buildings for new project	38-60661-B
demolition of homes	38-60738-B
demon	4-7915-B,7-2121-B,7-2605-B,7-2804-B,18-34433-B,18-35136-B,21-2672-S,25-22347-B,25-24229-B,46-62409-B,70-32585-B,70-33594-S,70-33710-B,70-33857-B
demon in buddhism	50-55817-B
demon personifying pestilence	44-18044-B
demonic	63-18395-B
demons	6-60139-S,66-17042-S,70-31956-S,70-34004-S
demons and ghosts	18-35174-B
demons and gods at work 成语 saw	70-31065-B
demons and malefactors 成语 saw	70-34229-B
demons from a distance 成语 saw	30-13076-S
demons of folklore personifying pestilence	3-51832-S,3-51918-S,3-55948-S
demonstrate	13-8325-B,39-46269-S,46-46709-S,56-45281-S,58-59605-S,68-51719-S
demonstrate as a protest	46-45854-S
demonstrate or prove through argument	58-44659-B
demonstration	29-21742-B,46-45854-S,46-46025-S,46-46709-B,62-38045-B
demonstrative pronoun 這 这	27-60687-B
demonstrator	46-45958-B
demoralized	37-60178-B
demoralizing talk	14-12860-B
demote	59-44279-S,59-44638-B
demote a party cadre to work on the shop floor or countryside	1-60063-S
demote to a lower rank	66-17672-S
demotion	9-17006-B
demotion to commoner 成语 saw	9-17070-B
demur	3-41599-S,3-41678-S
den	10-37536-S,21-52510-B,42-25456-S,47-56064-S,59-62329-S
den haag	38-22275-B
denaturation	59-8485-B
dendrite branched projection of a neuron	34-61418-B
dendritic cell	34-61244-B,34-61493-B
deng	63-32756-S
deng shichang	63-32792-B
deng tuo 1912 1966	63-33368-B
deng xiaoping 1904 1997	63-33069-B
deng xiaoping s four modernizations practised from the 1980s possibly planned together with zhou enlai	14-46395-B
deng xiaoping s four modernizations 四個現代化 四个现代化	14-46833-S
deng xiaoping s policies from around 1980	29-46898-S
deng xiaoping theory	20-15514-S,63-33142-B
deng xiaoping 鄧小平 邓小平 introducing the four modernizations 四個現代化 四个现代化 	47-17500-S
deng yaping	63-32853-B
deng yingchao 1904 1992	63-33423-B
dengfeng city in henan	44-23618-S
dengkou place in inner mongolia	46-41414-S
dengue fever	8-5728-B,44-25408-B
dengue hemorrhagic fever dhf	8-44926-B
dengue vaccine	44-25492-B
dengue virus	44-25562-B
dengzhou city in henan	63-33304-S
denial of service ddos form of internet attack	8-49549-S
denied	2-5988-S
denis or st dennis	51-44491-S
denmark	3-3524-B,13-43355-S
dennis	51-44491-S
dennis a person s name	3-2036-B
denomination	16-204-S,38-729-B
denominator	49-4276-S
denominator of a fraction	8-55660-B
denote	57-66192-S
denote a sound or sharp noise gunfire etc	12-10523-B
denoted by	57-66192-B,57-66726-B
denoting fright	58-59528-S
denoting function or status	63-21130-S
denounce	7-65565-B,27-59874-S,27-60989-S,28-29387-B,30-37900-S,43-43287-S,43-43865-S,53-26867-S,59-4124-B,59-44638-B,69-46782-S
denounce loudly	12-30965-S
denounce sb publicly for their errors often imaginary	26-58460-S
denounced	27-69439-B
dense	20-3340-B,20-4004-B,40-6754-B,40-6796-B,40-7609-B,47-31812-B,47-31860-B,50-25801-B,54-38902-B
dense and dark	71-30815-B
dense e g forest	40-7876-B
dense fog	61-55706-B
dense foliage	54-51096-B
dense growth	70-30391-B
dense of foliage	54-64212-B
dense of plant growth	54-6098-B
dense vegetation	48-35636-B
densely packed	20-4004-B
denseness of clouds	67-46197-B
denseness of grass foliage	54-12323-B
density	4-6959-S,20-4326-B,40-6892-B,45-28165-S,46-35370-S,62-7276-S,70-13346-S
density gauge	20-4429-B
density wave	20-4375-B
dental	41-47262-B
dental caries	71-56742-B,71-56791-B
dental consonant	71-55396-B
dental floss	41-46975-B
dental transition from milk teeth to adult teeth	71-54982-B
dentata	34-39902-S,34-46773-S
dente	23-49184-S
dented	8-33384-B
dentist	41-46827-B,41-47223-B
dentures	6-8788-B
denuclearization	67-65579-B
denude	9-29348-B
denunciation acc to lu xun s 鲁迅 鲁迅 classification	59-4184-S
denver	3-1878-B
deny	1-4156-S,12-66424-S,12-66933-S,16-5200-S,26-48997-S,69-46782-S
deny a crime	2-15507-S
deny access	49-47493-S
deny through sophism	42-8241-S
deny without a hearing	1-16717-S
denying compliment	13-45537-S,13-45705-S
denying or limiting responsibility	7-21187-S
denying the trinity	1-16026-S
deodorant	70-10646-S
deoxidation	52-32900-B
deoxyribonucleic acid	11-38190-B
deoxyribonucleic acid dna	52-33202-B
deoxyribonucleoside monophosphate	52-33096-B
deoxyribose	52-32946-B
depart	9-2905-B,62-16418-B,62-55942-S,67-8589-S,67-10741-S
depart from	52-18797-B
depart from beijing	67-10873-S
depart this life euphemism	61-36316-S
depart this mortal coil	4-29656-S
departed	13-46093-S,61-60180-S,63-2855-S
departed beloved	45-47273-S
departed people 成语 saw	32-17116-S,32-17315-S
departed soul	67-50485-B
departed souls	21-37066-S
departed spirit demanding vengeance for grievances	8-15304-B
departing gift	43-48756-S
departing guest	45-19023-S
department	4-125-S,7-30487-S,15-14007-S,16-42185-S,16-48230-S,16-49547-S,20-60802-S,29-54775-S,29-56935-S,38-15571-S,38-33323-S,38-33503-S,43-32645-S,47-20765-B,49-1294-B,49-51214-S,49-52085-S,50-33029-S,50-33361-S,55-48777-B,56-38392-S,57-32755-S,59-662-S,63-22531-B,63-23356-S,63-23799-B,65-22061-S,70-9273-S
department arms control expert	42-58699-S
department gad	50-35679-S
department head	66-20498-B
department hong kong	47-28635-S
department of agriculture	61-41783-B
department of college	2-72350-S
department of commerce	13-58275-B
department of energy doe	51-4964-S
department of foreign languages	16-48230-B
department of gynecology and obstetrics	18-54868-B
department of homeland security	15-3528-S
department of hospital	41-62057-S,63-62968-S
department of justice hong kong	23-66498-B
department of state	51-3386-S
department of the central committee of the communist party of china	2-50728-S
department of the chinese communist party	2-66210-S,2-68810-S
department of the prc communist party central committee	2-54596-S
department of the us government	12-24485-S
department of trade	13-58275-B
department of transport	3-72648-B
department or consulting room	65-23828-S
department or section inside a larger business	21-1104-S
department or unit	32-60781-S
department spokesperson	4-58567-S
department store	44-57588-B,44-57660-S,44-57741-S,44-57826-B
department usa	15-2857-S
departmental selfishness	32-60852-B
departmentalism	32-60852-S
